#{"t_start": 1667421398.4301634, "env_id": "CTgraph-v0"}
r,l,t
0.0,2,123.248203
0.0,2,123.273424
0.0,2,123.300067
0.0,2,123.327018
0.0,2,123.353646
0.0,3,123.393272
0.0,2,123.419643
0.0,3,123.460063
0.0,2,123.486885
0.0,2,123.513666
0.0,4,123.567518
0.0,2,123.594122
0.0,3,123.635192
0.0,2,123.661866
0.0,2,123.688138
0.0,4,123.741821
0.0,4,123.795614
0.0,4,123.849116
0.0,2,123.876004
0.0,2,123.902713
0.0,2,123.929803
0.0,2,123.956726
0.0,3,123.997137
0.0,2,124.023991
0.0,2,124.050476
0.0,2,124.077334
0.0,2,124.103925
0.0,2,124.131081
0.0,2,124.157868
0.0,6,124.238088
0.0,4,124.29196
0.0,2,124.318376
0.0,2,124.345292
0.0,3,124.38597
0.0,2,124.412776
0.0,7,124.506405
0.0,2,124.533139
0.0,2,124.559902
0.0,2,124.587052
0.0,2,124.613722
0.0,2,124.640534
0.0,2,124.667164
0.0,2,124.693953
0.0,2,124.721009
0.0,2,124.747787
0.0,6,124.82826
0.0,2,124.85488
0.0,2,124.881718
0.0,2,124.90885
0.0,2,124.935712
0.0,2,128.098115
0.0,2,128.126495
0.0,2,128.153581
0.0,2,128.180226
0.0,2,128.207553
0.0,2,128.234168
0.0,4,128.287436
0.0,2,128.313893
0.0,2,128.341676
0.0,2,128.365517
0.0,2,128.391791
0.0,2,128.421176
0.0,2,128.448021
0.0,2,128.475158
0.0,2,128.502057
0.0,2,128.528774
0.0,6,128.608632
0.0,2,128.636219
0.0,2,128.664393
0.0,2,128.691328
0.0,3,128.731712
0.0,2,128.758118
0.0,2,128.78546
0.0,2,128.812259
0.0,2,128.839146
0.0,2,128.865949
0.0,2,128.892825
0.0,2,128.919614
0.0,4,128.973288
0.0,4,129.026994
0.0,2,129.053645
0.0,2,129.080534
0.0,2,129.107359
0.0,2,129.134087
0.0,2,129.161032
0.0,2,129.18729
0.0,2,129.21417
0.0,2,129.240969
0.0,2,129.267953
0.0,4,129.32114
0.0,2,129.348029
0.0,2,129.374217
0.0,2,129.400722
0.0,2,129.427593
0.0,2,129.454075
0.0,2,129.480891
0.0,2,129.507599
0.0,2,129.534571
0.0,2,129.561439
0.0,2,129.588269
0.0,4,129.641761
0.0,2,129.669056
0.0,2,129.695745
0.0,2,129.722837
0.0,2,129.749701
0.0,2,129.777129
0.0,2,138.281033
0.0,2,138.306594
0.0,2,138.351099
0.0,2,138.379135
0.0,2,138.40496
0.0,2,138.431425
0.0,2,138.457941
0.0,4,138.514375
0.0,2,138.540927
0.0,2,138.567636
0.0,3,138.605083
0.0,2,138.632374
0.0,2,138.660699
0.0,3,138.700224
0.0,2,138.727611
0.0,2,138.75427
0.0,2,138.780799
0.0,2,138.807513
0.0,2,138.83479
0.0,2,138.86152
0.0,2,138.887992
0.0,2,138.914668
0.0,2,138.942116
0.0,2,138.968601
0.0,2,138.995436
0.0,2,139.022089
0.0,2,139.049124
0.0,2,139.07596
0.0,2,139.10227
0.0,2,139.128731
0.0,2,139.156433
0.0,2,139.183108
0.0,2,139.210154
0.0,2,139.238651
0.0,2,139.268003
0.0,2,139.298652
0.0,2,139.326895
0.0,2,139.355577
0.0,4,139.412622
0.0,4,139.468259
0.0,2,139.49415
0.0,2,139.520494
0.0,2,139.545303
0.0,2,139.572934
0.0,2,139.600763
0.0,2,139.627911
0.0,2,139.653029
0.0,2,139.678052
0.0,2,139.70318
0.0,2,139.728261
0.0,2,139.753637
0.0,2,139.779183
0.0,2,139.805963
0.0,2,139.833105
0.0,2,139.859879
0.0,2,139.886929
0.0,4,139.940701
0.0,2,139.967963
0.0,2,139.994837
0.0,3,146.445569
0.0,2,146.462946
0.0,2,146.478935
0.0,2,146.497308
0.0,2,146.517118
0.0,2,146.539161
0.0,2,146.556906
0.0,2,146.579987
0.0,2,146.603084
0.0,2,146.6276
0.0,2,146.651084
0.0,2,146.673458
0.0,2,146.694582
0.0,2,146.716599
0.0,2,146.737327
0.0,4,146.779166
0.0,2,146.798249
0.0,2,146.818472
0.0,2,146.838759
0.0,2,146.860428
0.0,6,146.927173
0.0,2,146.947453
0.0,4,146.988236
0.0,2,147.007804
0.0,2,147.028247
0.0,2,147.049317
0.0,2,147.071512
0.0,2,147.092807
0.0,2,147.114023
0.0,2,147.13606
0.0,4,147.17671
0.0,2,147.198774
0.0,2,147.220586
0.0,2,147.24239
0.0,2,147.263804
0.0,3,147.296712
0.0,2,147.318983
0.0,2,147.340709
0.0,2,147.362089
0.0,2,147.384084
0.0,2,147.408129
0.0,2,147.42925
0.0,2,147.449942
0.0,2,147.471956
0.0,2,147.494014
0.0,2,147.515559
0.0,2,147.536363
0.0,6,147.606815
0.0,2,147.628006
0.0,2,147.648323
0.0,2,147.67182
0.0,2,147.694245
0.0,2,147.715485
0.0,2,147.736785
0.0,6,151.303503
0.0,3,151.33601
0.0,4,151.37471
0.0,2,151.395202
0.0,2,151.416628
0.0,2,151.437903
0.0,2,151.459039
0.0,2,151.481072
0.0,2,151.504551
0.0,2,151.527571
0.0,2,151.551217
0.0,2,151.572792
0.0,5,151.630467
0.0,2,151.65304
0.0,2,151.678771
0.0,2,151.701444
0.0,2,151.726622
0.0,2,151.753457
0.0,4,151.807128
0.0,2,151.83344
0.0,2,151.860438
0.0,4,151.914265
0.0,2,151.94083
0.0,2,151.967647
0.0,2,151.99384
0.0,2,152.019632
0.0,2,152.045481
0.0,2,152.071616
0.0,2,152.098235
0.0,2,152.123767
0.0,2,152.150138
0.0,2,152.176934
0.0,2,152.203807
0.0,2,152.230818
0.0,2,152.257986
0.0,2,152.285476
0.0,2,152.313185
0.0,2,152.340815
0.0,2,152.368216
0.0,2,152.395774
0.0,2,152.424519
0.0,4,152.481782
0.0,2,152.509894
0.0,2,152.538025
0.0,2,152.566293
0.0,2,152.594846
0.0,2,152.623527
0.0,2,152.651753
0.0,3,152.6949
0.0,2,152.723141
0.0,2,152.751431
0.0,4,152.808602
0.0,2,152.836689
0.0,2,152.865153
0.0,2,152.893791
0.0,2,152.922543
0.0,2,152.950563
0.0,2,156.08774
0.0,4,156.142961
0.0,2,156.174004
0.0,2,156.201676
0.0,3,156.247776
0.0,5,156.322521
0.0,2,156.352238
0.0,2,156.381674
0.0,4,156.434106
0.0,2,156.454128
0.0,2,156.498668
0.0,2,156.519397
0.0,2,156.542919
0.0,2,156.568535
0.0,4,156.621689
0.0,2,156.64871
0.0,2,156.675658
0.0,4,156.729316
0.0,2,156.756172
0.0,4,156.809913
0.0,2,156.836848
0.0,2,156.863686
0.0,2,156.89062
0.0,2,156.917754
0.0,2,156.944548
0.0,2,156.972221
0.0,2,157.00001
0.0,2,157.027216
0.0,2,157.054928
0.0,4,157.11009
0.0,2,157.137818
0.0,4,157.193069
0.0,2,157.220736
0.0,2,157.248441
0.0,2,157.276828
0.0,2,157.30532
0.0,2,157.333968
0.0,2,157.362407
0.0,2,157.390881
0.0,2,157.419678
0.0,2,157.448499
0.0,2,157.476069
0.0,2,157.504869
0.0,2,157.533452
0.0,2,157.562731
0.0,2,157.592334
0.0,2,157.620604
0.0,2,157.649551
0.0,2,157.677977
0.0,2,157.706311
0.0,2,157.734697
0.0,2,157.763519
0.0,2,157.791828
0.0,2,157.820167
0.0,2,157.848429
0.0,2,160.887238
0.0,2,160.912222
0.0,2,160.947248
0.0,2,160.976607
0.0,3,161.017946
0.0,2,161.045956
0.0,3,161.090072
0.0,2,161.118111
0.0,2,161.146731
0.0,2,161.176092
0.0,2,161.203374
0.0,2,161.229983
0.0,2,161.253544
0.0,2,161.277035
0.0,2,161.301711
0.0,2,161.32582
0.0,2,161.349849
0.0,2,161.373185
0.0,4,161.419641
0.0,2,161.44369
0.0,2,161.470168
0.0,2,161.497117
0.0,2,161.524004
0.0,2,161.550882
0.0,2,161.577804
0.0,2,161.604801
0.0,2,161.631768
0.0,4,161.685545
0.0,2,161.711547
0.0,2,161.739238
0.0,2,161.766414
0.0,2,161.794059
0.0,2,161.821573
0.0,2,161.849439
0.0,2,161.877257
0.0,2,161.904828
0.0,5,161.973707
0.0,2,162.001315
0.0,4,162.056651
0.0,4,162.112233
0.0,2,162.140124
0.0,2,162.167726
0.0,2,162.195453
0.0,2,162.22365
0.0,2,162.252047
0.0,2,162.280682
0.0,2,162.30892
0.0,2,162.337675
0.0,2,162.365776
0.0,2,162.394081
0.0,2,162.422163
0.0,2,162.450841
0.0,4,162.507901
0.0,2,162.536277
0.0,2,162.564965
0.0,2,162.593337
0.0,2,165.793888
0.0,2,165.820113
0.0,2,165.843654
0.0,2,165.870622
0.0,2,165.896903
0.0,4,165.949263
0.0,2,165.975288
0.0,3,166.010213
0.0,2,166.032087
0.0,2,166.056316
0.0,4,166.103197
