#{"t_start": 1667421398.7430115, "env_id": "CTgraph-v0"}
r,l,t
0.0,2,122.93652
0.0,2,122.961578
0.0,3,123.001031
0.0,2,123.027814
0.0,2,123.054586
0.0,2,123.08138
0.0,2,123.10793
0.0,2,123.134223
0.0,2,123.160968
0.0,2,123.187869
0.0,2,123.214605
0.0,2,123.24152
0.0,2,123.268472
0.0,2,123.296452
0.0,2,123.323389
0.0,2,123.350078
0.0,2,123.376328
0.0,5,123.443381
0.0,2,123.470262
0.0,4,123.52399
0.0,4,123.577812
0.0,2,123.604322
0.0,2,123.63145
0.0,2,123.658211
0.0,2,123.685384
0.0,2,123.712245
0.0,2,123.73877
0.0,2,123.765589
0.0,2,123.792194
0.0,2,123.819278
0.0,4,123.872418
0.0,2,123.899511
0.0,2,123.926332
0.0,2,123.953278
0.0,2,123.980157
0.0,2,124.006598
0.0,2,124.033524
0.0,2,124.060045
0.0,2,124.086954
0.0,2,124.113847
0.0,2,124.140553
0.0,2,124.167342
0.0,2,124.194651
0.0,2,124.221397
0.0,2,124.247984
0.0,2,124.275494
0.0,2,124.302029
0.0,2,124.328778
0.0,2,124.355377
0.0,4,124.40922
0.0,2,124.436019
0.0,2,124.462639
0.0,2,124.489404
0.0,2,124.516498
0.0,4,124.569947
0.0,4,124.623962
0.0,2,127.787371
0.0,5,127.855531
0.0,2,127.881802
0.0,5,127.948911
0.0,6,128.03052
0.0,2,128.05405
0.0,2,128.080303
0.0,2,128.109659
0.0,2,128.136414
0.0,2,128.163708
0.0,2,128.190526
0.0,4,128.243249
0.0,2,128.270333
0.0,4,128.324389
0.0,2,128.352517
0.0,2,128.379454
0.0,2,128.406004
0.0,2,128.432754
0.0,2,128.459419
0.0,4,128.513433
0.0,2,128.540216
0.0,2,128.567148
0.0,2,128.593894
0.0,2,128.620814
0.0,2,128.647597
0.0,2,128.674503
0.0,2,128.701227
0.0,2,128.727944
0.0,2,128.754952
0.0,2,128.781609
0.0,2,128.80861
0.0,4,128.861856
0.0,2,128.888541
0.0,2,128.915317
0.0,2,128.942287
0.0,6,129.022404
0.0,2,129.049247
0.0,2,129.075184
0.0,2,129.10171
0.0,2,129.128426
0.0,2,129.155054
0.0,2,129.181936
0.0,2,129.208651
0.0,2,129.235585
0.0,2,129.26243
0.0,2,129.289232
0.0,4,129.343178
0.0,2,129.369936
0.0,2,129.396868
0.0,2,129.424011
0.0,2,129.451019
0.0,2,129.478189
0.0,2,137.982396
0.0,2,138.0268
0.0,2,138.053544
0.0,2,138.079658
0.0,2,138.10656
0.0,4,138.159459
0.0,4,138.215234
0.0,2,138.242358
0.0,2,138.268774
0.0,2,138.29353
0.0,2,138.320936
0.0,2,138.348821
0.0,2,138.375473
0.0,2,138.402009
0.0,2,138.42894
0.0,2,138.455713
0.0,2,138.482604
0.0,2,138.508928
0.0,2,138.535721
0.0,2,138.563223
0.0,2,138.59007
0.0,2,138.616701
0.0,2,138.643478
0.0,4,138.697192
0.0,2,138.723684
0.0,4,138.777226
0.0,2,138.804307
0.0,2,138.830353
0.0,2,138.857582
0.0,2,138.884549
0.0,3,138.926851
0.0,2,138.956433
0.0,4,139.015027
0.0,2,139.043748
0.0,3,139.086528
0.0,4,139.143132
0.0,2,139.168684
0.0,2,139.194804
0.0,2,139.220701
0.0,2,139.247071
0.0,2,139.274471
0.0,2,139.301865
0.0,2,139.327912
0.0,2,139.353387
0.0,2,139.378056
0.0,2,139.40336
0.0,2,139.428354
0.0,2,139.453878
0.0,2,139.480248
0.0,2,139.507106
0.0,2,139.534342
0.0,2,139.561107
0.0,2,139.587996
0.0,2,139.614979
0.0,2,139.641849
0.0,2,139.66893
0.0,2,139.695944
0.0,2,146.133612
0.0,5,146.176044
0.0,4,146.215398
0.0,2,146.235104
0.0,2,146.256742
0.0,2,146.279767
0.0,2,146.304224
0.0,2,146.328192
0.0,2,146.350479
0.0,3,146.38262
0.0,2,146.404964
0.0,2,146.425302
0.0,2,146.445736
0.0,2,146.467258
0.0,2,146.486403
0.0,2,146.506434
0.0,3,146.537925
0.0,2,146.560158
0.0,4,146.605459
0.0,2,146.625422
0.0,2,146.645498
0.0,3,146.67619
0.0,2,146.695816
0.0,2,146.716201
0.0,2,146.737269
0.0,2,146.759455
0.0,2,146.780761
0.0,2,146.802046
0.0,2,146.824075
0.0,2,146.844253
0.0,2,146.86466
0.0,2,146.886735
0.0,2,146.908561
0.0,4,146.951753
0.0,2,146.973947
0.0,2,146.995794
0.0,2,147.01766
0.0,4,147.061244
0.0,4,147.106431
0.0,2,147.127706
0.0,2,147.148826
0.0,2,147.171653
0.0,2,147.191528
0.0,2,147.213683
0.0,2,147.237203
0.0,4,147.283581
0.0,2,147.304721
0.0,4,147.347798
0.0,2,147.371123
0.0,2,147.392185
0.0,2,147.414235
0.0,2,147.436322
0.0,2,147.457914
0.0,2,147.480946
0.0,2,151.002562
0.0,2,151.024405
0.0,2,151.042839
0.0,2,151.06299
0.0,2,151.083466
0.0,2,151.104736
0.0,2,151.126088
0.0,2,151.147318
0.0,2,151.169253
0.0,2,151.192629
0.0,2,151.215964
0.0,2,151.239622
0.0,2,151.261146
