#{"t_start": 1667421398.4300573, "env_id": "CTgraph-v0"}
r,l,t
0.0,2,711.745908
0.0,2,711.782829
0.0,2,711.817168
0.0,2,711.85224
0.0,2,711.883058
0.0,4,711.950018
0.0,2,711.98708
0.0,2,712.024474
0.0,4,712.090712
0.0,2,712.127086
0.0,2,712.1646
0.0,2,712.201213
0.0,2,712.233406
0.0,2,712.265889
0.0,2,712.302221
0.0,2,712.336224
0.0,2,712.369635
0.0,2,712.40291
0.0,2,712.436038
0.0,2,712.468894
0.0,2,712.501878
0.0,2,712.533866
0.0,2,712.566574
0.0,4,712.631182
0.0,2,712.664921
0.0,2,712.70273
0.0,2,712.73676
0.0,2,712.769446
0.0,2,712.80284
0.0,2,712.840006
0.0,2,712.877758
0.0,2,712.915032
0.0,2,712.952917
0.0,2,712.991209
0.0,2,713.029571
0.0,2,713.063986
0.0,2,713.098854
0.0,2,713.134172
0.0,2,713.169561
0.0,2,713.205601
0.0,4,713.276501
0.0,2,713.311075
0.0,2,713.348473
0.0,2,713.382391
0.0,4,713.456793
0.0,4,713.52096
0.0,2,713.555482
0.0,2,713.592964
0.0,2,713.632088
0.0,2,713.669674
0.0,4,713.737633
0.0,2,713.771802
0.0,2,713.810282
0.0,2,713.85008
0.0,2,713.88558
0.0,2,713.920428
0.0,2,713.956356
0.0,2,717.397102
0.0,2,717.435328
0.0,2,717.472562
0.0,4,717.543264
0.0,2,717.57823
0.0,3,717.632846
0.0,2,717.668866
0.0,4,717.741402
0.0,6,717.850362
0.0,2,717.886998
0.0,4,717.959769
0.0,2,717.995503
0.0,2,718.031703
0.0,2,718.067987
0.0,2,718.100864
0.0,5,718.185287
0.0,2,718.217256
0.0,2,718.248928
0.0,2,718.278974
0.0,2,718.311264
0.0,2,718.342426
0.0,2,718.374938
0.0,2,718.41152
0.0,2,718.445812
0.0,2,718.479174
0.0,3,718.530974
0.0,2,718.561226
0.0,2,718.59647
0.0,2,718.63322
0.0,2,718.667634
0.0,2,718.698128
0.0,2,718.734373
0.0,2,718.769328
0.0,4,718.840818
0.0,2,718.87617
0.0,2,718.917027
0.0,2,718.954747
0.0,4,719.024463
0.0,2,719.06023
0.0,4,719.132421
0.0,2,719.169327
0.0,2,719.204069
0.0,2,719.237246
0.0,2,719.270625
0.0,2,719.304537
0.0,2,719.339517
0.0,2,719.377646
0.0,2,719.414593
0.0,2,719.45136
0.0,2,719.482632
0.0,2,719.519344
0.0,2,719.558951
0.0,2,719.594349
1.0,7,723.25427
1.0,7,723.378066
1.0,7,723.502298
1.0,7,723.623348
1.0,7,723.747663
1.0,7,723.867956
1.0,7,723.984124
1.0,7,724.096408
1.0,7,724.218857
1.0,7,724.341815
0.0,3,724.394255
1.0,7,724.51792
1.0,7,724.643791
1.0,7,724.772773
1.0,7,724.895164
1.0,7,725.013222
1.0,7,725.168967
1.0,7,725.294378
1.0,7,725.420214
1.0,7,729.001987
1.0,7,729.121635
1.0,7,729.24076
1.0,7,729.355376
1.0,7,729.466386
1.0,7,729.579998
1.0,7,729.684533
1.0,7,729.808457
1.0,7,729.925503
1.0,7,730.043875
1.0,7,730.175612
1.0,7,730.293196
1.0,7,730.412434
1.0,7,730.54253
1.0,7,730.663329
1.0,7,730.791753
1.0,7,730.912129
1.0,7,731.041034
1.0,7,734.543404
1.0,7,734.665273
0.0,6,734.774863
1.0,7,734.896031
1.0,7,735.018721
1.0,7,735.141024
1.0,7,735.262397
1.0,7,735.390701
0.0,3,735.443179
1.0,7,735.570518
1.0,7,735.687847
1.0,7,735.802124
1.0,7,735.927191
1.0,7,736.051136
1.0,7,736.170985
1.0,7,736.292441
1.0,7,736.424695
1.0,7,736.557673
1.0,7,736.679796
1.0,7,740.223235
1.0,7,740.353519
1.0,7,740.477918
1.0,7,740.606541
1.0,7,740.7318
1.0,7,740.854205
1.0,7,740.979535
1.0,7,741.106537
1.0,7,741.229393
1.0,7,741.356281
1.0,7,741.472164
1.0,7,741.580723
1.0,7,741.699792
1.0,7,741.819157
1.0,7,741.946182
1.0,7,742.07374
1.0,7,742.203155
1.0,7,742.334528
1.0,7,745.921115
1.0,7,746.052594
1.0,7,746.176858
1.0,7,746.297008
1.0,7,746.414998
1.0,7,746.529138
1.0,7,746.646673
1.0,7,746.766737
1.0,7,746.890639
1.0,7,747.019737
1.0,7,747.133477
1.0,7,747.245787
1.0,7,747.358351
1.0,7,747.475033
1.0,7,747.590053
1.0,7,747.711324
1.0,7,747.836429
1.0,7,747.964049
1.0,7,751.509111
1.0,7,751.640349
1.0,7,751.770874
1.0,7,751.897997
1.0,7,752.016177
1.0,7,752.131151
1.0,7,752.246015
1.0,7,752.365976
1.0,7,752.488018
1.0,7,752.612622
1.0,7,752.73369
1.0,7,752.847487
1.0,7,752.961341
1.0,7,753.075173
1.0,7,753.186579
1.0,7,753.300593
1.0,7,753.419722
1.0,7,753.532966
0.0,6,753.634733
1.0,7,757.17908
1.0,7,757.303702
1.0,7,757.424636
1.0,7,757.554047
1.0,7,757.667734
1.0,7,757.788986
1.0,7,757.904471
1.0,7,758.018829
1.0,7,758.140052
1.0,7,758.267815
1.0,7,758.396905
1.0,7,758.515589
1.0,7,758.630309
1.0,7,758.747908
1.0,7,758.867344
1.0,7,758.991443
1.0,7,759.112749
1.0,7,759.227233
1.0,7,762.838472
1.0,7,762.969124
1.0,7,763.094389
1.0,7,763.211056
1.0,7,763.32805
1.0,7,763.446224
1.0,7,763.558739
1.0,7,763.673665
1.0,7,763.790447
1.0,7,763.911241
1.0,7,764.036154
1.0,7,764.159872
1.0,7,764.268517
1.0,7,764.388943
0.0,4,764.458075
1.0,7,764.577154
1.0,7,764.699062
1.0,7,764.826365
1.0,7,764.949514
1.0,7,768.546229
1.0,7,768.669757
1.0,7,768.800553
1.0,7,768.924905
1.0,7,769.040251
1.0,7,769.156557
1.0,7,769.278086
1.0,7,769.398849
1.0,7,769.51835
1.0,7,769.643983
1.0,7,769.766861
1.0,7,769.884295
1.0,7,769.997063
1.0,7,770.143698
1.0,7,770.261363
1.0,7,770.386982
1.0,7,770.510611
1.0,7,770.646907
1.0,7,774.250538
1.0,7,774.380006
1.0,7,774.508713
1.0,7,774.633053
1.0,7,774.753564
1.0,7,774.880085
1.0,7,775.004581
1.0,7,775.11977
1.0,7,775.231733
1.0,7,775.355736
1.0,7,775.48438
1.0,7,775.597937
1.0,7,775.714531
1.0,7,775.830303
1.0,7,775.954505
1.0,7,776.075244
1.0,7,776.206698
1.0,7,776.330002
1.0,7,779.914181
1.0,7,780.038501
1.0,7,780.218101
1.0,7,780.335836
1.0,7,780.453304
1.0,7,780.567668
1.0,7,780.678772
1.0,7,780.798204
1.0,7,780.914805
1.0,7,781.0348
1.0,7,781.149477
1.0,7,781.275388
1.0,7,781.381884
1.0,7,781.489372
1.0,7,781.602395
1.0,7,781.723731
1.0,7,781.844929
1.0,7,781.969206
1.0,7,782.091593
1.0,7,785.625614
1.0,7,785.753353
1.0,7,785.874285
1.0,7,785.996638
1.0,7,786.110991
1.0,7,786.226649
1.0,7,786.343215
1.0,7,786.45524
1.0,7,786.559233
1.0,7,786.673486
1.0,7,786.780564
1.0,7,786.887816
1.0,7,786.995147
1.0,7,787.106692
1.0,7,787.218194
1.0,7,787.341594
1.0,7,787.465922
1.0,7,787.588157
1.0,7,791.066235
1.0,7,791.197053
1.0,7,791.321858
1.0,7,791.44901
1.0,7,791.575467
1.0,7,791.698053
1.0,7,791.830991
1.0,7,791.949688
1.0,7,792.069483
1.0,7,792.191631
1.0,7,792.31426
1.0,7,792.431426
1.0,7,792.553699
1.0,7,792.67011
1.0,7,792.786648
1.0,7,792.905575
1.0,7,793.028934
1.0,7,793.143183
1.0,7,796.778113
1.0,7,796.903189
1.0,7,797.031994
1.0,7,797.159966
1.0,7,797.279298
1.0,7,797.403881
1.0,7,797.532685
1.0,7,797.66143
1.0,7,797.788329
1.0,7,797.914004
1.0,7,798.028017
1.0,7,798.145539
1.0,7,798.252991
1.0,7,798.362441
1.0,7,798.474469
1.0,7,798.58517
1.0,7,798.707694
1.0,7,798.826015
1.0,7,798.9466
1.0,7,802.55474
1.0,7,802.674975
1.0,7,802.807005
1.0,7,802.929009
1.0,7,803.051377
1.0,7,803.173389
1.0,7,803.289832
1.0,7,803.415776
1.0,7,803.539276
1.0,7,803.665237
1.0,7,803.78895
1.0,7,803.900817
1.0,7,804.01025
1.0,7,804.117312
1.0,7,804.229603
1.0,7,804.352161
1.0,7,804.459722
1.0,7,804.575377
1.0,7,808.153322
1.0,7,808.28013
1.0,7,808.408023
1.0,7,808.529856
1.0,7,808.656653
1.0,7,808.784267
1.0,7,808.906777
1.0,7,809.028578
1.0,7,809.152822
1.0,7,809.269799
1.0,7,809.395429
1.0,7,809.517014
1.0,7,809.635988
1.0,7,809.745888
1.0,7,809.865465
1.0,7,809.971008
1.0,7,810.084598
1.0,7,810.22533
1.0,7,813.816207
1.0,7,813.948032
1.0,7,814.070548
1.0,7,814.197294
1.0,7,814.320187
1.0,7,814.450293
1.0,7,814.56943
1.0,7,814.694191
1.0,7,814.820203
1.0,7,814.93862
1.0,7,815.071252
1.0,7,815.202283
1.0,7,815.327159
1.0,7,815.433271
1.0,7,815.538205
1.0,7,815.648987
1.0,7,815.757033
1.0,7,815.86977
1.0,7,819.440366
1.0,7,819.562115
1.0,7,819.684087
1.0,7,819.809316
1.0,7,819.932745
1.0,7,820.055866
1.0,7,820.176785
1.0,7,820.303548
1.0,7,820.423974
1.0,7,820.550011
1.0,7,820.675269
1.0,7,820.800802
1.0,7,820.93
1.0,7,821.057138
1.0,7,821.16774
1.0,7,821.2792
1.0,7,821.395879
1.0,7,821.508792
1.0,7,821.627336
1.0,7,825.228065
1.0,7,825.353944
1.0,7,825.479615
1.0,7,825.605216
1.0,7,825.734965
1.0,7,825.852202
1.0,7,825.986085
1.0,7,826.11707
1.0,7,826.242889
1.0,7,826.379131
1.0,7,826.505226
1.0,7,826.633504
1.0,7,826.755588
1.0,7,826.867212
1.0,7,826.975903
1.0,7,827.101644
1.0,7,827.220494
1.0,7,827.336886
1.0,7,830.890955
1.0,7,831.017123
1.0,7,831.145572
1.0,7,831.276728
1.0,7,831.407172
1.0,7,831.526938
1.0,7,831.648007
1.0,7,831.771387
1.0,7,831.890631
1.0,7,832.0227
1.0,7,832.143073
1.0,7,832.266994
1.0,7,832.390954
1.0,7,832.507427
1.0,7,832.61493
1.0,7,832.735751
1.0,7,832.849587
1.0,7,832.9631
1.0,7,836.685451
1.0,7,836.812326
1.0,7,836.942508
1.0,7,837.07398
1.0,7,837.198683
1.0,7,837.325104
1.0,7,837.444706
1.0,7,837.563479
1.0,7,837.678385
1.0,7,837.808445
1.0,7,837.930454
1.0,7,838.062097
1.0,7,838.176724
1.0,7,838.293815
1.0,7,838.410605
1.0,7,838.531309
1.0,7,838.649601
1.0,7,838.764024
