#{"t_start": 1667421399.0463133, "env_id": "CTgraph-v0"}
r,l,t
0.0,2,2123.931257
0.0,4,2124.008701
0.0,2,2124.045206
0.0,4,2124.114243
0.0,2,2124.152046
0.0,2,2124.187481
0.0,2,2124.22131
0.0,2,2124.255413
0.0,4,2124.323567
0.0,4,2124.393207
0.0,2,2124.423904
0.0,2,2124.456666
0.0,2,2124.486922
0.0,6,2124.575071
0.0,2,2124.607749
0.0,2,2124.640992
0.0,2,2124.673779
0.0,2,2124.705268
0.0,2,2124.734961
0.0,2,2124.769744
0.0,2,2124.799458
0.0,3,2124.847731
0.0,2,2124.880617
0.0,2,2124.913417
0.0,2,2124.94876
0.0,4,2125.017565
0.0,2,2125.054049
0.0,2,2125.088634
0.0,2,2125.121434
0.0,2,2125.15532
0.0,2,2125.188768
0.0,2,2125.223232
0.0,2,2125.255329
0.0,2,2125.293463
0.0,4,2125.359441
0.0,2,2125.391738
0.0,2,2125.426914
0.0,2,2125.464446
0.0,2,2125.498341
0.0,2,2125.535885
0.0,2,2125.570294
0.0,2,2125.607288
0.0,2,2125.642931
0.0,2,2125.677676
0.0,3,2125.730129
0.0,2,2125.766281
0.0,2,2125.796755
0.0,4,2125.973983
0.0,2,2126.013401
0.0,2,2126.052274
0.0,2,2126.087488
0.0,5,2126.188232
0.0,2,2130.144874
0.0,2,2130.18072
0.0,2,2130.222759
0.0,2,2130.259983
0.0,2,2130.299826
0.0,3,2130.357898
0.0,2,2130.39658
0.0,2,2130.432068
0.0,2,2130.473034
0.0,3,2130.533195
0.0,3,2130.593833
0.0,4,2130.673285
0.0,2,2130.712167
0.0,2,2130.747668
0.0,4,2130.901101
0.0,2,2130.93767
0.0,2,2130.975818
0.0,2,2131.01368
0.0,2,2131.055115
0.0,2,2131.09401
0.0,4,2131.172375
0.0,2,2131.208043
0.0,4,2131.273553
0.0,2,2131.301486
0.0,2,2131.332852
0.0,4,2131.396327
0.0,2,2131.435437
0.0,2,2131.46895
0.0,3,2131.519747
0.0,2,2131.554979
0.0,4,2131.622095
0.0,7,2131.747621
0.0,2,2131.781667
0.0,2,2131.818084
0.0,2,2131.856827
0.0,2,2131.897893
0.0,2,2131.933245
0.0,4,2132.003667
0.0,2,2132.038926
0.0,4,2132.10557
0.0,3,2132.153683
0.0,2,2132.189891
0.0,4,2132.268867
0.0,2,2132.304641
0.0,2,2132.339433
0.0,2,2132.37479
0.0,4,2132.448998
0.0,2,2132.490492
0.0,2,2132.5318
0.0,2,2136.552601
0.0,3,2136.611539
0.0,2,2136.655652
0.0,4,2136.726208
0.0,2,2136.758927
0.0,2,2136.796938
0.0,4,2136.875656
0.0,4,2136.952441
0.0,3,2137.007352
0.0,4,2137.078057
0.0,4,2137.152358
0.0,2,2137.188375
0.0,2,2137.224246
0.0,2,2137.263789
0.0,4,2137.340094
0.0,2,2137.3808
0.0,3,2137.440953
0.0,2,2137.477657
0.0,2,2137.514447
0.0,2,2137.555636
0.0,2,2137.590363
0.0,2,2137.62065
0.0,4,2137.686458
0.0,2,2137.719398
0.0,4,2137.786838
0.0,2,2137.817829
0.0,2,2137.849724
0.0,2,2137.886144
0.0,3,2137.935736
0.0,2,2137.970747
0.0,2,2138.007906
0.0,2,2138.042747
0.0,4,2138.112514
0.0,2,2138.146723
0.0,3,2138.205182
0.0,5,2138.29924
0.0,2,2138.334968
0.0,2,2138.371992
0.0,2,2138.407593
0.0,2,2138.44379
0.0,2,2138.480118
0.0,2,2138.517025
0.0,2,2138.558348
0.0,2,2138.594743
0.0,2,2138.635085
0.0,4,2138.70675
0.0,2,2138.743567
0.0,2,2138.780565
0.0,2,2138.820627
0.0,2,2138.857073
1.0,7,2143.016926
1.0,7,2143.13912
1.0,7,2143.272375
1.0,7,2143.405978
1.0,7,2143.544309
1.0,7,2143.667955
1.0,7,2143.794004
1.0,7,2143.90128
1.0,7,2144.018744
1.0,7,2144.134398
1.0,7,2144.245754
1.0,7,2144.366466
1.0,7,2144.493875
1.0,7,2144.621295
1.0,7,2144.747186
1.0,7,2144.883585
0.0,7,2145.02227
1.0,7,2145.157113
1.0,7,2149.220175
1.0,7,2149.358793
1.0,7,2149.485744
1.0,7,2149.626444
1.0,7,2149.762844
0.0,6,2149.873374
1.0,7,2150.010329
1.0,7,2150.143936
1.0,7,2150.267547
1.0,7,2150.385874
1.0,7,2150.497303
1.0,7,2150.620143
1.0,7,2150.739591
1.0,7,2151.173602
1.0,7,2151.304899
1.0,7,2151.441502
1.0,7,2151.588161
1.0,7,2151.736452
1.0,7,2155.719476
1.0,7,2155.850939
1.0,7,2155.995521
1.0,7,2156.132782
1.0,7,2156.282154
1.0,7,2156.40913
1.0,7,2156.536739
1.0,7,2156.669421
1.0,7,2156.791033
1.0,7,2156.903639
1.0,7,2157.013669
1.0,7,2157.136829
1.0,7,2157.270434
1.0,7,2157.408268
1.0,7,2157.54159
1.0,7,2157.676333
1.0,7,2157.805058
1.0,7,2157.939589
1.0,7,2158.079682
1.0,7,2162.098169
1.0,7,2162.227486
1.0,7,2162.361156
1.0,7,2162.489695
1.0,7,2162.635979
1.0,7,2162.777193
1.0,7,2162.902634
1.0,7,2163.02348
1.0,7,2163.153838
1.0,7,2163.272394
1.0,7,2163.394971
1.0,7,2163.521382
1.0,7,2163.65421
1.0,7,2163.781381
1.0,7,2163.903168
1.0,7,2164.024369
1.0,7,2164.153841
1.0,7,2164.286686
1.0,7,2168.354844
1.0,7,2168.488329
1.0,7,2168.634119
1.0,7,2168.771103
1.0,7,2168.915968
1.0,7,2169.0563
1.0,7,2169.183109
1.0,7,2169.297396
1.0,7,2169.408322
1.0,7,2169.516776
1.0,7,2169.628095
1.0,7,2169.746545
1.0,7,2169.875337
1.0,7,2169.999792
1.0,7,2170.12456
1.0,7,2170.253343
1.0,7,2170.378719
1.0,7,2170.506353
1.0,7,2174.300328
1.0,7,2174.428262
1.0,7,2174.557644
1.0,7,2174.685359
1.0,7,2174.827886
1.0,7,2174.954215
1.0,7,2175.077665
1.0,7,2175.206073
1.0,7,2175.323497
1.0,7,2175.449127
1.0,7,2175.569556
1.0,7,2175.687289
1.0,7,2175.811955
1.0,7,2175.963447
1.0,7,2176.098045
1.0,7,2176.231753
1.0,7,2176.366068
1.0,7,2176.489608
1.0,7,2176.609703
1.0,7,2180.748149
1.0,7,2180.873507
1.0,7,2180.990821
1.0,7,2181.125902
1.0,7,2181.265202
1.0,7,2181.394783
1.0,7,2181.523176
1.0,7,2181.640265
1.0,7,2181.749919
1.0,7,2181.85434
1.0,7,2181.970768
1.0,7,2182.090879
1.0,7,2182.212398
1.0,7,2182.335376
1.0,7,2182.458643
1.0,7,2182.588008
0.0,2,2182.624554
1.0,7,2182.750733
0.0,2,2182.793534
1.0,7,2186.899402
1.0,7,2187.025288
1.0,7,2187.144774
1.0,7,2187.274442
1.0,7,2187.410945
1.0,7,2187.547238
1.0,7,2187.678769
1.0,7,2187.799279
1.0,7,2187.921143
0.0,3,2187.977749
1.0,7,2188.098319
1.0,7,2188.221434
1.0,7,2188.33331
1.0,7,2188.449724
1.0,7,2188.58135
1.0,7,2188.705832
1.0,7,2188.829888
1.0,7,2188.964304
1.0,7,2189.090461
1.0,7,2192.996061
1.0,7,2193.113911
1.0,7,2193.238594
1.0,7,2193.358841
1.0,7,2193.486927
1.0,7,2193.616069
0.0,4,2193.69283
1.0,7,2193.82565
1.0,7,2193.945208
1.0,7,2194.056334
1.0,7,2194.178794
1.0,7,2194.296134
1.0,7,2194.418689
1.0,7,2194.530655
1.0,7,2194.657272
1.0,7,2194.779143
1.0,7,2194.89625
1.0,7,2195.021205
1.0,7,2195.152275
1.0,7,2199.276728
1.0,7,2199.405295
1.0,7,2199.529117
1.0,7,2199.650424
1.0,7,2199.77286
1.0,7,2199.89704
1.0,7,2200.033595
1.0,7,2200.162667
1.0,7,2200.277521
1.0,7,2200.390299
1.0,7,2200.513285
1.0,7,2200.6299
1.0,7,2200.743306
1.0,7,2200.86315
1.0,7,2201.02017
1.0,7,2201.143598
1.0,7,2201.263781
1.0,7,2201.391466
1.0,7,2205.687637
1.0,7,2205.821518
1.0,7,2205.94339
1.0,7,2206.07155
1.0,7,2206.194208
1.0,7,2206.315621
1.0,7,2206.452871
1.0,7,2206.584832
1.0,7,2206.717443
1.0,7,2206.839637
1.0,7,2206.969868
1.0,7,2207.098408
1.0,7,2207.219904
1.0,7,2207.350429
1.0,7,2207.48539
1.0,7,2207.608397
1.0,7,2207.742718
1.0,7,2207.881697
1.0,7,2212.042256
1.0,7,2212.183928
1.0,7,2212.302535
1.0,7,2212.417637
1.0,7,2212.546783
1.0,7,2212.683715
1.0,7,2212.816682
1.0,7,2212.958476
