#{"t_start": 1667421553.7982929, "env_id": "CTgraph-v0"}
r,l,t
0.0,2,1632.31208
0.0,2,1632.347603
0.0,2,1632.379393
0.0,2,1632.415631
0.0,2,1632.451163
0.0,2,1632.488045
0.0,4,1632.560023
0.0,2,1632.597694
0.0,2,1632.632438
0.0,7,1632.759293
0.0,2,1632.797173
0.0,3,1632.854975
0.0,3,1632.91006
0.0,4,1632.98682
0.0,2,1633.018805
0.0,2,1633.054853
0.0,2,1633.086926
0.0,4,1633.156046
0.0,2,1633.195541
0.0,2,1633.229254
0.0,2,1633.263745
0.0,4,1633.330929
0.0,2,1633.369718
0.0,2,1633.409499
0.0,2,1633.44649
0.0,6,1633.546125
0.0,2,1633.579999
0.0,2,1633.613643
0.0,2,1633.649939
0.0,2,1633.687698
0.0,2,1633.726395
0.0,2,1633.766
0.0,2,1633.80853
0.0,2,1633.849472
0.0,2,1633.884709
0.0,2,1633.919065
0.0,2,1633.952587
0.0,2,1633.991069
0.0,2,1634.024449
0.0,3,1634.082364
0.0,2,1634.119619
0.0,2,1634.160107
0.0,2,1634.197028
0.0,4,1634.275245
0.0,2,1634.313937
0.0,2,1634.351883
0.0,2,1634.390205
0.0,2,1634.427998
0.0,2,1634.463936
0.0,4,1634.539438
0.0,4,1634.617129
0.0,2,1638.454802
0.0,2,1638.492809
0.0,4,1638.567397
0.0,2,1638.604058
0.0,2,1638.640782
0.0,2,1638.681768
0.0,2,1638.717811
0.0,4,1638.790032
0.0,6,1638.903325
0.0,4,1638.982915
0.0,4,1639.05724
0.0,2,1639.096437
0.0,4,1639.171
0.0,2,1639.206658
0.0,6,1639.317425
0.0,2,1639.35557
0.0,2,1639.389489
0.0,2,1639.427943
0.0,4,1639.496972
0.0,2,1639.534221
0.0,2,1639.572028
0.0,4,1639.647376
0.0,2,1639.684112
0.0,2,1639.722536
0.0,4,1639.80666
0.0,4,1639.888575
0.0,6,1640.01371
0.0,2,1640.052634
0.0,2,1640.093549
0.0,2,1640.134951
0.0,2,1640.17018
0.0,2,1640.214506
0.0,3,1640.274655
0.0,4,1640.35128
0.0,4,1640.422837
0.0,2,1640.4643
0.0,2,1640.505285
0.0,2,1640.542846
0.0,3,1640.59718
0.0,4,1640.67254
0.0,2,1640.710012
0.0,2,1640.749083
0.0,2,1640.788313
0.0,2,1640.824262
0.0,4,1644.679388
0.0,2,1644.720391
0.0,2,1644.817363
0.0,3,1644.870254
0.0,4,1644.941901
0.0,2,1644.978102
0.0,2,1645.007095
0.0,2,1645.037741
0.0,2,1645.076908
0.0,4,1645.148712
0.0,2,1645.182731
0.0,3,1645.233118
0.0,2,1645.265165
0.0,4,1645.337224
0.0,2,1645.371188
0.0,2,1645.401978
0.0,3,1645.458596
0.0,2,1645.493825
0.0,2,1645.528294
0.0,2,1645.562601
0.0,2,1645.601357
0.0,4,1645.676507
0.0,2,1645.714833
0.0,2,1645.748313
