#{"t_start": 1667421552.8850412, "env_id": "CTgraph-v0"}
r,l,t
0.0,2,313.621278
0.0,2,313.65179
0.0,4,313.709233
0.0,2,313.74207
0.0,2,313.777498
0.0,2,313.812013
0.0,2,313.844307
0.0,2,313.875847
0.0,2,313.908061
0.0,3,313.959025
0.0,2,313.993449
0.0,2,314.027895
0.0,4,314.097111
0.0,4,314.164099
0.0,2,314.192608
0.0,2,314.227431
0.0,2,314.260982
0.0,2,314.297953
0.0,2,314.331335
0.0,2,314.361074
0.0,2,314.397513
0.0,2,314.431781
0.0,4,314.500612
0.0,2,314.535407
0.0,3,314.580953
0.0,2,314.609895
0.0,2,314.643613
0.0,2,314.68008
0.0,2,314.71027
0.0,2,314.740425
0.0,2,314.771089
0.0,2,314.802888
0.0,2,314.834793
0.0,2,314.866399
0.0,2,314.901936
0.0,2,314.934372
0.0,4,315.001148
0.0,2,315.033611
0.0,2,315.06624
0.0,2,315.098782
0.0,2,315.13032
0.0,2,315.160593
0.0,2,315.194722
0.0,2,315.229444
0.0,2,315.261817
0.0,2,315.29758
0.0,2,315.331933
0.0,2,315.367032
0.0,2,315.401727
0.0,2,315.437208
0.0,2,315.473306
0.0,2,315.509221
0.0,2,315.542797
0.0,2,315.57624
0.0,2,315.609428
0.0,2,315.643326
0.0,2,315.676364
0.0,2,315.711051
0.0,2,319.065856
0.0,2,319.099061
0.0,2,319.130629
0.0,2,319.161908
0.0,2,319.194789
0.0,4,319.259768
0.0,2,319.294589
0.0,2,319.328601
0.0,2,319.36346
0.0,2,319.396396
0.0,2,319.432138
0.0,2,319.467028
0.0,2,319.49896
0.0,2,319.533565
0.0,4,319.60517
0.0,2,319.640344
0.0,2,319.671663
0.0,2,319.706761
0.0,2,319.738688
0.0,2,319.774046
0.0,2,319.810335
0.0,2,319.845359
0.0,2,319.881493
0.0,2,319.918329
0.0,3,319.972023
0.0,2,320.006844
0.0,2,320.041449
0.0,2,320.077288
0.0,3,320.131171
0.0,4,320.198856
0.0,2,320.231672
0.0,2,320.266235
0.0,3,320.318934
0.0,2,320.354287
0.0,2,320.38965
0.0,4,320.453017
0.0,2,320.484833
0.0,2,320.517037
0.0,2,320.549915
0.0,2,320.584155
0.0,4,320.651865
0.0,2,320.68714
0.0,2,320.721442
0.0,6,320.822038
0.0,2,320.85807
0.0,2,320.893197
0.0,6,320.993427
0.0,2,321.027244
0.0,4,321.089156
0.0,4,321.155291
0.0,2,321.188361
0.0,2,324.582591
0.0,2,324.617389
0.0,2,324.650373
0.0,2,324.682537
0.0,2,324.714444
0.0,2,324.747363
0.0,2,324.781318
0.0,2,324.812616
0.0,2,324.845808
0.0,2,324.881481
0.0,2,324.913195
0.0,4,324.98123
0.0,4,325.049206
0.0,2,325.084502
0.0,2,325.119659
0.0,2,325.154701
0.0,2,325.185849
0.0,2,325.216607
0.0,2,325.253491
0.0,2,325.290363
0.0,2,325.323932
0.0,4,325.395581
0.0,2,325.431401
0.0,4,325.500353
0.0,2,325.535912
0.0,2,325.572469
0.0,2,325.608286
0.0,2,325.643905
0.0,2,325.678364
0.0,2,325.711885
0.0,4,325.777809
0.0,4,325.849148
0.0,2,325.884717
0.0,2,325.920317
0.0,4,325.987548
0.0,6,326.084196
0.0,2,326.117099
0.0,3,326.167723
0.0,4,326.237346
0.0,2,326.271493
0.0,2,326.306445
0.0,4,326.376948
0.0,2,326.411601
0.0,2,326.447897
0.0,2,326.483042
0.0,2,326.516666
0.0,2,326.549514
0.0,2,326.583583
0.0,2,326.61656
0.0,2,326.648684
0.0,2,326.68083
0.0,2,326.713293
0.0,2,326.747574
0.0,4,330.170882
0.0,2,330.20404
0.0,2,330.236485
0.0,2,330.269324
0.0,2,330.304154
0.0,4,330.372659
0.0,2,330.408386
0.0,2,330.44297
0.0,2,330.47792
0.0,2,330.512853
0.0,2,330.548773
0.0,4,330.614943
0.0,2,330.650815
0.0,2,330.687352
0.0,2,330.721065
0.0,2,330.757461
0.0,2,330.793808
0.0,5,330.87643
0.0,3,330.929404
0.0,2,330.963456
0.0,2,330.995138
0.0,2,331.025717
0.0,2,331.06067
0.0,2,331.096242
0.0,3,331.148121
0.0,2,331.18397
0.0,2,331.215078
0.0,2,331.247393
0.0,2,331.276181
0.0,2,331.311357
0.0,4,331.3799
0.0,2,331.411733
0.0,4,331.47471
0.0,2,331.510011
0.0,2,331.542705
0.0,2,331.576323
0.0,2,331.60819
0.0,2,331.642599
0.0,2,331.677122
0.0,2,331.712435
0.0,2,331.743347
0.0,2,331.774682
0.0,2,331.809739
0.0,2,331.845325
0.0,2,331.877248
0.0,2,331.906278
0.0,2,331.939519
0.0,2,331.972521
0.0,2,332.006255
0.0,2,332.039706
0.0,2,332.073534
0.0,4,332.138248
0.0,2,332.170733
0.0,2,332.203088
0.0,2,332.234047
0.0,2,335.599426
0.0,2,335.635659
0.0,2,335.668509
0.0,4,335.733829
0.0,4,335.802462
0.0,2,335.835386
0.0,2,335.870363
0.0,2,335.902176
0.0,2,335.938171
0.0,2,335.973557
0.0,2,336.006218
0.0,4,336.07373
0.0,2,336.10769
0.0,2,336.141578
0.0,2,336.174752
0.0,2,336.21109
0.0,2,336.243552
0.0,4,336.312331
0.0,2,336.349102
0.0,2,336.381493
0.0,2,336.417794
0.0,2,336.455903
0.0,4,336.526762
0.0,4,336.596109
0.0,2,336.632661
0.0,3,336.687256
0.0,2,336.722165
0.0,2,336.755414
0.0,2,336.788933
0.0,2,336.823583
0.0,2,336.855125
0.0,2,336.887137
0.0,2,336.918829
0.0,2,336.953476
0.0,2,336.987055
0.0,2,337.023399
0.0,4,337.084066
0.0,2,337.112986
0.0,2,337.145451
0.0,2,337.178235
0.0,2,337.212384
0.0,2,337.244066
0.0,2,337.275897
0.0,2,337.310818
0.0,2,337.346853
0.0,2,337.383073
0.0,2,337.416405
0.0,2,337.448073
0.0,2,337.481488
0.0,4,337.548997
0.0,2,337.580513
0.0,2,337.612819
0.0,4,337.709406
0.0,2,337.740581
0.0,2,337.77555
0.0,2,341.184057
0.0,2,341.215735
0.0,2,341.248468
0.0,2,341.282283
0.0,2,341.314423
0.0,2,341.345656
0.0,4,341.413298
0.0,2,341.44503
0.0,2,341.481569
0.0,2,341.51315
0.0,3,341.560421
0.0,2,341.593158
0.0,2,341.628813
0.0,2,341.660203
0.0,2,341.696939
0.0,4,341.774074
0.0,2,341.808809
0.0,2,341.845689
0.0,2,341.880045
0.0,2,341.917933
0.0,2,341.951792
0.0,2,341.985978
0.0,4,342.061363
0.0,2,342.093447
0.0,2,342.126989
0.0,2,342.158986
0.0,2,342.19526
0.0,4,342.267478
0.0,2,342.297071
0.0,4,342.365303
0.0,2,342.401043
0.0,2,342.430709
0.0,2,342.463021
0.0,2,342.494492
0.0,4,342.565142
0.0,2,342.597785
0.0,2,342.626504
0.0,4,342.709273
0.0,4,342.774981
0.0,2,342.809881
0.0,2,342.846212
0.0,2,342.881977
0.0,4,342.950907
0.0,3,343.002139
0.0,2,343.033571
0.0,2,343.063568
0.0,2,343.091942
0.0,6,343.193447
0.0,2,343.225542
0.0,4,343.294677
0.0,2,343.331325
0.0,4,346.747284
0.0,2,346.780403
0.0,2,346.814399
0.0,4,346.884404
0.0,2,346.920064
0.0,2,346.954954
0.0,2,346.991117
0.0,2,347.026468
0.0,2,347.06179
0.0,2,347.096704
0.0,2,347.132032
0.0,6,347.232452
0.0,3,347.287266
0.0,2,347.320088
0.0,2,347.356359
0.0,4,347.42324
0.0,2,347.457254
0.0,4,347.532498
0.0,4,347.600578
0.0,2,347.635256
0.0,2,347.669474
0.0,3,347.793341
0.0,4,347.859272
0.0,2,347.893099
0.0,2,347.926766
0.0,2,347.961395
0.0,2,347.99625
0.0,2,348.031304
0.0,2,348.064143
0.0,2,348.098933
0.0,2,348.133179
0.0,4,348.201588
0.0,2,348.232388
0.0,2,348.265677
0.0,2,348.300008
0.0,2,348.335907
0.0,2,348.372212
0.0,4,348.443251
0.0,2,348.476631
0.0,2,348.508363
0.0,2,348.540854
0.0,2,348.572434
0.0,2,348.604841
0.0,4,348.668269
0.0,2,348.700981
0.0,3,348.753561
0.0,2,348.782306
0.0,6,348.884153
0.0,2,348.919739
0.0,2,352.287677
0.0,4,352.355257
0.0,2,352.388565
0.0,2,352.418918
0.0,2,352.449395
0.0,2,352.484974
0.0,2,352.521154
0.0,2,352.552669
0.0,3,352.603168
1.0,7,352.722469
0.0,2,352.758564
0.0,2,352.790908
0.0,2,352.820729
0.0,2,352.850659
0.0,2,352.885031
0.0,2,352.922456
0.0,4,352.997054
0.0,2,353.033504
0.0,3,353.086485
0.0,2,353.120105
0.0,2,353.153125
0.0,2,353.183324
0.0,2,353.215557
0.0,2,353.250027
0.0,2,353.281983
0.0,2,353.318316
0.0,2,353.353237
0.0,2,353.387012
0.0,2,353.421426
0.0,2,353.454392
0.0,2,353.485948
0.0,4,353.55715
