#{"t_start": 1667421552.8848193, "env_id": "CTgraph-v0"}
r,l,t
0.0,2,8.165353
0.0,2,8.200648
0.0,2,8.235748
0.0,2,8.271075
0.0,2,8.309503
0.0,3,8.36446
0.0,2,8.400288
0.0,3,8.456251
0.0,2,8.490091
0.0,2,8.523426
0.0,4,8.592949
0.0,2,8.627912
0.0,3,8.687148
0.0,2,8.722713
0.0,2,8.758602
0.0,4,8.831795
0.0,4,8.904476
0.0,4,8.982169
0.0,2,9.01789
0.0,2,9.055355
0.0,2,9.094045
0.0,2,9.132348
0.0,3,9.182696
0.0,2,9.221379
0.0,2,9.260096
0.0,2,9.294011
0.0,2,9.331298
0.0,2,9.367469
0.0,2,9.401084
0.0,6,9.501283
0.0,4,9.57581
0.0,2,9.609104
0.0,2,9.64317
0.0,3,9.694009
0.0,2,9.726375
0.0,7,9.83132
0.0,2,9.861499
0.0,2,9.890509
0.0,2,9.918957
0.0,2,9.947149
0.0,2,9.975675
0.0,2,10.003792
0.0,2,10.032202
0.0,2,10.061548
0.0,2,10.090632
0.0,6,10.321403
0.0,2,10.351462
0.0,2,10.381611
0.0,2,10.411811
0.0,2,10.441706
0.0,2,13.529371
0.0,2,13.568706
0.0,2,13.604851
0.0,2,13.641166
0.0,2,13.67922
0.0,2,13.714085
0.0,4,13.775472
0.0,2,13.805436
0.0,2,13.83485
0.0,2,13.865576
0.0,2,13.901031
0.0,2,13.938508
0.0,2,13.973719
0.0,2,14.011673
0.0,2,14.046421
0.0,2,14.080091
0.0,6,14.18409
0.0,2,14.22187
0.0,2,14.255994
0.0,2,14.293415
0.0,3,14.343611
0.0,2,14.374398
0.0,2,14.40516
0.0,2,14.436067
0.0,2,14.467123
0.0,2,14.504927
0.0,2,14.54345
0.0,2,14.581824
0.0,4,14.655141
0.0,4,14.726612
0.0,2,14.761899
0.0,2,14.795014
0.0,2,14.827639
0.0,2,14.86177
0.0,2,14.898852
0.0,2,14.93378
0.0,2,14.967607
0.0,2,15.001468
0.0,2,15.037073
0.0,4,15.104182
0.0,2,15.136586
0.0,2,15.193792
0.0,2,15.223937
0.0,2,15.252591
0.0,2,15.278882
0.0,2,15.303561
0.0,2,15.324323
0.0,2,15.348034
0.0,2,15.369375
0.0,2,15.392011
0.0,4,15.435407
0.0,2,15.461092
0.0,2,15.48591
0.0,2,15.510888
0.0,2,15.536547
0.0,2,15.562603
0.0,2,21.750179
0.0,2,21.765198
0.0,2,21.781388
0.0,2,21.798597
0.0,2,21.814556
0.0,2,21.828266
0.0,2,21.84133
0.0,4,21.871955
0.0,2,21.886374
0.0,2,21.901162
0.0,3,21.923999
0.0,2,21.939417
0.0,2,21.955755
0.0,3,21.979013
0.0,2,21.992707
0.0,2,22.009031
0.0,2,22.027237
0.0,2,22.046597
0.0,2,22.064965
0.0,2,22.083401
0.0,4,22.117899
0.0,2,22.136815
0.0,2,22.155668
0.0,2,22.172736
0.0,2,22.189429
0.0,2,22.20602
0.0,2,22.22325
0.0,2,22.240225
0.0,2,22.259409
0.0,2,22.278961
0.0,2,22.296304
0.0,2,22.311802
0.0,2,22.32918
0.0,2,22.346257
0.0,2,22.363134
0.0,2,22.380385
0.0,2,22.397449
0.0,4,22.430129
0.0,4,22.46895
0.0,2,22.487498
0.0,2,22.506292
0.0,2,22.522841
0.0,2,22.540475
0.0,2,22.55716
0.0,2,22.575788
0.0,2,22.59423
0.0,2,22.610303
0.0,2,22.629378
0.0,2,22.647296
0.0,2,22.665383
0.0,2,22.681523
0.0,2,22.698606
0.0,2,22.717821
0.0,2,22.735603
0.0,2,22.754425
0.0,4,22.790663
0.0,2,22.810195
0.0,2,22.829841
0.0,4,28.619377
0.0,2,28.636665
0.0,2,28.652058
0.0,2,28.668683
0.0,2,28.684163
0.0,2,28.699351
0.0,2,28.713708
0.0,2,28.730754
0.0,2,28.749176
0.0,2,28.767192
0.0,2,28.784796
0.0,2,28.803911
0.0,2,28.822451
0.0,2,28.841542
0.0,2,28.857652
0.0,2,28.875667
0.0,2,28.892259
0.0,2,28.908745
0.0,2,28.927088
0.0,2,28.945059
0.0,2,28.960161
0.0,2,28.974258
0.0,2,28.988523
0.0,2,29.001485
0.0,2,29.014533
0.0,2,29.028507
0.0,4,29.054445
0.0,2,29.067444
0.0,2,29.081514
0.0,2,29.094955
0.0,2,29.10813
0.0,2,29.122067
0.0,2,29.136122
0.0,2,29.150181
0.0,4,29.177597
0.0,2,29.192448
0.0,2,29.206869
0.0,2,29.220883
0.0,3,29.24225
0.0,4,29.27235
0.0,2,29.287501
0.0,2,29.303151
0.0,2,29.318181
0.0,4,29.347336
0.0,2,29.362839
0.0,6,29.411527
0.0,2,29.424641
0.0,2,29.438675
0.0,2,29.45427
0.0,2,29.469782
0.0,2,29.486965
0.0,2,29.503747
0.0,2,29.520241
0.0,2,29.536278
0.0,2,29.553437
0.0,2,29.571196
0.0,2,29.588209
0.0,2,33.487997
0.0,6,33.59077
0.0,2,33.62568
0.0,2,33.660357
0.0,2,33.696969
0.0,4,33.764379
0.0,2,33.802177
0.0,2,33.836257
0.0,2,33.870024
0.0,2,33.903923
0.0,5,33.989893
0.0,2,34.027608
0.0,2,34.063527
0.0,2,34.094662
0.0,2,34.130301
0.0,2,34.165888
0.0,4,34.241071
0.0,2,34.278684
0.0,3,34.335484
0.0,2,34.373775
0.0,2,34.413222
0.0,2,34.451617
0.0,4,34.529083
0.0,4,34.596486
0.0,2,34.634478
0.0,2,34.670742
0.0,2,34.705104
0.0,2,34.740074
0.0,2,34.774164
0.0,2,34.807432
0.0,2,34.841182
0.0,2,34.878877
0.0,2,34.911518
0.0,2,34.943113
0.0,2,34.969993
0.0,2,34.995856
0.0,2,35.020563
0.0,3,35.057995
0.0,2,35.081269
0.0,2,35.101853
0.0,2,35.124916
0.0,4,35.171126
0.0,2,35.192864
0.0,2,35.210999
0.0,3,35.236893
0.0,2,35.2578
0.0,2,35.279902
0.0,4,35.323516
0.0,2,35.346201
0.0,2,35.370399
0.0,2,35.393938
0.0,2,35.418176
0.0,2,35.441496
0.0,2,39.77112
0.0,4,39.832235
0.0,2,39.863311
0.0,2,39.8934
0.0,3,39.938982
0.0,5,40.012721
0.0,2,40.040441
0.0,2,40.067588
0.0,4,40.114813
0.0,2,40.136458
0.0,2,40.157902
0.0,2,40.178427
0.0,2,40.19893
0.0,2,40.217985
0.0,4,40.263086
0.0,2,40.283585
0.0,2,40.30209
0.0,4,40.330699
0.0,2,40.344342
0.0,4,40.373406
0.0,2,40.387275
0.0,2,40.401555
0.0,4,40.425587
0.0,2,40.437925
0.0,2,40.450701
0.0,2,40.462842
0.0,2,40.474923
0.0,2,40.488135
0.0,4,40.514563
0.0,2,40.528951
0.0,4,40.568162
0.0,2,40.582319
0.0,2,40.596056
0.0,2,40.60917
0.0,2,40.623256
0.0,2,40.636459
0.0,4,40.66089
0.0,2,40.674536
0.0,2,40.687776
0.0,2,40.701466
0.0,2,40.714362
0.0,2,40.729147
0.0,2,40.743386
0.0,3,40.763975
0.0,2,40.777096
0.0,2,40.789426
0.0,2,40.802548
0.0,6,40.840861
0.0,2,40.855698
0.0,2,40.869835
