#{"t_start": 1667421553.7981918, "env_id": "CTgraph-v0"}
r,l,t
0.0,2,7.254149
0.0,2,7.28935
0.0,2,7.32407
0.0,2,7.35975
0.0,2,7.397683
0.0,2,7.43297
0.0,2,7.471813
0.0,2,7.508861
0.0,2,7.544727
0.0,2,7.578373
0.0,2,7.611798
0.0,2,7.645472
0.0,2,7.681414
0.0,2,7.716371
0.0,2,7.756444
0.0,2,7.795652
0.0,2,7.827906
0.0,2,7.863665
0.0,2,7.901719
0.0,2,7.938631
0.0,2,7.974925
0.0,2,8.013292
0.0,2,8.05159
0.0,2,8.086129
0.0,4,8.16373
0.0,2,8.202209
0.0,5,8.290978
0.0,2,8.328409
0.0,2,8.366051
0.0,2,8.40082
0.0,2,8.43805
0.0,2,8.473344
0.0,2,8.505794
0.0,2,8.538913
0.0,2,8.572304
0.0,4,8.645028
0.0,4,8.715392
0.0,4,8.782502
0.0,2,8.814897
0.0,2,8.845485
0.0,2,8.875555
0.0,2,8.905184
0.0,4,8.964606
0.0,2,8.993466
0.0,2,9.020988
0.0,2,9.050318
0.0,2,9.078126
0.0,2,9.10613
0.0,2,9.135175
0.0,4,9.194348
0.0,2,9.223944
0.0,6,9.455318
0.0,4,9.516141
0.0,2,12.599863
0.0,2,12.6387
0.0,2,12.673287
0.0,2,12.708607
0.0,2,12.748235
0.0,2,12.787574
0.0,2,12.818791
0.0,2,12.849297
0.0,2,12.879423
0.0,4,12.93942
0.0,4,13.008369
0.0,2,13.043232
0.0,2,13.080491
0.0,2,13.118818
0.0,2,13.15415
0.0,2,13.183671
0.0,2,13.217021
0.0,4,13.291563
0.0,2,13.328613
0.0,4,13.397545
0.0,2,13.431711
0.0,2,13.462674
0.0,2,13.493474
0.0,2,13.524207
0.0,2,13.555365
0.0,2,13.593431
0.0,2,13.631667
0.0,6,13.743631
0.0,2,13.780876
0.0,2,13.814954
0.0,2,13.850266
0.0,2,13.883428
0.0,2,13.915898
0.0,6,14.022398
0.0,2,14.055848
0.0,2,14.090593
0.0,2,14.125351
0.0,2,14.160549
0.0,2,14.19242
0.0,2,14.225225
0.0,2,14.282446
0.0,2,14.312088
0.0,2,14.340682
0.0,2,14.367103
0.0,4,14.412385
0.0,4,14.457657
0.0,3,14.492
0.0,2,14.512224
0.0,2,14.536312
0.0,2,14.561348
0.0,2,14.586348
0.0,2,14.612216
0.0,2,14.637928
0.0,2,14.663465
0.0,2,20.846327
0.0,2,20.861094
0.0,2,20.878337
0.0,2,20.8945
0.0,4,20.922457
0.0,2,20.936901
0.0,2,20.95178
0.0,4,20.981491
0.0,4,21.012197
0.0,2,21.027645
0.0,2,21.043958
0.0,3,21.067017
0.0,2,21.080834
0.0,2,21.097331
0.0,2,21.115928
0.0,2,21.135259
0.0,2,21.153383
0.0,6,21.206276
0.0,2,21.225108
0.0,2,21.243915
0.0,2,21.260937
0.0,2,21.277577
0.0,2,21.294499
0.0,2,21.311599
0.0,2,21.328675
0.0,2,21.347781
0.0,4,21.384353
0.0,4,21.41755
0.0,2,21.434614
0.0,2,21.451181
0.0,3,21.477235
0.0,2,21.493413
0.0,2,21.50929
0.0,7,21.575843
0.0,2,21.594295
0.0,2,21.610937
0.0,2,21.628537
0.0,2,21.645303
0.0,4,21.682274
0.0,2,21.698569
0.0,2,21.717396
0.0,2,21.735321
0.0,2,21.753399
0.0,2,21.769522
0.0,3,21.796377
0.0,2,21.814273
0.0,2,21.833549
0.0,2,21.850627
0.0,2,21.869629
0.0,4,21.909098
0.0,2,21.927379
0.0,4,27.715913
0.0,2,27.73236
0.0,2,27.748549
0.0,2,27.763916
0.0,2,27.780349
0.0,2,27.793903
0.0,2,27.810126
0.0,4,27.8464
0.0,2,27.863968
0.0,2,27.882344
0.0,2,27.900924
0.0,4,27.938275
0.0,2,27.954906
0.0,4,27.988846
0.0,2,28.00562
0.0,2,28.024969
0.0,2,28.040892
0.0,2,28.055203
0.0,2,28.069681
0.0,2,28.082671
0.0,2,28.096334
0.0,2,28.109837
0.0,2,28.123851
0.0,2,28.136133
0.0,2,28.148969
0.0,2,28.162675
0.0,4,28.189579
0.0,2,28.203336
0.0,2,28.216937
0.0,2,28.231573
0.0,4,28.258224
0.0,2,28.273046
0.0,2,28.287452
0.0,2,28.301761
0.0,2,28.316218
0.0,2,28.330864
0.0,2,28.345604
0.0,4,28.37586
0.0,4,28.40668
0.0,2,28.420417
0.0,4,28.451364
0.0,2,28.467619
0.0,2,28.484047
0.0,2,28.499863
0.0,2,28.512722
0.0,2,28.527025
0.0,2,28.542587
0.0,4,28.575499
0.0,4,28.608732
0.0,2,28.624899
0.0,3,28.650366
0.0,2,28.668334
0.0,2,32.560308
0.0,4,32.625281
0.0,2,32.660445
0.0,4,32.730236
0.0,2,32.765993
0.0,2,32.802984
0.0,2,32.837065
0.0,3,32.890749
0.0,2,32.924933
0.0,2,32.958624
0.0,2,32.992315
0.0,2,33.025296
0.0,2,33.059111
0.0,2,33.097446
0.0,2,33.132485
0.0,2,33.167444
0.0,2,33.199102
0.0,2,33.235367
0.0,4,33.309983
0.0,4,33.384373
0.0,3,33.442542
0.0,4,33.520459
0.0,2,33.559159
0.0,2,33.597794
0.0,2,33.632731
0.0,2,33.668346
0.0,2,33.704027
0.0,2,33.739017
0.0,4,33.8123
0.0,2,33.845045
0.0,2,33.879265
0.0,2,33.912745
0.0,2,33.948372
0.0,2,33.984907
0.0,2,34.016205
0.0,4,34.07166
0.0,2,34.096168
0.0,2,34.121514
0.0,2,34.146696
0.0,2,34.169992
0.0,2,34.190338
0.0,2,34.213316
0.0,2,34.237157
0.0,2,34.259625
0.0,2,34.281395
0.0,2,34.299503
0.0,2,34.315826
0.0,2,34.334709
0.0,2,34.356716
0.0,2,34.378471
0.0,2,34.400355
0.0,2,34.423131
0.0,2,34.446706
0.0,2,34.470472
0.0,2,34.493745
0.0,2,34.517506
0.0,2,38.844214
0.0,2,38.874729
0.0,7,38.982307
0.0,2,39.011802
0.0,2,39.042147
0.0,2,39.071797
0.0,2,39.101615
0.0,2,39.129076
0.0,2,39.157072
0.0,2,39.183856
0.0,2,39.203215
0.0,2,39.225072
0.0,6,39.287178
0.0,2,39.306206
0.0,2,39.330183
0.0,2,39.351499
0.0,6,39.407426
0.0,2,39.419007
0.0,2,39.432715
0.0,4,39.461519
0.0,2,39.4755
0.0,4,39.501835
0.0,2,39.513939
0.0,2,39.526295
0.0,4,39.551071
0.0,2,39.563145
0.0,2,39.576282
0.0,2,39.588881
0.0,2,39.603034
0.0,2,39.617445
0.0,2,39.63203
0.0,3,39.663588
0.0,2,39.677445
0.0,4,39.704859
0.0,2,39.718038
0.0,2,39.730843
0.0,2,39.742485
0.0,2,39.755271
0.0,2,39.768922
0.0,2,39.782609
0.0,4,39.810452
0.0,2,39.824234
0.0,4,39.852279
0.0,2,39.865278
0.0,2,39.87767
0.0,6,39.915176
0.0,2,39.929522
0.0,4,39.957933
0.0,2,46.367443
0.0,3,46.407103
0.0,2,46.430595
0.0,2,46.456213
0.0,2,46.477819
0.0,2,46.501685
0.0,6,46.57003
0.0,2,46.59038
0.0,2,46.611731
0.0,2,46.630315
0.0,2,46.651133
0.0,2,46.668763
0.0,2,46.687563
0.0,4,46.7221
0.0,2,46.74275
0.0,2,46.761312
0.0,3,46.788207
0.0,2,46.806643
0.0,2,46.822981
0.0,2,46.840065
0.0,4,46.865892
0.0,2,46.879889
0.0,2,46.892482
0.0,4,46.914595
0.0,3,46.934128
0.0,2,46.948112
0.0,3,46.9677
0.0,2,46.979854
0.0,2,46.9928
0.0,4,47.014625
0.0,4,47.035149
0.0,2,47.045616
0.0,2,47.056279
0.0,2,47.066741
0.0,2,47.076828
0.0,2,47.086497
0.0,2,47.097199
0.0,2,47.108839
0.0,2,47.1195
0.0,2,47.12866
0.0,4,47.154151
0.0,4,47.175283
0.0,6,47.211168
0.0,4,47.237214
0.0,4,47.265219
0.0,2,47.28052
0.0,4,47.311918
0.0,2,47.325689
0.0,7,50.574595
0.0,2,50.605009
0.0,2,50.635598
0.0,4,50.697631
0.0,2,50.727817
0.0,2,50.758992
0.0,2,50.789774
0.0,2,50.821226
0.0,2,50.853473
0.0,4,50.915524
0.0,3,50.961946
0.0,2,50.993075
0.0,2,51.023334
0.0,2,51.054682
0.0,2,51.086051
0.0,2,51.115362
0.0,4,51.174254
0.0,2,51.205275
0.0,2,51.236937
0.0,2,51.269332
0.0,2,51.302368
0.0,2,51.334204
0.0,2,51.364254
0.0,2,51.508632
0.0,3,51.538187
0.0,2,51.556147
0.0,2,51.572803
0.0,7,51.627043
0.0,2,51.639993
0.0,2,51.651177
0.0,4,51.681003
0.0,4,51.7159
0.0,2,51.738405
0.0,2,51.763254
0.0,4,51.812516
0.0,2,51.835027
0.0,2,51.856611
0.0,2,51.876779
0.0,4,51.919237
0.0,2,51.941059
0.0,2,51.962288
0.0,2,51.982845
0.0,2,52.003277
0.0,2,52.023618
0.0,2,52.04689
0.0,2,52.072265
0.0,2,52.09293
0.0,2,52.112602
0.0,2,52.132673
0.0,2,52.151947
0.0,2,52.172766
0.0,4,58.383973
0.0,2,58.414486
0.0,2,58.445862
0.0,2,58.476588
0.0,2,58.507758
0.0,4,58.570086
0.0,4,58.627472
0.0,2,58.658444
0.0,2,58.689305
0.0,2,58.720648
0.0,2,58.751132
0.0,2,58.782062
0.0,2,58.812934
0.0,2,58.844042
0.0,2,58.875503
0.0,2,58.902372
0.0,2,58.933444
0.0,2,58.965002
0.0,2,58.995611
0.0,2,59.026604
0.0,2,59.056777
0.0,4,59.118563
0.0,2,59.149302
0.0,6,59.244079
0.0,7,59.352255
0.0,2,59.382623
0.0,2,59.411265
0.0,2,59.439397
0.0,2,59.468195
0.0,2,59.498608
0.0,2,59.528519
0.0,2,59.559281
0.0,2,59.589147
0.0,2,59.619545
0.0,4,59.679619
0.0,2,59.710489
0.0,4,59.770828
0.0,4,59.830993
0.0,2,59.861065
0.0,2,59.891385
0.0,2,59.921612
0.0,3,59.966714
0.0,2,59.997186
0.0,2,60.027704
0.0,2,60.057988
0.0,2,60.088058
0.0,2,60.118129
0.0,2,60.148549
0.0,4,60.210954
0.0,2,60.242618
0.0,2,60.273934
0.0,2,68.824105
0.0,2,68.842607
0.0,4,68.877253
0.0,2,68.895448
0.0,2,68.913507
0.0,2,68.932089
0.0,2,68.950312
0.0,2,68.969186
0.0,3,68.997167
0.0,2,69.01584
0.0,2,69.034659
0.0,2,69.053303
0.0,2,69.071968
0.0,2,69.089697
0.0,2,69.108207
0.0,2,69.127049
0.0,2,69.146136
0.0,2,69.166289
0.0,2,69.186672
0.0,2,69.204795
0.0,4,69.241775
0.0,2,69.262421
0.0,3,69.291
0.0,2,69.312724
0.0,3,69.344323
0.0,2,69.364508
0.0,4,69.404128
0.0,2,69.426034
0.0,6,69.961774
0.0,2,70.111264
0.0,3,70.141832
0.0,6,70.195177
0.0,2,70.210548
0.0,3,70.232355
0.0,2,70.24806
0.0,2,70.263857
0.0,2,70.277872
0.0,2,70.294783
0.0,2,70.309924
0.0,2,70.325014
0.0,2,70.338031
0.0,4,70.364988
0.0,2,70.378352
0.0,5,70.406744
0.0,2,70.417289
0.0,4,70.437621
0.0,4,70.460118
0.0,2,70.470814
0.0,2,70.481913
0.0,3,70.496885
0.0,2,76.22075
0.0,2,76.24354
0.0,2,76.265135
0.0,4,76.302314
0.0,2,76.324351
0.0,2,76.341581
0.0,4,76.379408
0.0,2,76.399548
0.0,4,76.440797
0.0,2,76.460332
0.0,2,76.480611
0.0,2,76.499267
0.0,2,76.520121
0.0,2,76.541212
0.0,2,76.562346
0.0,4,76.606858
0.0,2,76.624714
0.0,2,76.643184
0.0,2,76.663009
0.0,2,76.690335
0.0,2,76.711221
0.0,2,76.733383
0.0,2,76.756499
0.0,2,76.778228
0.0,4,76.818402
0.0,2,76.838885
0.0,2,76.860177
0.0,2,76.882522
0.0,2,76.903544
0.0,2,76.92312
0.0,2,76.944577
0.0,4,76.989035
0.0,4,77.028786
0.0,2,77.049463
0.0,2,77.071162
0.0,2,77.094023
0.0,2,77.116893
0.0,2,77.137996
0.0,2,77.157726
0.0,2,77.178463
0.0,2,77.197405
0.0,2,77.217193
0.0,2,77.237694
0.0,6,77.298336
0.0,2,77.319566
0.0,2,77.342689
0.0,2,77.362407
0.0,2,77.38267
0.0,2,77.404093
0.0,2,77.424918
0.0,2,77.445246
0.0,4,77.488016
0.0,3,77.52319
0.0,2,85.203824
0.0,6,85.275094
0.0,6,85.34849
0.0,3,85.386248
0.0,2,85.41073
0.0,2,85.435015
0.0,3,85.470881
0.0,2,85.49553
0.0,2,85.519442
0.0,2,85.544001
0.0,4,85.592307
0.0,2,85.61613
0.0,2,85.640733
0.0,2,85.664739
0.0,7,85.750478
0.0,2,85.776899
0.0,2,85.802746
0.0,2,85.827498
0.0,2,85.850888
0.0,2,85.874757
0.0,3,85.912025
0.0,2,85.93538
0.0,2,85.958447
0.0,4,86.005589
0.0,2,86.029321
0.0,2,86.054138
0.0,2,86.078326
0.0,2,86.102175
0.0,2,86.125903
0.0,2,86.150759
0.0,2,86.174912
0.0,2,86.197279
0.0,2,86.218387
0.0,2,86.242308
0.0,2,86.264133
0.0,5,86.313496
0.0,2,86.330774
0.0,2,86.34825
0.0,4,86.379722
0.0,2,86.395475
0.0,4,86.427976
0.0,2,87.188553
0.0,4,87.328127
0.0,2,87.347889
0.0,2,87.363248
0.0,2,87.37915
0.0,5,87.418164
0.0,2,87.432984
0.0,2,96.083873
0.0,2,96.099543
0.0,2,96.116796
0.0,2,96.133828
0.0,2,96.150729
0.0,2,96.16612
0.0,2,96.18272
0.0,2,96.197697
0.0,4,96.229177
0.0,4,96.264159
0.0,2,96.281839
0.0,4,96.316498
0.0,2,96.333756
0.0,2,96.350472
0.0,2,96.367556
0.0,3,96.392782
0.0,2,96.410156
0.0,2,96.427746
0.0,6,96.479143
0.0,3,96.502945
0.0,2,96.518148
0.0,4,96.549759
0.0,2,96.564592
0.0,2,96.579271
0.0,3,96.602257
0.0,2,96.617203
0.0,2,96.634604
0.0,4,96.668186
0.0,2,96.683371
0.0,4,96.713375
0.0,2,96.728608
0.0,2,96.743665
0.0,2,96.759181
0.0,2,96.774239
0.0,2,96.790131
0.0,2,96.805083
0.0,2,96.820265
0.0,2,96.835133
0.0,2,96.849736
0.0,6,96.894563
0.0,2,96.909693
0.0,2,96.925018
0.0,4,96.954838
0.0,2,96.968869
0.0,2,96.981657
0.0,2,96.996728
0.0,2,97.011901
0.0,2,97.026384
0.0,2,97.040971
0.0,2,97.05612
0.0,2,97.070119
0.0,2,97.083266
0.0,2,102.687504
0.0,2,102.727717
0.0,2,102.757611
0.0,2,102.786506
0.0,3,102.823842
0.0,2,102.846747
0.0,2,102.865886
0.0,2,102.884139
0.0,4,102.924259
0.0,2,102.943163
0.0,2,102.960954
0.0,2,102.980467
0.0,2,103.000089
0.0,2,103.01835
0.0,2,103.038618
0.0,2,103.057406
0.0,2,103.076546
0.0,2,103.095352
0.0,2,103.112891
0.0,2,103.13069
0.0,2,103.148464
0.0,2,103.167204
0.0,2,103.185961
0.0,2,103.202194
0.0,2,103.222327
0.0,2,103.242593
0.0,2,103.261476
0.0,2,103.279354
0.0,4,103.316852
0.0,2,103.335812
0.0,2,103.357265
0.0,2,103.377764
0.0,2,103.396434
0.0,4,103.435107
0.0,2,103.457142
0.0,2,103.475684
0.0,3,103.506451
0.0,2,103.527629
0.0,7,103.603515
0.0,4,103.645556
0.0,2,103.667662
0.0,2,103.687905
0.0,2,103.710994
0.0,2,103.731323
0.0,4,103.771873
0.0,2,103.791997
0.0,2,103.815998
0.0,2,103.835946
0.0,2,103.857645
0.0,2,103.879003
0.0,2,103.90211
0.0,2,103.925596
0.0,2,103.948599
0.0,2,103.969745
0.0,2,103.9915
0.0,2,111.733705
0.0,2,111.749612
0.0,2,111.765294
0.0,2,111.782083
0.0,2,111.799512
0.0,2,111.819766
0.0,2,111.837595
0.0,4,111.875442
0.0,2,111.894261
0.0,4,111.930123
0.0,5,111.979585
0.0,2,111.996999
0.0,2,112.015321
0.0,2,112.033615
0.0,2,112.055172
0.0,2,112.073459
0.0,2,112.092881
0.0,2,112.11194
0.0,2,112.131283
0.0,4,112.169978
0.0,2,112.18891
0.0,2,112.205623
0.0,2,112.226779
0.0,2,112.2475
0.0,2,112.267738
0.0,3,112.295978
0.0,4,112.33138
0.0,2,112.35253
0.0,2,112.371415
0.0,2,112.389888
0.0,2,112.408263
0.0,2,112.426561
0.0,4,112.461911
0.0,2,112.480429
0.0,4,112.517628
0.0,4,112.553757
0.0,2,112.572585
0.0,2,112.591223
0.0,2,112.610674
0.0,2,112.628733
0.0,2,112.647112
0.0,4,112.686089
0.0,2,112.706048
0.0,2,112.724058
0.0,2,112.742092
0.0,2,112.761784
0.0,4,112.80234
0.0,2,112.822216
0.0,2,112.839786
0.0,2,112.857308
0.0,2,112.875554
0.0,4,112.914827
0.0,4,119.263991
0.0,4,119.310822
0.0,3,119.327065
0.0,2,119.33892
0.0,2,119.351261
0.0,2,119.363746
0.0,2,119.376722
0.0,2,119.388462
0.0,2,119.40053
0.0,3,119.418881
0.0,2,119.430254
0.0,3,119.44718
0.0,2,119.458401
0.0,2,119.469895
0.0,2,119.482008
0.0,4,119.506605
0.0,6,119.541294
0.0,2,119.553843
0.0,2,119.565882
0.0,4,119.589872
0.0,2,119.602345
0.0,2,119.615731
0.0,2,119.627259
0.0,4,119.652004
0.0,2,119.664568
0.0,2,119.677521
0.0,2,119.689729
0.0,2,119.700763
0.0,2,119.712977
0.0,2,119.725356
0.0,2,119.739347
0.0,2,119.752181
0.0,2,119.764244
0.0,2,119.776812
0.0,2,119.790291
0.0,2,119.803695
0.0,2,119.816117
0.0,3,119.834275
0.0,2,119.8474
0.0,2,119.859665
0.0,2,119.872322
0.0,3,119.890779
0.0,4,119.913943
0.0,2,119.925708
0.0,2,119.938364
0.0,2,119.950526
0.0,6,119.991546
0.0,2,120.006513
0.0,2,120.023984
0.0,2,120.040716
0.0,2,120.056622
0.0,2,120.074008
0.0,2,125.665312
0.0,3,125.697561
0.0,2,125.7198
0.0,2,125.742317
0.0,2,125.764745
0.0,2,125.785623
0.0,4,125.829112
0.0,2,125.85116
0.0,2,125.874274
0.0,2,125.894228
0.0,2,125.9158
0.0,2,125.936684
0.0,2,125.957819
0.0,2,125.97696
0.0,2,125.999394
0.0,2,126.020816
0.0,6,126.080313
0.0,2,126.101912
0.0,2,126.125694
0.0,2,126.148061
0.0,2,126.169202
0.0,4,126.211316
0.0,2,126.232584
0.0,2,126.255367
0.0,2,126.277845
0.0,2,126.301249
0.0,2,126.32146
0.0,2,126.342954
0.0,2,126.364377
0.0,4,126.404336
0.0,2,126.428146
0.0,2,126.449029
0.0,2,126.470863
0.0,2,126.491928
0.0,2,126.512725
0.0,2,126.532175
0.0,2,126.554848
0.0,2,126.576251
0.0,2,126.596977
0.0,2,126.617239
0.0,2,126.638631
0.0,2,126.660542
0.0,4,126.704339
0.0,2,126.727675
0.0,2,126.750688
0.0,2,126.773687
0.0,2,126.795382
0.0,2,126.816645
0.0,4,126.86172
0.0,6,126.92803
0.0,4,126.974472
0.0,6,135.544403
0.0,2,135.560957
0.0,2,135.580645
0.0,2,135.599206
0.0,4,135.632458
0.0,4,135.663484
0.0,2,136.514758
0.0,2,137.170412
0.0,2,137.186447
0.0,2,137.202689
0.0,2,137.217991
0.0,2,137.233308
0.0,2,137.248875
0.0,2,137.264708
0.0,2,137.280591
0.0,2,137.29517
0.0,3,137.31873
0.0,2,137.333416
0.0,2,137.349408
0.0,2,137.365982
0.0,2,137.386024
0.0,2,137.402792
0.0,2,137.422001
0.0,2,137.441628
0.0,2,137.460019
0.0,2,137.477794
0.0,2,137.496345
0.0,2,137.517487
0.0,2,137.536937
0.0,4,137.585639
0.0,4,137.637247
0.0,2,137.663208
0.0,2,137.689328
0.0,2,137.714145
0.0,2,137.74013
0.0,2,137.765801
0.0,2,137.791754
0.0,3,137.830285
0.0,4,137.882272
0.0,2,137.906321
0.0,2,137.93242
0.0,2,137.960455
0.0,2,137.98788
0.0,2,138.017041
0.0,2,138.045028
0.0,2,138.073017
0.0,4,138.130152
0.0,4,138.184997
0.0,4,138.243183
0.0,4,138.30103
0.0,4,138.360728
0.0,4,138.414845
0.0,2,141.779546
0.0,3,141.83259
0.0,2,141.866538
0.0,2,141.903525
0.0,2,141.939527
0.0,2,141.973675
0.0,4,142.046798
0.0,3,142.097273
0.0,2,142.133143
0.0,2,142.165017
0.0,4,142.236555
0.0,4,142.304224
0.0,2,142.338835
0.0,2,142.373585
0.0,3,142.424355
0.0,2,142.458262
0.0,2,142.490312
0.0,2,142.521065
0.0,2,142.556038
0.0,2,142.591046
0.0,4,142.65883
0.0,2,142.684587
0.0,2,142.709453
0.0,4,142.759549
0.0,2,142.784017
0.0,2,142.809701
0.0,2,142.834798
0.0,2,142.858696
0.0,3,142.89655
0.0,7,142.984788
0.0,3,143.020325
0.0,3,143.054346
0.0,2,143.077307
0.0,2,143.101221
0.0,2,143.12507
0.0,2,143.150054
0.0,4,143.201786
0.0,2,143.226981
0.0,2,143.251179
0.0,2,143.276406
0.0,4,143.326322
0.0,2,143.351049
0.0,2,143.376144
0.0,2,143.400501
0.0,2,143.427863
0.0,3,143.471525
0.0,2,143.500221
0.0,2,143.52855
0.0,2,143.557244
0.0,2,143.585879
0.0,4,146.728391
0.0,2,146.765804
0.0,2,146.800897
0.0,2,146.834023
0.0,2,146.870754
0.0,2,146.905176
0.0,3,146.952824
0.0,6,147.051683
0.0,2,147.083338
0.0,2,147.11914
0.0,2,147.154744
0.0,2,147.189888
0.0,4,147.255194
0.0,2,147.288958
0.0,2,147.322546
0.0,2,147.355674
0.0,2,147.389025
0.0,4,147.453399
0.0,2,147.488188
