#{"t_start": 1667421570.6706421, "env_id": "CTgraph-v0"}
r,l,t
0.0,2,13.776292
0.0,2,13.789502
0.0,2,13.803
0.0,2,13.818301
0.0,2,13.8338
0.0,6,13.876221
0.0,2,13.890125
0.0,2,13.903925
0.0,3,13.924943
0.0,2,13.938932
0.0,2,13.951072
0.0,2,13.966878
0.0,4,13.994146
0.0,2,14.010958
0.0,2,14.027575
0.0,2,14.042225
0.0,2,14.058015
0.0,2,14.073498
0.0,2,14.088597
0.0,2,14.104347
0.0,2,14.120182
0.0,2,14.134589
0.0,6,14.178971
0.0,2,14.193542
0.0,2,14.207922
0.0,2,14.223054
0.0,2,14.237939
0.0,2,14.252985
0.0,2,14.268232
0.0,2,14.284151
0.0,2,14.300189
0.0,2,14.314982
0.0,2,14.330127
0.0,2,14.346007
0.0,3,14.369804
0.0,4,14.400877
0.0,2,14.416758
0.0,2,14.432177
0.0,3,14.455523
0.0,2,14.472279
0.0,4,14.506679
0.0,2,14.523229
0.0,4,14.559134
0.0,4,14.595794
0.0,2,14.612934
0.0,2,14.631797
0.0,6,14.687601
0.0,2,14.706708
0.0,2,14.726694
0.0,2,14.746895
0.0,2,14.766881
0.0,2,17.309253
0.0,2,17.339704
0.0,2,17.37028
0.0,2,17.4008
0.0,2,17.431304
0.0,2,17.46168
0.0,2,17.492234
0.0,2,17.523612
0.0,2,17.554246
0.0,2,17.585491
0.0,2,17.616923
0.0,4,17.679404
0.0,2,17.711004
0.0,2,17.741787
0.0,6,17.837163
0.0,2,17.869451
0.0,2,17.899702
0.0,2,17.93274
0.0,2,17.965318
0.0,2,17.998498
0.0,2,18.031755
0.0,6,18.130909
0.0,4,18.197791
0.0,2,18.231973
0.0,2,18.266166
0.0,2,18.30075
0.0,2,18.335165
0.0,2,18.36906
0.0,2,18.40375
0.0,2,18.438958
0.0,2,18.473808
0.0,2,18.536101
0.0,2,18.573528
0.0,2,18.608065
0.0,4,18.685285
0.0,2,18.721115
0.0,2,18.760072
0.0,2,18.794586
0.0,2,18.833304
0.0,2,18.871765
0.0,2,18.907531
0.0,2,18.946641
0.0,2,18.981041
0.0,2,19.019913
0.0,4,19.094132
0.0,2,19.133152
0.0,2,19.167585
0.0,2,19.206329
0.0,2,19.244803
0.0,4,19.311602
0.0,2,19.348494
0.0,2,19.380929
0.0,2,19.418393
0.0,2,19.456956
0.0,2,19.493132
0.0,2,27.169995
0.0,6,27.203936
1.0,7,27.238135
0.0,2,27.248777
0.0,2,27.259207
0.0,2,27.269359
0.0,2,27.280176
0.0,2,27.290504
0.0,2,27.301731
0.0,3,27.319962
0.0,2,27.332552
0.0,2,27.344568
0.0,2,27.357298
0.0,2,27.369037
0.0,2,27.380658
0.0,2,27.392764
0.0,2,27.405135
0.0,4,27.428686
0.0,2,27.440934
0.0,2,27.4533
0.0,2,27.465779
0.0,2,27.47864
0.0,2,27.492042
0.0,2,27.504946
0.0,2,27.517784
0.0,2,27.531486
0.0,2,27.544741
0.0,3,27.564472
0.0,2,27.577672
0.0,4,27.604231
0.0,2,27.617143
0.0,2,27.630306
0.0,4,27.657687
0.0,2,27.672443
0.0,7,27.717279
0.0,2,27.729999
0.0,2,27.742818
0.0,2,27.755937
0.0,2,27.77028
0.0,2,27.784781
0.0,2,27.798016
0.0,2,27.810484
0.0,2,27.822004
0.0,2,27.83312
0.0,2,27.844794
0.0,4,27.868823
0.0,4,27.893503
0.0,2,27.905484
0.0,2,27.917603
0.0,2,27.929705
0.0,2,27.942362
0.0,2,31.646465
0.0,2,31.676946
0.0,2,31.709136
0.0,2,31.739977
0.0,2,31.773969
0.0,2,31.808884
0.0,6,31.908326
0.0,2,31.942958
0.0,2,31.978303
