#{"t_start": 1667421578.3299608, "env_id": "CTgraph-v0"}
r,l,t
0.0,2,872.425564
0.0,2,872.462284
0.0,4,872.534811
0.0,4,872.609798
0.0,2,872.650837
0.0,6,872.754991
0.0,3,872.810483
0.0,2,872.84586
0.0,2,872.88034
0.0,2,872.913966
0.0,2,872.948606
0.0,4,873.021406
0.0,2,873.061566
0.0,2,873.09726
0.0,2,873.135774
0.0,2,873.170211
0.0,2,873.209734
0.0,2,873.249328
0.0,2,873.288214
0.0,3,873.343732
0.0,3,873.396451
0.0,2,873.428853
0.0,7,873.545099
0.0,4,873.615543
0.0,2,873.650117
0.0,2,873.685718
0.0,2,873.719157
0.0,2,873.755149
0.0,2,873.788721
0.0,2,873.825766
0.0,2,873.862863
0.0,2,873.897716
0.0,2,873.932581
0.0,2,873.969099
0.0,2,874.001655
0.0,2,874.032172
0.0,2,874.06619
0.0,2,874.101917
0.0,2,874.137107
0.0,2,874.169755
0.0,6,874.264505
0.0,2,874.301023
0.0,2,874.335862
0.0,2,874.37197
0.0,2,874.410481
0.0,4,874.48564
0.0,2,874.524793
0.0,2,874.565604
0.0,2,874.604676
0.0,2,874.639319
0.0,2,874.674053
0.0,4,878.335679
0.0,2,878.368716
0.0,2,878.405229
0.0,6,878.519242
0.0,2,878.556976
0.0,4,878.633595
0.0,4,878.704605
0.0,4,878.774075
0.0,2,878.809263
0.0,2,878.844551
0.0,4,878.913492
0.0,2,878.952382
0.0,2,878.992797
0.0,2,879.024793
0.0,2,879.063777
0.0,2,879.097251
0.0,4,879.167718
0.0,4,879.24333
0.0,3,879.289669
0.0,3,879.344838
0.0,2,879.377512
0.0,2,879.414259
0.0,2,879.449796
0.0,4,879.513106
0.0,6,879.616824
0.0,2,879.653161
0.0,2,879.687224
0.0,2,879.720267
0.0,2,879.756825
0.0,2,879.792098
0.0,2,879.831426
0.0,2,879.865379
0.0,2,879.899298
0.0,3,879.955755
0.0,2,879.989262
0.0,2,880.022665
0.0,2,880.052592
0.0,2,880.08414
0.0,2,880.111669
0.0,3,880.155719
0.0,2,880.18915
0.0,2,880.221145
0.0,2,880.258824
0.0,3,880.316533
0.0,6,880.431095
0.0,2,880.470051
0.0,3,880.528163
0.0,2,884.091529
0.0,5,884.17959
0.0,2,884.215951
0.0,3,884.273986
0.0,3,884.334254
0.0,3,884.394355
0.0,2,884.433058
0.0,2,884.469434
0.0,2,884.50565
0.0,2,884.543144
0.0,4,884.617445
0.0,2,884.65323
0.0,2,884.688254
0.0,2,884.72196
0.0,2,884.756899
0.0,2,884.792423
0.0,2,884.830849
0.0,2,884.866039
0.0,2,884.901051
0.0,5,884.990127
0.0,2,885.040441
0.0,2,885.077397
0.0,2,885.113203
0.0,2,885.152643
0.0,2,885.189295
0.0,2,885.222834
0.0,6,885.328882
0.0,3,885.382351
0.0,2,885.417361
0.0,2,885.454539
0.0,4,885.521863
0.0,2,885.556625
0.0,4,885.623405
0.0,2,885.662307
0.0,2,885.697386
0.0,2,885.736408
0.0,2,885.771099
0.0,4,885.846489
0.0,2,885.883267
0.0,2,885.920183
0.0,2,885.95288
0.0,2,885.987181
0.0,2,886.022338
0.0,2,886.054781
0.0,2,886.087628
0.0,2,886.122946
0.0,2,886.160165
0.0,2,886.19802
0.0,2,886.23678
0.0,6,886.340526
0.0,2,886.381215
0.0,2,889.929767
0.0,2,889.970089
0.0,4,890.042344
0.0,2,890.081477
0.0,4,890.156663
0.0,2,890.19318
0.0,2,890.228469
0.0,4,890.301657
0.0,2,890.336668
0.0,2,890.37608
0.0,2,890.410899
0.0,4,890.484524
0.0,2,890.524379
0.0,2,890.559579
0.0,2,890.594978
0.0,3,890.644234
0.0,3,890.695064
0.0,4,890.768802
0.0,2,890.804701
0.0,2,890.8408
0.0,2,890.875612
0.0,2,890.910153
0.0,2,890.94565
0.0,2,890.983728
0.0,2,891.020585
0.0,2,891.058885
0.0,3,891.111395
0.0,2,891.146611
0.0,2,891.178538
0.0,2,891.212178
0.0,4,891.282969
0.0,6,891.391532
0.0,2,891.42983
0.0,3,891.483255
0.0,2,891.522637
0.0,2,891.561078
0.0,7,891.687324
0.0,6,891.78107
0.0,2,891.814626
0.0,2,891.847318
0.0,2,891.878491
0.0,2,891.907704
0.0,2,891.937923
0.0,2,891.971735
0.0,3,892.025321
0.0,4,892.097911
0.0,2,892.135331
0.0,7,895.847012
0.0,4,895.918211
0.0,2,895.955222
0.0,2,895.99159
0.0,2,896.027378
0.0,2,896.064968
0.0,4,896.134212
0.0,5,896.223637
0.0,2,896.259887
0.0,2,896.295609
0.0,4,896.364604
0.0,3,896.421859
0.0,4,896.491593
0.0,2,896.526847
0.0,2,896.565281
0.0,2,896.604923
0.0,3,896.657987
0.0,3,896.715151
0.0,2,896.750607
0.0,2,896.785987
0.0,2,896.818195
0.0,2,896.850549
0.0,2,896.891778
0.0,2,896.929077
0.0,4,896.999026
0.0,2,897.034199
0.0,2,897.067561
0.0,2,897.100305
0.0,2,897.135042
0.0,3,897.190984
0.0,2,897.229128
0.0,2,897.263029
0.0,3,897.315485
0.0,2,897.353196
0.0,2,897.391082
0.0,4,897.462809
0.0,2,897.501783
0.0,2,897.541217
0.0,2,897.576028
0.0,3,897.634271
0.0,7,897.752208
0.0,4,897.816074
0.0,4,897.879112
0.0,2,897.91148
0.0,4,897.985278
0.0,2,898.022713
0.0,4,901.661758
0.0,2,901.69833
0.0,2,901.735696
0.0,2,901.772416
0.0,2,901.811645
0.0,4,901.877539
0.0,3,901.928657
0.0,2,901.961442
0.0,2,901.996051
0.0,2,902.030574
0.0,2,902.066306
0.0,2,902.105341
0.0,2,902.141257
0.0,2,902.174533
0.0,2,902.2092
0.0,2,902.245758
0.0,2,902.280098
0.0,2,902.315383
0.0,2,902.354767
0.0,2,902.394059
0.0,2,902.425878
0.0,2,902.457163
0.0,2,902.488994
0.0,2,902.521228
0.0,3,902.568022
0.0,2,902.606198
0.0,4,902.67464
0.0,2,902.707439
0.0,4,902.773551
0.0,2,902.808698
0.0,2,902.840777
0.0,2,902.871764
0.0,2,902.90376
0.0,3,902.95119
0.0,2,902.982048
0.0,2,903.013735
1.0,7,903.132221
