#{"t_start": 1667421576.9747303, "env_id": "CTgraph-v0"}
r,l,t
0.0,2,309.596038
0.0,2,309.632543
0.0,2,309.668884
0.0,4,309.737839
0.0,2,309.774124
0.0,2,309.806764
0.0,2,309.839939
0.0,2,309.876896
0.0,4,309.949605
0.0,2,309.983239
0.0,2,310.01662
0.0,2,310.053244
0.0,2,310.089099
0.0,4,310.153826
0.0,2,310.188198
0.0,2,310.219563
0.0,2,310.255827
0.0,2,310.286633
0.0,2,310.318884
0.0,2,310.352557
0.0,2,310.387963
0.0,2,310.423334
0.0,2,310.456814
0.0,2,310.491578
0.0,2,310.526591
0.0,2,310.55898
0.0,2,310.594244
0.0,2,310.625893
0.0,4,310.692506
0.0,2,310.724462
0.0,2,310.761077
0.0,4,310.83499
0.0,2,310.870405
0.0,2,310.903637
0.0,2,310.933048
0.0,2,310.965972
0.0,2,310.997549
0.0,2,311.026425
0.0,2,311.058576
0.0,2,311.089273
0.0,2,311.122557
0.0,2,311.156996
0.0,4,311.220428
0.0,2,311.25439
0.0,2,311.288988
0.0,2,311.322075
0.0,2,311.352184
0.0,2,311.383801
0.0,2,311.413854
0.0,2,311.449016
0.0,3,311.49976
0.0,4,311.568187
0.0,6,311.666196
0.0,2,311.700129
0.0,2,315.146922
0.0,2,315.181767
0.0,2,315.218982
0.0,2,315.255647
0.0,4,315.317784
0.0,2,315.354208
0.0,2,315.38652
0.0,2,315.423993
0.0,6,315.533431
0.0,2,315.570758
0.0,2,315.605702
0.0,4,315.6691
0.0,4,315.726427
0.0,2,315.761773
0.0,2,315.796158
0.0,2,315.826222
0.0,2,315.86032
0.0,4,315.927199
0.0,4,315.993516
0.0,2,316.028502
0.0,2,316.061736
0.0,2,316.093575
0.0,2,316.126347
0.0,2,316.157887
0.0,2,316.193084
0.0,2,316.22798
0.0,2,316.263652
0.0,2,316.299364
0.0,2,316.334841
0.0,2,316.369865
0.0,2,316.400605
0.0,2,316.433849
0.0,2,316.465878
0.0,2,316.498712
0.0,2,316.531558
0.0,2,316.564008
0.0,2,316.593998
0.0,2,316.625715
0.0,2,316.657461
0.0,2,316.693245
0.0,2,316.725936
0.0,2,316.756608
0.0,2,316.791419
0.0,2,316.82593
0.0,2,316.858241
0.0,2,316.891839
0.0,4,316.95721
0.0,2,316.991949
0.0,4,317.060106
0.0,7,317.179664
0.0,4,317.247482
0.0,2,317.28241
0.0,2,320.668496
0.0,2,320.704283
0.0,2,320.739916
0.0,4,320.812125
0.0,2,320.84808
0.0,3,320.903057
0.0,2,320.937222
0.0,2,320.972395
0.0,2,321.008468
0.0,2,321.044884
0.0,2,321.08125
0.0,2,321.116327
0.0,2,321.149959
0.0,2,321.184828
0.0,2,321.220138
0.0,2,321.250894
0.0,4,321.320173
0.0,2,321.3546
0.0,6,321.449226
0.0,2,321.482661
0.0,2,321.514327
0.0,2,321.545514
0.0,4,321.612791
0.0,2,321.648157
0.0,2,321.683932
0.0,2,321.71964
0.0,2,321.75414
0.0,4,321.821341
0.0,2,321.857028
0.0,2,321.891564
0.0,2,321.924027
0.0,2,321.959193
0.0,2,321.995075
0.0,2,322.028388
0.0,4,322.093997
0.0,2,322.128523
0.0,2,322.160931
0.0,2,322.19018
0.0,7,322.305843
0.0,2,322.340333
0.0,2,322.372365
0.0,4,322.436508
0.0,2,322.470475
0.0,2,322.50352
0.0,2,322.537931
0.0,2,322.570885
0.0,2,322.606434
0.0,4,322.671502
0.0,2,322.705083
0.0,4,322.770994
0.0,4,326.156547
0.0,2,326.187598
0.0,4,326.260782
0.0,4,326.333742
0.0,2,326.369605
0.0,2,326.406375
0.0,2,326.44272
0.0,2,326.47576
0.0,2,326.50969
1.0,7,326.633573
0.0,4,326.70275
0.0,2,326.736493
0.0,4,326.804342
0.0,2,326.840166
0.0,2,326.871969
0.0,4,326.942305
0.0,2,326.975213
0.0,2,327.006553
0.0,2,327.039024
0.0,2,327.07016
0.0,2,327.103365
0.0,2,327.13657
0.0,2,327.170964
0.0,2,327.204119
0.0,2,327.23961
0.0,2,327.275136
0.0,2,327.306821
0.0,2,327.33835
0.0,4,327.409681
0.0,2,327.444397
0.0,2,327.476731
0.0,2,327.511796
0.0,2,327.544605
0.0,2,327.579947
0.0,2,327.615485
0.0,2,327.646736
0.0,2,327.679244
0.0,2,327.711245
0.0,4,327.774136
0.0,2,327.806124
0.0,2,327.838671
0.0,2,327.87051
0.0,2,327.901666
0.0,2,327.934879
0.0,4,327.999797
0.0,2,328.03179
0.0,2,328.066333
0.0,2,328.102666
0.0,2,328.137977
0.0,4,328.202336
0.0,2,328.237185
0.0,2,328.272409
0.0,3,331.682447
0.0,2,331.715262
0.0,6,331.817748
0.0,2,331.855547
0.0,6,331.948528
0.0,2,331.984948
0.0,2,332.020145
0.0,2,332.05407
0.0,2,332.091091
0.0,2,332.124393
0.0,2,332.157748
0.0,2,332.193659
0.0,2,332.227121
0.0,2,332.26163
0.0,2,332.29472
0.0,2,332.327883
0.0,3,332.378303
0.0,2,332.412309
0.0,2,332.449981
0.0,2,332.488142
0.0,2,332.522399
0.0,3,332.573862
0.0,2,332.608424
0.0,2,332.643206
0.0,2,332.677969
0.0,2,332.711918
0.0,2,332.745521
0.0,2,332.780685
0.0,6,332.879009
0.0,7,333.002559
0.0,2,333.037358
0.0,2,333.072812
0.0,2,333.108434
0.0,2,333.143309
0.0,6,333.242492
0.0,2,333.276695
0.0,2,333.310412
0.0,4,333.374664
0.0,2,333.407715
0.0,2,333.43904
0.0,4,333.502248
0.0,2,333.537011
0.0,2,333.56998
0.0,2,333.627175
0.0,4,333.69652
0.0,2,333.729981
0.0,2,333.764512
0.0,2,333.802902
0.0,2,333.838938
0.0,2,337.213519
0.0,2,337.250811
0.0,2,337.288225
0.0,2,337.321341
0.0,2,337.354142
0.0,2,337.390963
0.0,4,337.465718
0.0,3,337.517466
0.0,4,337.588793
0.0,4,337.661693
