#{"t_start": 1667421570.6710875, "env_id": "CTgraph-v0"}
r,l,t
0.0,2,594.232997
0.0,2,594.263966
0.0,2,594.299195
0.0,2,594.337131
0.0,2,594.370804
0.0,2,594.406864
0.0,2,594.443298
0.0,4,594.511894
0.0,2,594.546671
0.0,2,594.581354
0.0,4,594.645179
0.0,2,594.679236
0.0,2,594.714452
0.0,2,594.749849
0.0,4,594.821639
0.0,2,594.858783
0.0,2,594.892064
0.0,4,594.961505
0.0,2,594.99435
0.0,2,595.030382
0.0,2,595.062632
0.0,2,595.096397
0.0,2,595.133504
0.0,3,595.184534
0.0,4,595.250375
0.0,2,595.28501
0.0,2,595.319977
0.0,2,595.355938
0.0,2,595.38974
0.0,2,595.423624
0.0,6,595.521882
0.0,2,595.557825
0.0,2,595.593056
0.0,2,595.628499
0.0,2,595.662051
0.0,2,595.69901
0.0,3,595.748322
0.0,2,595.784931
0.0,2,595.820366
0.0,2,595.856636
0.0,2,595.891114
0.0,2,595.925976
0.0,2,595.967035
0.0,2,596.008694
0.0,2,596.042997
0.0,2,596.079648
0.0,2,596.114916
0.0,4,596.183692
0.0,2,596.216534
0.0,2,596.253804
0.0,4,596.329601
0.0,2,596.363095
0.0,2,596.400178
0.0,2,596.438085
0.0,2,599.93657
0.0,4,600.012402
0.0,2,600.050022
0.0,2,600.087414
0.0,2,600.125791
0.0,4,600.198007
0.0,2,600.231508
0.0,2,600.262792
0.0,3,600.31295
0.0,4,600.382097
0.0,2,600.413896
0.0,2,600.449011
0.0,2,600.483753
0.0,2,600.520867
0.0,2,600.557097
0.0,4,600.626203
0.0,2,600.662369
0.0,2,600.691627
0.0,2,600.725926
0.0,2,600.763124
0.0,2,600.796554
0.0,2,600.833129
0.0,2,600.869735
0.0,4,600.939477
0.0,4,601.009389
0.0,2,601.044139
0.0,2,601.077535
0.0,4,601.138966
0.0,2,601.174699
0.0,2,601.210868
0.0,2,601.246816
0.0,4,601.313415
0.0,2,601.346753
0.0,3,601.400023
0.0,2,601.439896
0.0,4,601.511873
0.0,2,601.547533
0.0,5,601.636071
0.0,2,601.673828
0.0,4,601.746816
0.0,2,601.78388
0.0,2,601.819663
0.0,4,601.890604
0.0,2,601.926229
0.0,2,601.967896
0.0,2,602.00489
0.0,2,602.041824
0.0,2,602.078083
0.0,2,602.115903
0.0,4,605.615042
0.0,2,605.652554
0.0,3,605.704411
0.0,2,605.738811
0.0,2,605.777475
0.0,2,605.81476
0.0,2,605.850787
0.0,4,605.918047
0.0,2,605.950522
0.0,2,605.981694
0.0,4,606.04677
0.0,2,606.07779
0.0,2,606.106953
0.0,4,606.176574
0.0,2,606.209938
0.0,2,606.247082
0.0,2,606.282417
0.0,2,606.319016
0.0,2,606.355379
0.0,4,606.424264
0.0,2,606.461165
0.0,2,606.497348
0.0,4,606.559425
0.0,2,606.595685
0.0,2,606.631745
0.0,2,606.66849
0.0,2,606.702542
0.0,4,606.768656
0.0,2,606.802217
0.0,2,606.835529
0.0,2,606.868968
0.0,2,606.904225
0.0,2,606.939481
0.0,2,606.972381
0.0,2,607.007416
0.0,4,607.075288
0.0,3,607.124046
0.0,2,607.158206
0.0,3,607.21126
0.0,2,607.248532
0.0,2,607.285045
0.0,2,607.3244
0.0,6,607.423675
0.0,2,607.460924
0.0,2,607.497357
0.0,2,607.534916
0.0,2,607.566945
0.0,2,607.601314
0.0,2,607.637464
0.0,2,607.675565
0.0,2,607.71254
0.0,2,607.746032
0.0,2,607.779764
0.0,2,607.817141
0.0,2,611.352702
0.0,2,611.383206
0.0,2,611.422282
0.0,2,611.460516
0.0,6,611.565342
0.0,2,611.597007
0.0,2,611.628669
0.0,2,611.660061
0.0,2,611.691439
0.0,2,611.726063
0.0,2,611.762116
0.0,2,611.797588
0.0,2,611.832292
0.0,2,611.868994
0.0,2,611.90444
0.0,2,611.938927
0.0,2,611.96949
0.0,2,611.99872
0.0,2,612.034776
0.0,2,612.066412
0.0,2,612.102014
0.0,2,612.134493
0.0,2,612.169159
0.0,3,612.220657
0.0,2,612.256299
0.0,4,612.325579
0.0,2,612.361709
0.0,2,612.394737
0.0,2,612.424617
0.0,2,612.45708
0.0,2,612.487323
0.0,2,612.520069
0.0,2,612.552351
0.0,2,612.585564
0.0,2,612.622684
0.0,3,612.673804
0.0,2,612.711109
0.0,2,612.7487
0.0,4,612.81373
0.0,2,612.857526
0.0,4,612.929706
0.0,2,612.964306
0.0,2,612.999523
0.0,2,613.036998
0.0,4,613.111109
0.0,4,613.181303
0.0,2,613.216141
0.0,2,613.251134
0.0,2,613.285713
0.0,3,613.338193
0.0,2,613.371705
0.0,2,613.408875
0.0,2,613.445964
0.0,2,613.480526
0.0,2,613.518442
0.0,2,617.336977
0.0,2,617.368968
0.0,2,617.40094
0.0,2,617.432555
0.0,2,617.463794
0.0,2,617.496157
0.0,2,617.528645
0.0,2,617.560238
0.0,2,617.593184
0.0,4,617.660594
0.0,2,617.690755
0.0,2,617.723691
0.0,2,617.757586
0.0,2,617.792153
0.0,2,617.826788
0.0,2,617.916805
0.0,2,617.950886
0.0,5,618.036801
0.0,2,618.069245
0.0,2,618.100971
0.0,2,618.133225
0.0,3,618.183388
0.0,4,618.252809
0.0,4,618.315559
0.0,2,618.351411
0.0,2,618.38783
0.0,2,618.4257
0.0,2,618.462731
0.0,2,618.497108
0.0,2,618.534543
0.0,2,618.573442
0.0,2,618.614019
0.0,4,618.682593
0.0,4,618.752166
0.0,2,618.787503
0.0,2,618.82303
0.0,2,618.860201
0.0,4,618.934932
0.0,2,618.968559
0.0,2,619.002664
0.0,4,619.075117
0.0,2,619.113472
0.0,2,619.147016
0.0,2,619.182442
0.0,2,619.212798
0.0,4,619.285436
0.0,2,619.32436
0.0,2,619.354912
0.0,4,619.424154
0.0,2,619.458546
0.0,2,619.493441
0.0,2,619.53125
0.0,3,619.583995
0.0,2,623.1286
0.0,2,623.166147
0.0,2,623.203297
0.0,4,623.271182
0.0,2,623.306111
0.0,2,623.341594
0.0,2,623.370751
0.0,2,623.407737
0.0,2,623.442685
0.0,2,623.476398
0.0,4,623.544809
0.0,2,623.580338
0.0,2,623.616237
0.0,2,623.648948
0.0,2,623.681943
0.0,2,623.715332
0.0,2,623.749337
0.0,2,623.781678
0.0,2,623.813571
0.0,4,623.879105
0.0,4,623.951388
0.0,3,624.000127
0.0,2,624.035925
0.0,2,624.073102
0.0,4,624.137775
0.0,3,624.193808
0.0,4,624.264424
0.0,4,624.33828
0.0,2,624.375329
0.0,2,624.413013
0.0,2,624.447049
0.0,2,624.481535
0.0,2,624.516612
0.0,2,624.545978
0.0,2,624.583489
0.0,2,624.620142
0.0,4,624.694395
0.0,2,624.733244
0.0,2,624.770292
0.0,2,624.8076
0.0,2,624.84162
0.0,4,624.917478
0.0,2,624.952655
0.0,3,625.007322
0.0,2,625.040352
0.0,2,625.074245
0.0,2,625.111274
0.0,4,625.188047
0.0,2,625.222051
0.0,2,625.255901
0.0,2,625.29341
0.0,2,625.331891
0.0,4,628.859392
0.0,2,628.893874
0.0,2,628.92928
0.0,4,628.994346
0.0,2,629.027922
0.0,2,629.064426
0.0,2,629.0977
0.0,2,629.132261
0.0,2,629.165621
