#{"t_start": 1667421401.2915988, "env_id": "CTgraph-v0"}
r,l,t
0.0,2,3873.942661
0.0,2,3873.984267
0.0,2,3874.028685
0.0,2,3874.071675
0.0,2,3874.119106
0.0,3,3874.181152
0.0,6,3874.321164
0.0,2,3874.368636
0.0,2,3874.411227
0.0,2,3874.45216
0.0,2,3874.49499
0.0,4,3874.58606
0.0,2,3874.639221
0.0,2,3874.690009
0.0,2,3874.73695
0.0,4,3874.822552
0.0,2,3874.866375
0.0,2,3874.910559
0.0,2,3874.95214
0.0,2,3874.998292
0.0,2,3875.045148
0.0,2,3875.094631
0.0,4,3875.183325
0.0,2,3875.219424
0.0,2,3875.255232
0.0,2,3875.290184
0.0,6,3875.396853
0.0,2,3875.430791
0.0,6,3875.536941
0.0,2,3875.572832
0.0,6,3875.698758
0.0,4,3875.781151
0.0,2,3875.823425
0.0,2,3875.865815
0.0,2,3875.912527
0.0,2,3875.957443
0.0,2,3876.004911
0.0,2,3876.044502
0.0,2,3876.083757
0.0,2,3876.123375
0.0,2,3876.162313
0.0,2,3876.202166
0.0,2,3876.241338
0.0,2,3876.281004
0.0,4,3876.353445
0.0,2,3876.389249
0.0,2,3876.426725
0.0,4,3876.503088
0.0,2,3876.541816
0.0,2,3881.062106
0.0,2,3881.102695
0.0,2,3881.138728
0.0,2,3881.181561
0.0,2,3881.219732
0.0,4,3881.313207
0.0,2,3881.358164
0.0,2,3881.402021
0.0,2,3881.447634
0.0,2,3881.49474
0.0,4,3881.595963
0.0,3,3881.663855
0.0,2,3881.708739
0.0,2,3881.762684
0.0,2,3881.814125
0.0,2,3881.862099
0.0,2,3881.909537
0.0,2,3881.956742
0.0,4,3882.050903
0.0,2,3882.099931
0.0,2,3882.147686
0.0,2,3882.192824
0.0,2,3882.237534
0.0,2,3882.281796
0.0,3,3882.354122
0.0,4,3882.440381
0.0,2,3882.480694
0.0,2,3882.514165
0.0,4,3882.581317
0.0,2,3882.619607
0.0,3,3882.678017
0.0,2,3882.725126
0.0,6,3883.078476
0.0,4,3883.162065
0.0,2,3883.206685
0.0,2,3883.252042
0.0,2,3883.299534
0.0,4,3883.380988
0.0,2,3883.422172
0.0,2,3883.470196
0.0,2,3883.510474
0.0,2,3883.549817
0.0,2,3883.590592
0.0,2,3883.634988
0.0,2,3883.677506
0.0,2,3883.719857
0.0,2,3883.755511
0.0,2,3883.795403
0.0,2,3883.830669
0.0,2,3883.864733
0.0,4,3883.935679
0.0,4,3884.011438
0.0,2,3888.296016
0.0,2,3888.339254
0.0,2,3888.382329
0.0,2,3888.424294
0.0,2,3888.467639
0.0,2,3888.511211
0.0,2,3888.561177
0.0,2,3888.604192
0.0,2,3888.646589
0.0,3,3888.71642
0.0,2,3888.761457
0.0,2,3888.805127
0.0,2,3888.848918
0.0,2,3888.893875
0.0,2,3888.937965
0.0,2,3888.980121
0.0,2,3889.022499
0.0,4,3889.109061
0.0,2,3889.152889
0.0,2,3889.196643
0.0,3,3889.261571
0.0,2,3889.305347
0.0,2,3889.348086
0.0,2,3889.3875
0.0,4,3889.467378
0.0,2,3889.508243
0.0,2,3889.549
0.0,4,3889.632004
0.0,2,3889.673481
0.0,2,3889.71916
0.0,2,3889.763168
0.0,4,3889.84025
0.0,2,3889.876184
0.0,2,3889.917928
0.0,2,3889.956639
0.0,4,3890.035682
0.0,7,3890.175843
0.0,2,3890.215201
0.0,2,3890.254557
0.0,2,3890.294339
0.0,2,3890.333569
0.0,2,3890.373333
0.0,2,3890.413235
0.0,3,3890.473345
0.0,2,3890.515868
0.0,2,3890.55812
0.0,2,3890.599943
0.0,2,3890.64209
0.0,2,3890.683976
0.0,3,3890.748727
0.0,2,3890.790364
0.0,2,3890.828958
0.0,2,3890.871207
0.0,2,3890.917524
1.0,7,3895.393137
1.0,7,3895.538811
1.0,7,3895.693706
1.0,7,3895.85125
1.0,7,3896.00369
1.0,7,3896.159778
1.0,7,3896.31267
1.0,7,3896.4664
1.0,7,3896.614645
1.0,7,3896.758098
1.0,7,3896.895306
1.0,7,3897.047707
1.0,7,3897.21275
1.0,7,3897.362617
1.0,7,3897.513993
1.0,7,3897.668621
1.0,7,3897.925707
1.0,7,3898.085515
1.0,7,3902.553665
1.0,7,3902.698231
1.0,7,3902.843013
1.0,7,3902.983871
1.0,7,3903.132234
1.0,7,3903.290627
1.0,7,3903.449191
1.0,7,3903.593924
1.0,7,3903.732323
1.0,7,3903.879247
1.0,7,3904.025401
1.0,7,3904.160071
1.0,7,3904.302964
1.0,7,3904.449023
1.0,7,3904.594948
1.0,7,3904.734054
1.0,7,3904.877621
1.0,7,3905.02521
1.0,7,3909.575984
1.0,7,3909.736003
1.0,7,3909.893137
1.0,7,3910.050181
1.0,7,3910.213222
1.0,7,3910.379457
1.0,7,3910.533651
1.0,7,3910.694568
1.0,7,3910.846312
1.0,7,3910.997108
1.0,7,3911.145131
1.0,7,3911.298532
1.0,7,3911.452493
1.0,7,3911.593697
1.0,7,3911.74473
1.0,7,3911.894422
1.0,7,3912.043209
1.0,7,3912.196626
1.0,7,3912.340787
1.0,7,3916.852109
1.0,7,3916.989838
1.0,7,3917.142217
1.0,7,3917.303504
1.0,7,3917.466971
1.0,7,3917.623614
1.0,7,3917.767257
1.0,7,3917.957714
1.0,7,3918.106078
1.0,7,3918.254549
1.0,7,3918.407549
1.0,7,3918.565659
1.0,7,3918.708927
1.0,7,3918.850535
1.0,7,3918.983639
1.0,7,3919.123223
1.0,7,3919.262307
1.0,7,3919.406012
1.0,7,3923.851683
1.0,7,3923.995246
1.0,7,3924.146741
1.0,7,3924.302119
1.0,7,3924.454667
1.0,7,3924.603718
1.0,7,3924.762937
1.0,7,3924.901386
1.0,7,3925.044854
1.0,7,3925.186023
1.0,7,3925.328633
1.0,7,3925.482434
1.0,7,3925.638463
1.0,7,3925.79377
1.0,7,3925.955951
1.0,7,3926.105342
1.0,7,3926.247634
1.0,7,3926.402429
0.0,6,3930.968007
1.0,7,3931.105852
1.0,7,3931.251642
1.0,7,3931.417684
1.0,7,3931.56587
1.0,7,3931.716098
1.0,7,3931.873347
1.0,7,3932.029009
1.0,7,3932.194133
1.0,7,3932.336189
1.0,7,3932.471158
1.0,7,3932.610786
1.0,7,3932.746576
1.0,7,3932.922559
1.0,7,3933.078812
1.0,7,3933.219007
1.0,7,3933.362302
1.0,7,3933.5021
1.0,7,3933.64023
1.0,7,3938.163039
1.0,7,3938.323198
1.0,7,3938.485908
1.0,7,3938.657575
1.0,7,3938.815631
1.0,7,3938.9855
1.0,7,3939.14628
1.0,7,3939.302899
1.0,7,3939.456052
1.0,7,3939.598624
1.0,7,3939.746615
1.0,7,3939.889113
1.0,7,3940.046259
1.0,7,3940.196146
1.0,7,3940.332294
1.0,7,3940.472963
1.0,7,3940.610129
1.0,7,3940.745373
1.0,7,3945.34376
1.0,7,3945.494799
1.0,7,3945.646085
1.0,7,3945.809104
1.0,7,3945.960124
1.0,7,3946.115448
1.0,7,3946.256486
1.0,7,3946.428598
1.0,7,3946.577332
1.0,7,3946.717924
1.0,7,3946.856002
1.0,7,3946.994263
1.0,7,3947.135572
1.0,7,3947.279246
1.0,7,3947.428084
1.0,7,3947.56262
1.0,7,3947.702739
1.0,7,3947.839864
1.0,7,3952.454527
1.0,7,3952.611535
1.0,7,3952.786121
1.0,7,3952.97381
1.0,7,3953.131292
1.0,7,3953.272171
1.0,7,3953.432117
1.0,7,3953.590478
1.0,7,3953.719969
1.0,7,3953.864894
1.0,7,3954.00941
1.0,7,3954.155276
1.0,7,3954.30842
1.0,7,3954.453623
1.0,7,3954.609051
1.0,7,3954.752915
1.0,7,3954.889468
1.0,7,3955.040274
1.0,7,3959.57879
1.0,7,3959.729002
1.0,7,3959.902176
1.0,7,3960.081713
1.0,7,3960.244278
1.0,7,3960.408846
1.0,7,3960.574327
1.0,7,3960.740276
1.0,7,3960.888597
1.0,7,3961.032028
1.0,7,3961.17863
1.0,7,3961.333804
1.0,7,3961.480843
1.0,7,3961.629201
1.0,7,3961.787089
1.0,7,3961.939945
1.0,7,3962.095871
1.0,7,3962.240981
1.0,7,3962.364875
0.0,3,3966.985937
1.0,7,3967.158859
0.0,3,3967.232022
1.0,7,3967.397311
1.0,7,3967.548975
1.0,7,3967.699773
1.0,7,3967.859608
1.0,7,3968.056321
0.0,3,3968.117695
1.0,7,3968.244783
1.0,7,3968.382657
0.0,3,3968.443472
1.0,7,3968.585787
1.0,7,3968.733792
1.0,7,3968.8783
1.0,7,3969.013336
1.0,7,3969.145187
1.0,7,3969.283759
1.0,7,3969.420287
1.0,7,3969.540727
0.0,3,3969.592948
1.0,7,3974.02659
1.0,7,3974.179958
1.0,7,3974.326708
1.0,7,3974.471616
1.0,7,3974.631649
1.0,7,3974.789997
1.0,7,3974.945408
1.0,7,3975.084663
1.0,7,3975.229943
1.0,7,3975.360538
1.0,7,3975.50256
0.0,4,3975.581573
1.0,7,3975.731061
1.0,7,3975.875476
1.0,7,3976.022286
1.0,7,3976.161735
1.0,7,3976.298072
1.0,7,3976.434536
1.0,7,3976.562598
1.0,7,3981.036367
1.0,7,3981.180776
1.0,7,3981.320435
1.0,7,3981.453488
1.0,7,3981.601084
1.0,7,3981.759988
1.0,7,3981.915477
1.0,7,3982.080201
1.0,7,3982.226868
1.0,7,3982.395205
1.0,7,3982.548846
1.0,7,3982.69909
1.0,7,3982.858264
1.0,7,3983.012952
1.0,7,3983.151425
1.0,7,3983.294196
1.0,7,3983.446501
