#{"t_start": 1667421400.6950355, "env_id": "CTgraph-v0"}
r,l,t
0.0,5,3874.606669
0.0,4,3874.689381
0.0,2,3874.730295
0.0,2,3874.77589
0.0,2,3874.827584
0.0,2,3874.866075
0.0,2,3874.915645
0.0,2,3874.963217
0.0,2,3875.006032
0.0,3,3875.072009
0.0,2,3875.12014
0.0,2,3875.162772
0.0,2,3875.20786
0.0,2,3875.254623
0.0,2,3875.300421
0.0,2,3875.346951
0.0,2,3875.38924
0.0,2,3875.432443
0.0,3,3875.504764
0.0,2,3875.546802
0.0,2,3875.592783
0.0,2,3875.639782
0.0,3,3875.707786
0.0,4,3875.794603
0.0,2,3875.834982
0.0,2,3875.869918
0.0,2,3875.903186
0.0,2,3875.93561
0.0,2,3875.97185
0.0,2,3876.008232
0.0,2,3876.04689
0.0,4,3876.115956
0.0,2,3876.151354
0.0,2,3876.191128
0.0,2,3876.232526
0.0,2,3876.272419
0.0,2,3876.309619
0.0,2,3876.352464
0.0,2,3876.396574
0.0,3,3876.460473
0.0,2,3876.507235
0.0,2,3876.552172
0.0,2,3876.599501
0.0,2,3876.639392
0.0,2,3876.678649
0.0,3,3876.734305
0.0,4,3876.813337
0.0,6,3876.927834
0.0,2,3876.962597
0.0,4,3877.038807
0.0,3,3877.097572
0.0,2,3877.136924
0.0,2,3881.656348
0.0,2,3881.697282
0.0,2,3881.733043
0.0,2,3881.775753
0.0,3,3881.834142
0.0,2,3881.87856
0.0,2,3881.926079
0.0,2,3881.972824
0.0,2,3882.022578
0.0,4,3882.121079
0.0,2,3882.167257
0.0,2,3882.213089
0.0,2,3882.258521
0.0,2,3882.303372
0.0,2,3882.356894
0.0,2,3882.408639
0.0,4,3882.503944
0.0,2,3882.551223
0.0,2,3882.598657
0.0,2,3882.645004
0.0,4,3882.742069
0.0,2,3882.787211
0.0,2,3882.832053
0.0,4,3882.921159
0.0,2,3882.964609
0.0,2,3883.008962
0.0,2,3883.049786
0.0,2,3883.090399
0.0,2,3883.125262
0.0,2,3883.160928
0.0,2,3883.197412
0.0,2,3883.231889
0.0,2,3883.272754
0.0,3,3883.339038
0.0,3,3883.618526
0.0,2,3883.672725
0.0,2,3883.714205
0.0,2,3883.756133
0.0,4,3883.846569
0.0,2,3883.893909
0.0,2,3883.934472
0.0,2,3883.975272
0.0,2,3884.016499
0.0,2,3884.064515
0.0,2,3884.104789
0.0,2,3884.144439
0.0,2,3884.185208
0.0,2,3884.229382
0.0,2,3884.272005
0.0,2,3884.314516
0.0,2,3884.350133
0.0,2,3884.390104
0.0,2,3884.42518
0.0,2,3884.459076
0.0,2,3884.493208
0.0,6,3884.605742
0.0,2,3888.890229
0.0,2,3888.933531
0.0,2,3888.976556
0.0,2,3889.018785
0.0,2,3889.061982
0.0,2,3889.105784
0.0,2,3889.155729
0.0,2,3889.198759
0.0,2,3889.241123
0.0,2,3889.283673
0.0,2,3889.336101
0.0,4,3889.420521
0.0,2,3889.464447
0.0,3,3889.532546
0.0,2,3889.574848
0.0,2,3889.617238
0.0,2,3889.660287
0.0,2,3889.703844
0.0,2,3889.747652
0.0,2,3889.79153
0.0,3,3889.855952
0.0,2,3889.899633
0.0,2,3889.942486
0.0,2,3889.981716
0.0,2,3890.021249
0.0,2,3890.061856
0.0,2,3890.102964
0.0,2,3890.143725
0.0,2,3890.185336
0.0,2,3890.226791
0.0,2,3890.268218
0.0,2,3890.313851
0.0,2,3890.357375
0.0,4,3890.43509
0.0,3,3890.485168
0.0,2,3890.536709
0.0,2,3890.571922
0.0,2,3890.613582
0.0,6,3890.731418
0.0,2,3890.770397
0.0,4,3890.849358
0.0,2,3890.889095
0.0,2,3890.928169
0.0,2,3890.967938
0.0,4,3891.049653
0.0,2,3891.091798
0.0,2,3891.133769
0.0,2,3891.175937
0.0,4,3891.25975
0.0,2,3891.301231
0.0,2,3891.343148
0.0,3,3891.40392
0.0,2,3891.44843
0.0,4,3891.535154
1.0,7,3896.012457
1.0,7,3896.159611
1.0,7,3896.314141
1.0,7,3896.472792
1.0,7,3896.627332
1.0,7,3896.776735
1.0,7,3896.931453
1.0,7,3897.085209
1.0,7,3897.232012
1.0,7,3897.374195
1.0,7,3897.517164
1.0,7,3897.671313
1.0,7,3897.836531
1.0,7,3897.97736
1.0,7,3898.128759
1.0,7,3898.278787
1.0,7,3898.542862
1.0,7,3898.697079
1.0,7,3903.168437
1.0,7,3903.316681
1.0,7,3903.456735
1.0,7,3903.604296
1.0,7,3903.747272
1.0,7,3903.910737
1.0,7,3904.067528
1.0,7,3904.206827
1.0,7,3904.350382
1.0,7,3904.494173
1.0,7,3904.640977
0.0,4,3904.714623
1.0,7,3904.856121
1.0,7,3905.002382
1.0,7,3905.147717
1.0,7,3905.290701
1.0,7,3905.430736
1.0,7,3905.57809
1.0,7,3905.724004
1.0,7,3910.283416
1.0,7,3910.442465
1.0,7,3910.599877
1.0,7,3910.763631
1.0,7,3910.926351
1.0,7,3911.085134
1.0,7,3911.241963
1.0,7,3911.399776
1.0,7,3911.551475
1.0,7,3911.698492
1.0,7,3911.850809
1.0,7,3912.006236
1.0,7,3912.146576
1.0,7,3912.302141
1.0,7,3912.446232
1.0,7,3912.594396
1.0,7,3912.749415
1.0,7,3912.896677
1.0,7,3917.405103
1.0,7,3917.546415
1.0,7,3917.688583
1.0,7,3917.8485
1.0,7,3918.013909
1.0,7,3918.175161
1.0,7,3918.321399
1.0,7,3918.511443
1.0,7,3918.659845
1.0,7,3918.80787
1.0,7,3918.958123
1.0,7,3919.115677
1.0,7,3919.262038
1.0,7,3919.406976
1.0,7,3919.539068
1.0,7,3919.678383
1.0,7,3919.815013
1.0,7,3919.96368
1.0,7,3924.407042
1.0,7,3924.550735
1.0,7,3924.701062
1.0,7,3924.853238
1.0,7,3925.007506
1.0,7,3925.155056
1.0,7,3925.313989
1.0,7,3925.456151
1.0,7,3925.601457
1.0,7,3925.741123
1.0,7,3925.876247
1.0,7,3926.025729
1.0,7,3926.182527
1.0,7,3926.337618
1.0,7,3926.499153
1.0,7,3926.650356
1.0,7,3926.799341
1.0,7,3926.954159
1.0,7,3931.541638
1.0,7,3931.682009
1.0,7,3931.829907
1.0,7,3931.99647
1.0,7,3932.135859
1.0,7,3932.292936
1.0,7,3932.442199
1.0,7,3932.600302
1.0,7,3932.763764
1.0,7,3932.910139
1.0,7,3933.050288
1.0,7,3933.182966
1.0,7,3933.324862
1.0,7,3933.456489
1.0,7,3933.647865
1.0,7,3933.790664
1.0,7,3933.940922
1.0,7,3934.074552
1.0,7,3934.214585
1.0,7,3938.734286
1.0,7,3938.889491
1.0,7,3939.04879
1.0,7,3939.220586
1.0,7,3939.387634
1.0,7,3939.559781
1.0,7,3939.719693
1.0,7,3939.87894
1.0,7,3940.03125
1.0,7,3940.17454
1.0,7,3940.320738
1.0,7,3940.466876
1.0,7,3940.623892
1.0,7,3940.767054
1.0,7,3940.910288
1.0,7,3941.045921
1.0,7,3941.187644
1.0,7,3941.320534
1.0,7,3945.912869
1.0,7,3946.065291
1.0,7,3946.221561
1.0,7,3946.377308
1.0,7,3946.537178
1.0,7,3946.686953
1.0,7,3946.832419
1.0,7,3947.000965
1.0,7,3947.154139
0.0,3,3947.216657
1.0,7,3947.353563
1.0,7,3947.490208
