#{"t_start": 1667421400.9999468, "env_id": "CTgraph-v0"}
r,l,t
0.0,2,120.697819
0.0,2,120.726111
0.0,2,120.752587
0.0,2,120.77959
0.0,4,120.832147
0.0,2,120.858921
0.0,2,120.885356
0.0,2,120.912375
0.0,2,120.938747
0.0,4,120.993017
0.0,2,121.021288
0.0,2,121.047629
0.0,4,121.100645
0.0,2,121.127072
0.0,4,121.181144
0.0,2,121.208031
0.0,2,121.234957
0.0,2,121.26177
0.0,2,121.288496
0.0,2,121.315247
0.0,6,121.395843
0.0,6,121.475799
0.0,2,121.502592
0.0,2,121.52954
0.0,2,121.556364
0.0,2,121.583016
0.0,2,121.609732
0.0,4,121.663506
0.0,2,121.690236
0.0,6,121.770696
0.0,2,121.797531
0.0,4,121.85128
0.0,2,121.878125
0.0,2,121.905787
0.0,3,121.945601
0.0,4,121.999713
0.0,4,122.053131
0.0,2,122.079999
0.0,2,122.106949
0.0,2,122.133842
0.0,2,122.160069
0.0,2,122.186972
0.0,2,122.213659
0.0,2,122.240463
0.0,2,122.26728
0.0,2,122.29407
0.0,2,122.321117
0.0,2,122.348106
0.0,2,122.375154
0.0,2,125.535739
0.0,2,125.566981
0.0,2,125.596059
0.0,2,125.62262
0.0,4,125.67557
0.0,2,125.702759
0.0,2,125.729171
0.0,2,125.755992
0.0,2,125.78109
0.0,2,125.81006
0.0,2,125.836351
0.0,2,125.862945
0.0,2,125.88994
0.0,2,125.917048
0.0,2,125.94371
0.0,2,125.970248
0.0,2,125.997
0.0,2,126.023823
0.0,2,126.049819
0.0,4,126.101642
0.0,4,126.155604
0.0,2,126.184126
0.0,2,126.210989
0.0,2,126.237882
0.0,2,126.264619
0.0,2,126.291406
0.0,2,126.318338
0.0,2,126.345446
0.0,2,126.372539
0.0,2,126.399125
0.0,2,126.426459
0.0,2,126.455439
0.0,2,126.484873
0.0,2,126.511902
0.0,2,126.538602
0.0,2,126.565181
0.0,2,126.592426
0.0,4,126.647487
0.0,2,126.674589
0.0,2,126.701727
0.0,2,126.728394
0.0,2,126.754937
0.0,2,126.781714
0.0,2,126.807787
0.0,2,126.834831
0.0,2,126.861473
0.0,2,126.888384
0.0,2,126.915137
0.0,2,126.941803
0.0,4,126.995441
0.0,2,127.022218
0.0,2,127.048977
0.0,2,127.075988
0.0,4,127.129698
0.0,2,127.157023
0.0,4,127.210758
0.0,2,127.238061
0.0,2,135.586302
0.0,2,135.601114
0.0,4,135.6308
0.0,2,135.644742
0.0,2,135.66025
0.0,2,135.678827
0.0,2,135.696748
0.0,2,135.718834
0.0,2,135.742985
0.0,2,135.766985
0.0,4,135.823058
0.0,2,135.84945
0.0,2,135.875548
0.0,2,135.902451
0.0,4,135.955711
0.0,2,135.982469
0.0,2,136.01167
0.0,4,136.07014
0.0,2,136.096812
0.0,2,136.123366
0.0,2,136.150061
0.0,4,136.204211
0.0,2,136.230575
0.0,2,136.257381
0.0,2,136.28434
0.0,2,136.311277
0.0,2,136.337841
0.0,5,136.405169
0.0,2,136.432201
0.0,2,136.460311
0.0,2,136.489183
0.0,2,136.518498
0.0,2,136.547799
0.0,3,136.590643
0.0,7,136.68785
0.0,4,136.744438
0.0,2,136.772397
0.0,4,136.829891
0.0,4,136.886891
0.0,2,136.912399
0.0,6,136.990446
0.0,4,137.045666
0.0,6,137.121464
0.0,2,137.146791
0.0,4,137.197284
0.0,2,137.223783
0.0,2,140.376743
0.0,2,140.392698
0.0,2,140.410071
0.0,2,140.427209
0.0,2,140.445301
0.0,2,140.461842
0.0,5,140.505593
0.0,2,140.522248
0.0,2,140.540076
0.0,4,140.575201
0.0,2,140.755706
0.0,2,140.960724
0.0,2,140.973433
0.0,2,140.985595
0.0,2,140.99714
0.0,2,141.00923
0.0,2,141.021852
0.0,4,141.044647
0.0,2,141.057738
0.0,2,141.505147
0.0,2,141.643893
0.0,3,141.662176
0.0,2,141.674077
0.0,2,141.685551
0.0,2,141.696616
0.0,2,141.706201
0.0,4,141.72599
0.0,2,141.736736
0.0,7,141.77333
0.0,2,141.784224
0.0,4,141.805585
0.0,2,141.817789
0.0,2,141.827276
0.0,2,141.837528
0.0,2,141.848354
0.0,2,141.859864
0.0,2,141.870694
0.0,2,141.880973
0.0,2,141.89137
0.0,2,141.902613
0.0,4,141.923352
0.0,6,141.95802
0.0,2,141.969628
0.0,3,141.986768
0.0,2,141.996484
0.0,2,142.007291
0.0,2,142.018835
0.0,2,142.031471
0.0,2,142.042702
0.0,3,142.060755
0.0,5,146.74375
0.0,2,146.764863
0.0,2,146.787588
0.0,2,146.809034
0.0,2,146.831051
0.0,2,146.851397
0.0,2,146.869651
0.0,2,146.888463
0.0,4,146.92367
0.0,2,146.938493
0.0,2,146.951924
0.0,2,146.967537
0.0,2,146.983569
0.0,2,146.998235
0.0,4,147.033443
0.0,2,147.046833
