#{"t_start": 1667421400.6946583, "env_id": "CTgraph-v0"}
r,l,t
0.0,2,121.001902
0.0,2,121.030402
0.0,4,121.08385
0.0,2,121.110503
0.0,3,121.149922
0.0,2,121.176365
0.0,4,121.229888
0.0,2,121.256783
0.0,2,121.283603
0.0,4,121.338408
0.0,2,121.364989
0.0,2,121.391658
0.0,4,121.444985
0.0,2,121.471741
0.0,2,121.498695
0.0,2,121.525506
0.0,2,121.552428
0.0,4,121.606102
0.0,2,121.632792
0.0,2,121.65957
0.0,4,121.713261
0.0,2,121.740188
0.0,2,121.767304
0.0,2,121.794027
0.0,2,121.82081
0.0,2,121.847594
0.0,2,121.874239
0.0,2,121.90117
0.0,2,121.927913
0.0,2,121.954744
0.0,4,122.008247
0.0,2,122.035194
0.0,2,122.062043
0.0,2,122.088846
0.0,4,122.142738
0.0,2,122.169516
0.0,2,122.195976
0.0,2,122.223037
0.0,2,122.249932
0.0,2,122.276647
0.0,2,122.303792
0.0,2,122.330617
0.0,2,122.357332
0.0,4,122.411033
0.0,2,122.437918
0.0,3,122.477736
0.0,2,122.504544
0.0,4,122.5582
0.0,2,122.585165
0.0,2,122.611889
0.0,2,122.638974
0.0,4,122.693238
0.0,2,125.854863
0.0,2,125.886813
0.0,2,125.91296
0.0,2,125.938635
0.0,2,125.96663
0.0,4,126.019922
0.0,2,126.046546
0.0,2,126.073894
0.0,2,126.099436
0.0,3,126.140587
0.0,2,126.167193
0.0,2,126.194199
0.0,2,126.221264
0.0,2,126.248014
0.0,4,126.301283
0.0,2,126.328065
0.0,2,126.354075
0.0,2,126.378482
0.0,2,126.405525
0.0,2,126.432312
0.0,2,126.459377
0.0,2,126.48833
0.0,2,126.515259
0.0,2,126.542048
0.0,2,126.568828
0.0,2,126.595676
0.0,2,126.622539
0.0,2,126.649632
0.0,2,126.676728
0.0,2,126.703398
0.0,2,126.730518
0.0,4,126.78915
0.0,2,126.816067
0.0,2,126.842917
0.0,4,126.896572
0.0,2,126.925134
0.0,2,126.951797
0.0,2,126.978865
0.0,2,127.005971
0.0,2,127.032646
0.0,2,127.059226
0.0,2,127.085972
0.0,4,127.139099
0.0,2,127.165751
0.0,2,127.192681
0.0,2,127.219472
0.0,4,127.272792
0.0,2,127.299752
0.0,2,127.326524
0.0,2,127.35304
0.0,2,127.38007
0.0,2,127.4073
0.0,2,127.433764
0.0,2,127.46111
0.0,2,127.487746
0.0,2,127.51489
0.0,2,127.542351
0.0,2,135.890423
0.0,2,135.905227
0.0,4,135.935138
0.0,2,135.949136
0.0,2,135.964589
0.0,2,135.983139
0.0,2,136.001014
0.0,2,136.02311
0.0,3,136.060812
0.0,2,136.084734
0.0,4,136.141004
0.0,2,136.167405
0.0,4,136.219989
0.0,2,136.247155
0.0,2,136.274306
0.0,6,136.362628
0.0,4,136.414873
0.0,2,136.441935
0.0,2,136.468602
0.0,2,136.494955
0.0,6,136.575645
0.0,2,136.602581
0.0,2,136.628894
0.0,2,136.656617
0.0,2,136.683347
0.0,4,136.736485
0.0,2,136.764325
0.0,2,136.79333
0.0,2,136.822731
0.0,7,136.921976
0.0,2,136.949261
0.0,2,136.977881
0.0,2,137.006284
0.0,2,137.034479
0.0,2,137.062596
0.0,2,137.091239
0.0,2,137.120381
0.0,2,137.14845
0.0,4,137.20386
0.0,2,137.229995
0.0,2,137.255963
0.0,4,137.308757
0.0,4,137.3635
0.0,2,137.38862
0.0,4,137.439074
0.0,2,137.463767
0.0,2,137.489428
0.0,2,137.514986
0.0,2,140.672137
0.0,2,140.688977
0.0,2,140.7058
0.0,4,140.740716
0.0,5,140.784402
0.0,2,140.801728
0.0,2,140.818925
0.0,2,140.834991
0.0,2,140.853188
0.0,2,140.871497
0.0,2,140.887482
0.0,2,141.258492
0.0,2,141.271823
0.0,6,141.307931
0.0,2,141.320732
0.0,2,141.33249
0.0,6,141.802397
0.0,2,141.941756
0.0,4,141.966509
0.0,3,141.984403
0.0,2,141.995602
0.0,2,142.005773
0.0,2,142.015911
0.0,2,142.025823
0.0,2,142.035541
0.0,3,142.052372
0.0,4,142.071835
0.0,2,142.083768
0.0,2,142.093812
0.0,2,142.104146
0.0,2,142.116358
0.0,2,142.127514
0.0,6,142.158607
0.0,4,142.180571
0.0,4,142.201247
0.0,4,142.222441
0.0,2,142.233243
0.0,2,142.244552
0.0,2,142.25567
0.0,2,142.268274
0.0,2,142.280066
0.0,2,142.291156
0.0,2,142.300847
0.0,2,142.311753
0.0,2,142.323235
0.0,2,142.335952
0.0,2,142.347064
0.0,4,142.371632
0.0,7,147.080935
0.0,2,147.10389
0.0,2,147.12409
0.0,2,147.147084
0.0,4,147.184321
0.0,2,147.202262
0.0,2,147.220788
0.0,2,147.235632
0.0,4,147.264503
0.0,4,147.295662
0.0,2,147.315973
0.0,2,147.331265
0.0,3,147.351172
0.0,2,147.366049
0.0,2,147.381236
0.0,2,147.395037
0.0,2,147.41108
0.0,2,147.426263
0.0,5,147.463971
0.0,2,147.477318
0.0,4,147.507155
0.0,2,147.522069
0.0,2,147.536635
0.0,2,147.550932
0.0,2,147.565656
0.0,2,147.580519
0.0,2,147.593711
0.0,2,147.606676
0.0,2,147.621266
0.0,2,147.635068
0.0,2,147.647883
0.0,2,147.662788
0.0,2,147.678508
0.0,2,147.695345
0.0,2,147.710996
0.0,2,147.726399
0.0,2,147.73965
0.0,4,147.766382
0.0,2,147.779468
0.0,2,147.790887
0.0,2,147.801533
0.0,2,147.812745
0.0,4,147.835707
0.0,2,147.847594
0.0,2,147.858441
0.0,2,147.868368
0.0,2,147.88317
0.0,2,147.895697
0.0,7,147.935185
0.0,2,147.94873
0.0,4,147.972737
0.0,2,149.494775
0.0,2,149.521708
0.0,2,149.548756
0.0,2,149.577685
0.0,2,149.604865
0.0,2,149.631504
0.0,2,149.658631
0.0,4,149.713962
0.0,2,149.740505
0.0,2,149.771666
0.0,4,149.834682
0.0,2,149.866112
0.0,2,149.896661
0.0,2,149.923745
0.0,2,149.949922
0.0,3,149.99074
0.0,2,150.018506
0.0,2,150.046038
0.0,2,150.073108
0.0,7,150.170217
0.0,2,150.197781
0.0,2,150.225995
0.0,2,150.253751
0.0,2,150.282249
0.0,2,150.31047
0.0,2,150.338933
0.0,4,150.395463
0.0,2,150.424066
0.0,2,150.452469
0.0,2,150.480769
0.0,2,150.509185
0.0,2,150.537648
0.0,2,150.56606
0.0,4,150.623074
0.0,6,150.705891
0.0,2,150.733516
0.0,2,150.762241
0.0,2,150.790915
0.0,2,150.818654
0.0,2,150.847462
0.0,2,150.874526
0.0,2,150.903241
0.0,2,150.931428
0.0,2,150.960539
0.0,2,150.989218
0.0,2,151.017289
0.0,3,151.059989
0.0,2,151.088285
0.0,2,151.116788
0.0,2,151.14537
0.0,2,151.173934
0.0,2,151.202546
0.0,2,151.229445
0.0,2,151.259021
0.0,2,154.328552
0.0,2,154.357832
0.0,2,154.384689
0.0,2,154.411666
0.0,2,154.4385
0.0,2,154.465281
0.0,2,154.492158
0.0,2,154.519538
0.0,2,154.548263
0.0,2,154.575354
0.0,2,154.602195
0.0,2,154.629148
0.0,2,154.655928
0.0,5,154.724154
0.0,4,154.779135
0.0,2,154.806746
0.0,2,154.834492
0.0,2,154.862326
0.0,3,154.904091
0.0,2,154.931461
0.0,2,154.959229
0.0,2,154.98668
0.0,4,155.044175
0.0,2,155.072278
0.0,2,155.10056
0.0,2,155.129077
0.0,4,155.186049
0.0,2,155.214201
0.0,2,155.242897
0.0,2,155.271828
0.0,4,155.328344
0.0,3,155.370799
0.0,7,155.470858
0.0,2,155.499465
0.0,2,155.527705
0.0,2,155.556048
0.0,2,155.584478
0.0,2,155.613422
0.0,2,155.641668
0.0,2,155.670092
0.0,2,155.698276
0.0,4,155.755553
0.0,3,155.798864
0.0,2,155.826982
0.0,2,155.855543
0.0,4,155.912956
0.0,2,155.941104
0.0,2,155.970263
0.0,2,155.999589
0.0,2,156.028641
0.0,2,156.058765
0.0,2,156.088723
0.0,2,156.120645
0.0,2,159.22
0.0,2,159.246242
0.0,2,159.273643
0.0,2,159.300366
0.0,7,159.394519
0.0,2,159.421438
0.0,2,159.447469
0.0,4,159.502323
0.0,2,159.529933
0.0,2,159.557411
0.0,2,159.585172
0.0,2,159.612863
0.0,4,159.667744
0.0,2,159.695745
0.0,7,159.792982
0.0,4,159.848284
0.0,2,159.876069
0.0,2,159.903305
0.0,2,159.931154
0.0,2,159.959765
0.0,2,159.987853
0.0,4,160.044447
0.0,4,160.101591
0.0,2,160.129735
0.0,3,160.172275
0.0,4,160.229549
0.0,2,160.258066
0.0,2,160.286814
0.0,2,160.314971
0.0,2,160.343535
0.0,2,160.37178
0.0,2,160.400329
0.0,2,160.429034
0.0,2,160.457125
0.0,2,160.485864
0.0,4,160.542801
0.0,2,160.571102
0.0,2,160.599746
