#{"t_start": 1667421401.291515, "env_id": "CTgraph-v0"}
r,l,t
0.0,2,1404.974214
0.0,2,1404.992191
0.0,6,1405.051664
0.0,2,1405.072951
0.0,2,1405.091286
0.0,2,1405.107259
0.0,2,1405.123565
0.0,2,1405.137787
0.0,2,1405.153963
0.0,2,1405.168946
0.0,2,1405.181813
0.0,2,1405.202304
0.0,2,1405.220936
0.0,2,1405.238886
0.0,2,1405.256456
0.0,2,1405.27195
0.0,4,1405.302354
0.0,2,1405.319893
0.0,2,1405.336624
0.0,2,1405.351057
0.0,2,1405.366847
0.0,2,1405.382545
0.0,3,1405.40539
0.0,2,1405.421281
0.0,2,1405.438963
0.0,2,1405.457099
0.0,2,1405.473141
0.0,2,1405.489393
0.0,2,1405.50565
0.0,2,1405.521439
0.0,4,1405.555321
0.0,2,1405.573764
0.0,2,1405.590003
0.0,2,1405.604656
0.0,2,1405.620893
0.0,2,1405.640276
0.0,2,1405.655679
0.0,2,1405.670541
0.0,2,1405.685778
0.0,2,1405.701423
0.0,2,1405.717299
0.0,2,1405.731743
0.0,4,1405.761764
0.0,4,1405.793065
0.0,2,1405.807923
0.0,2,1405.825446
0.0,6,1405.880656
0.0,2,1405.899087
0.0,2,1405.916967
0.0,6,1406.788782
0.0,2,1406.822686
0.0,4,1406.882235
0.0,2,1413.261689
0.0,2,1413.279878
0.0,2,1413.297348
0.0,2,1413.313967
0.0,4,1413.350565
0.0,4,1413.384805
0.0,3,1413.409419
0.0,2,1413.427916
0.0,4,1413.465227
0.0,2,1413.484826
0.0,2,1413.503137
0.0,3,1413.548602
0.0,2,1413.566802
0.0,4,1413.599855
0.0,2,1413.616428
0.0,4,1413.651193
0.0,2,1413.671013
0.0,2,1413.690792
0.0,2,1413.709399
0.0,2,1413.728859
0.0,2,1413.745837
0.0,2,1413.763231
0.0,2,1413.779972
0.0,2,1413.797346
0.0,3,1413.823703
0.0,2,1413.839558
0.0,4,1413.872123
0.0,2,1413.889793
0.0,4,1413.922055
0.0,2,1413.939785
0.0,4,1413.973082
0.0,3,1413.998978
0.0,2,1414.016663
0.0,2,1414.035156
0.0,2,1414.053243
0.0,4,1414.087126
0.0,4,1414.121596
0.0,6,1414.172175
0.0,2,1414.189281
0.0,2,1414.204386
0.0,2,1414.220293
0.0,2,1414.23678
0.0,2,1414.253512
0.0,2,1414.270869
0.0,2,1414.28711
0.0,2,1414.30472
0.0,2,1414.322261
0.0,2,1414.33584
0.0,4,1414.365545
0.0,4,1420.010119
0.0,2,1420.035786
0.0,2,1420.060595
0.0,2,1420.084976
0.0,2,1420.108944
0.0,4,1420.157528
0.0,4,1420.205719
0.0,4,1420.245181
0.0,2,1420.267598
0.0,2,1420.291883
0.0,2,1420.314546
0.0,3,1420.355065
0.0,2,1420.37689
0.0,2,1420.397039
0.0,2,1420.417066
0.0,2,1420.436241
0.0,4,1420.473562
0.0,2,1420.492915
0.0,2,1420.512918
0.0,2,1420.533174
0.0,2,1420.552839
0.0,2,1420.572107
0.0,2,1420.589225
0.0,2,1420.609935
0.0,2,1420.630537
0.0,3,1420.660515
0.0,2,1420.678548
0.0,2,1420.699284
0.0,4,1420.743018
0.0,2,1420.764015
0.0,2,1420.785692
0.0,2,1420.809953
0.0,2,1420.830521
0.0,2,1420.852494
0.0,2,1420.874556
0.0,2,1420.894795
0.0,2,1420.913376
0.0,2,1420.933512
1.0,7,1421.022844
0.0,2,1421.043637
0.0,2,1421.064586
0.0,2,1421.087851
0.0,2,1421.107656
0.0,2,1421.128198
0.0,2,1421.148494
0.0,2,1421.167464
0.0,4,1421.206714
0.0,2,1421.227243
0.0,2,1421.247036
0.0,2,1421.269745
0.0,2,1421.2921
0.0,2,1421.313091
1.0,7,1430.910846
1.0,7,1430.973474
1.0,7,1431.037024
1.0,7,1431.096653
1.0,7,1431.148431
1.0,7,1431.207544
1.0,7,1431.261331
1.0,7,1431.309566
1.0,7,1431.35942
1.0,7,1431.425124
1.0,7,1431.474589
1.0,7,1431.524201
1.0,7,1431.578129
1.0,7,1431.632547
1.0,7,1431.68462
1.0,7,1431.74051
1.0,7,1431.798371
1.0,7,1431.85462
1.0,7,1434.857807
1.0,7,1434.968213
1.0,7,1435.084975
1.0,7,1435.204811
1.0,7,1435.314503
1.0,7,1435.42647
1.0,7,1435.538721
1.0,7,1435.654552
1.0,7,1435.772774
1.0,7,1435.881953
1.0,7,1435.988879
1.0,7,1436.094361
1.0,7,1436.20662
1.0,7,1436.321312
1.0,7,1436.440453
1.0,7,1436.569896
1.0,7,1436.698357
1.0,7,1436.828871
1.0,7,1436.953542
1.0,7,1440.831509
1.0,7,1440.946463
1.0,7,1441.063603
1.0,7,1441.181164
0.0,2,1441.213993
1.0,7,1441.328319
1.0,7,1441.434124
1.0,7,1441.54002
1.0,7,1441.648481
1.0,7,1441.751056
1.0,7,1441.858836
1.0,7,1441.965086
1.0,7,1442.077283
1.0,7,1442.195384
1.0,7,1442.31252
1.0,7,1442.433843
1.0,7,1442.549783
1.0,7,1442.668767
1.0,7,1442.788785
1.0,7,1446.937776
1.0,7,1447.054752
1.0,7,1447.170948
1.0,7,1447.290717
1.0,7,1447.407657
1.0,7,1447.513913
1.0,7,1447.622246
1.0,7,1447.725951
1.0,7,1447.836926
1.0,7,1447.955328
1.0,7,1448.069746
1.0,7,1448.180878
1.0,7,1448.298093
1.0,7,1448.416858
1.0,7,1448.536977
1.0,7,1448.656049
1.0,7,1448.776321
1.0,7,1448.901479
1.0,7,1453.121626
1.0,7,1453.236943
1.0,7,1453.351108
1.0,7,1453.468323
1.0,7,1453.573949
1.0,7,1453.676536
1.0,7,1453.77819
1.0,7,1453.890593
1.0,7,1453.996119
1.0,7,1454.113262
1.0,7,1454.229141
1.0,7,1454.338787
1.0,7,1454.452451
1.0,7,1454.572954
1.0,7,1454.712879
1.0,7,1454.834062
1.0,7,1454.951666
1.0,7,1455.074666
1.0,7,1459.157948
1.0,7,1459.276572
1.0,7,1459.391355
1.0,7,1459.516689
1.0,7,1459.630077
1.0,7,1459.731216
1.0,7,1459.837297
1.0,7,1459.945751
1.0,7,1460.060566
1.0,7,1460.176434
1.0,7,1460.296388
1.0,7,1460.407115
1.0,7,1460.523285
1.0,7,1460.648017
1.0,7,1460.765501
1.0,7,1460.883564
1.0,7,1461.005577
1.0,7,1461.117041
1.0,7,1461.226872
1.0,7,1465.252682
1.0,7,1465.380868
1.0,7,1465.503982
1.0,7,1465.625206
1.0,7,1465.746689
1.0,7,1465.859568
1.0,7,1465.965561
1.0,7,1466.075805
