#{"t_start": 1667421400.372462, "env_id": "CTgraph-v0"}
r,l,t
0.0,4,3874.899695
0.0,2,3874.944199
0.0,2,3874.987946
0.0,2,3875.034207
0.0,2,3875.081334
0.0,2,3875.126451
0.0,2,3875.167438
0.0,2,3875.205906
0.0,2,3875.254848
0.0,2,3875.309609
0.0,2,3875.350334
0.0,2,3875.393262
0.0,2,3875.441618
0.0,2,3875.484243
0.0,2,3875.529355
0.0,2,3875.576004
0.0,4,3875.66844
0.0,2,3875.710742
0.0,3,3875.782767
0.0,2,3875.826049
0.0,2,3875.868169
0.0,6,3876.01116
0.0,2,3876.057727
0.0,2,3876.099136
0.0,2,3876.135929
0.0,2,3876.171849
0.0,4,3876.241382
0.0,2,3876.276865
0.0,2,3876.313207
0.0,2,3876.346638
0.0,2,3876.383453
0.0,2,3876.417841
0.0,2,3876.453314
0.0,2,3876.488967
0.0,2,3876.531861
0.0,2,3876.577929
0.0,2,3876.61512
0.0,2,3876.657831
0.0,4,3876.73978
0.0,2,3876.78197
0.0,2,3876.828776
0.0,2,3876.873618
0.0,2,3876.92099
0.0,2,3876.960878
0.0,2,3877.000177
0.0,2,3877.039755
0.0,2,3877.079125
0.0,2,3877.118513
0.0,4,3877.197713
0.0,2,3877.234866
0.0,2,3877.270223
0.0,2,3877.305737
0.0,2,3877.343275
0.0,2,3877.381093
0.0,4,3877.458574
0.0,2,3881.977454
0.0,2,3882.018683
0.0,2,3882.054214
0.0,2,3882.097079
0.0,2,3882.135605
0.0,4,3882.228791
0.0,2,3882.273664
0.0,5,3882.394934
0.0,2,3882.442561
0.0,4,3882.534422
0.0,2,3882.579947
0.0,4,3882.678374
0.0,4,3882.778213
0.0,2,3882.825413
0.0,2,3882.872695
0.0,2,3882.920099
0.0,2,3882.96617
0.0,2,3883.016202
0.0,2,3883.063623
0.0,2,3883.108589
0.0,2,3883.153545
0.0,4,3883.242658
0.0,4,3883.330428
0.0,2,3883.371231
0.0,2,3883.411663
0.0,4,3883.482347
0.0,2,3883.518818
0.0,2,3883.553332
0.0,3,3883.620877
0.0,2,3883.660355
0.0,2,3883.703526
0.0,2,3883.969322
0.0,2,3884.014994
0.0,2,3884.062032
0.0,2,3884.106847
0.0,2,3884.148517
0.0,2,3884.190095
0.0,2,3884.231979
0.0,2,3884.273263
0.0,6,3884.401815
0.0,2,3884.445369
0.0,2,3884.491459
0.0,2,3884.534666
0.0,4,3884.613899
0.0,2,3884.651891
0.0,2,3884.686292
0.0,3,3884.746642
0.0,6,3884.851594
0.0,2,3884.889457
0.0,2,3884.927151
0.0,2,3889.211509
0.0,4,3889.297903
0.0,2,3889.340039
0.0,2,3889.383226
0.0,2,3889.427219
0.0,2,3889.477035
0.0,2,3889.520076
0.0,2,3889.562536
0.0,2,3889.605073
0.0,2,3889.657269
0.0,2,3889.698416
0.0,2,3889.741838
0.0,2,3889.785786
0.0,4,3889.875088
0.0,2,3889.917383
0.0,4,3890.003447
0.0,2,3890.046837
0.0,2,3890.090074
0.0,2,3890.133919
0.0,2,3890.177329
0.0,2,3890.220886
0.0,2,3890.263589
0.0,2,3890.302936
0.0,2,3890.342543
0.0,2,3890.383126
0.0,2,3890.424336
0.0,2,3890.465151
0.0,2,3890.506822
0.0,2,3890.54818
0.0,2,3890.589594
0.0,2,3890.635222
0.0,2,3890.678568
0.0,2,3890.718177
0.0,2,3890.756589
0.0,2,3890.792554
0.0,2,3890.827364
0.0,4,3890.909887
0.0,2,3890.951997
0.0,2,3890.991536
0.0,2,3891.029864
0.0,2,3891.069605
0.0,3,3891.131561
0.0,4,3891.210617
0.0,4,3891.289427
0.0,2,3891.329814
0.0,2,3891.371121
0.0,2,3891.413323
0.0,4,3891.497411
0.0,3,3891.558514
0.0,2,3891.600231
0.0,2,3891.641971
0.0,2,3891.683877
0.0,2,3891.725287
0.0,2,3891.769914
0.0,2,3891.814069
0.0,2,3891.856623
1.0,7,3896.333148
1.0,7,3896.480686
1.0,7,3896.634785
1.0,7,3896.793909
1.0,7,3896.948415
1.0,7,3897.097883
1.0,7,3897.252641
1.0,7,3897.406306
1.0,7,3897.553114
1.0,7,3897.695227
1.0,7,3897.838009
1.0,7,3897.992247
1.0,7,3898.157678
1.0,7,3898.298486
1.0,7,3898.449975
1.0,7,3898.59994
1.0,7,3898.86396
1.0,7,3899.018103
1.0,7,3903.48927
1.0,7,3903.637682
1.0,7,3903.777791
1.0,7,3903.925385
1.0,7,3904.068412
1.0,7,3904.231868
1.0,7,3904.38871
1.0,7,3904.52799
1.0,7,3904.671449
1.0,7,3904.815354
1.0,7,3904.962149
1.0,7,3905.096334
1.0,7,3905.240565
1.0,7,3905.386362
1.0,7,3905.531863
1.0,7,3905.669944
1.0,7,3905.815955
1.0,7,3905.961736
1.0,7,3910.512017
1.0,7,3910.670086
1.0,7,3910.825591
1.0,7,3910.990282
1.0,7,3911.153259
1.0,7,3911.320883
1.0,7,3911.471856
1.0,7,3911.632392
1.0,7,3911.788834
1.0,7,3911.939255
1.0,7,3912.086573
1.0,7,3912.24126
1.0,7,3912.386228
1.0,7,3912.538202
1.0,7,3912.686878
1.0,7,3912.837305
1.0,7,3912.981731
1.0,7,3913.13317
1.0,7,3917.642385
1.0,7,3917.789977
