#{"t_start": 1667421405.3987198, "env_id": "CTgraph-v0"}
r,l,t
0.0,3,698.369784
0.0,2,698.403991
0.0,2,698.440717
0.0,3,698.493026
0.0,2,698.5269
0.0,2,698.559934
0.0,4,698.631011
0.0,2,698.669453
0.0,2,698.704505
0.0,5,698.79589
0.0,2,698.830276
0.0,4,698.898296
0.0,4,698.966048
0.0,2,699.002906
0.0,3,699.054267
0.0,2,699.090669
0.0,4,699.162091
0.0,2,699.194879
0.0,2,699.230025
0.0,2,699.263242
0.0,2,699.29463
0.0,2,699.328946
0.0,2,699.364536
0.0,2,699.397157
0.0,2,699.433519
0.0,2,699.465328
0.0,2,699.501203
0.0,2,699.537129
0.0,2,699.570619
0.0,2,699.607021
0.0,2,699.639794
0.0,2,699.675568
0.0,2,699.711223
0.0,2,699.747674
0.0,2,699.782904
0.0,4,699.85622
0.0,2,699.890171
0.0,2,699.921924
0.0,2,699.954051
0.0,6,700.054353
0.0,2,700.087054
0.0,2,700.125011
0.0,2,700.160643
0.0,2,700.196673
0.0,2,700.229292
0.0,2,700.261034
0.0,2,700.29488
0.0,2,700.328726
0.0,2,700.361508
0.0,2,700.395053
0.0,4,700.463676
0.0,2,700.495039
0.0,2,700.525593
0.0,4,703.947993
0.0,2,703.982037
0.0,2,704.018928
0.0,3,704.069916
0.0,3,704.125866
0.0,2,704.159832
0.0,3,704.204228
0.0,2,704.235766
0.0,2,704.271048
0.0,2,704.302087
0.0,2,704.334016
0.0,2,704.365185
0.0,2,704.396868
0.0,2,704.428542
0.0,2,704.460035
0.0,2,704.491818
0.0,2,704.523603
0.0,2,704.561537
0.0,2,704.593967
0.0,2,704.62392
0.0,2,704.657426
1.0,7,704.771644
0.0,2,704.804615
0.0,2,704.837978
0.0,2,704.872817
0.0,2,704.909126
0.0,2,704.940207
0.0,2,704.974903
0.0,2,705.01159
0.0,4,705.074461
0.0,2,705.112775
0.0,2,705.146219
0.0,2,705.181137
0.0,2,705.217289
0.0,2,705.255111
0.0,2,705.288672
0.0,2,705.321975
0.0,5,705.405986
0.0,2,705.442504
0.0,2,705.474962
0.0,2,705.51136
0.0,2,705.543798
0.0,2,705.573013
0.0,4,705.633397
0.0,2,705.663453
0.0,2,705.697609
0.0,2,705.735115
0.0,2,705.768929
0.0,2,705.801678
0.0,2,705.835102
0.0,3,705.887375
0.0,4,705.954033
0.0,2,705.988983
0.0,6,709.552532
0.0,6,709.66175
