#{"t_start": 1667421405.6789246, "env_id": "CTgraph-v0"}
r,l,t
0.0,2,698.072347
0.0,2,698.105508
0.0,4,698.1766
0.0,2,698.213856
0.0,2,698.247601
0.0,4,698.313909
0.0,2,698.351726
0.0,2,698.39017
0.0,2,698.425114
0.0,4,698.496325
0.0,4,698.568715
0.0,2,698.60349
0.0,2,698.639578
0.0,2,698.669392
0.0,4,698.73896
0.0,2,698.77504
0.0,6,698.883259
0.0,2,698.915876
0.0,4,698.984021
0.0,2,699.015636
0.0,2,699.049801
0.0,2,699.085361
0.0,4,699.154327
0.0,3,699.204528
0.0,2,699.240752
0.0,2,699.272568
0.0,2,699.308439
0.0,2,699.344896
0.0,2,699.378846
0.0,2,699.414258
0.0,2,699.449842
0.0,2,699.485073
0.0,2,699.52236
0.0,4,699.593635
0.0,2,699.625487
0.0,2,699.659619
0.0,2,699.69175
0.0,2,699.721017
0.0,2,699.755772
0.0,2,699.793151
0.0,4,699.863369
0.0,2,699.897872
0.0,2,699.931001
0.0,2,699.965972
0.0,3,700.01562
0.0,4,700.082145
0.0,2,700.115807
0.0,2,700.150027
0.0,2,700.184425
0.0,2,700.215751
0.0,4,703.634877
0.0,2,703.668844
0.0,2,703.702734
0.0,2,703.739801
0.0,2,703.772962
0.0,6,703.880423
0.0,3,703.924942
0.0,4,703.991761
0.0,2,704.022757
0.0,2,704.054763
0.0,2,704.085772
0.0,2,704.117508
0.0,2,704.149197
0.0,2,704.180699
0.0,2,704.212562
0.0,2,704.244318
0.0,2,704.282222
0.0,2,704.314556
0.0,2,704.34463
0.0,2,704.378184
0.0,3,704.42732
0.0,2,704.456895
0.0,2,704.492833
0.0,2,704.525524
0.0,2,704.55897
0.0,2,704.593905
0.0,4,704.661144
0.0,2,704.695916
0.0,4,704.761097
0.0,2,704.795264
0.0,2,704.833653
0.0,2,704.867125
0.0,4,704.93821
0.0,2,704.976552
0.0,2,705.00946
0.0,2,705.04289
0.0,2,705.075129
0.0,2,705.107461
0.0,2,705.144561
0.0,2,705.181353
0.0,2,705.214991
0.0,2,705.248883
0.0,3,705.293842
0.0,2,705.32216
0.0,4,705.384215
0.0,2,705.418515
0.0,2,705.455868
0.0,2,705.489656
0.0,2,705.522442
0.0,2,705.555854
0.0,3,705.608164
0.0,2,705.641407
0.0,4,705.709709
0.0,2,705.74422
0.0,2,709.236265
0.0,4,709.307691
0.0,2,709.344726
0.0,2,709.382564
0.0,4,709.457849
0.0,2,709.495521
0.0,2,709.533065
0.0,4,709.605537
0.0,2,709.645636
0.0,6,709.74397
0.0,4,709.807816
0.0,2,709.839631
0.0,2,709.875776
0.0,2,709.910469
0.0,4,709.977125
0.0,2,710.01095
0.0,2,710.047132
0.0,2,710.079329
0.0,4,710.150062
0.0,2,710.184201
0.0,2,710.218383
0.0,2,710.254618
0.0,2,710.291007
0.0,4,710.365741
0.0,2,710.402394
0.0,2,710.441257
0.0,2,710.477666
0.0,2,710.514146
0.0,2,710.550141
0.0,3,710.603509
0.0,2,710.641428
0.0,2,710.676683
0.0,2,710.713064
0.0,2,710.748471
0.0,2,710.784924
0.0,2,710.821711
0.0,4,710.887573
0.0,2,710.922801
0.0,2,710.9544
0.0,2,710.985552
0.0,2,711.016262
0.0,2,711.047757
0.0,2,711.080034
0.0,4,711.146556
0.0,2,711.179504
0.0,2,711.216413
0.0,2,711.250048
0.0,2,711.284641
0.0,2,711.317674
0.0,2,711.353892
0.0,2,711.391658
0.0,6,715.038687
0.0,4,715.107986
1.0,7,715.228724
0.0,2,715.262605
0.0,6,715.370843
0.0,4,715.439147
0.0,5,715.52617
0.0,4,715.596853
0.0,6,715.704696
0.0,5,715.792759
0.0,4,715.864182
0.0,4,715.939908
0.0,4,716.006374
0.0,4,716.072549
0.0,4,716.145208
1.0,7,716.266199
1.0,7,716.393259
0.0,4,716.464301
1.0,7,716.588865
0.0,6,716.689055
0.0,6,716.783767
1.0,7,716.902884
0.0,4,716.971504
1.0,7,717.089355
0.0,4,717.15424
0.0,7,720.747352
0.0,6,720.856812
0.0,4,720.923899
0.0,7,721.046603
0.0,4,721.12153
0.0,6,721.225838
0.0,4,721.292746
0.0,6,721.403866
0.0,5,721.493976
1.0,7,721.615502
0.0,4,721.685525
0.0,7,721.808345
0.0,4,721.875283
1.0,7,721.991193
0.0,6,722.090386
0.0,4,722.160947
0.0,4,722.229733
0.0,6,722.337496
0.0,6,722.437511
0.0,3,722.491139
0.0,5,722.565234
0.0,4,722.634308
0.0,4,722.703396
1.0,7,722.825197
0.0,4,723.084363
0.0,6,726.666734
0.0,4,726.737881
0.0,4,726.806912
0.0,6,726.903904
0.0,4,726.968086
0.0,6,727.069846
0.0,4,727.140242
0.0,6,727.240861
1.0,7,727.364709
0.0,4,727.437865
0.0,6,727.545345
0.0,6,727.656991
0.0,6,727.767214
0.0,2,727.799139
0.0,6,727.940582
0.0,6,728.050797
0.0,4,728.116721
0.0,4,728.192711
1.0,7,728.313706
0.0,4,728.380219
0.0,2,728.415416
0.0,4,728.480229
0.0,6,728.576106
0.0,4,728.644861
1.0,7,728.766617
0.0,4,732.221229
0.0,5,732.310047
0.0,4,732.383002
0.0,7,732.503978
1.0,7,732.634665
0.0,5,732.717424
0.0,4,732.785639
0.0,5,732.900705
1.0,7,733.028142
0.0,4,733.098308
0.0,7,733.227376
0.0,4,733.299087
1.0,7,733.419216
0.0,2,733.450381
0.0,4,733.520026
0.0,5,733.599138
0.0,5,733.681292
0.0,4,733.752529
0.0,4,733.82339
0.0,6,733.930931
1.0,7,734.055707
0.0,4,734.132702
0.0,6,734.230466
1.0,7,734.347348
0.0,6,734.448787
0.0,6,737.95679
1.0,7,738.087822
1.0,7,738.21637
0.0,4,738.288451
0.0,4,738.355035
0.0,6,738.464398
0.0,6,738.571879
0.0,4,738.640835
0.0,6,738.750095
0.0,4,738.823167
1.0,7,738.952125
0.0,7,739.070936
0.0,7,739.189456
0.0,2,739.222731
0.0,6,739.325364
0.0,7,739.438037
0.0,2,739.470708
0.0,6,739.571744
0.0,4,739.646361
1.0,7,739.772438
0.0,6,739.876288
0.0,6,739.978468
0.0,7,740.090584
1.0,7,743.607969
0.0,7,743.734596
0.0,4,743.811405
0.0,4,743.884797
1.0,7,744.008997
0.0,6,744.11174
0.0,4,744.183923
0.0,4,744.254736
0.0,4,744.317778
0.0,6,744.423096
0.0,6,744.528526
1.0,7,744.650918
1.0,7,744.775081
0.0,6,744.876721
0.0,4,744.943671
0.0,6,745.045151
1.0,7,745.16606
0.0,4,745.233565
1.0,7,745.364856
0.0,6,745.476838
0.0,5,745.561221
1.0,7,745.678209
0.0,6,749.160823
0.0,4,749.226721
0.0,4,749.297257
1.0,7,749.42678
0.0,6,749.541966
0.0,7,749.665103
0.0,5,749.746876
0.0,5,749.834332
0.0,5,749.926536
0.0,6,750.030401
0.0,4,750.10197
1.0,7,750.231609
0.0,5,750.313751
0.0,4,750.382554
0.0,6,750.476371
0.0,5,750.561857
0.0,6,750.669544
0.0,7,750.789195
0.0,4,750.855865
0.0,4,750.926864
0.0,3,750.981185
1.0,7,751.095092
0.0,4,751.173207
0.0,4,751.238675
0.0,6,751.33798
0.0,6,754.868017
0.0,7,754.989791
1.0,7,755.108184
0.0,6,755.218377
0.0,4,755.289931
1.0,7,755.405409
1.0,7,755.53069
0.0,6,755.64047
0.0,6,755.75338
0.0,4,755.82818
0.0,7,755.95062
0.0,4,756.019105
0.0,6,756.125699
0.0,6,756.231862
0.0,2,756.269281
0.0,4,756.337589
0.0,4,756.404804
0.0,6,756.504569
0.0,4,756.576551
0.0,5,756.667622
0.0,7,756.797204
0.0,7,756.916391
0.0,6,757.01325
0.0,6,760.542521
0.0,2,760.577337
0.0,7,760.698168
0.0,4,760.776067
0.0,4,760.848793
0.0,4,760.918575
0.0,4,760.995427
0.0,7,761.11502
0.0,6,761.216933
0.0,6,761.32172
1.0,7,761.442503
0.0,6,761.553812
0.0,6,761.66095
0.0,2,761.694987
0.0,2,761.729293
0.0,7,761.847561
0.0,4,761.913829
0.0,6,762.015913
1.0,7,762.138425
0.0,7,762.259299
0.0,4,762.329625
1.0,7,762.457099
0.0,4,762.528056
0.0,6,762.628869
0.0,2,762.657524
0.0,7,766.202342
0.0,4,766.267239
0.0,6,766.369875
0.0,4,766.439812
1.0,7,766.568456
1.0,7,766.693095
1.0,7,766.81893
0.0,4,766.889854
0.0,4,766.962476
0.0,4,767.037859
0.0,4,767.111792
0.0,6,767.223162
1.0,7,767.353216
0.0,4,767.419647
0.0,4,767.490872
0.0,4,767.561307
0.0,6,767.670191
1.0,7,767.79088
0.0,4,767.888913
0.0,6,767.991752
0.0,4,768.061093
0.0,4,768.127947
0.0,6,768.234019
0.0,6,768.330234
0.0,4,768.387017
0.0,6,772.075018
0.0,6,772.175505
1.0,7,772.301505
1.0,7,772.428516
0.0,4,772.492585
0.0,6,772.59324
0.0,6,772.701885
0.0,4,772.769486
1.0,7,772.906663
1.0,7,773.033444
0.0,6,773.128619
0.0,4,773.195834
1.0,7,773.306938
1.0,7,773.414916
0.0,7,773.537649
0.0,4,773.601842
0.0,4,773.668311
0.0,5,773.756038
0.0,4,773.825778
0.0,4,773.899027
0.0,7,774.026636
0.0,5,774.102329
0.0,4,774.161577
0.0,4,777.632595
0.0,4,777.706194
0.0,7,777.819626
0.0,6,777.925105
0.0,4,778.003909
0.0,6,778.102886
0.0,4,778.166828
0.0,6,778.266635
0.0,7,778.395111
0.0,4,778.461399
0.0,4,778.532141
0.0,6,778.640065
0.0,4,778.710491
0.0,6,778.823044
0.0,6,778.933141
0.0,6,779.036952
0.0,4,779.099617
0.0,4,779.169343
0.0,4,779.230454
0.0,4,779.297966
0.0,7,779.423317
1.0,7,779.540412
0.0,4,779.604932
0.0,5,779.686944
1.0,7,783.200369
0.0,6,783.307316
0.0,6,783.408156
0.0,6,783.513296
1.0,7,783.640876
0.0,4,783.705635
1.0,7,783.826035
1.0,7,783.953829
0.0,7,784.085582
0.0,5,784.166457
0.0,2,784.204536
0.0,4,784.269855
0.0,7,784.392674
0.0,6,784.500082
0.0,6,784.602861
0.0,7,784.720968
0.0,6,784.821124
0.0,4,784.891709
0.0,6,784.99728
0.0,6,785.103026
0.0,7,785.215199
1.0,7,785.335326
0.0,6,788.889132
0.0,2,788.921646
0.0,4,788.991293
0.0,6,789.091275
0.0,4,789.160451
0.0,4,789.224133
1.0,7,789.347013
0.0,6,789.442924
0.0,4,789.512014
0.0,6,789.610418
1.0,7,789.739146
0.0,4,789.811512
0.0,4,789.886855
1.0,7,790.008766
0.0,4,790.080611
0.0,7,790.194338
0.0,3,790.248817
0.0,7,790.37358
0.0,4,790.444278
0.0,4,790.514397
0.0,6,790.619241
1.0,7,790.737175
0.0,4,790.806979
0.0,6,790.912312
0.0,7,791.029441
1.0,7,794.618726
1.0,7,794.742419
1.0,7,794.871001
1.0,7,794.991795
0.0,4,795.065705
0.0,4,795.136458
0.0,6,795.240089
0.0,6,795.348065
0.0,7,795.47748
0.0,3,795.533082
0.0,6,795.633289
0.0,6,795.735924
0.0,4,795.800955
0.0,4,795.873972
0.0,4,795.946079
0.0,4,796.011959
0.0,6,796.119116
1.0,7,796.241589
1.0,7,796.366353
0.0,4,796.436584
0.0,7,796.558305
0.0,7,796.673346
0.0,2,796.708236
0.0,5,800.193873
1.0,7,800.305909
0.0,6,800.405241
0.0,4,800.474169
1.0,7,800.597392
0.0,6,800.705518
0.0,4,800.774215
0.0,6,800.883311
0.0,4,800.950936
0.0,5,801.035938
0.0,4,801.112757
0.0,4,801.184108
1.0,7,801.309284
0.0,4,801.374081
0.0,6,801.480661
0.0,4,801.556141
1.0,7,801.678088
1.0,7,801.800026
0.0,2,801.831484
0.0,4,801.906038
0.0,6,802.018218
0.0,4,802.086105
0.0,6,802.199745
1.0,7,802.322802
0.0,6,805.892915
0.0,4,805.960262
1.0,7,806.07979
0.0,7,806.206277
0.0,7,806.330475
0.0,5,806.422774
0.0,5,806.518934
1.0,7,806.647381
0.0,6,806.755474
0.0,6,806.864797
0.0,2,806.899449
0.0,6,807.003805
0.0,4,807.073194
0.0,7,807.19279
0.0,2,807.229743
0.0,4,807.299917
0.0,5,807.383514
1.0,7,807.510442
0.0,4,807.577405
0.0,6,807.684193
0.0,4,807.754721
0.0,4,807.82786
0.0,4,807.939643
0.0,4,808.016539
0.0,2,808.054273
0.0,4,808.114194
1.0,7,811.616044
0.0,6,811.717883
0.0,7,811.837862
0.0,6,811.945235
0.0,2,811.978987
0.0,4,812.051322
0.0,7,812.17521
0.0,4,812.250723
0.0,6,812.361721
0.0,7,812.486662
0.0,4,812.55819
0.0,2,812.593004
0.0,4,812.664539
0.0,6,812.775393
0.0,2,812.813346
0.0,6,812.915345
0.0,5,813.000672
0.0,4,813.070941
1.0,7,813.197269
1.0,7,813.319102
1.0,7,813.445403
0.0,4,813.508434
0.0,4,813.580027
0.0,4,813.647037
0.0,4,813.720026
0.0,7,817.29725
0.0,4,817.359447
0.0,6,817.459486
1.0,7,817.575514
0.0,6,817.680312
1.0,7,817.803449
0.0,4,817.921199
1.0,7,818.045796
1.0,7,818.164346
0.0,4,818.236642
0.0,4,818.312438
0.0,4,818.378177
0.0,7,818.499475
0.0,7,818.618311
1.0,7,818.739112
0.0,2,818.775133
0.0,4,818.841155
0.0,4,818.911763
0.0,4,818.979479
0.0,6,819.090047
0.0,5,819.174791
1.0,7,819.295756
0.0,4,819.361318
1.0,7,819.47668
0.0,6,823.018946
0.0,5,823.096103
0.0,6,823.201588
0.0,4,823.275025
0.0,4,823.347528
1.0,7,823.473781
1.0,7,823.596756
1.0,7,823.724439
1.0,7,823.846791
1.0,7,823.975728
0.0,4,824.048475
0.0,6,824.160801
1.0,7,824.288883
1.0,7,824.41329
0.0,7,824.537091
0.0,4,824.600372
1.0,7,824.718429
0.0,4,824.78845
0.0,2,824.821001
0.0,6,824.925464
1.0,7,825.042226
0.0,4,825.111591
0.0,4,825.177027
0.0,7,828.825401
0.0,2,828.859029
1.0,7,828.977396
0.0,6,829.080319
0.0,6,829.179278
0.0,6,829.277966
0.0,4,829.351202
0.0,4,829.424103
0.0,4,829.486106
1.0,7,829.602973
0.0,4,829.676344
1.0,7,829.808466
0.0,6,829.917322
0.0,6,830.016607
1.0,7,830.130145
0.0,4,830.201394
0.0,6,830.306484
1.0,7,830.424737
0.0,4,830.491046
0.0,6,830.594961
0.0,4,830.667305
0.0,6,830.775152
0.0,6,830.868668
1.0,7,834.409594
0.0,6,834.508492
1.0,7,834.628306
0.0,6,834.736021
0.0,3,834.794893
1.0,7,834.916432
0.0,4,834.985252
0.0,6,835.089952
1.0,7,835.204012
0.0,7,835.333326
0.0,4,835.405674
0.0,6,835.513894
0.0,2,835.552403
0.0,7,835.666115
1.0,7,835.788478
0.0,4,835.862108
1.0,7,835.983976
1.0,7,836.112771
0.0,4,836.185932
1.0,7,836.317346
0.0,4,836.389579
0.0,4,836.463151
1.0,7,836.578586
0.0,4,840.060596
1.0,7,840.172179
0.0,4,840.2384
0.0,6,840.342318
0.0,4,840.411811
1.0,7,840.532885
1.0,7,840.664452
0.0,4,840.73656
0.0,6,840.846592
0.0,7,840.972262
0.0,2,841.009146
1.0,7,841.141678
0.0,4,841.21281
0.0,4,841.27791
0.0,6,841.384079
0.0,2,841.421477
0.0,4,841.501421
0.0,4,841.572684
0.0,7,841.706384
0.0,4,841.78617
0.0,4,841.859736
0.0,4,841.932985
0.0,4,842.008158
0.0,6,842.120591
0.0,6,842.228953
0.0,6,842.333009
0.0,6,845.822171
1.0,7,845.941116
1.0,7,846.061597
0.0,4,846.124667
0.0,6,846.225573
0.0,4,846.300727
0.0,4,846.369317
0.0,3,846.418736
1.0,7,846.547647
0.0,6,846.652392
0.0,6,846.754414
0.0,4,846.823624
0.0,4,846.892236
1.0,7,847.020676
0.0,4,847.086891
1.0,7,847.209843
1.0,7,847.331429
1.0,7,847.452967
0.0,4,847.527421
0.0,6,847.632132
1.0,7,847.757391
0.0,4,847.832107
0.0,6,847.941288
0.0,4,851.350915
0.0,4,851.417859
0.0,7,851.53315
0.0,4,851.599345
0.0,7,851.712396
0.0,4,851.771217
0.0,4,851.844324
0.0,4,851.913939
0.0,4,851.985408
1.0,7,852.109594
0.0,5,852.200916
0.0,4,852.270991
