#{"t_start": 1667421405.6791852, "env_id": "CTgraph-v0"}
r,l,t
0.0,2,1736.37512
0.0,2,1736.411579
0.0,2,1736.447659
0.0,2,1736.483971
0.0,4,1736.553326
0.0,2,1736.593968
0.0,2,1736.63478
0.0,2,1736.674394
0.0,2,1736.713228
0.0,4,1736.790383
0.0,2,1736.827854
0.0,2,1736.862007
0.0,2,1736.902191
0.0,3,1736.957467
0.0,2,1736.996389
0.0,2,1737.034235
0.0,3,1737.088081
0.0,3,1737.142821
0.0,2,1737.182243
0.0,7,1737.320784
0.0,4,1737.392092
0.0,2,1737.428816
0.0,3,1737.476436
0.0,3,1737.528579
0.0,2,1737.566075
0.0,2,1737.602545
0.0,2,1737.637898
0.0,2,1737.674454
0.0,4,1737.748377
0.0,2,1737.784717
0.0,2,1737.829252
0.0,2,1737.870879
0.0,2,1737.909287
0.0,2,1737.947402
0.0,2,1737.985905
0.0,2,1738.029479
0.0,2,1738.07153
0.0,2,1738.110373
0.0,2,1738.144539
0.0,2,1738.180913
0.0,2,1738.215299
0.0,4,1738.292991
0.0,2,1738.334138
0.0,6,1738.439696
0.0,2,1738.471571
0.0,2,1738.510646
0.0,2,1738.547954
0.0,6,1738.658357
0.0,2,1738.697865
0.0,2,1738.734598
0.0,2,1742.525832
0.0,2,1742.563557
0.0,4,1742.635611
0.0,4,1742.712536
0.0,2,1742.756716
0.0,2,1742.800467
0.0,2,1742.846327
0.0,2,1742.890742
0.0,2,1742.933528
0.0,2,1742.972154
0.0,2,1743.010554
0.0,2,1743.04983
0.0,4,1743.127205
0.0,2,1743.165918
0.0,2,1743.204516
0.0,2,1743.240095
0.0,2,1743.275538
0.0,4,1743.363018
0.0,2,1743.403683
0.0,4,1743.483261
0.0,2,1743.519523
0.0,2,1743.55617
0.0,2,1743.591646
0.0,2,1743.632948
0.0,2,1743.668506
0.0,4,1743.737049
0.0,2,1743.77223
0.0,6,1743.878322
0.0,4,1743.953217
0.0,4,1744.033131
0.0,4,1744.106464
0.0,6,1744.213238
0.0,2,1744.248674
0.0,2,1744.284255
0.0,2,1744.318857
0.0,4,1744.387542
0.0,2,1744.427197
0.0,2,1744.461201
0.0,2,1744.494472
0.0,2,1744.52795
0.0,2,1744.560649
0.0,2,1744.59258
0.0,2,1744.623914
0.0,4,1744.692508
0.0,2,1744.730045
0.0,2,1744.766582
0.0,2,1744.806163
0.0,2,1744.847247
0.0,2,1744.881231
0.0,2,1748.705223
0.0,2,1748.742852
0.0,6,1748.862107
0.0,4,1748.936051
0.0,2,1748.973135
0.0,2,1749.014348
0.0,2,1749.059195
0.0,3,1749.1153
0.0,3,1749.176492
0.0,2,1749.214734
0.0,2,1749.252995
0.0,2,1749.294414
0.0,2,1749.334124
0.0,2,1749.37449
0.0,2,1749.411736
0.0,2,1749.449845
0.0,2,1749.4884
0.0,2,1749.530366
0.0,2,1749.570222
0.0,2,1749.605028
0.0,6,1749.711746
0.0,2,1749.748893
0.0,4,1749.824267
0.0,2,1749.860856
0.0,2,1749.899029
0.0,2,1749.933785
0.0,2,1749.968335
0.0,2,1750.003514
0.0,2,1750.036902
0.0,2,1750.07792
0.0,6,1750.191198
0.0,2,1750.226524
0.0,6,1750.337496
0.0,2,1750.380832
0.0,2,1750.419655
0.0,2,1750.457718
0.0,2,1750.493066
0.0,2,1750.528513
0.0,2,1750.565842
0.0,2,1750.604783
0.0,2,1750.640804
0.0,2,1750.674735
0.0,2,1750.706486
0.0,2,1750.739927
0.0,2,1750.773739
0.0,2,1750.808654
0.0,4,1750.885316
0.0,2,1750.918046
0.0,2,1750.95044
0.0,2,1750.986614
0.0,4,1751.057847
1.0,7,1755.044931
1.0,7,1755.173814
1.0,7,1755.293089
1.0,7,1755.431381
1.0,7,1755.555629
1.0,7,1755.690502
1.0,7,1755.818393
1.0,7,1755.931787
1.0,7,1756.056827
1.0,7,1756.192423
1.0,7,1756.322248
0.0,5,1756.416463
1.0,7,1756.552901
1.0,7,1756.68208
1.0,7,1756.812324
1.0,7,1756.935917
1.0,7,1757.065158
1.0,7,1757.193861
1.0,7,1761.108861
1.0,7,1761.236625
1.0,7,1761.372074
1.0,7,1761.492557
1.0,7,1761.617037
1.0,7,1761.740753
1.0,7,1761.871553
1.0,7,1762.001747
1.0,7,1762.134031
1.0,7,1762.256982
1.0,7,1762.38227
1.0,7,1762.509578
1.0,7,1762.636744
1.0,7,1762.769599
1.0,7,1762.896981
1.0,7,1763.02288
1.0,7,1763.133493
1.0,7,1763.263594
1.0,7,1767.25648
1.0,7,1767.388019
1.0,7,1767.511584
1.0,7,1767.646906
1.0,7,1767.777589
1.0,7,1767.906146
1.0,7,1768.037808
1.0,7,1768.175396
1.0,7,1768.302539
1.0,7,1768.426481
1.0,7,1768.554384
1.0,7,1768.665787
1.0,7,1768.786093
1.0,7,1768.918697
1.0,7,1769.049308
1.0,7,1769.183002
1.0,7,1769.306252
1.0,7,1769.433414
1.0,7,1769.558394
1.0,7,1773.488287
0.0,5,1773.583533
1.0,7,1773.714345
1.0,7,1773.84776
1.0,7,1773.984885
1.0,7,1774.113207
1.0,7,1774.240576
1.0,7,1774.375591
1.0,7,1774.505493
1.0,7,1774.624905
1.0,7,1774.747184
1.0,7,1774.873063
1.0,7,1775.002212
1.0,7,1775.134583
1.0,7,1775.26645
1.0,7,1775.393244
1.0,7,1775.513042
1.0,7,1775.644392
1.0,7,1779.605273
1.0,7,1779.735077
1.0,7,1779.875405
1.0,7,1780.015505
1.0,7,1780.155579
1.0,7,1780.294856
1.0,7,1780.422959
1.0,7,1780.552315
1.0,7,1780.688674
1.0,7,1780.815473
1.0,7,1780.933243
1.0,7,1781.063198
1.0,7,1781.187788
1.0,7,1781.315445
1.0,7,1781.443296
1.0,7,1781.572504
1.0,7,1781.698686
1.0,7,1781.827293
1.0,7,1781.951699
1.0,7,1785.988093
1.0,7,1786.127825
1.0,7,1786.250859
1.0,7,1786.389924
1.0,7,1786.525389
1.0,7,1786.650131
1.0,7,1786.780753
1.0,7,1786.91243
1.0,7,1787.038311
1.0,7,1787.168721
1.0,7,1787.300611
1.0,7,1787.426918
1.0,7,1787.555854
1.0,7,1787.677382
1.0,7,1787.795986
1.0,7,1787.915364
1.0,7,1788.038359
1.0,7,1788.169531
1.0,7,1792.077506
1.0,7,1792.204638
1.0,7,1792.345397
1.0,7,1792.484889
1.0,7,1792.624379
1.0,7,1792.764313
1.0,7,1792.955655
1.0,7,1793.071463
1.0,7,1793.193698
1.0,7,1793.315433
1.0,7,1793.442629
1.0,7,1793.575033
1.0,7,1793.692025
1.0,7,1793.804555
1.0,7,1793.929562
1.0,7,1794.058377
1.0,7,1794.182704
1.0,7,1794.304116
1.0,7,1798.244172
1.0,7,1798.368816
1.0,7,1798.509672
1.0,7,1798.648646
1.0,7,1798.788582
1.0,7,1798.911874
1.0,7,1799.03797
1.0,7,1799.167028
1.0,7,1799.293491
1.0,7,1799.408308
1.0,7,1799.532538
1.0,7,1799.652872
1.0,7,1799.775171
1.0,7,1799.877882
1.0,7,1799.982229
1.0,7,1800.096412
1.0,7,1800.205323
1.0,7,1800.310789
1.0,7,1804.036661
1.0,7,1804.150491
1.0,7,1804.274091
1.0,7,1804.39605
1.0,7,1804.525845
1.0,7,1804.647408
1.0,7,1804.770607
1.0,7,1804.900139
1.0,7,1805.020279
1.0,7,1805.142982
1.0,7,1805.268124
1.0,7,1805.385161
1.0,7,1805.520881
1.0,7,1805.656976
1.0,7,1805.784471
1.0,7,1805.915667
1.0,7,1806.05146
1.0,7,1806.181175
1.0,7,1806.31892
1.0,7,1810.291589
1.0,7,1810.415876
1.0,7,1810.546695
1.0,7,1810.666268
1.0,7,1810.79097
1.0,7,1810.92531
1.0,7,1811.054913
1.0,7,1811.177525
1.0,7,1811.304741
1.0,7,1811.42267
1.0,7,1811.550263
1.0,7,1811.672646
1.0,7,1811.801929
1.0,7,1811.938263
1.0,7,1812.065756
1.0,7,1812.203042
1.0,7,1812.328953
1.0,7,1812.464374
1.0,7,1816.389712
1.0,7,1816.511852
1.0,7,1816.634932
1.0,7,1816.769079
1.0,7,1816.901439
1.0,7,1817.032464
1.0,7,1817.160511
1.0,7,1817.288939
1.0,7,1817.41322
1.0,7,1817.544097
1.0,7,1817.673311
1.0,7,1817.795133
1.0,7,1817.964733
1.0,7,1818.085732
1.0,7,1818.215487
1.0,7,1818.341225
1.0,7,1818.475348
1.0,7,1818.600073
1.0,7,1822.634618
1.0,7,1822.762158
1.0,7,1823.001812
1.0,7,1823.130024
1.0,7,1823.259626
1.0,7,1823.374978
1.0,7,1823.498596
1.0,7,1823.63106
1.0,7,1823.764704
1.0,7,1823.894406
1.0,7,1824.013207
1.0,7,1824.135817
1.0,7,1824.25208
1.0,7,1824.380889
1.0,7,1824.498335
1.0,7,1824.626887
1.0,7,1824.742899
1.0,7,1824.863569
1.0,7,1824.998614
1.0,7,1828.889268
1.0,7,1829.02903
1.0,7,1829.159435
1.0,7,1829.294116
1.0,7,1829.427875
1.0,7,1829.555876
1.0,7,1829.682537
1.0,7,1829.810363
1.0,7,1829.936654
1.0,7,1830.058601
1.0,7,1830.186413
1.0,7,1830.313994
1.0,7,1830.434463
1.0,7,1830.565735
1.0,7,1830.693305
1.0,7,1830.814671
1.0,7,1830.930135
1.0,7,1831.06576
1.0,7,1835.013286
1.0,7,1835.144779
1.0,7,1835.279541
1.0,7,1835.413843
1.0,7,1835.533535
1.0,7,1835.664894
1.0,7,1835.787328
1.0,7,1835.898342
1.0,7,1836.027515
1.0,7,1836.142765
1.0,7,1836.263763
1.0,7,1836.377594
1.0,7,1836.489218
1.0,7,1836.601693
1.0,7,1836.723119
1.0,7,1836.840822
1.0,7,1836.961817
1.0,7,1837.076144
1.0,7,1841.023891
1.0,7,1841.143047
1.0,7,1841.275143
1.0,7,1841.40747
1.0,7,1841.529897
1.0,7,1841.66139
1.0,7,1841.785365
1.0,7,1841.903172
1.0,7,1842.020264
1.0,7,1842.146967
1.0,7,1842.269996
1.0,7,1842.399781
1.0,7,1842.527476
0.0,2,1842.56485
1.0,7,1842.682705
1.0,7,1842.802687
1.0,7,1842.912958
1.0,7,1843.031867
1.0,7,1843.150041
1.0,7,1847.290709
1.0,7,1847.42217
1.0,7,1847.548083
1.0,7,1847.679762
1.0,7,1847.808699
1.0,7,1847.955979
1.0,7,1848.092927
1.0,7,1848.223037
1.0,7,1848.35481
1.0,7,1848.482214
1.0,7,1848.614733
1.0,7,1848.744363
1.0,7,1848.865948
1.0,7,1848.983789
1.0,7,1849.101963
1.0,7,1849.216758
1.0,7,1849.329554
1.0,7,1849.453143
1.0,7,1853.442747
1.0,7,1853.571827
1.0,7,1853.700549
1.0,7,1853.826036
1.0,7,1853.957827
1.0,7,1854.086773
1.0,7,1854.21592
1.0,7,1854.341616
1.0,7,1854.47194
1.0,7,1854.591676
1.0,7,1854.725485
1.0,7,1854.849767
1.0,7,1854.972471
1.0,7,1855.081697
1.0,7,1855.195763
1.0,7,1855.305456
1.0,7,1855.411208
1.0,7,1855.513138
1.0,7,1855.621483
1.0,7,1859.656075
1.0,7,1859.779552
1.0,7,1859.912179
1.0,7,1860.046785
1.0,7,1860.183682
1.0,7,1860.3175
1.0,7,1860.459574
1.0,7,1860.592033
1.0,7,1860.725355
1.0,7,1860.850607
1.0,7,1860.974072
1.0,7,1861.101545
1.0,7,1861.222502
1.0,7,1861.34153
1.0,7,1861.452333
1.0,7,1861.563174
1.0,7,1861.673638
1.0,7,1861.784213
1.0,7,1865.758126
1.0,7,1865.893741
1.0,7,1866.027274
1.0,7,1866.155713
1.0,7,1866.295666
1.0,7,1866.441318
1.0,7,1866.571502
1.0,7,1866.69581
1.0,7,1866.820327
1.0,7,1866.944621
1.0,7,1867.068183
1.0,7,1867.182574
1.0,7,1867.309448
1.0,7,1867.431962
1.0,7,1867.553575
1.0,7,1867.664943
1.0,7,1867.778611
1.0,7,1867.940533
1.0,7,1871.932465
1.0,7,1872.060486
1.0,7,1872.186769
1.0,7,1872.315971
1.0,7,1872.445926
1.0,7,1872.586819
1.0,7,1872.728994
1.0,7,1872.951092
1.0,7,1873.078828
1.0,7,1873.212161
1.0,7,1873.336357
1.0,7,1873.452387
1.0,7,1873.567526
1.0,7,1873.685555
1.0,7,1873.798287
1.0,7,1873.908192
1.0,7,1874.022336
1.0,7,1874.147959
1.0,7,1874.2671
1.0,7,1878.21464
1.0,7,1878.349111
1.0,7,1878.475838
1.0,7,1878.611664
