#{"t_start": 1667421408.5898192, "env_id": "CTgraph-v0"}
r,l,t
0.0,2,113.090329
0.0,2,113.115352
0.0,2,113.142353
0.0,3,113.181952
0.0,2,113.208371
0.0,2,113.235045
0.0,4,113.288167
0.0,2,113.314922
0.0,4,113.36861
0.0,2,113.395415
0.0,4,113.450108
0.0,2,113.476751
0.0,2,113.503238
0.0,2,113.529493
0.0,4,113.583268
0.0,2,113.610062
0.0,4,113.663978
0.0,2,113.690823
0.0,7,113.784909
0.0,2,113.811709
0.0,2,113.838218
0.0,2,113.865408
0.0,2,113.891749
0.0,4,113.94582
0.0,2,113.973181
0.0,4,114.028624
0.0,2,114.055734
0.0,2,114.082448
0.0,4,114.135719
0.0,2,114.162407
0.0,2,114.189233
0.0,2,114.216389
0.0,2,114.243157
0.0,2,114.269838
0.0,2,114.296929
0.0,2,114.323356
0.0,2,114.350286
0.0,4,114.403979
0.0,3,114.444349
0.0,4,114.497817
0.0,2,114.524964
0.0,2,114.551972
0.0,2,114.578633
0.0,2,114.605175
0.0,4,114.658859
0.0,2,114.685704
0.0,2,114.712482
0.0,6,117.913972
0.0,2,117.939934
0.0,7,118.03525
0.0,2,118.060181
0.0,7,118.156218
0.0,2,118.183372
0.0,2,118.207067
0.0,2,118.234149
0.0,2,118.260147
0.0,2,118.28688
0.0,4,118.34091
0.0,4,118.394352
0.0,4,118.448282
0.0,6,118.527682
0.0,2,118.554353
0.0,2,118.582508
0.0,2,118.610796
0.0,2,118.637471
0.0,2,118.664389
0.0,2,118.690808
0.0,2,118.718379
0.0,2,118.745203
0.0,4,118.79847
0.0,2,118.82533
0.0,2,118.852133
0.0,4,118.905505
0.0,4,118.959174
0.0,2,118.986064
0.0,2,119.012583
0.0,2,119.039113
0.0,2,119.066228
0.0,3,119.107167
0.0,4,119.16047
0.0,4,119.213615
0.0,2,119.240361
0.0,2,119.267284
0.0,2,119.296218
0.0,4,119.350096
0.0,2,119.376955
0.0,4,119.430517
0.0,2,119.457553
0.0,2,119.486482
0.0,2,119.513162
0.0,4,119.567202
0.0,2,119.594238
0.0,4,128.13417
0.0,2,128.15846
0.0,2,128.181784
0.0,2,128.210086
0.0,5,128.278361
0.0,2,128.304824
0.0,2,128.331473
0.0,2,128.359104
0.0,4,128.412222
0.0,2,128.442096
0.0,2,128.468835
0.0,2,128.493948
0.0,3,128.534065
0.0,2,128.56095
0.0,2,128.587631
0.0,2,128.614671
0.0,2,128.641402
0.0,4,128.695184
0.0,2,128.722226
0.0,2,128.748634
0.0,4,128.802202
0.0,4,128.85585
0.0,2,128.882494
0.0,2,128.909342
0.0,2,128.936029
0.0,2,128.962588
0.0,4,129.016697
0.0,2,129.044061
0.0,2,129.071964
0.0,2,129.100318
0.0,2,129.128818
0.0,4,129.185377
0.0,4,129.243062
0.0,2,129.27184
0.0,2,129.299532
0.0,2,129.325222
0.0,2,129.351422
0.0,2,129.377371
0.0,2,129.403723
0.0,6,129.484838
0.0,2,129.509807
0.0,4,129.559568
0.0,2,129.584993
0.0,4,129.636971
0.0,2,129.664168
0.0,3,129.704204
0.0,2,129.730794
0.0,2,129.757939
0.0,2,129.784477
0.0,2,129.812038
0.0,2,134.444453
0.0,4,134.468292
0.0,2,134.48296
0.0,2,134.494683
0.0,2,134.506777
0.0,2,134.520347
0.0,2,134.533332
0.0,4,134.562329
0.0,2,134.577626
0.0,4,134.607106
0.0,2,134.620514
0.0,2,134.63426
0.0,4,134.662952
0.0,2,134.678956
0.0,2,134.693846
0.0,2,134.709651
0.0,2,134.724966
0.0,4,134.755702
0.0,2,134.771885
0.0,2,134.78629
0.0,2,134.800705
0.0,2,134.816784
0.0,2,134.83214
0.0,4,135.518351
0.0,2,135.529729
0.0,2,135.539488
0.0,2,135.548675
0.0,2,135.559191
0.0,4,135.57761
0.0,2,135.588508
0.0,2,135.598527
0.0,4,135.617512
0.0,2,135.62636
0.0,4,135.645361
0.0,2,135.655856
0.0,2,135.667237
0.0,2,135.678646
0.0,2,135.691628
0.0,2,135.705778
0.0,2,135.719868
0.0,2,135.733613
0.0,4,135.757868
0.0,2,135.771384
0.0,2,135.786228
0.0,2,135.800545
0.0,2,135.813428
0.0,2,135.824393
0.0,4,135.849706
0.0,4,135.873528
0.0,2,135.886552
0.0,2,135.900527
0.0,4,140.269398
0.0,3,140.291194
0.0,6,140.333174
0.0,6,140.37629
0.0,2,140.392433
0.0,2,140.406625
0.0,2,140.421858
0.0,2,140.437273
0.0,3,140.459464
0.0,4,140.49109
0.0,2,140.582279
0.0,2,140.597413
0.0,2,140.610958
0.0,2,140.62405
0.0,2,140.638048
0.0,2,140.652756
0.0,2,140.666842
0.0,5,140.700781
0.0,2,140.713158
0.0,2,140.726931
0.0,2,140.742301
0.0,7,140.788652
0.0,2,140.8026
0.0,4,140.829906
0.0,2,140.848798
0.0,2,140.869102
0.0,2,140.885833
0.0,2,140.903034
0.0,2,140.920069
0.0,2,140.936117
0.0,2,140.952342
0.0,2,140.966802
0.0,6,141.013061
0.0,4,141.03969
0.0,5,141.077747
0.0,2,141.09275
0.0,3,141.118771
0.0,2,141.138058
0.0,2,141.157093
0.0,2,141.179304
0.0,6,141.238438
0.0,2,141.260749
0.0,2,141.281121
0.0,2,141.304061
0.0,4,141.349922
0.0,2,144.00687
0.0,3,144.056287
0.0,4,144.123598
0.0,2,144.158778
1.0,7,144.280899
0.0,3,144.329157
0.0,2,144.363932
0.0,2,144.398455
0.0,2,144.433746
0.0,2,144.466888
0.0,4,144.5344
0.0,3,144.588245
0.0,2,144.623721
0.0,2,144.659774
0.0,2,144.693364
0.0,4,144.769759
0.0,6,144.879721
0.0,4,144.951199
0.0,4,145.022598
0.0,4,145.084479
0.0,2,145.117704
0.0,3,145.164662
0.0,2,145.194676
0.0,2,145.224958
0.0,2,145.254393
0.0,4,145.314038
0.0,4,145.379228
0.0,2,145.415457
0.0,4,145.479014
0.0,6,145.574938
0.0,2,145.614585
0.0,4,145.673626
0.0,2,145.700201
0.0,4,145.752859
0.0,2,145.779486
0.0,2,145.80619
0.0,2,145.832088
0.0,2,145.857623
0.0,2,145.883828
0.0,2,145.912464
0.0,4,145.969222
0.0,2,145.997551
0.0,2,146.026116
0.0,2,146.054338
0.0,2,148.9826
0.0,2,149.017067
0.0,2,149.084027
0.0,2,149.111119
0.0,2,149.14683
0.0,2,149.18167
0.0,4,149.248345
0.0,2,149.283292
0.0,2,149.316224
0.0,5,149.402071
0.0,4,149.497209
0.0,4,149.56845
0.0,3,149.625544
0.0,2,149.659543
0.0,2,149.698077
0.0,2,149.731559
0.0,2,149.763792
0.0,2,149.795972
0.0,2,149.827252
0.0,4,149.897863
0.0,2,149.929604
0.0,4,149.988845
0.0,2,150.017966
1.0,7,150.120363
0.0,3,150.171884
0.0,2,150.202754
0.0,3,150.249545
0.0,2,150.281181
0.0,2,150.314747
0.0,2,150.347553
0.0,4,150.410846
0.0,2,150.44026
0.0,3,150.485937
0.0,2,150.518516
0.0,2,150.547722
0.0,2,150.578087
0.0,2,150.60583
0.0,5,150.675633
0.0,2,150.703546
0.0,2,150.731941
0.0,2,150.759871
0.0,2,150.786397
0.0,2,150.81248
0.0,4,150.868182
0.0,4,150.925202
0.0,5,150.997389
0.0,2,151.025892
0.0,2,153.732716
0.0,2,153.767514
0.0,4,153.832569
0.0,2,153.864077
0.0,3,153.911094
0.0,2,153.94625
0.0,6,154.045507
0.0,2,154.078338
0.0,2,154.11293
0.0,2,154.148281
0.0,4,154.220775
0.0,2,154.256212
0.0,2,154.288838
0.0,2,154.32498
0.0,2,154.36111
0.0,4,154.42784
