#{"t_start": 1667421408.590211, "env_id": "CTgraph-v0"}
r,l,t
0.0,2,690.583168
0.0,4,690.651279
0.0,2,690.683135
0.0,2,690.715557
0.0,2,690.752208
0.0,2,690.788674
0.0,2,690.824097
0.0,2,690.858773
0.0,2,690.894722
0.0,2,690.931412
0.0,2,690.966699
0.0,2,691.002894
0.0,2,691.039907
0.0,2,691.07511
0.0,3,691.121643
0.0,4,691.186522
0.0,2,691.219388
0.0,2,691.256381
0.0,2,691.293119
0.0,2,691.32579
0.0,2,691.358453
0.0,3,691.412163
0.0,4,691.474476
0.0,4,691.548253
0.0,3,691.60199
0.0,4,691.667861
0.0,2,691.697603
0.0,6,691.798285
0.0,2,691.831709
0.0,2,691.865533
0.0,2,691.9008
0.0,2,691.937519
0.0,2,691.973041
0.0,2,692.007752
0.0,2,692.041681
0.0,2,692.076018
0.0,4,692.146825
0.0,2,692.182662
0.0,2,692.214842
0.0,3,692.269655
0.0,3,692.317851
0.0,7,692.43526
0.0,2,692.471091
0.0,2,692.505481
0.0,2,692.539126
0.0,2,692.572725
0.0,2,692.603804
0.0,2,692.635271
0.0,2,692.668828
0.0,2,692.706482
0.0,2,692.741301
0.0,2,696.131371
0.0,3,696.185899
0.0,2,696.223753
0.0,2,696.260113
0.0,2,696.292895
0.0,4,696.360733
0.0,2,696.396638
0.0,2,696.433053
0.0,2,696.466351
0.0,2,696.502895
0.0,4,696.572896
0.0,2,696.609824
0.0,2,696.646774
0.0,4,696.713652
0.0,2,696.747647
0.0,2,696.779644
0.0,2,696.809193
0.0,2,696.844461
0.0,4,696.920505
0.0,2,696.954986
0.0,4,697.026232
0.0,2,697.063282
0.0,2,697.101075
0.0,4,697.167134
0.0,2,697.200948
0.0,2,697.239016
0.0,2,697.272602
0.0,2,697.307643
0.0,2,697.338465
0.0,2,697.374373
0.0,4,697.444978
0.0,2,697.478974
0.0,2,697.515573
0.0,2,697.545506
0.0,2,697.579957
0.0,2,697.615016
0.0,2,697.650418
0.0,2,697.687263
0.0,6,697.785455
0.0,2,697.821694
0.0,2,697.856439
0.0,3,697.908373
0.0,2,697.946276
0.0,2,697.983787
0.0,2,698.017543
0.0,2,698.055516
0.0,4,698.129643
0.0,2,698.165023
0.0,2,698.199142
0.0,2,698.234372
0.0,2,698.269209
0.0,2,698.306774
0.0,2,698.345323
0.0,2,701.807122
0.0,2,701.842344
0.0,2,701.879269
0.0,2,701.917115
0.0,2,701.951741
0.0,2,701.987323
0.0,2,702.023244
0.0,2,702.05996
0.0,2,702.097138
0.0,4,702.165991
0.0,2,702.203139
0.0,4,702.274035
0.0,2,702.310121
0.0,2,702.343189
0.0,2,702.375361
0.0,2,702.408109
0.0,4,702.47224
0.0,2,702.506355
0.0,2,702.544437
0.0,2,702.57829
0.0,2,702.610836
0.0,2,702.644199
0.0,2,702.681726
0.0,4,702.75306
0.0,2,702.786104
0.0,4,702.851648
0.0,7,702.975929
0.0,2,703.01097
0.0,2,703.047223
0.0,2,703.084392
0.0,4,703.155949
0.0,2,703.189513
0.0,2,703.22309
0.0,2,703.261769
0.0,2,703.298072
0.0,2,703.333482
0.0,2,703.368504
0.0,3,703.416732
0.0,4,703.484451
0.0,2,703.51782
0.0,2,703.552374
0.0,2,703.590719
0.0,2,703.628701
0.0,3,703.687152
0.0,2,703.722664
0.0,2,703.7578
0.0,2,703.793362
0.0,4,703.872535
0.0,2,703.911864
0.0,2,703.946879
0.0,4,704.01779
0.0,3,707.503286
0.0,2,707.534313
0.0,2,707.568007
0.0,2,707.603116
0.0,2,707.637378
0.0,2,707.674142
0.0,4,707.746097
0.0,2,707.781998
0.0,2,707.818696
0.0,2,707.855044
0.0,2,707.890728
0.0,2,707.927528
0.0,2,707.964241
0.0,2,707.997409
0.0,3,708.042841
0.0,2,708.075299
0.0,2,708.103944
0.0,2,708.136101
0.0,2,708.167972
0.0,4,708.234689
0.0,2,708.267555
0.0,4,708.337973
0.0,2,708.371988
0.0,2,708.405511
0.0,2,708.441019
0.0,2,708.478765
0.0,4,708.549569
0.0,6,708.653219
0.0,2,708.688445
0.0,2,708.720502
0.0,6,708.831128
0.0,2,708.866175
0.0,2,708.901527
0.0,2,708.937107
0.0,2,708.973716
0.0,2,709.011573
0.0,2,709.048346
0.0,4,709.123746
0.0,2,709.158717
0.0,2,709.196117
0.0,2,709.232669
0.0,2,709.270478
0.0,2,709.309302
0.0,2,709.344385
0.0,2,709.380225
0.0,6,709.486117
0.0,2,709.517852
0.0,4,709.589967
0.0,2,709.62535
0.0,2,709.660267
0.0,2,709.695592
1.0,7,713.384485
1.0,7,713.510507
1.0,7,713.635718
1.0,7,713.757647
1.0,7,713.869969
1.0,7,713.988385
1.0,7,714.109238
1.0,7,714.228342
1.0,7,714.347129
1.0,7,714.467087
1.0,7,714.597983
1.0,7,714.72009
1.0,7,714.848158
1.0,7,714.972486
1.0,7,715.10171
1.0,7,715.222463
1.0,7,715.342815
1.0,7,715.462342
1.0,7,719.285639
1.0,7,719.405799
1.0,7,719.523355
1.0,7,719.633447
1.0,7,719.754113
1.0,7,719.874455
1.0,7,720.079751
1.0,7,720.193046
1.0,7,720.315335
1.0,7,720.438181
1.0,7,720.562691
1.0,7,720.689691
1.0,7,720.821124
1.0,7,720.953808
1.0,7,721.088243
1.0,7,721.21482
1.0,7,721.334502
1.0,7,721.452708
1.0,7,725.05451
1.0,7,725.175047
1.0,7,725.30232
1.0,7,725.435133
1.0,7,725.556048
0.0,5,725.632625
1.0,7,725.754469
1.0,7,725.872377
1.0,7,725.986073
1.0,7,726.107775
1.0,7,726.228103
1.0,7,726.348855
1.0,7,726.471357
1.0,7,726.593254
1.0,7,726.721026
1.0,7,726.849281
1.0,7,726.982587
1.0,7,727.107871
1.0,7,727.221786
1.0,7,730.724504
1.0,7,730.850707
1.0,7,730.970787
1.0,7,731.101686
1.0,7,731.227237
1.0,7,731.34285
1.0,7,731.456093
1.0,7,731.575079
1.0,7,731.690686
1.0,7,731.807608
1.0,7,731.918207
1.0,7,732.047354
1.0,7,732.171317
0.0,6,732.276409
1.0,7,732.408097
1.0,7,732.530155
1.0,7,732.659132
1.0,7,732.780109
1.0,7,736.303656
1.0,7,736.429163
1.0,7,736.547637
1.0,7,736.672671
1.0,7,736.804825
1.0,7,736.927601
1.0,7,737.049584
1.0,7,737.159794
1.0,7,737.274768
1.0,7,737.399619
1.0,7,737.525848
1.0,7,737.654357
1.0,7,737.782149
1.0,7,737.909828
1.0,7,738.038992
1.0,7,738.167503
1.0,7,738.291524
1.0,7,738.416657
1.0,7,738.523688
1.0,7,742.044797
1.0,7,742.162745
1.0,7,742.280941
1.0,7,742.402282
1.0,7,742.532165
0.0,3,742.582217
1.0,7,742.706704
1.0,7,742.817591
1.0,7,742.927637
1.0,7,743.046324
1.0,7,743.169503
1.0,7,743.291073
1.0,7,743.415722
1.0,7,743.541519
1.0,7,743.674859
1.0,7,743.799004
1.0,7,743.932383
1.0,7,744.061552
1.0,7,747.522106
1.0,7,747.644219
1.0,7,747.762508
1.0,7,747.880835
1.0,7,747.996633
1.0,7,748.124625
1.0,7,748.257685
1.0,7,748.377596
1.0,7,748.497118
1.0,7,748.624105
1.0,7,748.741739
1.0,7,748.868628
1.0,7,748.995324
1.0,7,749.112283
1.0,7,749.239231
1.0,7,749.3608
1.0,7,749.486589
1.0,7,749.61584
1.0,7,749.746818
0.0,2,753.144291
1.0,7,753.268951
1.0,7,753.393735
1.0,7,753.504648
1.0,7,753.624367
0.0,3,753.675227
1.0,7,753.794925
1.0,7,753.919281
1.0,7,754.046582
1.0,7,754.164276
1.0,7,754.287202
1.0,7,754.403884
1.0,7,754.52143
1.0,7,754.649138
1.0,7,754.778965
1.0,7,754.953121
1.0,7,755.076622
1.0,7,755.20913
1.0,7,755.33938
0.0,3,755.39807
1.0,7,759.00545
1.0,7,759.119369
1.0,7,759.237267
1.0,7,759.346467
1.0,7,759.463823
1.0,7,759.585472
1.0,7,759.702229
1.0,7,759.80725
1.0,7,759.933899
1.0,7,760.051051
1.0,7,760.173815
1.0,7,760.299476
0.0,3,760.352474
1.0,7,760.489587
1.0,7,760.621974
1.0,7,760.747104
1.0,7,760.870381
1.0,7,760.989815
1.0,7,761.113646
1.0,7,764.652662
1.0,7,764.775784
1.0,7,764.900107
1.0,7,765.017936
1.0,7,765.134769
1.0,7,765.252092
1.0,7,765.371782
1.0,7,765.488106
1.0,7,765.609858
1.0,7,765.72798
1.0,7,765.84714
1.0,7,765.96781
1.0,7,766.094041
1.0,7,766.221322
