#{"t_start": 1667421408.020146, "env_id": "CTgraph-v0"}
r,l,t
0.0,2,2496.046144
0.0,3,2496.116344
0.0,4,2496.193942
0.0,2,2496.232394
0.0,2,2496.271928
0.0,2,2496.307025
0.0,4,2496.384038
0.0,6,2496.498636
0.0,2,2496.533067
0.0,2,2496.573878
0.0,2,2496.611393
0.0,4,2496.685893
0.0,2,2496.723565
0.0,2,2496.759094
0.0,2,2496.798902
0.0,4,2496.872504
0.0,4,2496.94883
0.0,2,2496.98639
0.0,4,2497.061663
0.0,2,2497.099917
0.0,2,2497.140962
0.0,2,2497.176922
0.0,4,2497.254522
0.0,2,2497.295124
0.0,6,2497.412117
0.0,4,2497.487191
0.0,2,2497.528294
0.0,2,2497.567462
0.0,2,2497.607692
0.0,3,2497.665739
0.0,2,2497.701093
0.0,2,2497.736346
0.0,2,2497.772264
0.0,2,2497.808417
0.0,2,2497.844595
0.0,2,2497.886142
0.0,2,2497.925449
0.0,2,2497.966297
0.0,2,2498.00006
0.0,2,2498.03442
0.0,2,2498.069541
0.0,4,2498.149773
0.0,2,2498.187692
0.0,2,2498.226122
0.0,4,2498.300029
0.0,2,2498.338422
0.0,4,2498.412016
0.0,4,2502.51394
0.0,4,2502.599203
0.0,4,2502.672489
0.0,2,2502.71286
0.0,2,2502.753384
0.0,2,2502.793436
0.0,2,2502.829125
0.0,2,2502.866361
0.0,2,2502.908514
0.0,2,2502.949201
0.0,4,2503.029007
0.0,4,2503.098703
0.0,2,2503.136725
0.0,2,2503.179521
0.0,4,2503.258152
0.0,2,2503.294659
0.0,2,2503.336029
0.0,4,2503.415192
0.0,2,2503.449647
0.0,2,2503.487493
0.0,4,2503.557101
0.0,4,2503.627095
0.0,2,2503.668899
0.0,4,2503.754438
0.0,2,2503.789389
0.0,2,2503.823858
0.0,2,2503.858648
0.0,2,2503.894928
0.0,2,2503.928442
0.0,2,2503.968771
0.0,2,2504.00357
0.0,2,2504.039924
0.0,2,2504.076376
0.0,2,2504.113148
0.0,4,2504.180207
0.0,2,2504.213868
0.0,2,2504.251519
0.0,4,2504.331253
0.0,4,2504.407621
0.0,2,2504.44515
0.0,2,2504.482646
0.0,2,2504.523973
0.0,4,2504.599703
0.0,3,2504.654117
0.0,4,2504.734366
0.0,4,2504.811701
0.0,2,2504.84926
0.0,2,2504.883364
0.0,2,2508.898494
0.0,2,2508.9482
0.0,2,2508.990824
0.0,2,2509.029788
0.0,2,2509.066453
0.0,2,2509.103993
0.0,4,2509.189573
0.0,2,2509.22372
0.0,4,2509.2956
0.0,2,2509.331205
0.0,2,2509.366983
0.0,2,2509.40308
0.0,3,2509.454074
0.0,6,2509.568467
0.0,2,2509.602266
0.0,2,2509.641051
0.0,2,2509.68042
0.0,2,2509.717349
0.0,2,2509.758524
0.0,2,2509.801433
0.0,2,2509.84018
0.0,2,2509.879513
0.0,2,2509.915223
0.0,2,2509.951907
0.0,3,2510.00378
0.0,2,2510.039659
0.0,2,2510.081961
0.0,2,2510.11897
0.0,2,2510.156497
0.0,4,2510.234186
0.0,4,2510.312912
0.0,2,2510.354092
0.0,2,2510.387538
0.0,2,2510.42252
0.0,2,2510.453116
0.0,4,2510.531958
0.0,2,2510.568824
0.0,6,2510.683372
0.0,3,2510.739864
0.0,2,2510.776632
0.0,2,2510.815842
0.0,2,2510.850318
0.0,2,2510.882161
0.0,2,2510.923254
0.0,2,2510.960522
0.0,2,2510.999792
0.0,4,2511.075946
0.0,4,2511.148458
0.0,2,2511.186874
0.0,4,2511.26009
0.0,4,2515.400023
0.0,2,2515.437714
0.0,2,2515.501014
0.0,2,2515.542836
0.0,4,2515.629424
0.0,2,2515.666879
0.0,2,2515.707378
0.0,2,2515.745836
0.0,2,2515.786433
0.0,6,2515.893651
0.0,2,2515.929587
0.0,2,2515.963243
0.0,2,2515.995991
0.0,4,2516.062831
0.0,2,2516.097505
0.0,2,2516.132111
0.0,6,2516.250013
0.0,4,2516.323155
0.0,2,2516.360159
0.0,2,2516.399278
0.0,2,2516.429412
0.0,5,2516.522526
0.0,3,2516.574163
0.0,2,2516.614793
0.0,2,2516.653891
0.0,4,2516.731775
0.0,2,2516.768619
0.0,4,2516.841115
0.0,2,2516.879628
0.0,2,2516.921287
0.0,3,2516.975126
0.0,2,2517.0107
0.0,2,2517.050976
0.0,2,2517.090515
0.0,2,2517.130589
0.0,2,2517.168592
0.0,4,2517.241363
0.0,6,2517.363491
0.0,2,2517.403682
0.0,3,2517.46037
0.0,3,2517.516231
0.0,2,2517.555981
0.0,2,2517.592862
0.0,2,2517.632414
0.0,4,2517.7193
0.0,2,2517.760489
0.0,2,2517.804775
0.0,4,2522.111492
0.0,3,2522.163199
0.0,4,2522.231365
0.0,2,2522.273519
0.0,2,2522.315164
0.0,2,2522.35814
0.0,2,2522.394317
0.0,2,2522.432929
0.0,2,2522.464738
0.0,2,2522.502409
0.0,2,2522.543162
0.0,2,2522.579918
0.0,4,2522.651164
0.0,4,2522.722289
0.0,2,2522.756586
0.0,2,2522.794694
0.0,2,2522.827951
0.0,4,2522.894179
0.0,5,2522.975142
0.0,2,2523.008212
0.0,2,2523.04626
0.0,5,2523.142339
0.0,2,2523.176963
0.0,2,2523.21113
0.0,2,2523.243094
0.0,2,2523.274612
0.0,2,2523.311528
0.0,2,2523.344821
0.0,3,2523.394789
0.0,2,2523.429564
0.0,2,2523.464017
0.0,2,2523.503516
0.0,2,2523.546338
0.0,3,2523.598065
0.0,2,2523.63622
0.0,2,2523.670413
0.0,3,2523.721011
0.0,4,2523.790548
0.0,2,2523.830709
0.0,4,2523.907256
0.0,2,2523.948462
0.0,2,2523.985189
0.0,2,2524.021722
0.0,2,2524.058602
0.0,2,2524.098325
0.0,2,2524.133656
0.0,2,2524.173507
0.0,2,2524.213552
0.0,4,2524.294109
0.0,2,2524.331083
0.0,5,2528.567913
1.0,7,2528.694926
1.0,7,2528.834117
1.0,7,2528.973405
1.0,7,2529.11149
1.0,7,2529.238177
1.0,7,2529.357956
1.0,7,2529.483242
1.0,7,2529.60054
1.0,7,2529.728721
1.0,7,2529.855855
1.0,7,2529.992137
1.0,7,2530.126616
1.0,7,2530.26298
1.0,7,2530.400518
1.0,7,2530.544554
1.0,7,2530.68334
1.0,7,2530.818995
1.0,7,2530.952651
