#{"t_start": 1667421414.101054, "env_id": "CTgraph-v0"}
r,l,t
0.0,2,415.337461
0.0,2,415.370043
0.0,3,415.419128
0.0,2,415.453053
0.0,2,415.486115
0.0,2,415.51925
0.0,2,415.552237
0.0,2,415.585805
0.0,2,415.619635
0.0,4,415.687203
0.0,4,415.756933
0.0,2,415.791702
0.0,2,415.827242
0.0,2,415.862724
0.0,2,415.89774
0.0,2,415.928174
0.0,4,415.998861
0.0,2,416.034191
0.0,2,416.066869
0.0,2,416.100972
0.0,4,416.171165
0.0,2,416.209265
0.0,2,416.244517
0.0,2,416.280095
0.0,4,416.357634
0.0,2,416.391721
0.0,4,416.468056
0.0,6,416.576044
0.0,4,416.64571
0.0,4,416.716507
0.0,2,416.754629
0.0,2,416.793608
0.0,2,416.831675
0.0,2,416.868997
0.0,2,416.904284
0.0,3,416.957682
0.0,2,416.992722
0.0,4,417.061634
0.0,2,417.098413
0.0,2,417.136287
0.0,2,417.171619
0.0,2,417.203753
0.0,3,417.25747
0.0,2,417.289451
0.0,2,417.32565
0.0,2,417.362518
0.0,2,417.39898
0.0,2,417.434659
0.0,2,417.469878
0.0,2,417.504587
0.0,2,417.539483
0.0,2,420.960333
0.0,2,420.994021
0.0,2,421.027342
0.0,4,421.093673
0.0,2,421.128394
0.0,2,421.163103
0.0,2,421.193806
0.0,2,421.229232
0.0,2,421.263898
0.0,2,421.299523
0.0,2,421.334254
0.0,2,421.38288
0.0,2,421.414577
0.0,2,421.44978
0.0,2,421.485287
0.0,2,421.518832
0.0,2,421.554014
0.0,2,421.586227
0.0,2,421.621124
0.0,2,421.656894
0.0,2,421.689723
0.0,2,421.726545
0.0,4,421.789609
0.0,2,421.823571
0.0,2,421.85597
0.0,2,421.889834
0.0,4,421.959674
0.0,2,421.996927
0.0,2,422.036129
0.0,2,422.066394
0.0,2,422.101826
0.0,2,422.138073
0.0,2,422.173067
0.0,2,422.207992
0.0,2,422.242908
0.0,2,422.277631
0.0,2,422.313479
0.0,2,422.349546
0.0,4,422.415626
0.0,2,422.448505
0.0,6,422.550767
0.0,4,422.620771
0.0,2,422.653983
0.0,2,422.686146
0.0,2,422.722605
0.0,2,422.75935
0.0,2,422.79797
0.0,2,422.831696
0.0,2,422.864121
0.0,2,422.90109
0.0,2,422.939054
0.0,4,423.00862
0.0,2,423.043349
0.0,2,423.079934
0.0,2,423.116929
0.0,2,423.150126
0.0,2,426.650245
0.0,2,426.683984
0.0,2,426.718129
0.0,2,426.752021
0.0,2,426.785729
0.0,2,426.820872
0.0,2,426.856505
0.0,2,426.891659
0.0,2,426.927159
0.0,2,426.963563
0.0,3,427.01717
0.0,2,427.052727
0.0,4,427.120955
0.0,2,427.155922
0.0,4,427.228796
0.0,2,427.259348
0.0,2,427.291846
0.0,2,427.327613
0.0,2,427.362065
0.0,3,427.41626
0.0,2,427.4535
0.0,2,427.486358
0.0,2,427.52413
0.0,4,427.599409
0.0,2,427.631314
0.0,4,427.698166
0.0,6,427.800742
0.0,2,427.836376
0.0,2,427.873023
0.0,4,427.940146
0.0,2,427.972569
0.0,2,428.004995
0.0,2,428.037881
0.0,3,428.091865
0.0,2,428.124744
0.0,2,428.160966
0.0,2,428.198443
0.0,6,428.299491
0.0,2,428.334815
0.0,2,428.369662
0.0,2,428.404862
0.0,2,428.439151
0.0,2,428.474112
0.0,2,428.510747
0.0,2,428.548126
0.0,2,428.581105
0.0,2,428.61649
0.0,6,428.720056
0.0,3,428.767192
0.0,2,428.801319
0.0,4,432.274079
1.0,7,432.395006
1.0,7,432.517501
1.0,7,432.638137
1.0,7,432.762691
1.0,7,432.869273
1.0,7,432.991394
1.0,7,433.116061
1.0,7,433.221961
1.0,7,433.338024
1.0,7,433.457672
1.0,7,433.582541
1.0,7,433.702403
1.0,7,433.82104
1.0,7,433.93784
1.0,7,434.05426
1.0,7,434.170908
1.0,7,434.290255
1.0,7,434.401439
0.0,3,437.773166
1.0,7,437.890754
1.0,7,438.011903
0.0,3,438.064016
1.0,7,438.188459
1.0,7,438.30773
0.0,4,438.376795
1.0,7,438.488343
1.0,7,438.609431
1.0,7,438.720807
1.0,7,438.836982
1.0,7,438.959932
1.0,7,439.073477
1.0,7,439.189942
0.0,4,439.255591
1.0,7,439.376018
1.0,7,439.497596
1.0,7,439.613487
1.0,7,439.736523
0.0,3,439.787707
1.0,7,439.902254
0.0,3,443.262489
1.0,7,443.381994
1.0,7,443.49909
0.0,7,443.62259
0.0,6,443.718321
1.0,7,443.83293
1.0,7,443.948668
1.0,7,444.070538
1.0,7,444.18856
1.0,7,444.301181
1.0,7,444.422059
1.0,7,444.537592
0.0,4,444.609563
1.0,7,444.725941
1.0,7,444.843464
1.0,7,444.960517
1.0,7,445.081259
1.0,7,445.20739
1.0,7,445.319925
0.0,7,449.252326
1.0,7,449.366674
1.0,7,449.487583
1.0,7,449.600011
0.0,4,449.66565
1.0,7,449.775721
1.0,7,449.891408
1.0,7,450.012249
1.0,7,450.134008
0.0,4,450.207579
1.0,7,450.319248
1.0,7,450.441355
1.0,7,450.555862
1.0,7,450.673442
1.0,7,450.792608
1.0,7,450.910883
1.0,7,451.028854
1.0,7,451.139228
1.0,7,451.252955
1.0,7,454.701786
1.0,7,454.824271
1.0,7,454.935344
1.0,7,455.053472
1.0,7,455.165087
1.0,7,455.288314
1.0,7,455.406614
1.0,7,455.529944
1.0,7,455.654198
1.0,7,455.775377
1.0,7,455.88569
1.0,7,456.004781
1.0,7,456.122983
1.0,7,456.252391
1.0,7,456.366408
1.0,7,456.514319
1.0,7,456.633893
1.0,7,456.748347
1.0,7,460.253739
1.0,7,460.37356
0.0,3,460.42688
1.0,7,460.551743
1.0,7,460.666732
1.0,7,460.779593
1.0,7,460.887521
1.0,7,461.006418
