#{"t_start": 1667421413.2556398, "env_id": "CTgraph-v0"}
r,l,t
0.0,2,694.36967
0.0,5,694.456386
0.0,2,694.489503
0.0,2,694.525241
0.0,4,694.591351
0.0,2,694.621469
0.0,2,694.655013
0.0,2,694.690224
0.0,2,694.725582
0.0,2,694.760205
0.0,2,694.791015
0.0,2,694.82372
0.0,2,694.853859
0.0,2,694.888524
0.0,2,694.920334
0.0,4,694.99005
0.0,2,695.026563
0.0,2,695.063155
0.0,2,695.099411
0.0,2,695.1383
0.0,2,695.175634
0.0,2,695.249824
0.0,2,695.282451
0.0,2,695.317411
0.0,2,695.352165
0.0,2,695.387706
0.0,2,695.420931
0.0,2,695.457508
0.0,2,695.4941
0.0,4,695.565626
0.0,2,695.602631
0.0,2,695.638767
0.0,2,695.673711
0.0,2,695.709921
0.0,2,695.746769
0.0,4,695.813645
0.0,2,695.848165
0.0,2,695.885166
0.0,2,695.919876
0.0,4,695.987715
0.0,4,696.059868
0.0,2,696.096927
0.0,2,696.133798
0.0,2,696.171716
0.0,2,696.207289
0.0,3,696.254761
0.0,2,696.289106
0.0,2,696.319678
0.0,2,696.355429
0.0,2,696.393716
0.0,2,696.433786
0.0,7,696.563164
0.0,2,696.59786
0.0,7,700.254575
0.0,2,700.283612
0.0,2,700.313761
0.0,2,700.34723
0.0,2,700.381699
0.0,2,700.416929
0.0,2,700.44877
0.0,2,700.485595
0.0,2,700.52104
0.0,2,700.548589
0.0,2,700.580738
0.0,2,700.615951
0.0,2,700.649151
0.0,2,700.68563
0.0,2,700.721604
0.0,6,700.827862
0.0,4,700.898904
0.0,2,700.93443
0.0,2,700.966467
0.0,2,700.999393
0.0,2,701.035441
0.0,2,701.072071
0.0,2,701.109644
0.0,2,701.142125
0.0,2,701.175775
0.0,2,701.212373
0.0,7,701.330685
0.0,4,701.398853
0.0,2,701.435108
0.0,4,701.497606
0.0,4,701.563582
0.0,2,701.596805
0.0,2,701.632062
0.0,2,701.669829
0.0,2,701.702945
0.0,5,701.787625
0.0,2,701.822803
0.0,2,701.860179
0.0,2,701.893508
0.0,4,701.960378
0.0,2,701.995444
0.0,2,702.034836
0.0,2,702.0703
0.0,4,702.140859
0.0,2,702.176666
0.0,2,702.212394
0.0,2,702.252003
0.0,2,702.288481
0.0,2,702.323768
0.0,4,705.886125
0.0,2,705.923386
0.0,2,705.957454
0.0,2,705.990957
0.0,4,706.059065
0.0,3,706.110496
0.0,2,706.144517
0.0,2,706.177817
0.0,3,706.229863
0.0,2,706.26697
0.0,3,706.320957
0.0,2,706.357849
0.0,2,706.394869
0.0,2,706.431093
0.0,2,706.467623
0.0,2,706.505711
0.0,4,706.575964
0.0,2,706.610247
0.0,4,706.680731
0.0,2,706.716537
0.0,2,706.750674
0.0,2,706.787189
0.0,4,706.856667
