#{"t_start": 1667421418.0533526, "env_id": "CTgraph-v0"}
r,l,t
0.0,2,103.63257
0.0,2,103.657749
0.0,2,103.684617
0.0,2,103.711429
0.0,2,103.738248
0.0,2,103.764813
0.0,2,103.793119
0.0,2,103.820121
0.0,5,103.886968
0.0,2,103.913854
0.0,2,103.940632
0.0,2,103.967568
0.0,2,103.99572
0.0,2,104.022314
0.0,2,104.048744
0.0,2,104.075091
0.0,2,104.101983
0.0,2,104.128792
0.0,4,104.182518
0.0,2,104.209427
0.0,4,104.262965
0.0,2,104.289875
0.0,2,104.316664
0.0,2,104.34355
0.0,4,104.397207
0.0,2,104.423704
0.0,4,104.477364
0.0,6,104.557729
0.0,3,104.597983
0.0,2,104.624974
0.0,2,104.65178
0.0,2,104.678669
0.0,2,104.705445
0.0,2,104.732246
0.0,2,104.759191
0.0,4,104.812934
0.0,2,104.839772
0.0,2,104.866603
0.0,3,104.906874
0.0,2,104.933684
0.0,4,104.987385
0.0,2,105.014145
0.0,2,105.041014
0.0,2,105.067787
0.0,2,105.094851
0.0,2,105.121604
0.0,2,105.148504
0.0,2,105.175276
0.0,2,105.202054
0.0,2,105.228899
0.0,2,105.255683
0.0,4,105.309636
0.0,2,108.463627
0.0,2,108.493091
0.0,2,108.522102
0.0,2,108.547369
0.0,6,108.629615
0.0,2,108.658665
0.0,4,108.711948
0.0,2,108.73893
0.0,2,108.768342
0.0,2,108.795059
0.0,2,108.821894
0.0,2,108.84887
0.0,2,108.875682
0.0,2,108.902582
0.0,2,108.931828
0.0,2,108.958733
0.0,2,108.984701
0.0,2,109.010373
0.0,2,109.035497
0.0,2,109.062588
0.0,2,109.089383
0.0,4,109.142917
0.0,4,109.196625
0.0,4,109.250312
0.0,2,109.277071
0.0,2,109.30389
0.0,2,109.330755
0.0,2,109.357587
0.0,4,109.41098
0.0,2,109.437879
0.0,2,109.464732
0.0,2,109.491531
0.0,2,109.518446
0.0,4,109.571413
0.0,2,109.598165
0.0,2,109.625124
0.0,2,109.65177
0.0,2,109.678514
0.0,2,109.705466
0.0,2,109.732199
0.0,2,109.759102
0.0,2,109.785889
0.0,2,109.812579
0.0,2,109.839303
0.0,2,109.866059
0.0,2,109.892712
0.0,2,109.919446
0.0,2,109.946318
0.0,4,109.999673
0.0,2,110.026442
0.0,4,110.080253
0.0,4,110.134146
0.0,2,110.161061
0.0,5,118.781764
0.0,2,118.808227
0.0,2,118.834722
0.0,3,118.875228
0.0,2,118.901355
0.0,2,118.928279
0.0,2,118.956996
0.0,2,118.983737
0.0,2,119.010409
0.0,2,119.037391
0.0,2,119.064335
0.0,2,119.0909
0.0,2,119.117766
0.0,2,119.144726
0.0,2,119.171657
0.0,2,119.198018
0.0,2,119.224927
0.0,2,119.251771
0.0,2,119.278979
0.0,2,119.305256
0.0,2,119.332297
0.0,2,119.359144
0.0,2,119.38609
0.0,4,119.439139
0.0,2,119.466115
0.0,2,119.495141
0.0,4,119.551559
0.0,4,119.60692
0.0,5,119.677584
0.0,2,119.705838
0.0,2,119.735082
0.0,2,119.763481
0.0,2,119.791882
0.0,2,119.820549
0.0,4,119.873353
0.0,2,119.899307
0.0,2,119.927423
0.0,2,119.955428
0.0,2,119.983012
0.0,2,120.009815
0.0,3,120.047327
0.0,2,120.072401
0.0,2,120.097567
0.0,2,120.122761
0.0,3,120.161139
0.0,2,120.188258
0.0,4,120.24192
0.0,3,120.282267
0.0,3,120.322696
0.0,2,120.34973
0.0,2,120.376872
0.0,4,120.431298
0.0,4,126.892334
0.0,2,126.915972
0.0,2,126.940453
0.0,4,126.981308
0.0,2,127.003455
0.0,2,127.025836
0.0,2,127.046129
0.0,2,127.065969
0.0,4,127.106855
0.0,2,127.128363
0.0,2,127.148732
0.0,4,127.191108
0.0,2,127.213423
0.0,2,127.234937
0.0,2,127.255866
0.0,2,127.27623
0.0,2,127.296076
0.0,2,127.317884
0.0,2,127.338206
0.0,2,127.359054
0.0,2,127.379139
0.0,4,127.424331
0.0,2,127.446214
0.0,2,127.467703
0.0,2,127.490839
0.0,2,127.512884
0.0,2,127.537273
0.0,5,127.595149
0.0,2,127.617018
0.0,2,127.638435
0.0,4,127.682469
0.0,6,127.747691
0.0,2,127.76961
0.0,2,127.790776
0.0,2,127.814523
0.0,3,127.846357
0.0,2,127.866637
0.0,2,127.890034
0.0,2,127.912958
0.0,2,127.935612
0.0,6,128.000566
0.0,2,128.022838
0.0,4,128.065824
0.0,2,128.087562
0.0,4,128.131133
0.0,2,128.155171
0.0,2,128.17671
0.0,2,128.197698
0.0,2,128.223584
0.0,2,128.245886
0.0,2,128.269336
0.0,2,131.61444
0.0,2,131.631108
0.0,2,131.649736
0.0,2,131.666318
0.0,2,131.68667
0.0,2,131.709923
0.0,2,131.727553
0.0,6,131.792957
0.0,2,131.813965
0.0,4,131.861733
0.0,4,131.907825
0.0,4,131.950555
0.0,3,131.983336
0.0,2,132.004922
0.0,2,132.02771
0.0,2,132.051976
0.0,2,132.076113
0.0,4,132.127226
0.0,2,132.153786
0.0,2,132.180771
0.0,2,132.207348
0.0,6,132.288138
0.0,2,132.315028
0.0,2,132.341541
0.0,2,132.367892
0.0,7,132.459697
0.0,2,132.490672
0.0,2,132.516491
0.0,2,132.543086
0.0,2,132.569887
0.0,2,132.59657
0.0,2,132.623758
0.0,2,132.651289
0.0,2,132.678857
0.0,2,132.706291
0.0,2,132.734344
0.0,4,132.789304
0.0,2,132.816953
0.0,2,132.8448
0.0,2,132.872388
0.0,2,132.900798
0.0,4,132.957505
0.0,2,132.985762
0.0,2,133.01445
0.0,4,133.071322
0.0,2,133.099524
0.0,4,133.156567
0.0,2,133.184927
0.0,2,133.213405
0.0,2,136.290518
0.0,4,136.34405
0.0,4,136.395813
0.0,2,136.421793
0.0,2,136.449476
0.0,2,136.47399
0.0,2,136.503333
0.0,2,136.532087
0.0,2,136.55829
0.0,2,136.585558
0.0,3,136.626614
0.0,2,136.655868
0.0,4,136.716842
0.0,2,136.746074
0.0,2,136.774633
0.0,2,136.800815
0.0,2,136.822448
0.0,2,136.844568
0.0,2,136.864544
0.0,2,136.884563
0.0,3,136.919245
0.0,2,136.94197
0.0,2,136.968714
0.0,4,137.022077
0.0,2,137.049192
0.0,3,137.089482
0.0,2,137.116335
0.0,2,137.143269
0.0,2,137.169969
0.0,4,137.221228
0.0,2,137.24805
0.0,2,137.275478
0.0,2,137.302261
0.0,4,137.356964
0.0,2,137.384882
0.0,2,137.412636
0.0,2,137.440048
0.0,4,137.495149
0.0,2,137.523098
0.0,2,137.550786
0.0,2,137.580747
0.0,2,137.608282
0.0,2,137.636863
0.0,2,137.665133
0.0,2,137.69336
0.0,4,137.750327
0.0,4,137.807177
0.0,4,137.864346
0.0,4,137.921304
0.0,2,137.949412
0.0,6,141.029157
0.0,2,141.056339
0.0,2,141.085663
0.0,2,141.115256
0.0,2,141.142548
0.0,2,141.171144
0.0,3,141.210742
0.0,2,141.238872
0.0,2,141.268014
0.0,2,141.294462
0.0,2,141.321465
0.0,4,141.377755
0.0,2,141.405299
0.0,2,141.434277
0.0,2,141.463412
0.0,4,141.520442
0.0,2,141.549829
0.0,2,141.57707
0.0,2,141.603982
0.0,2,141.628121
0.0,2,141.651325
0.0,2,141.673257
0.0,2,141.697032
0.0,2,141.720001
0.0,2,141.745378
0.0,2,141.768788
0.0,2,141.792021
0.0,2,141.81541
0.0,3,141.855251
