#{"t_start": 1667421418.603896, "env_id": "CTgraph-v0"}
r,l,t
0.0,2,103.084646
0.0,7,103.1765
0.0,3,103.216806
0.0,2,103.244969
0.0,2,103.272226
0.0,2,103.298462
0.0,2,103.325227
0.0,2,103.351727
0.0,2,103.378395
0.0,2,103.405472
0.0,2,103.433792
0.0,2,103.460476
0.0,2,103.487043
0.0,4,103.540022
0.0,4,103.593832
0.0,2,103.620286
0.0,2,103.647605
0.0,2,103.674339
0.0,2,103.700823
0.0,2,103.727344
0.0,2,103.754313
0.0,2,103.781172
0.0,2,103.808121
0.0,2,103.834899
0.0,2,103.861629
0.0,2,103.888262
0.0,2,103.91502
0.0,2,103.941833
0.0,2,103.969411
0.0,2,103.995658
0.0,2,104.022626
0.0,2,104.049646
0.0,2,104.07673
0.0,3,104.116307
0.0,2,104.143038
0.0,2,104.16996
0.0,2,104.196747
0.0,2,104.223928
0.0,2,104.25104
0.0,2,104.277721
0.0,2,104.304586
0.0,4,104.35822
0.0,2,104.385347
0.0,2,104.411927
0.0,3,104.451821
0.0,2,104.478695
0.0,2,104.505492
0.0,3,104.546423
0.0,2,104.573243
0.0,2,104.5998
0.0,2,104.626834
0.0,2,104.653659
0.0,2,104.680414
0.0,2,104.70699
0.0,2,104.73403
0.0,2,104.761155
0.0,2,107.915435
0.0,2,107.945239
0.0,2,107.974097
0.0,2,107.999587
0.0,2,108.027313
0.0,2,108.054478
0.0,5,108.122832
0.0,2,108.149586
0.0,2,108.17762
0.0,2,108.206264
0.0,2,108.232386
0.0,5,108.300434
0.0,2,108.327333
0.0,2,108.354808
0.0,6,108.436431
0.0,2,108.461783
0.0,2,108.486866
0.0,2,108.514033
0.0,3,108.554286
0.0,2,108.581235
0.0,6,108.66149
0.0,2,108.688399
0.0,2,108.715233
0.0,4,108.768929
0.0,2,108.795978
0.0,2,108.822776
0.0,2,108.849409
0.0,3,108.889496
0.0,2,108.916271
0.0,2,108.943069
0.0,2,108.969971
0.0,2,108.995981
0.0,2,109.023055
0.0,2,109.049708
0.0,2,109.076797
