#{"t_start": 1667421418.3340611, "env_id": "CTgraph-v0"}
r,l,t
0.0,2,103.353395
0.0,2,103.378114
0.0,2,103.404994
0.0,2,103.4319
0.0,2,103.458921
0.0,2,103.485308
0.0,2,103.513605
0.0,2,103.540746
0.0,2,103.567084
0.0,2,103.593944
0.0,2,103.620577
0.0,2,103.647225
0.0,2,103.674206
0.0,2,103.702432
0.0,2,103.728933
0.0,2,103.755662
0.0,4,103.808641
0.0,2,103.835651
0.0,2,103.86239
0.0,4,103.916103
0.0,2,103.942902
0.0,3,103.983356
0.0,2,104.010278
0.0,4,104.063925
0.0,2,104.090483
0.0,2,104.117568
0.0,2,104.144196
0.0,7,104.237934
0.0,2,104.264382
0.0,2,104.291319
0.0,2,104.318399
0.0,2,104.345462
0.0,2,104.372118
0.0,2,104.399078
0.0,2,104.425846
0.0,2,104.452627
0.0,3,104.492698
0.0,2,104.519688
0.0,2,104.546383
0.0,2,104.573356
0.0,2,104.60009
0.0,4,104.654109
0.0,2,104.680702
0.0,6,104.761368
0.0,2,104.788181
0.0,2,104.81525
0.0,2,104.842021
0.0,4,104.895662
0.0,2,104.922446
0.0,2,104.949211
0.0,4,105.002831
0.0,2,105.029962
0.0,6,108.242733
0.0,2,108.268165
0.0,4,108.323211
0.0,2,108.350047
0.0,2,108.379107
0.0,2,108.405074
0.0,2,108.432416
0.0,2,108.459711
0.0,2,108.488649
0.0,2,108.515459
0.0,2,108.542203
0.0,2,108.569198
0.0,2,108.596059
0.0,2,108.623191
0.0,3,108.665406
0.0,2,108.692331
0.0,2,108.717764
0.0,2,108.742403
0.0,2,108.769176
0.0,2,108.796134
0.0,4,108.84979
0.0,2,108.876574
0.0,4,108.930107
0.0,2,108.957016
0.0,2,108.983817
0.0,2,109.010653
0.0,2,109.037499
0.0,2,109.064486
0.0,2,109.091294
0.0,2,109.11792
0.0,2,109.144686
0.0,4,109.198432
0.0,2,109.22522
0.0,2,109.252073
0.0,2,109.278273
0.0,2,109.30504
0.0,2,109.331914
0.0,2,109.358716
0.0,4,109.412204
0.0,2,109.439128
0.0,2,109.466047
0.0,7,109.56007
0.0,2,109.586708
0.0,2,109.613
0.0,4,109.666615
0.0,4,109.719965
0.0,2,109.746712
0.0,3,109.78676
0.0,2,109.813784
0.0,2,109.840759
0.0,2,109.867676
0.0,2,109.894916
0.0,2,118.473542
0.0,6,118.555163
0.0,2,118.581553
0.0,2,118.608142
0.0,2,118.635354
0.0,2,118.662162
0.0,2,118.691075
0.0,2,118.717702
0.0,2,118.744121
0.0,2,118.770789
0.0,2,118.797557
0.0,2,118.824758
0.0,2,118.85149
0.0,4,118.904747
0.0,2,118.93195
0.0,2,118.958579
0.0,2,118.985401
0.0,4,119.039265
0.0,2,119.065867
0.0,2,119.092546
0.0,2,119.119209
0.0,2,119.146264
0.0,2,119.172757
0.0,2,119.199507
0.0,2,119.22842
0.0,2,119.255974
0.0,3,119.298875
0.0,2,119.327725
0.0,2,119.355367
0.0,2,119.383484
0.0,2,119.412162
0.0,4,119.468993
0.0,2,119.497787
0.0,2,119.526737
0.0,2,119.554538
0.0,2,119.580381
0.0,2,119.606142
0.0,2,119.634572
0.0,2,119.661478
0.0,2,119.689101
0.0,2,119.71679
0.0,4,119.767732
0.0,4,119.817897
0.0,2,119.843105
0.0,2,119.867949
0.0,2,119.894692
0.0,2,119.921794
0.0,2,119.948558
0.0,4,120.002497
0.0,4,120.056288
0.0,2,120.083322
0.0,2,120.110536
0.0,5,120.178574
0.0,4,126.636482
0.0,2,126.66119
0.0,2,126.681334
0.0,2,126.701666
0.0,2,126.723855
0.0,2,126.746281
0.0,2,126.76659
0.0,2,126.78642
0.0,2,126.807479
0.0,2,126.827332
0.0,2,126.848665
0.0,2,126.869293
0.0,2,126.890112
0.0,2,126.911456
0.0,4,126.95533
0.0,2,126.976115
0.0,2,126.996497
0.0,2,127.016341
0.0,2,127.038147
0.0,2,127.058459
0.0,2,127.079341
0.0,2,127.099485
0.0,2,127.122977
0.0,2,127.144615
0.0,2,127.16653
0.0,2,127.187999
0.0,2,127.211137
0.0,2,127.233246
0.0,2,127.25765
0.0,2,127.280484
0.0,2,127.302389
0.0,2,127.326072
0.0,6,127.391421
0.0,2,127.413285
0.0,2,127.43497
0.0,2,127.456706
0.0,4,127.500099
