#{"t_start": 1667421421.6557534, "env_id": "CTgraph-v0"}
r,l,t
0.0,2,675.757448
0.0,4,675.823909
0.0,2,675.8603
0.0,2,675.896483
0.0,4,675.966355
0.0,2,676.001687
0.0,4,676.072353
0.0,2,676.10696
0.0,3,676.161829
0.0,2,676.199893
0.0,6,676.300267
0.0,3,676.352113
0.0,2,676.383849
0.0,2,676.417072
0.0,2,676.451283
0.0,2,676.485175
0.0,2,676.519073
0.0,2,676.552088
0.0,2,676.585432
0.0,4,676.657704
0.0,2,676.692146
0.0,3,676.74411
0.0,4,676.815781
0.0,2,676.853042
0.0,2,676.891699
0.0,2,676.92857
0.0,2,676.966088
0.0,2,677.004503
0.0,4,677.079661
0.0,2,677.115911
0.0,4,677.185238
0.0,2,677.21657
0.0,2,677.247982
0.0,2,677.28275
0.0,2,677.320469
0.0,2,677.35582
0.0,2,677.388756
0.0,2,677.422247
0.0,2,677.457595
0.0,6,677.564439
0.0,2,677.599389
0.0,2,677.63311
0.0,2,677.669554
0.0,2,677.704707
0.0,3,677.758081
0.0,2,677.790013
0.0,2,677.82189
0.0,4,677.885459
0.0,2,677.919159
0.0,2,677.957399
0.0,2,681.322944
0.0,4,681.384331
0.0,2,681.416525
0.0,4,681.483768
0.0,2,681.516545
0.0,2,681.551705
0.0,2,681.585246
0.0,2,681.620049
0.0,2,681.652244
0.0,4,681.724322
0.0,4,681.797134
0.0,2,681.828631
0.0,2,681.861457
0.0,2,681.896479
0.0,2,681.932228
0.0,2,681.964366
0.0,2,681.997651
0.0,2,682.030715
0.0,2,682.06661
0.0,2,682.099355
0.0,2,682.136595
0.0,4,682.207573
0.0,2,682.240621
0.0,2,682.2776
0.0,2,682.314773
0.0,4,682.387063
0.0,2,682.423049
0.0,2,682.459055
0.0,2,682.49685
0.0,4,682.570772
0.0,2,682.608497
0.0,2,682.642529
0.0,2,682.681659
0.0,4,682.751604
0.0,4,682.816446
0.0,2,682.851662
0.0,2,682.889499
0.0,2,682.923152
0.0,4,682.990225
0.0,2,683.023472
0.0,2,683.060391
0.0,2,683.095062
0.0,4,683.165562
0.0,2,683.19886
0.0,2,683.23507
0.0,4,683.299709
0.0,4,683.368061
0.0,2,683.402075
0.0,2,683.437766
0.0,2,683.47017
0.0,4,686.976469
0.0,4,687.041373
0.0,2,687.073359
0.0,3,687.124084
0.0,2,687.157911
0.0,2,687.191691
0.0,2,687.225001
0.0,2,687.261938
0.0,4,687.333696
0.0,2,687.370419
0.0,3,687.426435
0.0,4,687.498098
0.0,2,687.531514
0.0,2,687.56626
0.0,4,687.635241
0.0,2,687.672058
0.0,4,687.743776
0.0,3,687.796222
0.0,2,687.827399
0.0,2,687.866689
0.0,2,687.904362
0.0,2,687.938582
0.0,2,687.976649
0.0,2,688.010675
0.0,2,688.043153
0.0,2,688.078647
0.0,3,688.136945
0.0,2,688.172112
0.0,2,688.208851
0.0,2,688.244233
0.0,4,688.309037
0.0,2,688.341149
0.0,4,688.408338
0.0,2,688.445932
0.0,2,688.481307
0.0,3,688.53428
0.0,2,688.569537
0.0,2,688.603413
0.0,4,688.66857
0.0,2,688.70437
0.0,2,688.738388
0.0,2,688.774121
0.0,2,688.809723
0.0,2,688.839526
0.0,2,688.86979
0.0,2,688.907031
0.0,2,688.943879
0.0,2,688.97765
0.0,2,689.013485
0.0,3,689.068155
0.0,2,689.100644
0.0,2,689.138154
0.0,2,689.17462
0.0,2,692.604521
0.0,6,692.707449
0.0,2,692.736564
0.0,2,692.774093
0.0,2,692.807284
0.0,2,692.840866
0.0,2,692.877005
0.0,2,692.910824
0.0,2,692.946871
0.0,2,692.982682
0.0,4,693.05404
0.0,6,693.151699
0.0,2,693.185541
0.0,2,693.220015
0.0,3,693.271667
0.0,2,693.308533
0.0,2,693.344973
0.0,2,693.382238
0.0,2,693.420731
0.0,2,693.458806
0.0,2,693.495395
0.0,2,693.533484
0.0,2,693.566897
0.0,2,693.601642
0.0,4,693.676232
0.0,2,693.716032
0.0,2,693.754582
0.0,4,693.826827
0.0,7,693.951586
0.0,2,693.988201
0.0,2,694.023389
0.0,2,694.05562
0.0,4,694.128488
0.0,2,694.161353
0.0,4,694.23078
0.0,2,694.26675
0.0,2,694.301773
0.0,2,694.33517
0.0,2,694.371251
0.0,2,694.405741
0.0,2,694.441753
0.0,2,694.477891
0.0,2,694.51447
0.0,2,694.551136
0.0,2,694.58344
0.0,2,694.619548
0.0,2,694.654909
0.0,3,694.701849
0.0,2,694.738039
0.0,2,694.774428
0.0,5,698.43954
1.0,7,698.567521
1.0,7,698.687709
1.0,7,698.80576
1.0,7,698.921356
1.0,7,699.039667
1.0,7,699.162431
1.0,7,699.290329
1.0,7,699.416359
1.0,7,699.542129
1.0,7,699.668258
0.0,4,699.737842
1.0,7,699.865551
1.0,7,699.988631
1.0,7,700.110952
1.0,7,700.233452
1.0,7,700.357882
1.0,7,700.470659
1.0,7,700.595235
1.0,7,704.132199
1.0,7,704.250118
1.0,7,704.374054
1.0,7,704.489704
1.0,7,704.606028
1.0,7,704.727487
1.0,7,704.850808
1.0,7,704.974455
1.0,7,705.099511
1.0,7,705.2197
1.0,7,705.339609
1.0,7,705.466155
1.0,7,705.593479
1.0,7,705.723923
1.0,7,705.849121
1.0,7,705.963529
1.0,7,706.078906
1.0,7,706.200653
1.0,7,709.673427
1.0,7,709.794652
1.0,7,709.910266
1.0,7,710.034701
1.0,7,710.162565
1.0,7,710.2829
1.0,7,710.402281
1.0,7,710.522895
1.0,7,710.650838
1.0,7,710.779856
1.0,7,710.901623
1.0,7,711.021623
1.0,7,711.14717
1.0,7,711.26649
1.0,7,711.396543
1.0,7,711.525813
1.0,7,711.646129
1.0,7,711.764388
1.0,7,712.075426
1.0,7,715.611992
1.0,7,715.739785
1.0,7,715.865552
1.0,7,715.987654
1.0,7,716.103489
1.0,7,716.221179
1.0,7,716.344731
1.0,7,716.472602
1.0,7,716.599011
1.0,7,716.714634
1.0,7,716.833457
1.0,7,716.987736
1.0,7,717.11192
1.0,7,717.234943
1.0,7,717.358681
1.0,7,717.483342
1.0,7,717.596257
1.0,7,717.715246
1.0,7,721.235672
1.0,7,721.363131
1.0,7,721.487528
1.0,7,721.604338
1.0,7,721.729063
1.0,7,721.845612
1.0,7,721.958285
1.0,7,722.082732
1.0,7,722.21514
1.0,7,722.349907
1.0,7,722.471762
1.0,7,722.594936
1.0,7,722.719537
1.0,7,722.846989
1.0,7,722.978225
1.0,7,723.100599
1.0,7,723.223502
1.0,7,723.341322
1.0,7,726.859449
1.0,7,726.981763
1.0,7,727.091574
1.0,7,727.200615
1.0,7,727.319474
1.0,7,727.425933
1.0,7,727.536462
1.0,7,727.654706
1.0,7,727.774027
1.0,7,727.912096
1.0,7,728.038027
1.0,7,728.153881
1.0,7,728.278418
1.0,7,728.401
1.0,7,728.526408
1.0,7,728.654034
1.0,7,728.782047
1.0,7,728.89642
1.0,7,732.385061
1.0,7,732.503228
1.0,7,732.627488
1.0,7,732.744541
1.0,7,732.862244
1.0,7,732.986939
1.0,7,733.104544
1.0,7,733.22619
1.0,7,733.353509
1.0,7,733.475988
1.0,7,733.596362
1.0,7,733.721414
1.0,7,733.838854
1.0,7,733.966524
1.0,7,734.090864
1.0,7,734.220867
1.0,7,734.349072
1.0,7,734.466445
1.0,7,734.588194
1.0,7,738.130397
1.0,7,738.248145
1.0,7,738.372592
1.0,7,738.493307
1.0,7,738.613746
1.0,7,738.73234
1.0,7,738.852806
1.0,7,738.962161
1.0,7,739.075489
1.0,7,739.197791
1.0,7,739.320303
1.0,7,739.445234
1.0,7,739.571187
1.0,7,739.700783
1.0,7,739.831794
1.0,7,739.954002
1.0,7,740.071242
1.0,7,740.185282
1.0,7,743.754301
1.0,7,743.878472
1.0,7,743.990729
1.0,7,744.108266
1.0,7,744.226095
1.0,7,744.342291
1.0,7,744.461915
1.0,7,744.576416
1.0,7,744.691085
1.0,7,744.810806
1.0,7,744.938396
1.0,7,745.068812
1.0,7,745.190972
1.0,7,745.315308
1.0,7,745.442966
1.0,7,745.572905
1.0,7,745.700798
1.0,7,745.816679
1.0,7,749.401522
1.0,7,749.521517
1.0,7,749.637554
1.0,7,749.752235
1.0,7,749.867714
1.0,7,749.986082
1.0,7,750.101533
1.0,7,750.225797
1.0,7,750.343638
1.0,7,750.474274
1.0,7,750.598109
1.0,7,750.729577
1.0,7,750.860053
1.0,7,750.9844
1.0,7,751.116774
1.0,7,751.242592
1.0,7,751.371751
1.0,7,751.489735
1.0,7,751.612796
1.0,7,755.155005
1.0,7,755.268505
1.0,7,755.395383
1.0,7,755.519773
1.0,7,755.644517
1.0,7,755.765974
1.0,7,755.881805
1.0,7,756.001734
1.0,7,756.11712
1.0,7,756.242088
1.0,7,756.372943
1.0,7,756.504077
1.0,7,756.623485
1.0,7,756.750192
1.0,7,756.871532
1.0,7,757.020652
1.0,7,757.145818
1.0,7,757.262436
1.0,7,760.812742
1.0,7,760.926759
1.0,7,761.043246
1.0,7,761.159194
1.0,7,761.286513
1.0,7,761.407351
1.0,7,761.512221
1.0,7,761.623535
1.0,7,761.741446
1.0,7,761.859107
1.0,7,761.975929
1.0,7,762.104692
1.0,7,762.221486
1.0,7,762.339476
1.0,7,762.45777
1.0,7,762.584959
1.0,7,762.706523
