#{"t_start": 1667421421.6555958, "env_id": "CTgraph-v0"}
r,l,t
0.0,2,100.008555
0.0,2,100.035627
0.0,2,100.063715
0.0,2,100.090195
0.0,2,100.116704
0.0,3,100.156173
0.0,3,100.196174
0.0,4,100.250016
0.0,2,100.276566
0.0,2,100.303808
0.0,2,100.330605
0.0,2,100.357414
0.0,2,100.38211
0.0,2,100.408637
0.0,2,100.435158
0.0,6,100.515813
0.0,4,100.568757
0.0,2,100.595762
0.0,2,100.622752
0.0,2,100.649619
0.0,3,100.689621
0.0,2,100.716368
0.0,4,100.769841
0.0,2,100.796688
0.0,4,100.850098
0.0,4,100.903955
0.0,3,100.944598
0.0,2,100.971107
0.0,2,100.997692
0.0,2,101.024802
0.0,4,101.078474
0.0,2,101.105294
0.0,2,101.132079
0.0,2,101.158785
0.0,2,101.185889
0.0,2,101.212693
0.0,2,101.239877
0.0,2,101.266599
0.0,4,101.320202
0.0,2,101.347255
0.0,2,101.373934
0.0,2,101.400721
0.0,2,101.427458
0.0,2,101.454669
0.0,2,101.481815
0.0,2,101.508015
0.0,2,101.534713
0.0,2,101.561783
0.0,2,101.588115
0.0,2,101.615484
0.0,2,101.642001
0.0,2,101.669091
0.0,2,101.695866
0.0,2,104.835577
0.0,2,104.858147
0.0,2,104.881976
0.0,2,104.908396
0.0,2,104.932799
0.0,4,104.986802
0.0,2,105.012949
0.0,2,105.040056
0.0,2,105.066782
0.0,2,105.093501
0.0,2,105.120574
0.0,2,105.147587
0.0,2,105.17406
0.0,2,105.20065
0.0,4,105.254026
0.0,4,105.307916
0.0,3,105.34811
0.0,2,105.374971
0.0,2,105.399766
0.0,2,105.425004
0.0,2,105.451674
0.0,2,105.478023
0.0,2,105.505101
0.0,2,105.531663
0.0,2,105.558932
0.0,2,105.585338
0.0,4,105.638819
0.0,2,105.665658
0.0,2,105.692257
0.0,2,105.719283
0.0,2,105.746156
0.0,4,105.799517
0.0,2,105.826506
0.0,2,105.854403
0.0,4,105.907044
0.0,2,105.933946
0.0,4,105.986957
0.0,2,106.01406
0.0,2,106.040624
0.0,2,106.067112
0.0,2,106.09417
0.0,2,106.120845
0.0,2,106.147146
0.0,2,106.173864
0.0,4,106.227281
0.0,4,106.281254
0.0,2,106.30807
0.0,2,106.334896
0.0,2,106.361763
0.0,2,106.38851
0.0,2,106.415061
0.0,2,106.442314
0.0,4,106.496254
0.0,4,113.965994
0.0,2,113.977409
0.0,4,113.99934
0.0,2,114.011829
0.0,2,114.024249
0.0,3,114.043387
0.0,2,114.055788
0.0,6,114.091224
0.0,2,114.103408
0.0,4,114.128242
0.0,2,114.139858
0.0,4,114.160992
0.0,4,114.181263
0.0,2,114.191866
0.0,4,114.217154
0.0,2,114.230721
0.0,2,114.245202
0.0,2,114.259125
0.0,2,114.271117
0.0,2,114.281907
0.0,2,114.292351
0.0,2,114.30398
0.0,4,114.327594
0.0,2,114.338854
0.0,2,114.348518
0.0,2,114.360947
0.0,2,114.372768
0.0,2,114.384658
0.0,4,114.406796
0.0,2,114.417731
0.0,2,114.428679
0.0,2,114.439522
0.0,2,114.450771
0.0,6,114.48848
0.0,2,114.50016
0.0,2,114.512629
0.0,2,114.524635
0.0,4,114.549854
0.0,2,114.562297
0.0,2,114.575257
0.0,2,114.589162
0.0,2,114.60263
0.0,2,114.614988
0.0,2,114.62851
0.0,4,114.652294
0.0,2,114.663727
0.0,2,114.676207
0.0,6,114.716779
0.0,2,116.582592
0.0,2,116.609597
0.0,2,116.636211
0.0,7,116.730791
0.0,2,116.75756
0.0,2,116.784629
0.0,2,116.81197
0.0,2,116.839032
0.0,2,116.866209
0.0,2,116.893136
0.0,2,116.919978
0.0,2,116.947082
0.0,2,116.974159
0.0,4,117.028173
0.0,2,117.055661
0.0,2,117.082609
0.0,2,117.109514
0.0,2,117.136528
0.0,2,117.163671
0.0,2,117.190722
0.0,2,117.217643
0.0,2,117.244665
0.0,2,117.271761
0.0,4,117.325887
0.0,2,117.352883
0.0,2,117.380033
0.0,2,117.407058
0.0,2,117.43415
0.0,2,117.461106
0.0,2,117.488049
0.0,2,117.515283
0.0,2,117.542391
0.0,2,117.569475
0.0,2,117.596322
0.0,6,117.682534
0.0,4,117.741229
0.0,2,117.770738
0.0,2,117.801298
0.0,2,117.832568
0.0,2,117.864519
0.0,4,117.968106
0.0,2,118.002486
0.0,2,118.039955
0.0,2,118.0772
0.0,2,118.109857
0.0,4,118.17955
0.0,2,118.212828
0.0,7,118.33123
0.0,2,118.364735
