#{"t_start": 1667421421.091978, "env_id": "CTgraph-v0"}
r,l,t
0.0,2,399.844542
0.0,2,399.879282
0.0,4,399.94229
0.0,2,399.977257
0.0,2,400.013871
0.0,2,400.049958
0.0,2,400.085343
0.0,4,400.159014
0.0,2,400.192834
0.0,4,400.264522
0.0,2,400.296263
0.0,4,400.356485
0.0,2,400.387382
0.0,2,400.417969
0.0,2,400.449927
0.0,2,400.484591
0.0,2,400.520583
0.0,2,400.554276
0.0,2,400.587534
0.0,2,400.621201
0.0,2,400.658032
0.0,2,400.69468
0.0,2,400.728978
0.0,2,400.75993
0.0,2,400.794173
0.0,2,400.829
0.0,2,400.864658
0.0,2,400.901855
0.0,2,400.934849
0.0,2,400.971608
0.0,2,401.00871
0.0,2,401.045115
0.0,3,401.094096
0.0,4,401.166479
0.0,2,401.200827
0.0,4,401.26561
0.0,2,401.300632
0.0,2,401.333673
0.0,2,401.370895
0.0,4,401.438965
0.0,2,401.471829
0.0,4,401.537237
0.0,2,401.572484
0.0,2,401.608527
0.0,4,401.681015
0.0,2,401.716421
0.0,2,401.750611
0.0,2,401.785014
0.0,2,401.817939
0.0,2,401.850286
0.0,2,401.8838
0.0,2,401.915421
0.0,2,401.94523
0.0,2,401.977126
0.0,2,405.266442
0.0,2,405.30083
0.0,2,405.335494
0.0,2,405.369837
0.0,2,405.404852
0.0,2,405.440466
0.0,2,405.475619
0.0,2,405.508159
0.0,4,405.582159
0.0,2,405.618252
0.0,2,405.65455
0.0,3,405.70978
0.0,4,405.775334
0.0,2,405.806483
0.0,2,405.838802
0.0,2,405.867913
0.0,2,405.901087
0.0,4,405.970306
0.0,2,406.002736
0.0,4,406.073036
0.0,2,406.108679
0.0,2,406.142427
0.0,3,406.196449
0.0,3,406.246621
0.0,2,406.282923
0.0,2,406.318165
0.0,2,406.355403
0.0,2,406.392727
0.0,2,406.42644
0.0,2,406.45918
0.0,2,406.495863
0.0,2,406.530521
0.0,2,406.565346
0.0,2,406.600806
0.0,2,406.635909
0.0,2,406.670581
0.0,2,406.704414
0.0,2,406.741455
0.0,2,406.780064
0.0,2,406.815366
0.0,2,406.850204
0.0,2,406.882378
0.0,2,406.913913
0.0,2,406.945292
0.0,2,406.981691
0.0,5,407.074194
0.0,2,407.111863
0.0,4,407.186968
0.0,2,407.224761
0.0,4,407.294663
0.0,2,407.328634
0.0,2,407.361429
0.0,2,407.391966
0.0,2,407.42208
0.0,2,407.448667
0.0,2,410.938852
0.0,2,410.973197
0.0,2,411.005562
0.0,4,411.070641
0.0,6,411.165484
0.0,4,411.226464
0.0,2,411.257084
0.0,4,411.320497
0.0,2,411.349584
0.0,2,411.38268
0.0,6,411.476687
0.0,2,411.509373
0.0,2,411.539273
0.0,2,411.570473
0.0,2,411.604198
0.0,2,411.640176
0.0,2,411.677816
0.0,4,411.75197
0.0,2,411.798006
0.0,2,411.832099
0.0,2,411.866148
0.0,4,411.935312
0.0,4,412.009564
0.0,2,412.04452
0.0,2,412.07973
0.0,2,412.114716
0.0,2,412.152192
0.0,2,412.189932
0.0,2,412.226521
0.0,2,412.259561
0.0,2,412.29633
0.0,2,412.330192
0.0,2,412.368447
0.0,2,412.406525
0.0,2,412.440113
0.0,4,412.509794
0.0,3,412.565413
0.0,2,412.602394
0.0,2,412.640299
0.0,2,412.677751
0.0,2,412.714414
0.0,4,412.790097
0.0,2,412.828429
0.0,2,412.861795
0.0,2,412.898372
0.0,2,412.93614
0.0,2,412.968835
0.0,3,413.015846
0.0,3,413.058644
0.0,3,413.111854
0.0,2,416.299591
0.0,2,416.334528
0.0,2,416.369872
0.0,4,416.440493
0.0,2,416.476031
0.0,2,416.511617
0.0,2,416.547487
0.0,2,416.57962
0.0,2,416.612138
0.0,2,416.645512
0.0,2,416.679517
0.0,2,416.711205
0.0,2,416.743159
0.0,2,416.773698
0.0,2,416.803851
0.0,2,416.834912
0.0,4,416.896041
0.0,3,416.942586
0.0,2,416.975738
0.0,2,417.004921
0.0,2,417.036246
0.0,2,417.070771
0.0,4,417.14041
0.0,2,417.174739
0.0,2,417.210613
0.0,2,417.243846
0.0,2,417.280339
0.0,2,417.31568
0.0,2,417.347704
0.0,2,417.380914
0.0,2,417.415202
0.0,3,417.468007
0.0,2,417.505837
0.0,2,417.542751
0.0,2,417.578951
0.0,2,417.61416
0.0,2,417.650763
0.0,2,417.688026
0.0,4,417.761866
0.0,2,417.79824
0.0,2,417.833223
0.0,2,417.870335
0.0,2,417.904472
0.0,2,417.941653
0.0,3,417.99473
0.0,4,418.06867
0.0,2,418.106598
0.0,2,418.144284
0.0,4,418.214796
0.0,2,418.253235
0.0,2,418.290295
0.0,2,418.324618
0.0,2,418.355336
0.0,2,418.392432
0.0,2,418.429429
0.0,2,418.464328
0.0,2,418.501865
1.0,7,422.017446
1.0,7,422.134629
1.0,7,422.253446
1.0,7,422.357634
1.0,7,422.459838
1.0,7,422.572011
1.0,7,422.690742
1.0,7,422.809134
0.0,4,422.880343
1.0,7,422.999633
1.0,7,423.124397
1.0,7,423.246042
1.0,7,423.375208
1.0,7,423.501257
1.0,7,423.628628
1.0,7,423.756856
1.0,7,423.877872
1.0,7,423.999474
1.0,7,427.462264
1.0,7,427.578382
1.0,7,427.694422
1.0,7,427.807439
0.0,4,427.867984
1.0,7,427.978262
1.0,7,428.086064
1.0,7,428.191871
1.0,7,428.310174
1.0,7,428.428688
1.0,7,428.553078
1.0,7,428.668986
1.0,7,428.791148
1.0,7,428.904509
1.0,7,429.034162
1.0,7,429.158118
1.0,7,429.289565
1.0,7,429.419962
1.0,7,429.544618
1.0,7,433.006705
1.0,7,433.129265
1.0,7,433.242089
1.0,7,433.359432
1.0,7,433.471831
1.0,7,433.594398
1.0,7,433.704708
1.0,7,433.814754
1.0,7,433.93617
1.0,7,434.058246
1.0,7,434.183943
1.0,7,434.303817
1.0,7,434.447139
1.0,7,434.577307
1.0,7,434.696892
1.0,7,434.81814
1.0,7,434.943165
1.0,7,435.061418
1.0,7,438.450943
1.0,7,438.570471
1.0,7,438.689281
1.0,7,438.796699
0.0,4,438.862415
1.0,7,438.978057
1.0,7,439.097245
1.0,7,439.216198
1.0,7,439.32469
1.0,7,439.519854
1.0,7,439.648976
1.0,7,439.775989
1.0,7,439.898461
1.0,7,440.02667
1.0,7,440.157803
1.0,7,440.282501
1.0,7,440.402993
1.0,7,440.531548
1.0,7,440.655476
1.0,7,443.926524
1.0,7,444.052418
1.0,7,444.171583
1.0,7,444.278205
1.0,7,444.389349
1.0,7,444.515999
1.0,7,444.633085
1.0,7,444.741155
1.0,7,444.84877
1.0,7,444.956098
1.0,7,445.070095
1.0,7,445.176437
1.0,7,445.299544
1.0,7,445.41989
1.0,7,445.538534
1.0,7,445.658404
1.0,7,445.787622
1.0,7,445.911314
1.0,7,449.409831
1.0,7,449.621852
1.0,7,449.738762
1.0,7,449.849889
1.0,7,449.970669
1.0,7,450.085058
1.0,7,450.202112
1.0,7,450.312884
1.0,7,450.423744
1.0,7,450.537865
1.0,7,450.650236
1.0,7,450.771019
1.0,7,450.895095
1.0,7,451.009277
1.0,7,451.130798
1.0,7,451.25738
1.0,7,451.375067
1.0,7,451.497732
1.0,7,451.623399
1.0,7,455.094288
1.0,7,455.208632
1.0,7,455.324694
1.0,7,455.445162
1.0,7,455.566287
1.0,7,455.682147
1.0,7,455.797474
1.0,7,455.907175
1.0,7,456.014502
1.0,7,456.123911
1.0,7,456.240499
