#{"t_start": 1667421421.93124, "env_id": "CTgraph-v0"}
r,l,t
0.0,2,1707.453438
0.0,7,1707.589995
0.0,4,1707.666595
0.0,4,1707.742637
0.0,3,1707.802022
0.0,2,1707.841374
0.0,4,1707.913109
0.0,2,1707.954747
0.0,2,1707.990876
0.0,4,1708.061277
0.0,2,1708.096182
0.0,2,1708.136774
0.0,2,1708.176926
0.0,3,1708.233338
0.0,2,1708.275593
0.0,2,1708.311836
0.0,2,1708.349567
0.0,4,1708.425231
0.0,2,1708.465135
0.0,2,1708.509978
0.0,2,1708.549616
0.0,4,1708.623395
0.0,2,1708.659293
0.0,2,1708.694451
0.0,2,1708.731519
0.0,2,1708.773064
0.0,3,1708.822965
0.0,2,1708.861483
0.0,2,1708.897591
0.0,2,1708.935108
0.0,2,1708.975714
0.0,4,1709.041577
0.0,4,1709.114192
0.0,2,1709.151419
0.0,2,1709.190952
0.0,2,1709.22658
0.0,4,1709.302742
0.0,4,1709.381024
0.0,3,1709.437792
0.0,2,1709.475903
0.0,2,1709.513609
0.0,2,1709.547374
0.0,2,1709.584578
0.0,2,1709.619956
0.0,2,1709.658055
0.0,2,1709.695699
0.0,2,1709.736428
0.0,4,1709.811432
0.0,2,1713.502019
0.0,2,1713.537535
0.0,2,1713.572274
0.0,2,1713.609011
0.0,2,1713.647084
0.0,4,1713.729679
0.0,4,1713.799839
0.0,2,1713.834993
0.0,2,1713.871205
0.0,2,1713.907841
0.0,4,1713.974665
0.0,2,1714.00772
0.0,4,1714.072412
0.0,2,1714.103291
0.0,2,1714.140322
0.0,4,1714.215118
0.0,2,1714.25234
0.0,2,1714.292897
0.0,2,1714.330749
0.0,2,1714.364288
0.0,2,1714.39777
0.0,2,1714.432568
0.0,2,1714.467317
0.0,2,1714.502109
0.0,2,1714.538619
0.0,2,1714.574961
0.0,2,1714.610158
0.0,2,1714.642975
0.0,2,1714.676317
0.0,7,1714.799119
0.0,2,1714.835924
0.0,2,1714.878814
0.0,2,1714.92019
0.0,2,1714.960838
0.0,7,1715.096108
0.0,2,1715.12978
0.0,4,1715.191797
0.0,5,1715.272947
0.0,2,1715.305912
0.0,2,1715.338336
0.0,2,1715.375655
0.0,2,1715.413913
0.0,2,1715.446563
0.0,4,1715.514581
0.0,2,1715.549308
0.0,4,1715.62008
0.0,3,1715.671032
0.0,3,1715.723989
0.0,2,1715.758484
0.0,2,1719.586774
0.0,2,1719.623478
0.0,2,1719.660732
0.0,4,1719.735265
0.0,4,1719.810433
0.0,3,1719.868494
0.0,2,1719.9083
0.0,4,1719.978205
0.0,2,1720.013361
0.0,2,1720.047235
0.0,2,1720.085305
0.0,2,1720.123635
0.0,2,1720.159519
0.0,2,1720.200943
0.0,2,1720.237263
0.0,4,1720.318198
0.0,2,1720.360025
0.0,2,1720.398078
0.0,2,1720.436189
0.0,2,1720.479124
0.0,2,1720.520683
0.0,4,1720.603963
0.0,2,1720.640026
0.0,2,1720.678191
0.0,4,1720.757488
0.0,2,1720.801888
0.0,3,1720.863243
0.0,3,1720.925628
0.0,2,1720.965437
0.0,2,1721.008497
0.0,4,1721.081901
0.0,2,1721.120671
0.0,2,1721.159763
0.0,2,1721.198725
0.0,2,1721.237002
0.0,2,1721.271498
0.0,2,1721.308265
0.0,2,1721.347219
0.0,4,1721.419348
0.0,4,1721.497001
0.0,2,1721.537356
0.0,2,1721.578816
0.0,2,1721.620043
0.0,2,1721.658248
0.0,2,1721.696543
0.0,5,1721.798877
0.0,4,1721.880795
0.0,2,1721.921386
0.0,2,1721.957143
0.0,2,1721.994076
0.0,2,1722.032884
0.0,2,1725.843081
0.0,2,1725.879938
0.0,2,1725.9162
0.0,2,1725.954536
0.0,2,1725.991472
0.0,6,1726.09702
0.0,2,1726.132572
0.0,2,1726.16894
0.0,2,1726.204855
0.0,2,1726.241289
0.0,2,1726.281998
0.0,7,1726.418011
0.0,4,1726.49505
0.0,2,1726.530149
0.0,2,1726.576505
0.0,4,1726.652233
0.0,2,1726.690925
0.0,2,1726.733548
0.0,4,1726.803358
0.0,2,1726.840215
0.0,2,1726.880263
0.0,2,1726.919547
0.0,2,1726.958312
0.0,2,1727.001434
0.0,2,1727.04244
0.0,2,1727.087464
0.0,2,1727.127362
0.0,2,1727.166568
0.0,2,1727.206397
0.0,2,1727.247086
0.0,2,1727.283589
0.0,2,1727.321344
0.0,2,1727.363144
0.0,2,1727.39795
0.0,3,1727.452023
0.0,2,1727.488984
0.0,2,1727.525099
0.0,2,1727.564327
0.0,2,1727.606149
0.0,4,1727.681482
0.0,2,1727.721574
0.0,2,1727.764112
0.0,2,1727.799132
0.0,2,1727.833583
0.0,2,1727.869845
0.0,2,1727.904998
0.0,2,1727.940682
0.0,2,1727.976533
0.0,4,1728.057523
0.0,2,1728.093538
0.0,4,1728.160563
0.0,2,1728.197877
0.0,2,1728.239719
0.0,2,1732.11776
0.0,4,1732.186438
0.0,2,1732.219636
0.0,2,1732.257617
0.0,3,1732.317888
0.0,2,1732.351864
0.0,2,1732.387109
0.0,7,1732.520749
0.0,4,1732.600908
0.0,2,1732.640171
0.0,2,1732.672757
0.0,3,1732.728656
0.0,4,1732.809278
0.0,2,1732.849155
0.0,4,1732.925688
0.0,2,1732.963739
0.0,4,1733.044844
0.0,2,1733.07814
0.0,2,1733.118919
0.0,2,1733.16145
0.0,2,1733.199412
0.0,4,1733.279965
0.0,2,1733.320575
0.0,2,1733.360603
0.0,2,1733.397651
0.0,2,1733.432088
0.0,2,1733.466691
0.0,2,1733.500985
0.0,2,1733.53791
0.0,2,1733.573164
0.0,2,1733.613924
0.0,2,1733.65018
0.0,2,1733.686682
0.0,4,1733.761858
0.0,2,1733.802928
0.0,2,1733.842549
0.0,2,1733.877396
0.0,2,1733.913623
0.0,3,1733.970359
0.0,2,1734.007651
0.0,4,1734.09477
0.0,2,1734.134902
0.0,2,1734.177017
0.0,2,1734.213984
0.0,2,1734.252928
0.0,4,1734.328991
0.0,2,1734.367665
0.0,2,1734.399474
0.0,2,1734.433729
0.0,2,1734.468858
1.0,7,1738.490079
1.0,7,1738.629674
1.0,7,1738.76751
1.0,7,1738.901334
1.0,7,1739.037505
1.0,7,1739.173285
1.0,7,1739.310756
1.0,7,1739.443681
1.0,7,1739.58391
1.0,7,1739.706499
1.0,7,1739.841821
1.0,7,1739.97227
1.0,7,1740.098906
1.0,7,1740.230672
1.0,7,1740.367099
1.0,7,1740.495774
1.0,7,1740.627308
1.0,7,1740.742641
0.0,5,1744.653176
0.0,3,1744.708533
0.0,3,1744.76156
0.0,5,1744.849482
0.0,3,1744.898708
0.0,5,1744.985739
0.0,5,1745.085378
0.0,3,1745.136998
0.0,3,1745.192305
1.0,7,1745.331106
0.0,5,1745.431488
0.0,5,1745.525128
0.0,5,1745.620697
1.0,7,1745.761615
0.0,3,1745.81852
0.0,5,1745.9141
0.0,3,1745.969533
1.0,7,1746.096419
0.0,3,1746.150298
0.0,5,1746.245302
0.0,5,1746.330864
0.0,3,1746.392495
0.0,3,1746.452879
1.0,7,1746.583899
1.0,7,1746.721185
1.0,7,1746.84465
0.0,3,1746.896864
1.0,7,1747.028978
0.0,5,1750.998953
1.0,7,1751.131636
0.0,5,1751.231167
1.0,7,1751.379246
1.0,7,1751.517878
0.0,3,1751.60254
0.0,3,1751.66331
0.0,5,1751.762589
0.0,7,1751.894389
0.0,3,1751.954986
1.0,7,1752.09476
1.0,7,1752.219948
0.0,3,1752.272268
0.0,3,1752.327787
0.0,5,1752.418705
1.0,7,1752.545952
0.0,3,1752.597703
1.0,7,1752.729309
1.0,7,1752.858647
1.0,7,1752.994318
1.0,7,1753.120678
0.0,5,1753.213008
0.0,5,1753.297359
0.0,3,1753.349408
1.0,7,1757.255454
1.0,7,1757.387098
1.0,7,1757.524164
1.0,7,1757.652796
1.0,7,1757.778366
1.0,7,1757.915475
1.0,7,1758.04368
1.0,7,1758.174845
1.0,7,1758.30623
1.0,7,1758.442774
0.0,5,1758.540747
0.0,4,1758.614108
0.0,5,1758.702758
0.0,3,1758.76057
1.0,7,1758.891567
1.0,7,1759.019218
0.0,5,1759.109413
0.0,7,1759.237291
1.0,7,1759.356033
1.0,7,1759.480146
1.0,7,1763.414122
1.0,7,1763.544055
1.0,7,1763.671602
1.0,7,1763.8077
1.0,7,1763.94258
1.0,7,1764.07088
1.0,7,1764.212616
1.0,7,1764.348846
1.0,7,1764.483157
1.0,7,1764.616554
1.0,7,1764.749679
1.0,7,1764.884182
1.0,7,1765.024003
1.0,7,1765.153639
1.0,7,1765.27796
1.0,7,1765.408247
1.0,7,1765.540507
1.0,7,1765.664983
1.0,7,1769.71219
1.0,7,1769.857116
1.0,7,1769.996339
1.0,7,1770.135307
1.0,7,1770.27495
1.0,7,1770.4147
1.0,7,1770.550373
1.0,7,1770.686692
1.0,7,1770.817721
1.0,7,1770.950764
1.0,7,1771.091402
1.0,7,1771.232023
1.0,7,1771.35387
1.0,7,1771.47143
1.0,7,1771.602167
0.0,2,1771.641342
