#{"t_start": 1667421421.9311545, "env_id": "CTgraph-v0"}
r,l,t
0.0,4,99.761331
0.0,2,99.789383
0.0,4,99.84219
0.0,3,99.881596
0.0,2,99.907886
0.0,2,99.934459
0.0,2,99.9611
0.0,4,100.014654
0.0,2,100.041566
0.0,2,100.068545
0.0,2,100.094787
0.0,2,100.120265
0.0,2,100.146953
0.0,2,100.173367
0.0,2,100.200141
0.0,6,100.28041
0.0,2,100.307495
0.0,2,100.334528
0.0,4,100.388364
0.0,4,100.44175
0.0,2,100.468114
0.0,2,100.495308
0.0,2,100.522172
0.0,2,100.548489
0.0,4,100.602311
0.0,2,100.629641
0.0,2,100.656078
0.0,2,100.682796
0.0,2,100.709575
0.0,2,100.736024
0.0,2,100.762886
0.0,2,100.789874
0.0,2,100.816597
0.0,2,100.843501
0.0,2,100.87036
0.0,4,100.924174
0.0,2,100.951115
0.0,2,100.977869
0.0,2,101.004722
0.0,2,101.031523
0.0,2,101.058381
0.0,2,101.08521
0.0,2,101.112653
0.0,2,101.138797
0.0,6,101.220759
0.0,3,101.260081
0.0,2,101.287396
0.0,2,101.313722
0.0,3,101.354214
0.0,2,101.380897
0.0,2,101.407871
0.0,2,104.553565
0.0,2,104.572016
0.0,2,104.596555
0.0,4,104.644038
0.0,2,104.670753
0.0,2,104.698416
0.0,2,104.725064
0.0,6,104.805154
0.0,2,104.831875
0.0,2,104.860445
0.0,2,104.8862
0.0,2,104.91296
0.0,2,104.939494
0.0,4,104.993266
0.0,2,105.019716
0.0,2,105.046442
0.0,2,105.073608
0.0,4,105.125425
0.0,4,105.177265
0.0,2,105.203582
0.0,2,105.230688
0.0,2,105.257225
0.0,2,105.284499
0.0,2,105.310706
0.0,2,105.337544
0.0,2,105.364196
0.0,4,105.417891
0.0,4,105.471595
0.0,2,105.498275
0.0,2,105.524874
0.0,2,105.551967
0.0,2,105.579994
0.0,2,105.605321
0.0,2,105.632586
0.0,2,105.6595
0.0,2,105.685327
0.0,2,105.712526
0.0,2,105.73963
0.0,2,105.766073
0.0,3,105.806132
0.0,2,105.832918
0.0,2,105.859984
0.0,2,105.88577
0.0,2,105.912777
0.0,2,105.939568
0.0,2,105.966348
0.0,2,105.99316
0.0,2,106.019903
0.0,2,106.046632
0.0,2,106.073251
0.0,2,106.100323
0.0,3,106.140443
0.0,2,106.167708
0.0,4,106.221625
0.0,4,113.691227
0.0,2,113.702896
0.0,2,113.713702
0.0,3,113.730757
0.0,2,113.743018
0.0,4,113.768642
0.0,4,113.791874
0.0,2,113.804519
0.0,2,113.816454
0.0,4,113.84087
0.0,2,113.853538
0.0,4,113.875795
0.0,4,113.896541
0.0,3,113.911256
0.0,2,113.923491
0.0,3,113.942905
0.0,2,113.956456
0.0,2,113.970948
0.0,2,113.984841
0.0,4,114.007282
0.0,2,114.017701
0.0,2,114.029377
0.0,4,114.052887
0.0,4,114.073924
0.0,2,114.086231
0.0,2,114.098025
0.0,2,114.109901
0.0,2,114.120156
0.0,2,114.132112
0.0,2,114.143084
0.0,3,114.159258
0.0,2,114.170245
0.0,2,114.18205
0.0,2,114.194488
0.0,2,114.207692
0.0,2,114.219766
0.0,2,114.231882
0.0,2,114.243931
0.0,2,114.25688
0.0,7,114.300741
0.0,6,114.340355
0.0,2,114.353883
0.0,2,114.365992
0.0,2,114.377531
0.0,2,114.389074
0.0,2,114.40157
0.0,2,114.414776
0.0,2,114.42823
0.0,2,114.44203
0.0,2,116.308069
0.0,2,116.335023
0.0,2,116.361758
0.0,2,116.388566
0.0,2,116.415125
0.0,2,116.44232
0.0,4,116.496387
0.0,2,116.523629
0.0,2,116.5507
0.0,2,116.577845
0.0,4,116.632229
0.0,2,116.659351
0.0,4,116.71316
0.0,2,116.740316
0.0,2,116.767016
0.0,4,116.821254
0.0,2,116.848448
0.0,2,116.875562
0.0,2,116.902601
0.0,2,116.929334
0.0,4,116.983831
0.0,2,117.010909
0.0,3,117.051311
0.0,2,117.078322
0.0,2,117.105549
0.0,2,117.132491
0.0,2,117.159607
0.0,2,117.186558
0.0,4,117.240702
0.0,2,117.267822
0.0,4,117.321758
0.0,2,117.348672
0.0,2,117.377752
0.0,2,117.408012
0.0,4,117.466684
0.0,2,117.496249
0.0,2,117.526841
0.0,2,117.558086
0.0,2,117.589998
0.0,2,117.6243
0.0,2,117.693708
0.0,6,117.802747
0.0,2,117.835464
0.0,2,117.868672
0.0,2,117.905039
0.0,2,117.939048
0.0,5,118.022448
0.0,4,118.090144
0.0,2,118.127229
0.0,2,118.159799
0.0,3,122.886127
0.0,4,122.917617
0.0,4,122.949003
0.0,2,122.967575
0.0,2,122.98582
0.0,2,123.004296
0.0,2,123.02494
0.0,2,123.043817
0.0,2,123.067783
0.0,2,123.091308
0.0,6,123.15415
0.0,6,123.215994
0.0,2,123.236857
0.0,2,123.257648
0.0,2,123.277624
0.0,4,123.319768
0.0,4,123.361631
0.0,2,123.385056
0.0,2,123.405161
0.0,3,123.436997
0.0,2,123.459126
0.0,2,123.479971
0.0,2,123.502076
0.0,2,123.524098
0.0,4,123.56737
0.0,2,123.590554
0.0,2,123.613914
0.0,4,123.656581
0.0,2,123.678601
0.0,2,123.700525
0.0,4,123.74377
0.0,2,123.765874
0.0,2,123.787606
0.0,2,123.809408
0.0,2,123.831953
0.0,2,123.855427
0.0,4,123.898972
0.0,2,123.922879
0.0,4,123.965779
0.0,2,123.986215
0.0,6,124.047963
0.0,2,124.066522
0.0,2,124.086966
0.0,4,124.132969
0.0,2,124.153488
0.0,3,124.186364
0.0,2,124.207315
0.0,2,127.55761
0.0,2,127.573426
0.0,2,127.590107
0.0,2,127.605952
0.0,2,127.621784
0.0,3,127.647717
0.0,2,127.661624
0.0,2,127.67585
0.0,2,127.691593
0.0,2,127.706684
0.0,2,127.719134
0.0,2,127.739333
0.0,4,127.7725
0.0,2,127.78926
0.0,4,127.827241
0.0,2,127.849362
0.0,2,127.869164
0.0,2,127.889555
0.0,2,127.913205
0.0,4,127.961826
0.0,2,127.983953
0.0,2,128.005759
0.0,2,128.025886
0.0,4,128.068363
0.0,2,128.091191
