#{"t_start": 1667421421.0921533, "env_id": "CTgraph-v0"}
r,l,t
0.0,2,100.569657
0.0,2,100.596726
0.0,2,100.624814
0.0,2,100.651402
0.0,2,100.678174
0.0,2,100.704985
0.0,2,100.731292
0.0,2,100.757537
0.0,2,100.784404
0.0,4,100.838076
0.0,2,100.864817
0.0,2,100.891693
0.0,2,100.91862
0.0,2,100.943474
0.0,2,100.970178
0.0,4,101.023236
0.0,2,101.04987
0.0,2,101.076828
0.0,2,101.103634
0.0,2,101.130416
0.0,2,101.157352
0.0,2,101.184105
0.0,2,101.211036
0.0,2,101.237811
0.0,2,101.264629
0.0,4,101.318207
0.0,2,101.345114
0.0,2,101.372009
0.0,2,101.398543
0.0,2,101.42533
0.0,4,101.478943
0.0,2,101.505704
0.0,4,101.559347
0.0,2,101.586311
0.0,2,101.613127
0.0,2,101.639997
0.0,2,101.666793
0.0,2,101.693581
0.0,2,101.720561
0.0,2,101.747357
0.0,2,101.774283
0.0,2,101.801112
0.0,2,101.828007
0.0,4,101.881592
0.0,2,101.908529
0.0,2,101.935345
0.0,2,101.962226
0.0,2,101.989016
0.0,2,102.015891
0.0,2,102.042893
0.0,2,102.069553
0.0,2,102.096414
0.0,2,102.123217
0.0,4,102.176849
0.0,4,102.23064
0.0,2,102.257416
0.0,2,105.397006
0.0,2,105.419675
0.0,6,105.493866
0.0,2,105.520692
0.0,2,105.54805
0.0,4,105.601279
0.0,2,105.627978
0.0,2,105.654772
0.0,2,105.681568
0.0,2,105.708967
0.0,5,105.775692
0.0,4,105.829368
0.0,2,105.856098
0.0,2,105.882835
0.0,2,105.909618
0.0,2,105.936515
0.0,2,105.961289
0.0,2,105.986408
0.0,2,106.012851
0.0,2,106.039639
0.0,2,106.066447
0.0,2,106.093212
0.0,2,106.120146
0.0,4,106.173855
0.0,2,106.200475
0.0,6,106.280903
0.0,2,106.307788
0.0,2,106.334609
0.0,4,106.388155
0.0,2,106.414923
0.0,2,106.441896
0.0,2,106.468752
0.0,2,106.4956
0.0,2,106.521808
0.0,4,106.575578
0.0,2,106.602275
0.0,4,106.655729
0.0,3,106.695918
0.0,6,106.775804
0.0,2,106.802554
0.0,2,106.829457
0.0,2,106.856235
0.0,2,106.882971
0.0,4,106.936612
0.0,4,106.990413
0.0,2,107.017348
0.0,2,107.044185
0.0,2,107.071209
0.0,2,114.522413
0.0,2,114.533186
0.0,2,114.545274
0.0,6,114.580047
0.0,2,114.592576
0.0,2,114.605177
0.0,2,114.617739
0.0,2,114.628511
0.0,2,114.641184
0.0,2,114.653004
0.0,4,114.677632
0.0,2,114.690009
0.0,2,114.701535
0.0,4,114.722833
0.0,2,114.733536
0.0,2,114.743073
0.0,2,114.75376
0.0,2,114.766488
0.0,2,114.778319
0.0,2,114.792027
0.0,2,114.806497
0.0,2,114.820453
0.0,2,114.832678
0.0,2,114.84306
0.0,3,114.859811
0.0,4,114.883681
0.0,6,114.916571
0.0,2,114.928835
0.0,2,114.940576
0.0,4,114.962986
0.0,2,114.974189
0.0,2,114.985577
0.0,2,114.995875
0.0,3,115.012545
0.0,2,115.024796
0.0,3,115.043942
0.0,2,115.056063
0.0,2,115.068274
0.0,2,115.080659
0.0,2,115.093273
0.0,2,115.10563
0.0,2,115.117915
0.0,2,115.130565
0.0,2,115.14447
0.0,2,115.15798
0.0,2,115.170413
0.0,2,115.183619
0.0,2,115.197006
0.0,2,115.208774
0.0,2,115.219784
0.0,4,115.244833
0.0,2,115.258281
0.0,2,115.271914
0.0,2,117.130711
0.0,2,117.157347
0.0,2,117.184345
0.0,2,117.211337
0.0,2,117.238291
0.0,2,117.265172
0.0,2,117.292347
0.0,4,117.346392
0.0,2,117.373541
0.0,2,117.400606
0.0,2,117.427772
