#{"t_start": 1667421421.3793921, "env_id": "CTgraph-v0"}
r,l,t
0.0,2,399.558315
0.0,2,399.59297
0.0,2,399.624421
0.0,2,399.65597
0.0,3,399.709615
0.0,2,399.744853
0.0,2,399.780414
0.0,2,399.817578
0.0,2,399.854388
0.0,2,399.887119
0.0,7,400.010158
0.0,3,400.055082
0.0,2,400.084947
0.0,2,400.116416
0.0,4,400.179871
0.0,2,400.216372
0.0,4,400.28223
0.0,2,400.315681
0.0,2,400.352464
0.0,2,400.390114
0.0,2,400.425958
0.0,2,400.456112
0.0,4,400.524035
0.0,2,400.561518
0.0,4,400.632269
0.0,2,400.665942
0.0,2,400.703589
0.0,2,400.741311
0.0,2,400.774242
0.0,4,400.841039
0.0,2,400.880125
0.0,2,400.914536
0.0,2,400.948386
0.0,2,400.979158
0.0,2,401.014441
0.0,3,401.066308
0.0,2,401.103613
0.0,6,401.201498
0.0,4,401.268595
0.0,2,401.304916
0.0,2,401.341029
0.0,2,401.375747
0.0,2,401.412837
0.0,4,401.480664
0.0,2,401.515153
0.0,4,401.579937
0.0,2,401.612506
0.0,6,401.7065
0.0,2,404.997246
0.0,2,405.031513
0.0,2,405.066077
0.0,2,405.100515
0.0,2,405.136128
0.0,2,405.171324
0.0,2,405.206615
0.0,2,405.239589
0.0,2,405.276817
0.0,2,405.314244
0.0,2,405.349699
0.0,2,405.385102
0.0,4,405.456022
0.0,2,405.488933
0.0,2,405.520122
0.0,2,405.552311
0.0,2,405.581508
0.0,2,405.614673
0.0,2,405.649978
0.0,4,405.716236
0.0,2,405.749061
0.0,2,405.786712
0.0,5,405.873427
0.0,2,405.910139
0.0,2,405.941371
0.0,2,405.977657
0.0,5,406.069034
0.0,2,406.106354
0.0,2,406.140105
0.0,2,406.172741
0.0,2,406.209481
0.0,2,406.244303
0.0,2,406.279172
0.0,2,406.314405
0.0,2,406.349515
0.0,2,406.384268
0.0,2,406.417954
0.0,2,406.455293
0.0,2,406.493693
0.0,2,406.528996
0.0,2,406.564005
0.0,2,406.595925
0.0,2,406.627674
0.0,2,406.659076
0.0,2,406.69545
0.0,4,406.770663
0.0,2,406.806776
