#{"t_start": 1667421421.930978, "env_id": "CTgraph-v0"}
r,l,t
0.0,2,399.008633
0.0,2,399.043526
0.0,2,399.07473
0.0,2,399.106516
0.0,2,399.141265
0.0,3,399.1952
0.0,2,399.230968
0.0,2,399.267874
0.0,2,399.304933
0.0,2,399.337729
0.0,2,399.375022
0.0,2,399.411009
0.0,2,399.444753
0.0,2,399.475095
0.0,2,399.505548
0.0,2,399.535751
0.0,2,399.566909
0.0,2,399.597299
0.0,2,399.631028
0.0,2,399.666898
0.0,2,399.699889
0.0,2,399.732764
0.0,2,399.766469
0.0,2,399.802767
0.0,4,399.876432
0.0,2,399.906623
0.0,2,399.94
0.0,2,399.97455
0.0,2,400.01245
0.0,2,400.047301
0.0,4,400.116641
0.0,2,400.153933
0.0,2,400.192082
0.0,6,400.291584
0.0,2,400.330602
0.0,2,400.364898
0.0,2,400.39855
0.0,2,400.429962
0.0,2,400.465016
0.0,2,400.497554
0.0,2,400.535014
0.0,2,400.571809
0.0,2,400.602728
0.0,2,400.635769
0.0,2,400.669734
0.0,4,400.737784
0.0,2,400.773107
0.0,4,400.845488
0.0,4,400.914678
0.0,7,401.030802
0.0,2,401.063082
0.0,2,401.09361
0.0,2,401.126288
0.0,2,401.156869
0.0,2,404.447775
0.0,4,404.516316
0.0,2,404.550563
0.0,2,404.586397
0.0,2,404.621846
0.0,4,404.689914
0.0,2,404.727279
0.0,2,404.764418
0.0,2,404.799861
0.0,4,404.873405
0.0,2,404.906211
0.0,2,404.939188
0.0,2,404.970298
0.0,2,405.002322
0.0,4,405.064763
0.0,2,405.100176
0.0,2,405.133819
0.0,2,405.166226
0.0,2,405.199217
0.0,4,405.272165
0.0,2,405.30601
0.0,2,405.339493
0.0,2,405.37646
0.0,2,405.410439
0.0,2,405.447032
0.0,2,405.481726
0.0,3,405.537983
0.0,2,405.573037
0.0,2,405.607225
0.0,2,405.642011
0.0,2,405.676813
0.0,2,405.711226
0.0,2,405.745127
0.0,2,405.779539
0.0,2,405.816362
0.0,2,405.851256
0.0,2,405.887295
0.0,2,405.925645
0.0,2,405.959291
0.0,2,405.994093
0.0,2,406.029498
0.0,2,406.062229
0.0,2,406.094942
0.0,2,406.128129
0.0,2,406.164975
0.0,2,406.201523
0.0,4,406.27697
0.0,4,406.351392
0.0,3,406.406284
0.0,4,406.476348
0.0,2,406.509743
0.0,2,406.54034
0.0,2,406.572723
0.0,2,406.599447
0.0,2,406.625759
0.0,2,410.120029
0.0,4,410.18508
0.0,2,410.217708
0.0,2,410.250926
0.0,4,410.314046
0.0,4,410.373414
0.0,2,410.404335
0.0,6,410.498883
0.0,2,410.529098
0.0,4,410.592631
0.0,2,410.624788
0.0,2,410.656237
0.0,3,410.703051
0.0,2,410.734195
0.0,2,410.767849
0.0,2,410.804437
0.0,4,410.878853
0.0,2,410.915821
0.0,2,410.961751
0.0,2,410.995689
0.0,4,411.064198
0.0,2,411.099329
0.0,2,411.138307
0.0,2,411.173946
0.0,4,411.244042
0.0,4,411.316009
0.0,2,411.354144
0.0,2,411.39068
0.0,2,411.424242
0.0,2,411.460639
0.0,2,411.494678
0.0,2,411.533073
0.0,2,411.570875
0.0,2,411.604511
0.0,2,411.637473
0.0,2,411.674975
0.0,2,411.711873
0.0,2,411.748749
0.0,2,411.785549
0.0,2,411.822779
0.0,2,411.859567
0.0,2,411.89864
0.0,4,411.972107
0.0,2,412.009509
0.0,2,412.044178
0.0,4,412.11566
0.0,2,412.148697
0.0,2,412.179859
0.0,2,412.209548
0.0,2,412.236455
0.0,4,415.464162
0.0,2,415.498034
0.0,6,415.604054
0.0,2,415.640232
0.0,2,415.675403
0.0,2,415.711929
0.0,2,415.743631
0.0,3,415.792543
0.0,4,415.859285
0.0,4,415.923143
0.0,2,415.951957
0.0,2,415.9837
0.0,2,416.015143
0.0,2,416.045114
0.0,2,416.074872
0.0,2,416.106521
0.0,2,416.140021
0.0,4,416.199913
0.0,2,416.235661
0.0,2,416.26874
0.0,2,416.304066
0.0,2,416.338209
0.0,2,416.374275
0.0,2,416.407656
0.0,2,416.444255
0.0,2,416.47976
0.0,6,416.578886
0.0,2,416.613373
0.0,2,416.651639
0.0,2,416.689359
0.0,2,416.724017
0.0,4,416.797718
0.0,4,416.870445
0.0,2,416.906933
0.0,2,416.944576
0.0,2,416.978312
0.0,2,417.015203
0.0,2,417.051841
0.0,2,417.087394
0.0,2,417.124745
0.0,2,417.159197
0.0,3,417.214245
0.0,2,417.250953
0.0,2,417.288825
0.0,2,417.326309
0.0,4,417.398613
0.0,2,417.435577
0.0,2,417.468978
0.0,2,417.502686
0.0,4,417.57507
0.0,4,417.646563
1.0,7,421.16614
1.0,7,421.282081
1.0,7,421.402625
1.0,7,421.506811
1.0,7,421.608645
1.0,7,421.720356
1.0,7,421.839116
1.0,7,421.955876
1.0,7,422.081426
1.0,7,422.200271
0.0,3,422.251386
1.0,7,422.375858
1.0,7,422.502668
1.0,7,422.632367
1.0,7,422.754878
1.0,7,422.882702
1.0,7,423.003297
1.0,7,423.124503
1.0,7,423.256549
1.0,7,426.710884
1.0,7,426.823658
1.0,7,426.940605
1.0,7,427.047085
1.0,7,427.15982
1.0,7,427.264745
1.0,7,427.371238
1.0,7,427.487847
1.0,7,427.6098
1.0,7,427.73436
1.0,7,427.851172
1.0,7,427.971431
1.0,7,428.08579
1.0,7,428.217352
1.0,7,428.340889
1.0,7,428.472061
1.0,7,428.602309
1.0,7,428.728517
1.0,7,432.188106
1.0,7,432.308574
1.0,7,432.423362
1.0,7,432.538779
1.0,7,432.65235
1.0,7,432.774226
1.0,7,432.883644
1.0,7,432.995265
1.0,7,433.113976
1.0,7,433.239525
1.0,7,433.366977
1.0,7,433.486469
1.0,7,433.630413
1.0,7,433.759045
1.0,7,433.8755
1.0,7,433.995672
1.0,7,434.124334
1.0,7,434.239578
1.0,7,437.631689
1.0,7,437.752657
1.0,7,437.868901
1.0,7,437.97703
1.0,7,438.090379
1.0,7,438.207865
1.0,7,438.328201
1.0,7,438.441358
1.0,7,438.548089
1.0,7,438.756756
1.0,7,438.885886
1.0,7,439.006529
1.0,7,439.133747
1.0,7,439.265484
1.0,7,439.393203
1.0,7,439.513541
1.0,7,439.638267
0.0,3,439.695589
1.0,7,439.819683
1.0,7,443.090372
1.0,7,443.216246
1.0,7,443.335354
1.0,7,443.441843
1.0,7,443.553591
1.0,7,443.679754
1.0,7,443.796786
1.0,7,443.905045
1.0,7,444.012842
1.0,7,444.11979
1.0,7,444.23382
1.0,7,444.34219
1.0,7,444.464267
1.0,7,444.584395
1.0,7,444.702678
1.0,7,444.82257
1.0,7,444.952082
1.0,7,445.07568
1.0,7,448.597502
1.0,7,448.785815
1.0,7,448.903108
1.0,7,449.014119
1.0,7,449.134894
1.0,7,449.2495
1.0,7,449.366629
1.0,7,449.4771
1.0,7,449.587964
1.0,7,449.702093
1.0,7,449.81478
1.0,7,449.935673
1.0,7,450.059587
1.0,7,450.173474
1.0,7,450.295043
1.0,7,450.421426
1.0,7,450.53921
1.0,7,450.661671
1.0,7,450.787561
1.0,7,454.258322
1.0,7,454.372664
1.0,7,454.488767
1.0,7,454.609254
1.0,7,454.73062
1.0,7,454.846314
1.0,7,454.961467
1.0,7,455.071095
1.0,7,455.178216
1.0,7,455.287749
1.0,7,455.405043
1.0,7,455.523939
1.0,7,455.644407
1.0,7,455.76538
1.0,7,455.884521
1.0,7,456.006215
1.0,7,456.133586
1.0,7,456.254722
1.0,7,459.741256
1.0,7,459.854815
1.0,7,459.973004
1.0,7,460.090179
1.0,7,460.203913
0.0,5,460.292416
1.0,7,460.41591
1.0,7,460.529888
1.0,7,460.640925
1.0,7,460.757826
1.0,7,460.867985
1.0,7,460.98387
1.0,7,461.10322
1.0,7,461.220459
1.0,7,461.339578
1.0,7,461.514162
1.0,7,461.638172
0.0,7,461.751095
1.0,7,465.238821
1.0,7,465.358056
1.0,7,465.47294
1.0,7,465.591344
1.0,7,465.715158
1.0,7,465.839861
1.0,7,465.960533
1.0,7,466.072715
1.0,7,466.185661
1.0,7,466.304216
1.0,7,466.421075
1.0,7,466.533189
1.0,7,466.651473
1.0,7,466.772203
1.0,7,466.897968
1.0,7,467.018545
1.0,7,467.145457
1.0,7,467.258274
1.0,7,467.378088
1.0,7,470.893259
1.0,7,471.010321
1.0,7,471.126605
1.0,7,471.246918
1.0,7,471.364033
1.0,7,471.480311
1.0,7,471.595265
1.0,7,471.703896
1.0,7,471.816975
1.0,7,471.931305
1.0,7,472.04825
1.0,7,472.168467
1.0,7,472.287982
1.0,7,472.409657
1.0,7,472.529886
1.0,7,472.658951
1.0,7,472.770024
1.0,7,472.887365
1.0,7,476.366433
1.0,7,476.483635
1.0,7,476.602681
1.0,7,476.727057
1.0,7,476.843766
1.0,7,476.968017
1.0,7,477.086708
1.0,7,477.201676
1.0,7,477.314655
1.0,7,477.43079
1.0,7,477.543148
1.0,7,477.663361
1.0,7,477.779036
1.0,7,477.897567
1.0,7,478.018097
1.0,7,478.138135
1.0,7,478.250127
1.0,7,478.362899
1.0,7,481.887042
1.0,7,482.002176
1.0,7,482.113599
1.0,7,482.227513
1.0,7,482.342963
1.0,7,482.466882
1.0,7,482.586683
1.0,7,482.706813
1.0,7,482.816418
1.0,7,482.93
1.0,7,483.042598
1.0,7,483.161059
1.0,7,483.280382
1.0,7,483.399468
1.0,7,483.518458
1.0,7,483.637728
1.0,7,483.750737
1.0,7,483.863387
1.0,7,483.983699
1.0,7,487.504566
1.0,7,487.624096
1.0,7,487.744658
1.0,7,487.866115
1.0,7,487.989501
1.0,7,488.112789
1.0,7,488.234146
1.0,7,488.351689
1.0,7,488.463685
1.0,7,488.575647
1.0,7,488.704911
1.0,7,488.827193
1.0,7,488.952229
1.0,7,489.078244
1.0,7,489.206003
1.0,7,489.31783
1.0,7,489.436977
1.0,7,489.556071
1.0,7,493.050792
1.0,7,493.175048
1.0,7,493.294848
1.0,7,493.416788
1.0,7,493.537502
1.0,7,493.646781
1.0,7,493.799684
1.0,7,493.920003
1.0,7,494.027973
1.0,7,494.137315
1.0,7,494.260087
1.0,7,494.376744
1.0,7,494.496871
1.0,7,494.618297
1.0,7,494.737264
1.0,7,494.85669
1.0,7,494.978391
1.0,7,495.096771
1.0,7,498.572037
1.0,7,498.70785
1.0,7,498.827065
1.0,7,498.934565
1.0,7,499.050949
1.0,7,499.165015
1.0,7,499.28554
1.0,7,499.401463
1.0,7,499.512021
1.0,7,499.618145
1.0,7,499.733695
1.0,7,499.853634
1.0,7,499.975273
1.0,7,500.100446
1.0,7,500.217473
1.0,7,500.333842
1.0,7,500.44785
1.0,7,500.569766
1.0,7,504.035159
1.0,7,504.158241
1.0,7,504.285903
1.0,7,504.399508
1.0,7,504.519851
1.0,7,504.636715
1.0,7,504.757696
1.0,7,504.874176
1.0,7,504.989473
1.0,7,505.10376
0.0,5,505.174287
0.0,6,505.273969
1.0,7,505.397645
1.0,7,505.516213
1.0,7,505.630454
1.0,7,505.738559
1.0,7,505.854442
1.0,7,505.97199
1.0,7,506.088606
1.0,7,509.506184
1.0,7,509.632995
1.0,7,509.756987
1.0,7,509.87338
1.0,7,509.98682
1.0,7,510.109263
1.0,7,510.227342
1.0,7,510.337349
1.0,7,510.446118
1.0,7,510.552449
1.0,7,510.656253
1.0,7,510.768429
1.0,7,510.880243
1.0,7,510.992986
1.0,7,511.108092
1.0,7,511.219401
1.0,7,511.335772
1.0,7,511.449482
1.0,7,514.947471
1.0,7,515.071442
1.0,7,515.195936
1.0,7,515.31489
1.0,7,515.430426
1.0,7,515.550022
1.0,7,515.667742
1.0,7,515.79259
1.0,7,515.915184
1.0,7,516.029168
1.0,7,516.146594
1.0,7,516.252561
1.0,7,516.367308
1.0,7,516.481139
1.0,7,516.595933
1.0,7,516.706731
1.0,7,516.815139
1.0,7,516.933684
1.0,7,517.055005
1.0,7,520.549771
1.0,7,520.671389
1.0,7,520.78943
1.0,7,520.913886
1.0,7,521.040092
1.0,7,521.15891
1.0,7,521.27766
1.0,7,521.40213
1.0,7,521.516529
1.0,7,521.628312
1.0,7,521.745232
1.0,7,521.856782
1.0,7,521.976106
1.0,7,522.092186
1.0,7,522.205633
1.0,7,522.321637
1.0,7,522.435321
1.0,7,522.556172
1.0,7,526.065478
1.0,7,526.193941
1.0,7,526.318558
1.0,7,526.437481
1.0,7,526.556612
1.0,7,526.673687
1.0,7,526.796072
1.0,7,526.920757
1.0,7,527.038586
1.0,7,527.151747
1.0,7,527.267728
1.0,7,527.379134
1.0,7,527.496115
1.0,7,527.619858
1.0,7,527.729503
1.0,7,527.838784
1.0,7,527.956872
1.0,7,528.077746
1.0,7,531.669176
1.0,7,531.793331
1.0,7,531.921652
1.0,7,532.04243
1.0,7,532.159917
1.0,7,532.27283
1.0,7,532.388403
1.0,7,532.509794
1.0,7,532.637733
1.0,7,532.757641
1.0,7,532.873565
1.0,7,532.995404
1.0,7,533.115934
1.0,7,533.23562
1.0,7,533.349255
1.0,7,533.466141
1.0,7,533.585887
1.0,7,533.702298
1.0,7,533.824003
1.0,7,537.311163
1.0,7,537.43669
1.0,7,537.564991
0.0,3,537.617213
0.0,3,537.668121
1.0,7,537.784441
1.0,7,537.897961
1.0,7,538.015487
1.0,7,538.143061
1.0,7,538.267487
1.0,7,538.384135
1.0,7,538.498295
1.0,7,538.616488
1.0,7,538.744253
1.0,7,538.856341
0.0,6,538.953625
0.0,3,539.000621
0.0,7,539.118005
0.0,4,539.181606
1.0,7,539.302808
1.0,7,542.790782
1.0,7,542.915066
0.0,3,542.970579
1.0,7,543.096256
1.0,7,543.214185
1.0,7,543.341675
1.0,7,543.458959
1.0,7,543.575077
1.0,7,543.71647
1.0,7,543.848745
1.0,7,543.957186
1.0,7,544.065359
0.0,6,544.159244
1.0,7,544.269767
1.0,7,544.383973
1.0,7,544.497836
1.0,7,544.613426
1.0,7,544.727894
1.0,7,544.85373
1.0,7,548.311738
1.0,7,548.436508
1.0,7,548.568717
1.0,7,548.686926
1.0,7,548.806525
1.0,7,548.930989
0.0,3,548.976377
1.0,7,549.09503
1.0,7,549.218307
1.0,7,549.339982
