#{"t_start": 1667421424.6107035, "env_id": "CTgraph-v0"}
r,l,t
0.0,2,1370.500943
0.0,2,1370.511011
0.0,2,1370.521804
0.0,2,1370.531549
0.0,2,1370.541038
0.0,2,1370.550188
0.0,2,1370.559653
0.0,2,1371.607331
0.0,2,1371.626408
0.0,2,1371.642116
0.0,4,1371.67295
0.0,2,1371.685543
0.0,4,1371.7136
0.0,2,1371.729073
0.0,2,1371.74347
0.0,4,1371.770278
0.0,2,1371.786349
0.0,2,1371.80182
0.0,2,1371.817236
0.0,3,1371.841949
0.0,2,1371.857666
0.0,2,1371.874585
0.0,6,1371.922668
0.0,2,1371.937999
0.0,2,1371.956594
0.0,2,1371.971585
0.0,2,1371.992049
0.0,4,1372.02689
0.0,2,1372.046323
0.0,4,1372.0838
0.0,4,1372.120093
0.0,2,1372.136752
0.0,2,1372.156076
0.0,2,1372.175507
0.0,2,1372.192798
0.0,2,1372.210628
0.0,2,1372.229342
0.0,2,1372.24786
0.0,4,1372.285203
0.0,4,1372.322042
0.0,2,1372.340549
0.0,2,1372.357274
0.0,2,1372.375359
0.0,2,1372.394125
0.0,4,1372.430704
0.0,4,1372.466352
0.0,6,1372.518949
0.0,2,1372.538626
0.0,4,1381.615215
0.0,2,1381.635117
0.0,2,1381.653934
0.0,6,1381.711578
0.0,2,1381.730694
0.0,2,1381.750182
0.0,2,1381.766911
0.0,2,1381.780439
0.0,4,1381.813163
0.0,3,1381.839386
0.0,2,1381.855406
0.0,2,1381.870553
0.0,2,1381.888504
0.0,2,1381.906705
0.0,2,1381.924716
0.0,3,1381.952245
0.0,2,1381.96744
0.0,2,1381.981904
0.0,2,1381.999001
0.0,2,1382.015842
0.0,2,1382.03047
0.0,2,1382.046996
0.0,2,1382.06278
0.0,2,1382.079474
0.0,2,1382.096628
0.0,2,1382.111923
0.0,2,1382.127744
0.0,3,1382.155599
0.0,5,1382.196224
0.0,2,1382.213814
0.0,6,1382.270331
0.0,2,1382.289022
0.0,2,1382.306961
0.0,2,1382.321731
0.0,2,1382.336179
0.0,2,1382.35216
0.0,4,1382.381323
0.0,2,1382.397989
0.0,2,1382.413316
0.0,3,1382.440277
0.0,4,1382.468993
0.0,2,1382.485215
0.0,2,1382.50194
0.0,2,1382.520402
0.0,7,1382.581202
0.0,2,1382.598529
0.0,2,1382.617504
0.0,6,1383.402286
0.0,2,1383.431506
0.0,5,1391.29284
0.0,2,1391.305286
0.0,2,1391.319377
0.0,2,1391.334776
0.0,2,1391.348526
0.0,2,1391.36285
0.0,2,1391.379675
0.0,2,1391.39641
0.0,2,1391.413861
0.0,4,1391.44091
0.0,4,1391.47117
0.0,2,1391.485198
0.0,2,1391.500731
0.0,2,1391.513865
0.0,2,1391.529601
0.0,4,1391.559037
0.0,2,1391.574515
0.0,4,1391.605378
0.0,3,1391.62727
0.0,2,1391.641618
0.0,2,1391.659555
0.0,2,1391.675939
0.0,2,1391.690314
0.0,3,1391.713351
0.0,6,1391.757388
0.0,3,1391.777927
0.0,2,1391.792256
0.0,2,1391.805999
0.0,2,1391.820552
0.0,4,1391.847426
0.0,4,1391.874386
0.0,7,1391.927316
0.0,4,1391.950202
0.0,2,1391.961021
0.0,2,1391.97154
0.0,5,1391.99733
0.0,3,1392.01356
0.0,2,1392.024225
0.0,2,1392.035458
0.0,2,1392.046031
0.0,3,1392.06171
0.0,2,1392.071983
0.0,2,1392.082434
0.0,3,1392.101264
0.0,2,1392.11213
0.0,2,1392.122436
1.0,7,1397.908927
1.0,7,1397.982528
1.0,7,1398.091533
1.0,7,1398.170203
1.0,7,1398.250868
1.0,7,1398.328297
1.0,7,1398.402731
1.0,7,1398.480126
1.0,7,1398.556426
1.0,7,1398.632421
1.0,7,1398.711796
1.0,7,1398.788977
1.0,7,1398.873295
1.0,7,1398.95925
0.0,7,1399.040267
1.0,7,1399.107749
1.0,7,1399.180452
1.0,7,1399.258532
1.0,7,1407.49435
1.0,7,1407.552902
1.0,7,1407.611407
1.0,7,1407.697791
1.0,7,1407.761406
0.0,3,1407.787
1.0,7,1407.841939
1.0,7,1407.898024
1.0,7,1407.955757
1.0,7,1408.008483
1.0,7,1408.06143
1.0,7,1408.11307
1.0,7,1408.170424
1.0,7,1408.221727
1.0,7,1408.276829
1.0,7,1408.331986
1.0,7,1408.386204
1.0,7,1408.443953
1.0,7,1408.499887
1.0,7,1411.013479
1.0,7,1411.112968
1.0,7,1411.285066
1.0,7,1411.357643
1.0,7,1411.431674
1.0,7,1411.537613
1.0,7,1411.649657
1.0,7,1411.763628
1.0,7,1411.880333
1.0,7,1411.996758
1.0,7,1412.11641
1.0,7,1412.229232
1.0,7,1412.345735
1.0,7,1412.453407
1.0,7,1412.560574
1.0,7,1412.667521
1.0,7,1412.772948
1.0,7,1412.885437
1.0,7,1416.983346
1.0,7,1417.102682
1.0,7,1417.219739
1.0,7,1417.333673
0.0,7,1417.446538
0.0,7,1417.567853
1.0,7,1417.685123
0.0,4,1417.747092
1.0,7,1417.86277
1.0,7,1417.974881
1.0,7,1418.10672
1.0,7,1418.213169
1.0,7,1418.321778
0.0,4,1418.379359
1.0,7,1418.483601
1.0,7,1418.588446
1.0,7,1418.693852
1.0,7,1418.806595
1.0,7,1418.921576
1.0,7,1423.091957
1.0,7,1423.211001
0.0,4,1423.278209
1.0,7,1423.396942
1.0,7,1423.507991
1.0,7,1423.623799
1.0,7,1423.73707
1.0,7,1423.857248
1.0,7,1423.970315
1.0,7,1424.08742
1.0,7,1424.199092
1.0,7,1424.307141
1.0,7,1424.408046
1.0,7,1424.519295
1.0,7,1424.63486
1.0,7,1424.749302
1.0,7,1424.866693
0.0,3,1424.913965
1.0,7,1425.031615
1.0,7,1425.152931
1.0,7,1429.292494
1.0,7,1429.411096
1.0,7,1429.526928
1.0,7,1429.635453
1.0,7,1429.748676
1.0,7,1429.87366
1.0,7,1429.988143
1.0,7,1430.106804
1.0,7,1430.218592
1.0,7,1430.328566
1.0,7,1430.431737
1.0,7,1430.540266
1.0,7,1430.658526
1.0,7,1430.77593
1.0,7,1430.893975
1.0,7,1431.01526
1.0,7,1431.139272
1.0,7,1431.255824
1.0,7,1435.404562
1.0,7,1435.527
1.0,7,1435.652884
1.0,7,1435.766052
1.0,7,1435.884512
0.0,3,1435.935072
1.0,7,1436.066372
1.0,7,1436.19252
1.0,7,1436.309513
1.0,7,1436.410809
1.0,7,1436.516536
1.0,7,1436.62527
1.0,7,1436.740551
1.0,7,1436.85777
1.0,7,1436.975836
1.0,7,1437.097659
1.0,7,1437.218534
1.0,7,1437.335741
1.0,7,1437.453269
1.0,7,1441.559676
1.0,7,1441.681201
1.0,7,1441.793891
1.0,7,1441.916704
1.0,7,1442.042734
1.0,7,1442.165915
1.0,7,1442.297141
1.0,7,1442.419158
1.0,7,1442.53302
1.0,7,1442.637289
1.0,7,1442.74913
1.0,7,1442.856179
1.0,7,1442.962997
1.0,7,1443.068273
1.0,7,1443.184199
1.0,7,1443.300154
1.0,7,1443.417405
1.0,7,1443.534122
1.0,7,1447.538182
1.0,7,1447.665064
1.0,7,1447.778524
1.0,7,1447.904881
1.0,7,1448.02987
1.0,7,1448.14935
1.0,7,1448.281443
1.0,7,1448.409372
1.0,7,1448.529763
1.0,7,1448.65148
1.0,7,1448.777932
1.0,7,1448.903196
1.0,7,1449.018597
1.0,7,1449.137075
1.0,7,1449.256001
