#{"t_start": 1667421425.4340746, "env_id": "CTgraph-v0"}
r,l,t
0.0,2,1369.680255
0.0,2,1369.690486
0.0,2,1369.700813
0.0,2,1369.710653
0.0,7,1369.744694
0.0,2,1370.797375
0.0,2,1370.814029
0.0,3,1370.83749
0.0,2,1370.852126
0.0,3,1370.870039
0.0,2,1370.8851
0.0,2,1370.900379
0.0,2,1370.915354
0.0,2,1370.929786
0.0,2,1370.941811
0.0,2,1370.957173
0.0,2,1370.972942
0.0,4,1371.00455
0.0,2,1371.021175
0.0,2,1371.037102
0.0,2,1371.05418
0.0,3,1371.079222
0.0,2,1371.094442
0.0,2,1371.108644
0.0,2,1371.12568
0.0,2,1371.142389
0.0,4,1371.180271
0.0,2,1371.198232
0.0,4,1371.233817
0.0,4,1371.272681
0.0,4,1371.308108
0.0,2,1371.325091
0.0,2,1371.344608
0.0,4,1371.380014
0.0,4,1371.41792
0.0,3,1371.445514
0.0,2,1371.464234
0.0,2,1371.483149
0.0,2,1371.501147
0.0,2,1371.519678
0.0,2,1371.536209
0.0,2,1371.554323
0.0,4,1371.591319
0.0,2,1371.609963
0.0,6,1371.664258
0.0,2,1371.68112
0.0,2,1371.697698
0.0,4,1371.735552
0.0,2,1380.795013
0.0,2,1380.813955
0.0,2,1380.833432
0.0,2,1380.852904
0.0,4,1380.890876
0.0,2,1380.910553
0.0,2,1380.929912
0.0,4,1380.959846
0.0,2,1380.975964
0.0,2,1380.992815
0.0,2,1381.009926
0.0,2,1381.026117
0.0,4,1381.05847
0.0,2,1381.077084
0.0,2,1381.095406
0.0,2,1381.114097
0.0,2,1381.131443
0.0,4,1381.16181
0.0,2,1381.178658
0.0,2,1381.19534
0.0,4,1381.226359
0.0,2,1381.241664
0.0,2,1381.258903
0.0,2,1381.275844
0.0,2,1381.290718
0.0,2,1381.307496
0.0,2,1381.325921
0.0,3,1381.351553
0.0,2,1381.367047
0.0,2,1381.383808
0.0,2,1381.402785
0.0,2,1381.421351
0.0,3,1381.450044
0.0,2,1381.468653
0.0,2,1381.486547
0.0,6,1381.531805
0.0,4,1381.561187
0.0,3,1381.584559
0.0,2,1381.601425
0.0,4,1381.633708
0.0,2,1381.647967
0.0,2,1381.664086
0.0,2,1381.680943
0.0,6,1381.733398
0.0,2,1381.751414
0.0,2,1381.768851
0.0,2,1381.786924
0.0,2,1381.805431
0.0,2,1382.538094
0.0,2,1382.568156
0.0,2,1382.596033
0.0,2,1382.623753
0.0,2,1390.458257
0.0,2,1390.472015
0.0,4,1390.498634
0.0,2,1390.514239
0.0,2,1390.527697
0.0,2,1390.541934
0.0,3,1390.567582
0.0,2,1390.583891
0.0,4,1390.613688
