#{"t_start": 1667421425.4339023, "env_id": "CTgraph-v0"}
r,l,t
0.0,4,403.443519
0.0,2,403.474464
0.0,2,403.508357
0.0,2,403.540009
0.0,4,403.602815
0.0,2,403.634005
0.0,2,403.665168
0.0,2,403.698695
0.0,4,403.760931
0.0,2,403.792332
0.0,2,403.824698
0.0,2,403.855003
0.0,2,403.886841
0.0,6,403.982043
0.0,2,404.014175
0.0,3,404.064014
0.0,4,404.130431
0.0,2,404.163348
0.0,2,404.19693
0.0,2,404.230399
0.0,2,404.263127
0.0,2,404.296505
0.0,2,404.331133
0.0,2,404.36553
0.0,2,404.399356
0.0,6,404.498785
0.0,2,404.533972
0.0,2,404.56839
0.0,2,404.602895
0.0,2,404.634314
0.0,2,404.666214
0.0,2,404.701357
0.0,2,404.734889
0.0,2,404.767898
0.0,3,404.818741
0.0,2,404.849282
0.0,2,404.878603
0.0,2,404.912267
0.0,2,404.946949
0.0,6,405.081574
0.0,2,405.119545
0.0,2,405.156435
0.0,2,405.191889
0.0,4,405.265399
0.0,2,405.303322
0.0,2,405.340708
0.0,2,405.376588
0.0,3,405.429431
0.0,2,405.46039
0.0,2,405.494451
0.0,2,405.525008
0.0,2,409.246779
0.0,4,409.312664
0.0,2,409.340786
0.0,2,409.422437
0.0,2,409.450759
0.0,2,409.479681
0.0,2,409.51041
0.0,2,409.540508
0.0,2,409.571941
0.0,2,409.603096
0.0,2,409.634359
0.0,2,409.666892
0.0,2,409.698195
0.0,2,409.731033
0.0,2,409.764115
0.0,2,409.799242
0.0,4,409.868167
0.0,3,409.917255
0.0,2,409.951208
0.0,2,409.986009
0.0,4,410.063168
0.0,2,410.095271
0.0,2,410.128705
0.0,2,410.164582
0.0,2,410.196257
0.0,2,410.230763
0.0,4,410.295697
0.0,2,410.328896
0.0,2,410.364319
0.0,2,410.39778
0.0,2,410.431519
0.0,2,410.464855
0.0,2,410.496251
0.0,2,410.531963
0.0,2,410.564329
0.0,2,410.597716
0.0,2,410.630843
0.0,4,410.708199
0.0,2,410.743133
0.0,2,410.776926
0.0,4,410.84413
0.0,2,410.879046
0.0,2,410.910062
0.0,2,410.941818
0.0,2,410.977005
0.0,2,411.01287
0.0,3,411.067219
