#{"t_start": 1667421431.1612248, "env_id": "CTgraph-v0"}
r,l,t
0.0,4,668.741425
0.0,2,668.778934
0.0,2,668.815911
0.0,4,668.884194
0.0,2,668.92087
0.0,4,668.989223
0.0,2,669.021387
0.0,2,669.055054
0.0,3,669.10724
0.0,2,669.140474
0.0,2,669.172134
0.0,2,669.205656
0.0,4,669.273107
0.0,2,669.309852
0.0,2,669.346943
0.0,2,669.380568
0.0,2,669.413832
0.0,2,669.44486
0.0,4,669.514846
0.0,2,669.548737
0.0,2,669.584617
0.0,2,669.620081
0.0,4,669.694315
0.0,2,669.728018
0.0,2,669.764154
0.0,2,669.800061
0.0,2,669.836896
0.0,2,669.875044
0.0,2,669.909773
0.0,4,669.980826
0.0,2,670.015765
0.0,2,670.050787
0.0,2,670.087567
0.0,6,670.187921
0.0,2,670.225311
0.0,2,670.262078
0.0,2,670.294368
0.0,5,670.377
0.0,2,670.412833
0.0,2,670.446222
0.0,5,670.526512
0.0,4,670.590901
0.0,6,670.689599
0.0,2,670.724964
0.0,2,670.759401
0.0,2,670.795146
0.0,3,670.848939
0.0,2,670.88578
0.0,2,674.316995
0.0,2,674.351512
0.0,2,674.385989
0.0,2,674.420547
0.0,2,674.456419
0.0,2,674.493797
0.0,4,674.564589
0.0,2,674.597736
0.0,4,674.669695
0.0,2,674.703218
0.0,2,674.738219
0.0,4,674.808029
0.0,2,674.842031
0.0,2,674.876193
0.0,4,674.950385
0.0,2,674.986834
0.0,2,675.021809
0.0,2,675.057779
0.0,4,675.121197
0.0,6,675.231315
0.0,2,675.265174
0.0,2,675.299066
0.0,4,675.369457
0.0,2,675.406718
0.0,2,675.441571
0.0,4,675.514114
0.0,2,675.552144
0.0,2,675.591186
0.0,2,675.622495
0.0,2,675.661887
0.0,2,675.69686
0.0,2,675.730726
0.0,4,675.807299
0.0,2,675.845575
0.0,2,675.880614
0.0,5,675.96278
0.0,2,675.998392
0.0,2,676.032516
0.0,2,676.063161
0.0,2,676.097514
0.0,4,676.163589
0.0,2,676.200091
0.0,2,676.234248
0.0,2,676.265532
0.0,2,676.297962
0.0,2,676.329784
0.0,3,676.37957
0.0,2,676.409829
1.0,7,679.953899
0.0,2,679.987032
0.0,2,680.020668
0.0,2,680.054747
0.0,2,680.089792
0.0,2,680.126765
0.0,4,680.202563
0.0,2,680.240489
0.0,2,680.27445
0.0,4,680.339764
0.0,2,680.374004
0.0,2,680.409458
0.0,4,680.481752
0.0,2,680.518877
0.0,2,680.557772
0.0,5,680.650567
0.0,2,680.683657
0.0,2,680.713617
0.0,4,680.78642
0.0,4,680.860408
0.0,7,680.980291
0.0,2,681.018402
0.0,2,681.05633
0.0,4,681.121649
0.0,2,681.161222
0.0,5,681.247725
0.0,2,681.278409
0.0,2,681.310397
0.0,4,681.372971
0.0,2,681.404357
0.0,6,681.515029
0.0,2,681.554395
0.0,2,681.588693
