#{"t_start": 1667421430.306137, "env_id": "CTgraph-v0"}
r,l,t
0.0,2,2799.494228
0.0,2,2799.528564
0.0,4,2799.595769
0.0,2,2799.633294
0.0,2,2799.667301
0.0,2,2799.704552
0.0,2,2799.739041
0.0,2,2799.781475
0.0,2,2799.819268
0.0,4,2799.892947
0.0,2,2799.930998
0.0,2,2799.967902
0.0,2,2800.006293
0.0,4,2800.093766
0.0,2,2800.130936
0.0,2,2800.168693
0.0,2,2800.206252
0.0,2,2800.244732
0.0,3,2800.302788
0.0,2,2800.340149
0.0,2,2800.377967
0.0,2,2800.41565
0.0,2,2800.457572
0.0,4,2800.540526
0.0,2,2800.58497
0.0,2,2800.629092
0.0,2,2800.671649
0.0,4,2800.746781
0.0,2,2800.787716
0.0,4,2800.874283
0.0,3,2800.941613
0.0,2,2800.982921
0.0,2,2801.024311
0.0,2,2801.06647
0.0,4,2801.143247
0.0,2,2801.180484
0.0,2,2801.218004
0.0,2,2801.255699
0.0,2,2801.299525
0.0,2,2801.337003
0.0,2,2801.374097
0.0,2,2801.410481
0.0,2,2801.44486
0.0,2,2801.479622
0.0,2,2801.519681
0.0,2,2801.558461
0.0,4,2801.631164
0.0,2,2801.671948
0.0,2,2801.704378
0.0,2,2801.744893
0.0,2,2801.780742
0.0,2,2801.817115
0.0,2,2801.852803
0.0,2,2801.893613
0.0,4,2805.973671
0.0,2,2806.008383
0.0,2,2806.039284
0.0,6,2806.138756
0.0,2,2806.176494
0.0,6,2806.284074
0.0,2,2806.321373
0.0,2,2806.361551
0.0,2,2806.40417
0.0,3,2806.460436
0.0,2,2806.496673
0.0,2,2806.533076
0.0,2,2806.569441
0.0,2,2806.60621
0.0,2,2806.642613
0.0,4,2806.720428
0.0,4,2806.798068
0.0,2,2806.837059
0.0,2,2806.875937
0.0,2,2806.914648
0.0,2,2806.953367
0.0,2,2806.992068
0.0,2,2807.031076
0.0,2,2807.069443
0.0,2,2807.10793
0.0,2,2807.146038
0.0,4,2807.223178
0.0,2,2807.261603
0.0,2,2807.30051
0.0,2,2807.338866
0.0,2,2807.377347
0.0,2,2807.415278
0.0,2,2807.453313
0.0,2,2807.491956
0.0,2,2807.530362
0.0,2,2807.569162
0.0,4,2807.646003
0.0,4,2807.723408
0.0,3,2807.782077
0.0,2,2807.820822
0.0,2,2807.858411
0.0,2,2807.896819
0.0,2,2807.935373
0.0,2,2807.973644
0.0,4,2808.049376
0.0,2,2808.158112
0.0,4,2808.228074
0.0,2,2808.266143
0.0,4,2808.345026
0.0,7,2812.622935
0.0,3,2812.679421
0.0,4,2812.743489
0.0,2,2812.783113
0.0,2,2812.82466
0.0,6,2812.933155
0.0,2,2812.972932
0.0,2,2813.011183
0.0,4,2813.090734
0.0,2,2813.125802
0.0,3,2813.194181
0.0,2,2813.239783
0.0,2,2813.277243
0.0,2,2813.315736
0.0,2,2813.355162
0.0,2,2813.401021
0.0,2,2813.444417
0.0,2,2813.486139
0.0,4,2813.571373
0.0,2,2813.617452
0.0,2,2813.661412
0.0,4,2813.737199
0.0,2,2813.783333
0.0,2,2813.822245
0.0,2,2813.866377
0.0,4,2813.950853
0.0,4,2814.037998
0.0,2,2814.082055
0.0,2,2814.128186
0.0,2,2814.171165
0.0,2,2814.213023
0.0,4,2814.294454
0.0,7,2814.445096
0.0,2,2814.485563
0.0,2,2814.530039
0.0,2,2814.573549
0.0,2,2814.611416
0.0,2,2814.649311
0.0,4,2814.729692
0.0,6,2814.846442
0.0,2,2814.888408
0.0,2,2814.927111
0.0,2,2814.963538
0.0,2,2815.00033
0.0,2,2815.037161
0.0,3,2815.093327
0.0,4,2819.210367
0.0,2,2819.243589
0.0,2,2819.277746
0.0,4,2819.34574
0.0,2,2819.376955
0.0,3,2819.431342
0.0,4,2819.509464
0.0,4,2819.5821
0.0,7,2819.711918
0.0,2,2819.748308
0.0,2,2819.785856
0.0,2,2819.82436
0.0,2,2819.863434
0.0,2,2819.903203
0.0,2,2819.941229
0.0,4,2820.019965
0.0,2,2820.059555
0.0,2,2820.09922
0.0,2,2820.139165
0.0,2,2820.178186
0.0,2,2820.217647
0.0,2,2820.257057
0.0,2,2820.296527
0.0,2,2820.335843
0.0,6,2820.45405
0.0,2,2820.493486
0.0,2,2820.533019
0.0,2,2820.572377
0.0,2,2820.611568
0.0,2,2820.65103
0.0,2,2820.690572
0.0,2,2820.729904
0.0,4,2820.808738
0.0,2,2820.848059
0.0,2,2820.887382
0.0,2,2820.926495
0.0,4,2821.004635
0.0,4,2821.082564
0.0,2,2821.12091
0.0,2,2821.159615
0.0,3,2821.21792
0.0,2,2821.256591
0.0,2,2821.295654
0.0,5,2821.391502
0.0,2,2821.428473
0.0,3,2821.48569
0.0,4,2821.556608
0.0,2,2821.591928
0.0,4,2825.745493
0.0,2,2825.781099
0.0,4,2825.866996
0.0,2,2825.903319
0.0,6,2826.007945
0.0,2,2826.042003
0.0,2,2826.076893
0.0,2,2826.109176
0.0,2,2826.142848
0.0,2,2826.179194
0.0,2,2826.219862
0.0,2,2826.261283
0.0,2,2826.304117
0.0,2,2826.344916
0.0,2,2826.384667
0.0,7,2826.529229
0.0,2,2826.570493
0.0,2,2826.612848
0.0,2,2826.654862
0.0,2,2826.702554
0.0,2,2826.748061
0.0,2,2826.792491
0.0,4,2826.875413
0.0,2,2826.917588
0.0,4,2827.007726
0.0,2,2827.046186
0.0,2,2827.091431
0.0,2,2827.130181
0.0,3,2827.186874
0.0,2,2827.228711
0.0,2,2827.277118
0.0,3,2827.336037
0.0,5,2827.438221
0.0,4,2827.514667
0.0,4,2827.597082
0.0,2,2827.639482
0.0,2,2827.680926
0.0,4,2827.761556
0.0,2,2827.807317
0.0,2,2827.852696
0.0,2,2827.900309
0.0,4,2827.990516
0.0,2,2828.030299
0.0,2,2828.07084
0.0,3,2828.248478
0.0,2,2828.290625
0.0,2,2828.333
0.0,4,2828.407596
0.0,4,2832.673583
1.0,7,2832.807871
1.0,7,2832.941669
1.0,7,2833.078656
1.0,7,2833.222041
1.0,7,2833.365812
1.0,7,2833.498306
1.0,7,2833.648739
