#{"t_start": 1667421430.8751256, "env_id": "CTgraph-v0"}
r,l,t
0.0,4,392.194088
0.0,2,392.223732
0.0,2,392.253941
0.0,4,392.316319
0.0,2,392.348518
0.0,2,392.382253
0.0,2,392.415278
0.0,2,392.447677
0.0,2,392.48073
0.0,2,392.513635
0.0,4,392.573876
0.0,2,392.604147
0.0,2,392.635152
0.0,2,392.666546
0.0,4,392.731758
0.0,4,392.797447
0.0,2,392.830177
0.0,2,392.863025
0.0,2,392.894231
0.0,2,392.924611
0.0,2,392.954805
0.0,2,392.988979
0.0,4,393.053764
0.0,2,393.087953
0.0,2,393.118819
0.0,2,393.151484
0.0,2,393.184474
0.0,2,393.217062
0.0,2,393.250122
0.0,2,393.28243
0.0,2,393.315416
0.0,6,393.414137
0.0,2,393.447779
0.0,3,393.49892
0.0,2,393.53337
0.0,2,393.568083
0.0,2,393.602563
0.0,2,393.637182
0.0,2,393.67222
0.0,2,393.702412
0.0,4,393.772002
0.0,2,393.802576
0.0,2,393.83393
0.0,2,393.868098
0.0,2,393.903494
0.0,2,393.937317
0.0,2,393.97215
0.0,5,394.059356
0.0,2,394.09525
0.0,2,394.131202
0.0,2,394.167559
0.0,2,394.205264
0.0,2,394.241225
0.0,4,397.830613
0.0,2,397.861245
0.0,2,397.894971
0.0,2,397.926914
0.0,2,397.956691
0.0,2,397.987785
0.0,2,398.019251
0.0,2,398.050748
0.0,2,398.081568
0.0,2,398.113057
0.0,2,398.144276
0.0,2,398.17617
0.0,2,398.207258
0.0,2,398.239359
0.0,2,398.27189
0.0,2,398.303067
0.0,2,398.33703
0.0,2,398.368882
0.0,2,398.40328
0.0,2,398.435753
0.0,2,398.466866
0.0,2,398.499519
0.0,2,398.532318
0.0,4,398.598565
0.0,2,398.631913
0.0,4,398.698426
0.0,2,398.731539
0.0,2,398.764763
0.0,2,398.798294
0.0,4,398.865865
0.0,2,398.899386
0.0,2,398.933677
0.0,2,398.968086
0.0,2,399.004026
0.0,2,399.038641
0.0,4,399.108604
0.0,2,399.144042
0.0,4,399.214034
0.0,2,399.248147
0.0,2,399.284364
0.0,6,399.389518
0.0,2,399.426771
0.0,6,399.533324
0.0,2,399.569963
0.0,2,399.639922
0.0,2,399.677472
0.0,2,399.714527
0.0,2,399.749925
0.0,2,399.786529
0.0,2,399.823296
