#{"t_start": 1667421430.8748379, "env_id": "CTgraph-v0"}
r,l,t
0.0,2,2798.928053
0.0,2,2798.962243
0.0,2,2798.99927
0.0,2,2799.028954
0.0,2,2799.066603
0.0,2,2799.100673
0.0,6,2799.214613
0.0,2,2799.252508
0.0,2,2799.289668
0.0,2,2799.326571
0.0,2,2799.364141
0.0,2,2799.401292
0.0,2,2799.439714
0.0,2,2799.479533
0.0,2,2799.527663
0.0,2,2799.564391
0.0,2,2799.602025
0.0,4,2799.678166
0.0,2,2799.716449
0.0,2,2799.754213
0.0,2,2799.791618
0.0,2,2799.829581
0.0,2,2799.873155
0.0,4,2799.954104
0.0,2,2799.995964
0.0,2,2800.038209
0.0,2,2800.079258
0.0,4,2800.157551
0.0,2,2800.198956
0.0,2,2800.242819
0.0,2,2800.287722
0.0,2,2800.333445
0.0,2,2800.374876
0.0,2,2800.416385
0.0,2,2800.457917
0.0,4,2800.537845
0.0,4,2800.613698
0.0,2,2800.650907
0.0,2,2800.688517
0.0,2,2800.732361
0.0,2,2800.770679
0.0,2,2800.807527
0.0,4,2800.878359
0.0,2,2800.912827
0.0,2,2800.953348
0.0,2,2800.992098
0.0,2,2801.025882
0.0,3,2801.085523
0.0,2,2801.121251
0.0,2,2801.155527
0.0,3,2801.213809
0.0,7,2801.34584
0.0,4,2805.424153
0.0,2,2805.456181
0.0,6,2805.556631
0.0,4,2805.626763
0.0,2,2805.663385
0.0,2,2805.69888
0.0,2,2805.736687
0.0,2,2805.775816
0.0,2,2805.817031
0.0,2,2805.853801
0.0,2,2805.89398
0.0,2,2805.930265
0.0,3,2805.986999
0.0,2,2806.023288
0.0,2,2806.060116
0.0,2,2806.096348
0.0,2,2806.135877
0.0,2,2806.173189
0.0,2,2806.211756
0.0,2,2806.250649
0.0,2,2806.289497
0.0,2,2806.32866
0.0,2,2806.367404
0.0,3,2806.425644
0.0,2,2806.464374
0.0,2,2806.503091
0.0,2,2806.541397
0.0,2,2806.579522
0.0,4,2806.656886
0.0,5,2806.753049
0.0,2,2806.791269
0.0,2,2806.830192
0.0,2,2806.867583
0.0,2,2806.906242
0.0,6,2807.022091
0.0,4,2807.09901
0.0,2,2807.137575
0.0,2,2807.176282
0.0,2,2807.215349
0.0,2,2807.253893
0.0,4,2807.33005
0.0,2,2807.368563
0.0,2,2807.406612
0.0,2,2807.444332
0.0,2,2807.482421
0.0,7,2807.684547
0.0,4,2807.757308
0.0,6,2812.023267
0.0,2,2812.057429
0.0,2,2812.092747
0.0,2,2812.129084
0.0,4,2812.198197
0.0,2,2812.23725
0.0,2,2812.274009
0.0,7,2812.407158
0.0,2,2812.444807
0.0,2,2812.482913
0.0,2,2812.523996
0.0,2,2812.559773
0.0,2,2812.608785
0.0,2,2812.65287
0.0,2,2812.692493
0.0,3,2812.748798
0.0,2,2812.788264
0.0,2,2812.834439
0.0,4,2812.91978
0.0,2,2812.961915
0.0,3,2813.031342
0.0,2,2813.073882
0.0,2,2813.115608
0.0,4,2813.191167
0.0,2,2813.23361
0.0,2,2813.272763
0.0,2,2813.319021
0.0,6,2813.452862
0.0,2,2813.494439
0.0,2,2813.536336
0.0,2,2813.578417
0.0,4,2813.667867
0.0,2,2813.706393
0.0,2,2813.752274
0.0,4,2813.836421
0.0,2,2813.878432
0.0,2,2813.918918
0.0,4,2814.006768
0.0,2,2814.044657
0.0,4,2814.12044
0.0,2,2814.16292
0.0,2,2814.202671
0.0,2,2814.240304
0.0,2,2814.279698
0.0,2,2814.321783
0.0,2,2814.360298
0.0,2,2814.396574
0.0,2,2814.433309
0.0,2,2814.470358
0.0,2,2814.506637
0.0,4,2814.575387
0.0,2,2818.659594
0.0,2,2818.693669
0.0,2,2818.727914
0.0,2,2818.761594
0.0,4,2818.828375
0.0,2,2818.864624
0.0,2,2818.905845
0.0,4,2818.980513
0.0,2,2819.015282
0.0,2,2819.050659
0.0,2,2819.087978
0.0,2,2819.125779
0.0,2,2819.163305
0.0,2,2819.200377
0.0,2,2819.237808
0.0,4,2819.316109
0.0,6,2819.433115
0.0,2,2819.472578
0.0,2,2819.51244
0.0,2,2819.551859
0.0,2,2819.591582
0.0,2,2819.630767
0.0,6,2819.749291
0.0,2,2819.789485
0.0,2,2819.828324
0.0,4,2819.906838
0.0,2,2819.946579
0.0,6,2820.064764
0.0,2,2820.104094
0.0,4,2820.182473
