#{"t_start": 1667421430.5964081, "env_id": "CTgraph-v0"}
r,l,t
0.0,2,2799.205235
0.0,2,2799.239563
0.0,2,2799.276754
0.0,4,2799.344093
0.0,2,2799.378101
0.0,4,2799.4499
0.0,6,2799.567031
0.0,2,2799.603909
0.0,4,2799.678645
0.0,2,2799.717158
0.0,2,2799.756924
0.0,2,2799.804798
0.0,3,2799.861006
0.0,4,2799.936783
0.0,3,2799.99369
0.0,6,2800.106819
0.0,2,2800.150584
0.0,2,2800.193844
0.0,2,2800.231384
0.0,2,2800.273189
0.0,2,2800.315378
0.0,2,2800.356595
0.0,3,2800.420082
0.0,2,2800.457648
0.0,2,2800.498724
0.0,2,2800.539986
0.0,2,2800.58527
0.0,2,2800.632476
0.0,3,2800.693864
0.0,2,2800.735183
0.0,2,2800.777318
0.0,4,2800.854108
0.0,2,2800.891207
0.0,3,2800.950384
0.0,2,2800.988122
0.0,3,2801.047964
0.0,2,2801.084909
0.0,2,2801.121379
0.0,2,2801.155703
0.0,4,2801.230619
0.0,3,2801.288069
0.0,2,2801.324219
0.0,2,2801.363014
0.0,2,2801.39851
0.0,2,2801.432757
0.0,2,2801.470758
0.0,3,2801.528013
0.0,2,2801.563689
0.0,2,2801.604419
0.0,4,2805.684542
0.0,2,2805.719185
0.0,2,2805.750092
0.0,2,2805.782568
0.0,2,2805.815071
0.0,4,2805.887273
0.0,2,2805.923195
0.0,2,2805.961376
0.0,2,2805.99488
0.0,2,2806.032352
0.0,4,2806.115259
0.0,3,2806.17129
0.0,2,2806.207581
0.0,4,2806.280409
0.0,4,2806.353413
0.0,2,2806.393545
0.0,2,2806.43127
0.0,2,2806.469504
0.0,2,2806.508919
0.0,4,2806.586856
0.0,2,2806.625598
0.0,2,2806.664207
0.0,2,2806.703001
0.0,4,2806.780391
0.0,2,2806.818765
0.0,2,2806.856889
0.0,2,2806.895169
0.0,2,2806.934102
0.0,2,2806.972469
0.0,2,2807.011405
0.0,2,2807.049705
0.0,2,2807.088252
0.0,4,2807.164189
0.0,4,2807.241102
0.0,2,2807.279861
0.0,5,2807.376177
0.0,3,2807.434186
0.0,4,2807.511422
0.0,4,2807.587931
0.0,2,2807.626341
0.0,4,2807.702455
0.0,2,2807.740484
0.0,2,2807.777386
0.0,2,2807.885522
0.0,2,2807.922352
0.0,2,2807.961133
0.0,2,2807.99833
