#{"t_start": 1667421430.8752313, "env_id": "CTgraph-v0"}
r,l,t
0.0,4,90.770008
0.0,3,90.804696
0.0,4,90.85999
0.0,6,90.939607
0.0,2,90.966432
0.0,2,90.993118
0.0,2,91.019871
0.0,2,91.046599
0.0,2,91.073599
0.0,2,91.100323
0.0,2,91.127266
0.0,2,91.152623
0.0,2,91.181209
0.0,2,91.208176
0.0,2,91.235084
0.0,2,91.263845
0.0,2,91.290745
0.0,2,91.317583
0.0,2,91.344384
0.0,2,91.371082
0.0,2,91.397894
0.0,2,91.424867
0.0,3,91.465388
0.0,2,91.492201
0.0,2,91.518924
0.0,2,91.545527
0.0,2,91.572666
0.0,2,91.599438
0.0,2,91.62632
0.0,2,91.652918
0.0,4,91.706404
0.0,2,91.733341
0.0,2,91.759785
0.0,4,91.814105
0.0,2,91.840877
0.0,2,91.867686
0.0,2,91.894765
0.0,2,91.921338
0.0,2,91.948299
0.0,2,91.974895
0.0,4,92.028903
0.0,4,92.084847
0.0,2,92.111674
0.0,2,92.138289
0.0,2,92.16567
0.0,2,92.191941
0.0,2,92.219229
0.0,2,92.246137
0.0,2,92.27297
0.0,2,92.299734
0.0,2,92.326277
0.0,2,92.353167
0.0,2,92.380063
0.0,2,92.406762
0.0,2,92.433658
0.0,2,95.566436
0.0,2,95.577268
0.0,4,95.601884
0.0,2,95.614916
0.0,2,95.63417
0.0,2,95.658025
0.0,7,95.756932
0.0,4,95.812321
0.0,2,95.83941
0.0,2,95.865708
0.0,4,95.917911
0.0,2,95.94673
0.0,2,95.973269
0.0,2,95.999969
0.0,2,96.027193
0.0,2,96.053783
0.0,2,96.080682
0.0,2,96.1073
0.0,2,96.134344
0.0,2,96.161801
0.0,2,96.188268
0.0,2,96.213114
0.0,2,96.240429
0.0,2,96.267405
0.0,2,96.293852
0.0,2,96.320879
0.0,2,96.347407
0.0,4,96.401303
0.0,2,96.427918
0.0,2,96.454612
0.0,2,96.481679
0.0,2,96.508606
0.0,2,96.53571
0.0,2,96.56185
0.0,5,96.629187
0.0,2,96.655831
0.0,4,96.709625
0.0,2,96.736119
0.0,2,96.762877
0.0,2,96.79007
0.0,2,96.81631
0.0,4,96.87069
0.0,4,96.926315
0.0,2,96.952773
0.0,2,96.980037
0.0,2,97.006696
0.0,2,97.033542
0.0,4,97.087158
0.0,2,97.113682
0.0,2,97.140284
0.0,2,97.167081
0.0,2,97.193897
0.0,4,104.496137
0.0,2,104.507155
0.0,4,104.528464
0.0,2,104.539652
0.0,2,104.5504
0.0,4,104.571954
0.0,2,104.583465
0.0,4,104.604915
0.0,6,104.639612
0.0,2,104.650667
0.0,2,104.668963
0.0,2,104.681377
0.0,2,104.691692
0.0,2,104.703647
0.0,2,104.715113
0.0,2,104.726121
0.0,2,104.736183
0.0,2,104.748192
0.0,2,104.760098
0.0,2,104.772297
0.0,2,104.785993
0.0,2,104.7991
0.0,2,104.81162
0.0,2,104.824249
0.0,2,104.845437
0.0,2,104.85742
0.0,2,104.869595
0.0,2,104.881779
0.0,2,104.892669
0.0,2,104.903902
0.0,2,104.915676
0.0,2,104.933802
0.0,2,104.946063
0.0,2,104.959271
0.0,4,104.983472
0.0,2,104.996103
0.0,2,105.007514
0.0,2,105.019163
0.0,2,105.031324
0.0,2,105.042137
0.0,2,105.053003
0.0,2,105.064916
0.0,2,105.077786
0.0,2,105.089886
0.0,2,105.101699
0.0,2,105.11409
0.0,2,105.126328
0.0,2,105.137498
0.0,2,105.148405
0.0,2,105.159307
0.0,2,105.17072
0.0,2,105.182765
0.0,2,105.194145
0.0,2,105.205763
0.0,2,105.217094
0.0,2,105.228967
0.0,2,105.239529
0.0,2,106.792551
0.0,2,106.82147
0.0,2,106.849583
0.0,2,106.877792
0.0,2,106.905857
0.0,2,106.934731
0.0,2,106.963179
0.0,3,107.003813
0.0,2,107.030314
0.0,2,107.056003
0.0,2,107.082582
0.0,2,107.108698
0.0,2,107.13599
0.0,2,107.163463
0.0,2,107.190174
0.0,2,107.215746
0.0,2,107.240208
0.0,2,107.265361
0.0,4,107.316147
0.0,2,107.341786
0.0,2,107.36957
0.0,2,107.395923
0.0,2,107.422876
0.0,2,107.448969
0.0,2,107.475966
0.0,2,107.503529
0.0,2,107.530622
0.0,2,107.557712
0.0,2,107.584584
0.0,2,107.612199
0.0,2,107.639024
0.0,2,107.666177
0.0,2,107.693295
0.0,2,107.720129
0.0,2,107.747513
0.0,2,107.774324
0.0,2,107.801477
0.0,2,107.828396
0.0,2,107.855759
0.0,2,107.88277
0.0,2,107.909756
0.0,2,107.936753
0.0,2,107.963621
0.0,2,107.990888
0.0,2,108.017224
0.0,2,108.044539
0.0,2,108.073018
0.0,2,108.09923
0.0,2,108.126195
0.0,2,108.152892
0.0,2,108.180184
0.0,2,108.207458
0.0,2,108.234707
0.0,2,108.261681
0.0,3,108.301615
0.0,2,108.32885
0.0,2,108.355636
0.0,2,108.38279
0.0,2,108.41011
0.0,2,108.43983
0.0,2,108.468918
0.0,4,115.089002
0.0,2,115.109266
0.0,2,115.12978
0.0,2,115.152232
0.0,4,115.194487
0.0,2,115.216308
0.0,2,115.23783
0.0,2,115.259379
0.0,2,115.283552
0.0,4,115.328599
0.0,2,115.350016
0.0,4,115.39483
0.0,4,115.43882
0.0,2,115.460643
0.0,2,115.482663
0.0,2,115.504243
0.0,2,115.526881
0.0,2,115.548822
0.0,2,115.570452
0.0,6,115.635841
0.0,4,115.678126
0.0,2,115.699519
0.0,2,115.720707
0.0,2,115.741538
0.0,4,115.7811
0.0,2,115.801083
0.0,2,115.821121
0.0,2,115.839733
0.0,2,115.859917
0.0,2,115.879818
0.0,2,115.899544
0.0,2,115.919441
0.0,2,115.938774
0.0,2,115.958623
0.0,2,115.978162
0.0,2,115.997932
0.0,2,116.016958
0.0,4,116.053683
0.0,2,116.072653
0.0,2,116.094903
0.0,2,116.114437
0.0,2,116.135531
0.0,2,116.155875
0.0,2,116.17353
0.0,2,116.190723
0.0,4,116.225816
0.0,2,116.244898
0.0,6,116.301643
0.0,2,116.320018
0.0,2,116.338885
0.0,2,116.35784
0.0,2,116.378142
0.0,2,118.977825
0.0,2,118.995563
0.0,2,119.017748
0.0,2,119.039688
0.0,2,119.06088
0.0,2,119.08068
0.0,2,119.105509
0.0,3,119.14077
0.0,5,119.195773
0.0,2,119.220181
0.0,2,119.244284
0.0,2,119.268793
0.0,2,119.294461
0.0,2,119.321512
0.0,4,119.374744
0.0,2,119.401565
0.0,2,119.42817
0.0,2,119.455443
0.0,2,119.482341
0.0,2,119.509343
0.0,2,119.539248
0.0,2,119.570157
0.0,2,119.597373
0.0,2,119.62403
0.0,4,119.675723
0.0,2,119.702438
0.0,4,119.759025
0.0,2,119.785448
0.0,2,119.812887
0.0,7,119.909043
0.0,2,119.937103
0.0,2,119.964326
0.0,2,119.991667
0.0,2,120.019923
0.0,2,120.04785
0.0,4,120.105164
0.0,2,120.135712
0.0,7,120.234362
0.0,3,120.277394
0.0,2,120.305536
0.0,2,120.333993
0.0,4,120.391039
0.0,2,120.41905
0.0,2,120.447966
0.0,4,120.504777
0.0,3,120.54712
0.0,2,120.575492
0.0,2,120.604589
0.0,3,120.715244
0.0,2,123.78711
0.0,2,123.816319
0.0,2,123.848286
0.0,2,123.87666
0.0,2,123.906228
0.0,2,123.935649
0.0,2,123.962808
0.0,2,123.986262
0.0,2,124.008879
0.0,2,124.033112
0.0,4,124.084057
0.0,2,124.110758
0.0,4,124.162205
0.0,2,124.189269
0.0,4,124.243243
0.0,2,124.270009
0.0,3,124.311101
0.0,6,124.391461
0.0,2,124.418417
0.0,2,124.444933
0.0,2,124.472421
0.0,7,124.568033
0.0,2,124.595535
0.0,2,124.622806
0.0,2,124.650558
0.0,3,124.692196
0.0,2,124.719614
0.0,2,124.747297
0.0,2,124.7754
0.0,2,124.803122
0.0,2,124.831383
0.0,2,124.860071
0.0,2,124.888556
0.0,2,124.916717
0.0,2,124.945345
0.0,2,124.974
0.0,2,125.002697
0.0,2,125.031029
0.0,2,125.059183
0.0,2,125.087836
0.0,2,125.116058
0.0,2,125.144386
0.0,2,125.172377
0.0,6,125.258546
0.0,2,125.286687
0.0,2,125.315451
0.0,2,125.344042
0.0,2,125.372313
0.0,2,125.400753
0.0,2,125.429308
0.0,2,125.458241
0.0,2,125.486195
0.0,2,125.514598
0.0,2,125.543321
0.0,4,128.65836
0.0,2,128.686899
0.0,2,128.71557
0.0,3,128.757494
0.0,2,128.78414
0.0,2,128.808107
0.0,2,128.829216
0.0,4,128.874906
0.0,2,128.898463
0.0,2,128.921203
0.0,4,128.967744
0.0,4,129.016649
0.0,2,129.043871
0.0,2,129.070316
0.0,2,129.097406
0.0,2,129.124248
0.0,2,129.151215
0.0,2,129.178131
0.0,2,129.20515
0.0,5,129.270733
0.0,2,129.298522
0.0,2,129.325671
0.0,2,129.353519
0.0,4,129.408782
0.0,2,129.436296
0.0,2,129.463807
0.0,2,129.491502
0.0,2,129.519176
0.0,2,129.547045
0.0,2,129.574522
0.0,2,129.603009
0.0,2,129.63006
0.0,4,129.685713
0.0,2,129.713316
0.0,2,129.741051
0.0,2,129.768887
0.0,2,129.79704
0.0,2,129.825825
0.0,2,129.854418
0.0,2,129.882586
0.0,4,129.939426
0.0,2,129.968047
0.0,2,129.996511
0.0,2,130.024681
0.0,4,130.082145
0.0,6,130.167571
0.0,2,130.195914
0.0,2,130.224467
0.0,2,130.252765
0.0,2,130.281249
0.0,2,130.310184
0.0,2,130.338631
0.0,2,133.454064
0.0,2,133.479599
0.0,2,133.505497
0.0,2,133.527791
0.0,4,133.574926
0.0,2,133.608404
0.0,2,133.631846
0.0,2,133.65555
0.0,2,133.679316
0.0,2,133.702913
0.0,2,133.727671
0.0,2,133.751436
0.0,3,133.789464
0.0,6,133.869785
0.0,4,133.92441
0.0,2,133.949435
0.0,2,133.977115
0.0,2,134.005132
0.0,2,134.032447
0.0,2,134.059319
0.0,2,134.086879
0.0,2,134.114724
0.0,2,134.142106
0.0,2,134.169802
0.0,2,134.197669
0.0,2,134.22537
0.0,2,134.25296
0.0,2,134.280403
0.0,2,134.30812
0.0,2,134.336605
0.0,2,134.365094
0.0,2,134.393504
0.0,2,134.421961
0.0,2,134.450284
0.0,2,134.47859
0.0,4,134.535583
0.0,2,134.563946
0.0,2,134.592297
0.0,2,134.620505
0.0,2,134.648442
0.0,3,134.689717
0.0,3,134.731649
0.0,2,134.760159
0.0,2,134.788437
0.0,2,134.816236
0.0,2,134.845143
0.0,2,134.873823
0.0,2,134.902311
0.0,2,134.930772
0.0,2,134.959308
0.0,2,134.99261
0.0,2,135.020833
0.0,2,135.04882
0.0,2,135.07724
0.0,2,135.106564
0.0,2,135.134749
0.0,2,135.163317
0.0,2,141.097593
0.0,2,141.11568
0.0,2,141.131356
0.0,2,141.149756
0.0,4,141.18302
0.0,2,141.201404
0.0,2,141.220718
0.0,4,141.25776
0.0,2,141.275281
0.0,2,141.294706
0.0,2,141.313937
0.0,2,141.333428
0.0,2,141.351285
0.0,2,141.370389
0.0,2,141.390011
0.0,3,141.414947
0.0,4,141.448145
0.0,2,141.465168
0.0,2,141.482028
0.0,4,141.515932
0.0,2,141.533559
0.0,2,141.550872
0.0,2,141.568238
0.0,4,141.603441
0.0,2,141.620903
0.0,2,141.637076
0.0,2,141.652726
0.0,2,141.670143
0.0,2,141.688535
0.0,2,141.707751
0.0,2,141.72736
0.0,4,141.769949
0.0,6,141.826225
0.0,4,141.864463
0.0,2,141.882551
0.0,2,141.902083
0.0,2,141.917556
0.0,2,141.935562
0.0,2,141.953612
0.0,2,141.972051
0.0,2,141.992167
0.0,2,142.012938
0.0,2,142.032424
0.0,2,142.049815
0.0,2,142.069865
0.0,4,142.104838
0.0,2,142.125783
0.0,2,142.739064
0.0,4,142.763082
0.0,2,142.775002
0.0,2,142.784555
0.0,2,142.794295
0.0,2,142.802999
0.0,2,147.367067
0.0,2,147.378055
0.0,2,147.389668
0.0,2,147.401273
0.0,2,147.411391
0.0,4,147.434146
0.0,2,147.445742
0.0,5,147.476894
0.0,2,147.490107
0.0,2,147.503013
0.0,2,147.515908
0.0,2,147.526363
0.0,4,147.549743
0.0,2,147.562893
0.0,2,147.573063
0.0,2,147.584449
0.0,4,147.61078
0.0,2,147.620438
0.0,2,147.632039
0.0,2,147.644441
0.0,2,147.65537
0.0,2,147.666567
0.0,2,147.677858
0.0,2,147.689415
0.0,2,147.70146
0.0,2,147.714266
0.0,2,147.725292
0.0,4,148.299722
0.0,2,148.312006
0.0,2,148.323964
0.0,2,148.335319
0.0,2,148.346653
0.0,3,148.363099
0.0,2,148.374976
0.0,7,148.416759
0.0,2,148.429136
0.0,2,148.44217
0.0,4,148.465319
0.0,2,148.476406
0.0,2,148.487771
0.0,2,148.5006
0.0,2,148.512541
0.0,2,148.52392
0.0,2,148.535018
0.0,2,148.544808
0.0,4,148.563493
0.0,2,148.573164
0.0,2,148.582925
0.0,4,148.604416
0.0,2,148.615491
0.0,2,148.626787
0.0,2,148.637809
0.0,2,152.157552
0.0,2,152.191962
0.0,2,152.228094
0.0,4,152.304262
0.0,4,152.381352
0.0,2,152.416163
0.0,5,152.503292
0.0,2,152.537683
0.0,2,152.57249
0.0,2,152.607384
0.0,3,152.664149
0.0,2,152.699102
0.0,2,152.729889
0.0,2,152.761684
0.0,4,152.835341
0.0,2,152.86711
0.0,2,152.900067
0.0,2,152.935517
0.0,2,152.973363
0.0,2,153.008428
0.0,2,153.047684
0.0,2,153.082743
0.0,6,153.193163
0.0,4,153.266333
0.0,2,153.36201
0.0,2,153.383677
0.0,2,153.403054
0.0,2,153.4195
0.0,2,153.435531
0.0,5,153.467763
0.0,2,153.479217
0.0,2,153.492364
0.0,2,153.506191
0.0,2,153.520734
0.0,2,153.533615
0.0,4,153.561116
0.0,4,153.589086
0.0,2,153.602041
0.0,2,153.616066
0.0,2,153.631104
0.0,2,153.645768
0.0,2,153.659203
0.0,2,153.672548
0.0,2,153.687512
0.0,3,153.70729
0.0,2,153.721662
0.0,4,153.760105
0.0,4,153.789795
0.0,2,153.806481
0.0,2,153.821597
0.0,2,156.003935
0.0,2,156.03356
0.0,4,156.089045
0.0,4,156.145928
0.0,2,156.176806
0.0,2,156.207862
0.0,2,156.235661
0.0,4,156.298081
0.0,2,156.32964
0.0,2,156.359828
0.0,2,156.391185
0.0,2,156.422492
0.0,6,156.515955
0.0,4,156.579031
0.0,2,156.609851
0.0,2,156.640621
0.0,2,156.672131
0.0,4,156.734973
0.0,2,156.765844
0.0,2,156.796933
0.0,2,156.828438
0.0,2,156.857044
0.0,2,156.887469
0.0,4,156.950241
0.0,4,157.013254
0.0,2,157.042964
0.0,2,157.072146
0.0,6,157.163198
0.0,2,157.193559
0.0,2,157.223817
0.0,4,157.284978
0.0,6,157.378378
0.0,4,157.441063
0.0,2,157.472468
0.0,2,157.50405
0.0,4,157.566544
0.0,2,157.597854
0.0,2,157.629433
0.0,6,157.728209
0.0,2,157.761299
0.0,4,157.827491
0.0,4,157.893575
0.0,3,157.943383
0.0,2,157.976444
0.0,4,164.247859
0.0,2,164.260777
0.0,2,164.272799
0.0,2,164.286207
0.0,2,164.299875
0.0,2,164.314882
0.0,2,164.329753
0.0,2,164.343076
0.0,2,164.354972
0.0,2,164.367019
0.0,2,164.38006
0.0,2,164.393136
0.0,3,164.412097
0.0,2,164.424577
0.0,2,164.438484
0.0,4,164.465802
0.0,2,164.479055
0.0,2,164.492613
0.0,2,164.503859
0.0,2,164.517421
0.0,2,164.529871
0.0,2,164.542964
0.0,2,164.556384
0.0,2,164.570788
0.0,2,164.585321
0.0,2,164.598377
0.0,3,164.621065
0.0,2,164.635892
0.0,2,164.651226
0.0,2,164.665196
0.0,2,164.67881
0.0,2,164.694302
0.0,2,164.709347
0.0,2,164.724593
0.0,3,164.745341
0.0,2,164.758954
0.0,2,164.773966
0.0,3,164.796859
0.0,2,164.812987
0.0,2,164.829232
0.0,2,164.843669
0.0,2,164.85823
0.0,2,164.871731
0.0,2,164.883808
0.0,2,164.897707
0.0,2,164.910743
0.0,2,164.925462
0.0,2,164.940904
0.0,4,164.971686
0.0,3,164.996346
0.0,2,165.011069
0.0,2,165.025432
0.0,2,165.041223
0.0,2,165.057748
0.0,2,165.075617
0.0,4,165.106471
0.0,4,170.570615
0.0,2,170.596604
0.0,2,170.623449
0.0,6,170.70479
0.0,2,170.731948
0.0,2,170.75996
0.0,2,170.786798
0.0,4,170.841391
0.0,2,170.867698
0.0,2,170.89484
0.0,2,170.921943
0.0,2,170.949285
0.0,2,170.976474
0.0,2,171.003608
0.0,2,171.030159
0.0,3,171.070981
0.0,2,171.097929
0.0,2,171.125221
0.0,2,171.152321
0.0,2,171.179469
0.0,2,171.207134
0.0,6,171.288521
0.0,4,171.342014
0.0,4,171.396131
0.0,2,171.42419
0.0,2,171.453879
0.0,4,171.516529
0.0,3,171.565851
0.0,2,171.601447
0.0,2,171.636828
0.0,2,171.672405
0.0,4,171.734566
0.0,2,171.769399
0.0,2,171.801296
0.0,7,171.920153
0.0,2,171.955646
0.0,2,171.986883
0.0,2,172.01894
0.0,2,172.054192
0.0,3,172.104135
0.0,2,172.140278
0.0,2,172.175931
0.0,2,172.204498
0.0,4,172.271649
0.0,2,172.304301
0.0,2,172.340865
0.0,4,172.408746
0.0,2,172.438344
0.0,2,172.468446
0.0,2,179.102691
0.0,2,179.12577
0.0,4,179.166995
0.0,2,179.18541
0.0,2,179.203181
0.0,2,180.228632
0.0,2,180.692203
0.0,4,180.742599
0.0,2,180.765681
0.0,6,180.83617
0.0,2,180.861764
0.0,2,180.884677
0.0,2,180.908189
0.0,2,180.931708
0.0,2,180.955657
0.0,2,180.97927
0.0,2,181.003353
0.0,2,181.02671
0.0,6,181.305564
0.0,2,181.340021
0.0,2,181.372573
0.0,6,181.46975
0.0,4,181.534799
0.0,2,181.564491
0.0,4,181.629128
0.0,4,181.689525
0.0,2,181.721428
0.0,2,181.752867
0.0,4,181.814035
0.0,2,181.845525
0.0,3,181.894021
0.0,2,181.926177
0.0,2,181.958461
0.0,7,182.070883
0.0,4,182.134439
0.0,2,182.166302
0.0,2,182.198154
0.0,2,182.22945
0.0,2,182.262305
0.0,2,182.294023
0.0,2,182.326607
0.0,3,182.373935
0.0,2,182.405426
0.0,2,182.435134
0.0,4,182.493862
0.0,2,182.523753
0.0,2,182.552241
0.0,2,187.36909
0.0,4,187.390315
0.0,5,187.414641
0.0,2,187.423201
0.0,2,187.43159
0.0,4,187.447982
0.0,2,187.458233
0.0,4,187.483767
0.0,2,187.497812
0.0,2,187.512174
0.0,2,187.524908
0.0,2,187.538043
0.0,2,187.550279
0.0,2,187.562815
0.0,2,187.57639
0.0,2,187.589855
0.0,2,187.602041
0.0,2,187.613673
0.0,4,187.637846
0.0,2,187.650476
0.0,3,187.669056
0.0,2,187.681049
0.0,2,187.694015
0.0,2,187.706747
0.0,2,187.718946
0.0,2,187.731465
0.0,4,187.758855
0.0,4,187.786742
0.0,2,187.800448
0.0,2,187.813806
0.0,2,187.826779
0.0,4,187.853408
0.0,2,187.866448
