#{"t_start": 1667421433.2775567, "env_id": "CTgraph-v0"}
r,l,t
0.0,2,3817.185814
0.0,2,3817.227547
0.0,4,3817.304235
0.0,2,3817.342355
0.0,2,3817.380654
0.0,2,3817.419175
0.0,2,3817.457505
0.0,2,3817.495703
0.0,2,3817.534049
0.0,4,3817.61027
0.0,2,3817.648472
0.0,2,3817.686877
0.0,2,3817.730324
0.0,4,3817.816064
0.0,4,3817.899022
0.0,2,3817.938414
0.0,2,3817.980028
0.0,2,3818.020704
0.0,2,3818.055438
0.0,2,3818.090014
0.0,4,3818.160106
0.0,4,3818.23303
0.0,2,3818.27019
0.0,2,3818.309002
0.0,2,3818.346578
0.0,2,3818.386698
0.0,4,3818.457043
0.0,4,3818.529691
0.0,2,3818.566706
0.0,4,3818.637875
0.0,2,3818.671275
0.0,2,3818.706124
0.0,2,3818.735775
0.0,2,3818.766911
0.0,2,3818.797399
0.0,4,3818.858238
0.0,2,3818.89565
0.0,3,3818.94563
0.0,2,3818.981346
0.0,2,3819.014677
0.0,2,3819.052885
0.0,2,3819.092478
0.0,2,3819.131065
0.0,3,3819.186277
0.0,2,3819.229567
0.0,2,3819.268629
0.0,2,3819.303057
0.0,2,3819.339698
0.0,2,3819.376893
0.0,2,3819.414013
0.0,2,3819.454733
0.0,2,3819.490802
0.0,3,3824.119003
0.0,2,3824.166652
0.0,2,3824.211243
0.0,4,3824.289976
0.0,2,3824.32867
0.0,2,3824.367488
0.0,6,3824.484164
0.0,4,3824.561347
0.0,4,3824.63929
0.0,2,3824.678313
0.0,2,3824.717518
0.0,2,3824.756502
0.0,5,3824.854776
0.0,2,3824.891895
0.0,4,3824.964941
0.0,2,3825.004778
0.0,2,3825.042976
0.0,6,3825.160603
0.0,2,3825.198025
0.0,2,3825.236303
0.0,2,3825.274669
0.0,4,3825.35906
0.0,2,3825.397984
0.0,2,3825.436077
0.0,2,3825.474674
0.0,2,3825.518899
0.0,2,3825.558135
0.0,6,3825.670168
0.0,2,3825.706557
0.0,2,3825.786999
0.0,2,3825.831116
0.0,2,3825.867798
0.0,3,3825.926452
0.0,2,3825.965212
0.0,2,3826.002588
0.0,4,3826.078198
0.0,2,3826.115054
0.0,2,3826.156455
0.0,2,3826.197411
0.0,2,3826.240718
0.0,2,3826.282349
0.0,2,3826.322054
0.0,2,3826.361281
0.0,2,3826.400687
0.0,4,3826.480337
0.0,4,3826.567888
0.0,2,3826.609407
0.0,2,3826.650637
0.0,2,3831.188524
0.0,2,3831.232989
0.0,2,3831.276075
0.0,2,3831.319561
0.0,2,3831.359454
0.0,2,3831.398944
0.0,2,3831.442546
0.0,4,3831.52148
0.0,2,3831.561255
0.0,4,3831.640299
0.0,2,3831.679806
0.0,2,3831.719408
0.0,2,3831.759235
0.0,3,3831.825807
0.0,2,3831.866993
0.0,4,3831.949504
0.0,2,3831.991031
0.0,2,3832.032143
0.0,2,3832.072683
0.0,2,3832.110102
0.0,2,3832.147472
0.0,2,3832.181673
0.0,2,3832.216253
0.0,4,3832.289784
0.0,2,3832.327813
0.0,2,3832.367043
0.0,2,3832.406065
0.0,2,3832.445266
0.0,2,3832.484406
0.0,2,3832.523856
0.0,2,3832.563096
0.0,2,3832.602391
0.0,2,3832.641422
0.0,2,3832.680785
0.0,2,3832.719637
0.0,2,3832.759941
0.0,4,3832.836539
0.0,2,3832.869607
0.0,2,3832.902587
0.0,2,3832.93671
0.0,2,3832.973012
0.0,2,3833.007838
0.0,2,3833.040259
0.0,2,3833.076814
0.0,2,3833.10896
0.0,6,3833.22179
0.0,2,3833.257773
0.0,2,3833.295219
0.0,3,3833.349879
0.0,2,3833.387174
0.0,4,3833.46195
0.0,2,3833.501429
0.0,4,3833.57612
0.0,2,3833.61429
0.0,2,3838.133942
0.0,2,3838.173273
0.0,4,3838.252351
0.0,2,3838.299708
0.0,2,3838.345901
0.0,2,3838.391999
0.0,2,3838.430892
0.0,2,3838.474772
0.0,2,3838.516701
0.0,2,3838.558187
0.0,2,3838.600244
0.0,2,3838.647312
0.0,4,3838.738443
0.0,2,3838.781974
0.0,2,3838.82339
0.0,2,3838.864841
0.0,2,3838.903385
0.0,2,3838.948313
0.0,4,3839.03571
0.0,4,3839.115581
0.0,2,3839.150419
0.0,6,3839.258466
0.0,2,3839.298959
0.0,2,3839.338306
0.0,2,3839.377514
0.0,2,3839.419825
0.0,4,3839.50672
0.0,2,3839.55237
0.0,6,3839.666934
0.0,2,3839.703389
0.0,2,3839.742405
0.0,2,3839.782353
0.0,4,3839.860795
0.0,2,3839.896885
0.0,2,3839.933843
0.0,4,3840.010534
0.0,2,3840.052069
0.0,2,3840.096739
0.0,2,3840.131509
0.0,4,3840.207708
0.0,2,3840.248699
0.0,2,3840.288803
0.0,2,3840.328062
0.0,4,3840.410124
0.0,2,3840.451221
0.0,2,3840.489001
0.0,2,3840.524867
0.0,2,3840.561953
0.0,2,3840.598791
0.0,2,3840.636986
0.0,4,3845.182674
0.0,2,3845.222397
0.0,2,3845.267655
0.0,2,3845.310878
0.0,2,3845.354888
0.0,7,3845.509776
0.0,2,3845.553678
0.0,2,3845.596938
0.0,2,3845.638996
0.0,2,3845.678727
0.0,2,3845.718399
0.0,2,3845.75839
0.0,2,3845.797835
0.0,2,3845.848528
0.0,6,3845.978855
0.0,2,3846.021258
0.0,2,3846.063656
0.0,2,3846.103123
0.0,2,3846.141177
0.0,2,3846.179345
0.0,2,3846.218663
0.0,2,3846.255881
0.0,2,3846.291708
0.0,2,3846.32776
0.0,2,3846.363647
0.0,2,3846.399703
0.0,2,3846.437087
0.0,4,3846.515935
0.0,2,3846.555505
0.0,2,3846.595237
0.0,6,3846.714625
0.0,2,3846.754472
0.0,2,3846.794188
0.0,4,3846.873589
0.0,2,3846.912776
0.0,2,3846.952814
0.0,4,3847.03152
0.0,2,3847.07855
0.0,6,3847.204865
0.0,3,3847.262455
0.0,2,3847.312764
0.0,2,3847.350085
0.0,2,3847.395817
0.0,4,3847.467935
0.0,2,3847.505491
0.0,2,3847.544129
0.0,2,3847.580959
0.0,2,3847.616564
0.0,2,3847.652425
0.0,3,3847.715747
0.0,2,3847.752553
1.0,7,3852.548734
1.0,7,3852.690402
1.0,7,3852.847588
1.0,7,3852.986241
1.0,7,3853.126456
1.0,7,3853.257041
1.0,7,3853.407982
1.0,7,3853.541754
1.0,7,3853.690484
1.0,7,3853.82691
1.0,7,3853.967899
1.0,7,3854.115917
1.0,7,3854.264695
1.0,7,3854.400385
1.0,7,3854.531006
1.0,7,3854.668738
1.0,7,3854.790222
1.0,7,3854.924097
1.0,7,3859.647738
1.0,7,3859.804545
1.0,7,3859.938062
1.0,7,3860.089918
1.0,7,3860.23018
1.0,7,3860.361451
1.0,7,3860.503152
1.0,7,3860.648623
1.0,7,3860.791268
1.0,7,3861.210665
1.0,7,3861.356771
1.0,7,3861.491457
1.0,7,3861.62199
1.0,7,3861.755164
1.0,7,3861.879484
1.0,7,3861.999354
1.0,7,3862.123629
1.0,7,3862.247632
1.0,7,3866.871665
1.0,7,3867.027412
1.0,7,3867.18284
1.0,7,3867.334456
1.0,7,3867.489468
1.0,7,3867.622761
1.0,7,3867.75438
1.0,7,3867.901291
1.0,7,3868.039594
1.0,7,3868.175452
1.0,7,3868.320353
1.0,7,3868.46849
1.0,7,3868.614077
1.0,7,3868.757103
1.0,7,3868.888792
1.0,7,3869.009334
1.0,7,3869.137999
1.0,7,3869.255227
1.0,7,3873.991174
1.0,7,3874.135674
1.0,7,3874.277097
1.0,7,3874.420732
1.0,7,3874.561877
1.0,7,3874.702123
1.0,7,3874.84043
1.0,7,3874.97325
0.0,5,3875.066867
1.0,7,3875.20794
1.0,7,3875.341869
1.0,7,3875.477968
1.0,7,3875.621394
1.0,7,3875.760352
1.0,7,3875.898896
1.0,7,3876.031144
1.0,7,3876.162673
1.0,7,3876.299029
1.0,7,3876.438965
1.0,7,3881.040306
1.0,7,3881.187344
1.0,7,3881.335121
1.0,7,3881.475876
1.0,7,3881.61098
1.0,7,3881.751803
1.0,7,3881.88778
1.0,7,3882.031035
1.0,7,3882.177326
1.0,7,3882.323356
1.0,7,3882.469872
