#{"t_start": 1667421434.1149552, "env_id": "CTgraph-v0"}
r,l,t
0.0,2,2080.684904
0.0,2,2080.720924
0.0,2,2080.761615
0.0,2,2080.798468
0.0,2,2080.837135
0.0,3,2080.895326
0.0,2,2080.933213
0.0,6,2081.050391
0.0,2,2081.08591
0.0,2,2081.123424
0.0,4,2081.208515
0.0,2,2081.252024
0.0,2,2081.290097
0.0,2,2081.330581
0.0,2,2081.366441
0.0,2,2081.405206
0.0,2,2081.446911
0.0,2,2081.485621
0.0,4,2081.558957
0.0,2,2081.597914
0.0,2,2081.636113
0.0,4,2081.712991
0.0,2,2081.747015
0.0,2,2081.780206
0.0,2,2081.820562
0.0,4,2081.903
0.0,2,2081.942391
0.0,4,2082.019238
0.0,2,2082.058274
0.0,2,2082.093112
0.0,4,2082.162972
0.0,2,2082.199038
0.0,2,2082.232976
0.0,3,2082.288804
0.0,2,2082.328871
0.0,2,2082.370364
0.0,2,2082.410202
0.0,2,2082.449913
0.0,2,2082.488308
0.0,2,2082.531632
0.0,6,2082.63657
0.0,4,2082.708482
0.0,2,2082.742745
0.0,4,2082.811055
0.0,6,2082.916689
0.0,6,2083.028634
0.0,2,2083.068075
0.0,2,2087.000245
0.0,7,2087.130162
0.0,2,2087.169863
0.0,2,2087.206492
0.0,2,2087.247873
0.0,4,2087.326867
0.0,2,2087.36468
0.0,2,2087.402483
0.0,6,2087.512692
0.0,2,2087.551244
0.0,2,2087.585299
0.0,4,2087.657145
0.0,4,2087.733594
0.0,2,2087.774401
0.0,4,2087.845585
0.0,2,2087.878785
0.0,2,2087.913382
0.0,2,2087.952572
0.0,4,2088.023242
0.0,3,2088.076299
0.0,2,2088.111797
0.0,6,2088.221526
0.0,3,2088.282169
0.0,2,2088.322803
0.0,2,2088.363174
0.0,2,2088.400318
0.0,2,2088.437279
0.0,2,2088.474504
0.0,2,2088.515059
0.0,2,2088.551982
0.0,2,2088.588419
0.0,2,2088.623508
0.0,2,2088.659903
0.0,4,2088.729309
0.0,2,2088.761932
0.0,2,2088.798885
0.0,3,2088.853529
0.0,2,2088.889571
0.0,2,2088.924796
0.0,2,2088.961435
0.0,2,2088.99897
0.0,2,2089.036718
0.0,3,2089.088643
0.0,2,2089.123334
0.0,3,2089.173953
0.0,2,2089.208992
0.0,4,2089.275594
0.0,2,2089.312093
0.0,5,2093.025076
0.0,5,2093.104533
0.0,2,2093.138582
0.0,2,2093.171786
0.0,2,2093.204041
0.0,2,2093.236096
0.0,2,2093.268849
0.0,2,2093.298182
0.0,2,2093.32806
0.0,4,2093.401709
0.0,2,2093.439722
0.0,2,2093.477133
0.0,3,2093.535133
0.0,2,2093.570721
0.0,2,2093.602321
0.0,6,2093.70247
0.0,2,2093.73567
0.0,4,2093.806781
0.0,4,2093.87832
0.0,2,2093.917671
0.0,2,2093.955324
0.0,4,2094.030977
0.0,2,2094.069163
0.0,2,2094.111163
0.0,4,2094.185705
0.0,2,2094.221103
0.0,2,2094.257041
0.0,2,2094.298939
0.0,2,2094.338997
0.0,2,2094.378401
0.0,2,2094.417092
0.0,2,2094.452983
0.0,6,2094.565428
0.0,3,2094.629374
0.0,2,2094.672431
0.0,2,2094.716622
0.0,2,2094.759849
0.0,4,2094.831635
0.0,3,2094.884035
0.0,2,2094.920733
0.0,2,2094.963694
0.0,2,2095.008492
0.0,3,2095.066489
0.0,2,2095.108667
0.0,2,2095.151131
0.0,2,2095.193002
0.0,2,2095.232831
0.0,2,2095.271956
0.0,2,2095.307284
0.0,2,2099.325354
0.0,2,2099.363271
0.0,5,2099.457471
0.0,2,2099.492324
0.0,2,2099.530823
0.0,4,2099.604947
0.0,2,2099.63706
0.0,4,2099.702058
0.0,2,2099.73578
0.0,2,2099.769896
0.0,4,2099.84315
0.0,2,2099.877362
0.0,2,2099.911402
0.0,2,2099.942961
0.0,7,2100.074936
0.0,2,2100.11615
0.0,2,2100.15097
0.0,2,2100.1886
0.0,2,2100.228359
0.0,2,2100.267908
0.0,4,2100.339826
0.0,2,2100.374766
0.0,2,2100.410134
0.0,2,2100.445607
0.0,2,2100.483179
0.0,2,2100.520053
0.0,2,2100.557167
0.0,2,2100.593762
0.0,4,2100.667986
0.0,2,2100.705298
0.0,4,2100.834669
0.0,2,2100.878685
0.0,2,2100.918966
0.0,2,2100.955358
0.0,4,2101.029859
0.0,2,2101.066368
0.0,2,2101.103636
0.0,2,2101.140681
0.0,2,2101.177513
0.0,6,2101.292025
0.0,3,2101.350825
0.0,2,2101.390164
