#{"t_start": 1667421433.2776325, "env_id": "CTgraph-v0"}
r,l,t
0.0,2,88.408931
0.0,4,88.463382
0.0,2,88.490212
0.0,4,88.543514
0.0,2,88.569746
0.0,2,88.596636
0.0,2,88.62344
0.0,2,88.650254
0.0,2,88.677003
0.0,2,88.703932
0.0,2,88.73093
0.0,2,88.758782
0.0,4,88.812151
0.0,2,88.838194
0.0,2,88.865005
0.0,2,88.891949
0.0,2,88.918712
0.0,2,88.945499
0.0,4,88.999258
0.0,4,89.052994
0.0,2,89.079836
0.0,2,89.106643
0.0,2,89.133419
0.0,2,89.160326
0.0,2,89.187064
0.0,2,89.213636
0.0,3,89.253896
0.0,2,89.280731
0.0,2,89.307527
0.0,2,89.33428
0.0,2,89.361113
0.0,2,89.388
0.0,2,89.414818
0.0,2,89.441738
0.0,2,89.468479
0.0,2,89.495443
0.0,2,89.522228
0.0,2,89.549178
0.0,2,89.575998
0.0,2,89.602759
0.0,2,89.629525
0.0,2,89.656361
0.0,3,89.696602
0.0,2,89.72354
0.0,3,89.76376
0.0,2,89.790513
0.0,2,89.817422
0.0,6,89.897999
0.0,3,89.938199
0.0,2,89.965049
0.0,2,89.991849
0.0,2,90.018525
0.0,2,90.045609
0.0,2,90.072373
0.0,3,93.234779
0.0,2,93.267066
0.0,2,93.295666
0.0,2,93.321495
0.0,2,93.349101
0.0,2,93.376379
0.0,2,93.402914
0.0,2,93.429411
0.0,2,93.456306
0.0,6,93.537359
0.0,3,93.577418
0.0,2,93.604226
0.0,2,93.631041
0.0,2,93.657922
0.0,2,93.684522
0.0,2,93.71144
0.0,2,93.738178
0.0,2,93.76314
0.0,2,93.788995
0.0,2,93.817805
0.0,2,93.844791
0.0,2,93.871479
0.0,2,93.897875
0.0,2,93.924785
0.0,2,93.951753
0.0,2,93.978501
0.0,2,94.005301
0.0,2,94.032225
0.0,4,94.0859
0.0,2,94.112664
0.0,2,94.139476
0.0,2,94.166103
0.0,2,94.192902
0.0,2,94.219834
0.0,2,94.246691
0.0,4,94.300401
0.0,2,94.327031
0.0,2,94.353711
0.0,2,94.380477
0.0,2,94.407392
0.0,2,94.436621
0.0,3,94.476723
0.0,2,94.503487
0.0,2,94.529878
0.0,2,94.556608
0.0,2,94.58323
0.0,2,94.610059
0.0,2,94.636838
0.0,2,94.66373
0.0,2,94.690502
0.0,2,94.717243
0.0,2,94.744129
0.0,6,94.824643
0.0,2,94.851586
0.0,2,94.87855
0.0,2,94.905553
0.0,2,94.932539
0.0,5,103.331682
0.0,2,103.346762
0.0,2,103.36214
0.0,4,103.397158
0.0,2,103.415154
0.0,3,103.449191
0.0,4,103.499228
