#{"t_start": 1667421434.115121, "env_id": "CTgraph-v0"}
r,l,t
0.0,4,667.637558
0.0,2,667.669083
0.0,2,667.70018
0.0,2,667.728509
0.0,2,667.763429
0.0,2,667.798568
0.0,2,667.833217
0.0,2,667.868791
0.0,2,667.898165
0.0,2,667.926558
0.0,2,667.95966
0.0,2,667.994592
0.0,2,668.027467
0.0,2,668.062893
0.0,2,668.094635
0.0,2,668.128087
0.0,6,668.220259
0.0,2,668.254911
0.0,2,668.28932
0.0,2,668.323376
0.0,2,668.354992
0.0,2,668.387626
0.0,4,668.451733
0.0,2,668.48416
0.0,2,668.519596
0.0,2,668.553916
0.0,2,668.588429
0.0,4,668.656975
0.0,2,668.687154
0.0,7,668.805795
0.0,4,668.870071
0.0,4,668.936857
0.0,2,668.970236
0.0,3,669.022148
0.0,4,669.094003
0.0,2,669.127103
0.0,2,669.162055
0.0,2,669.195143
0.0,4,669.266717
0.0,2,669.30332
0.0,6,669.431632
0.0,3,669.482155
0.0,4,669.54828
0.0,2,669.583307
0.0,2,669.619081
0.0,6,669.726984
0.0,4,673.280732
0.0,2,673.311685
0.0,2,673.343744
0.0,2,673.375749
0.0,2,673.409191
0.0,2,673.442857
0.0,2,673.477248
0.0,4,673.541614
0.0,2,673.57566
0.0,2,673.612015
0.0,7,673.72849
0.0,2,673.758729
0.0,2,673.788316
0.0,2,673.820873
0.0,2,673.856535
0.0,2,673.88666
0.0,3,673.938015
0.0,2,673.971046
0.0,2,674.004398
0.0,2,674.035569
0.0,2,674.071939
0.0,2,674.108781
0.0,6,674.218393
0.0,2,674.256108
0.0,2,674.290182
0.0,2,674.326832
0.0,6,674.474076
0.0,2,674.510627
0.0,4,674.58336
0.0,2,674.619245
0.0,2,674.655789
0.0,2,674.692734
0.0,4,674.763833
0.0,2,674.800555
0.0,4,674.872361
0.0,2,674.907939
0.0,2,674.946281
0.0,2,674.979103
0.0,2,675.008088
0.0,2,675.042996
0.0,2,675.076979
0.0,2,675.11232
0.0,2,675.146924
0.0,2,675.180905
0.0,2,675.217904
0.0,2,675.256134
0.0,2,675.289517
0.0,2,675.324468
0.0,2,675.358333
0.0,2,675.39329
0.0,3,675.449309
0.0,2,675.483313
0.0,2,678.979541
0.0,2,679.016229
0.0,2,679.052227
0.0,4,679.120342
0.0,3,679.169552
0.0,2,679.203514
0.0,2,679.238069
0.0,2,679.270816
0.0,2,679.306621
0.0,2,679.384511
0.0,4,679.449939
0.0,4,679.508745
0.0,2,679.544087
0.0,2,679.579225
0.0,2,679.617293
0.0,2,679.649905
0.0,4,679.713248
0.0,2,679.748345
0.0,2,679.778096
0.0,4,679.848409
0.0,2,679.880688
0.0,6,679.986895
0.0,2,680.022386
0.0,2,680.056756
0.0,2,680.088921
0.0,2,680.124871
0.0,4,680.19862
0.0,2,680.234636
0.0,2,680.271358
0.0,6,680.377238
0.0,2,680.408545
0.0,2,680.447036
0.0,2,680.482006
0.0,2,680.519109
0.0,3,680.572284
0.0,2,680.608805
0.0,2,680.643354
0.0,2,680.675531
0.0,4,680.741781
0.0,2,680.777375
0.0,4,680.851475
0.0,2,680.887964
0.0,2,680.924765
0.0,2,680.962952
0.0,2,681.000986
0.0,2,681.037799
0.0,2,681.07558
0.0,2,681.11325
0.0,2,681.147481
0.0,2,681.18304
1.0,7,684.852285
1.0,7,684.957028
1.0,7,685.074579
1.0,7,685.189182
1.0,7,685.306344
1.0,7,685.429534
1.0,7,685.557276
1.0,7,685.682292
1.0,7,685.795305
1.0,7,685.913764
1.0,7,686.030012
1.0,7,686.14985
1.0,7,686.27348
1.0,7,686.389416
1.0,7,686.507963
1.0,7,686.625923
1.0,7,686.748437
1.0,7,686.872339
1.0,7,690.495324
0.0,2,690.527383
0.0,4,690.594278
1.0,7,690.712796
1.0,7,690.830408
0.0,4,690.894636
1.0,7,691.012696
0.0,4,691.084158
0.0,4,691.147119
0.0,6,691.257632
0.0,4,691.326443
1.0,7,691.452285
0.0,4,691.526525
1.0,7,691.646591
1.0,7,691.766041
0.0,2,691.798167
0.0,4,691.866018
0.0,2,691.899753
0.0,4,691.965963
0.0,4,692.028388
0.0,4,692.096281
0.0,4,692.154799
0.0,4,692.217144
0.0,6,692.325289
0.0,4,692.392548
0.0,2,692.427069
1.0,7,692.554276
1.0,7,696.096072
0.0,4,696.167719
1.0,7,696.292851
0.0,2,696.327369
0.0,4,696.395231
1.0,7,696.511044
1.0,7,696.622233
1.0,7,696.743381
1.0,7,696.869464
1.0,7,696.985961
1.0,7,697.104736
0.0,2,697.137957
0.0,4,697.20085
0.0,4,697.26906
0.0,2,697.305709
0.0,4,697.373004
1.0,7,697.496568
0.0,2,697.529411
1.0,7,697.650895
1.0,7,697.77617
0.0,2,697.80998
0.0,4,697.88152
0.0,4,697.950528
0.0,2,697.983083
0.0,6,698.086294
0.0,4,698.158323
0.0,6,701.706491
0.0,4,701.772155
1.0,7,701.896456
0.0,4,701.964292
0.0,2,701.992346
1.0,7,702.107861
0.0,2,702.139693
0.0,4,702.203736
1.0,7,702.309048
0.0,4,702.375595
1.0,7,702.490079
1.0,7,702.608532
0.0,4,702.676743
1.0,7,702.801602
1.0,7,702.928884
0.0,4,702.994632
0.0,6,703.098957
0.0,4,703.168324
0.0,4,703.239171
0.0,2,703.27468
0.0,4,703.340594
0.0,4,703.4103
0.0,4,703.478385
0.0,4,703.55186
0.0,2,703.582332
0.0,4,703.651952
1.0,7,703.768401
0.0,4,703.837592
1.0,7,707.441262
1.0,7,707.566136
1.0,7,707.693434
0.0,4,707.756199
1.0,7,707.874998
1.0,7,707.988971
1.0,7,708.103744
0.0,4,708.171663
1.0,7,708.2868
1.0,7,708.404416
0.0,2,708.440284
1.0,7,708.550408
1.0,7,708.661016
1.0,7,708.778105
0.0,4,708.851597
1.0,7,708.971656
1.0,7,709.089924
1.0,7,709.216019
0.0,4,709.282286
0.0,4,709.348653
0.0,4,709.419146
1.0,7,713.139482
1.0,7,713.266149
0.0,2,713.303152
1.0,7,713.416798
1.0,7,713.533261
0.0,4,713.604416
0.0,4,713.668098
1.0,7,713.780867
1.0,7,713.899348
1.0,7,714.009975
1.0,7,714.127917
1.0,7,714.245428
0.0,4,714.30842
1.0,7,714.459892
0.0,2,714.496198
1.0,7,714.616264
1.0,7,714.734986
1.0,7,714.861994
1.0,7,714.982859
1.0,7,715.101785
1.0,7,715.230677
1.0,7,718.92434
1.0,7,719.045999
1.0,7,719.16749
1.0,7,719.288994
1.0,7,719.4289
1.0,7,719.548481
1.0,7,719.672276
0.0,2,719.708433
0.0,4,719.778299
1.0,7,719.895038
0.0,4,719.962108
1.0,7,720.08222
1.0,7,720.205547
1.0,7,720.320478
1.0,7,720.442224
1.0,7,720.564462
1.0,7,720.680691
1.0,7,720.804144
1.0,7,720.920249
1.0,7,721.050931
1.0,7,724.723535
1.0,7,724.845737
1.0,7,724.960534
1.0,7,725.078552
1.0,7,725.198686
1.0,7,725.316586
1.0,7,725.437455
1.0,7,725.556829
1.0,7,725.67941
1.0,7,725.803432
1.0,7,725.933066
1.0,7,726.058933
1.0,7,726.177178
1.0,7,726.291416
1.0,7,726.412104
1.0,7,726.533587
0.0,2,726.570549
1.0,7,726.697381
1.0,7,726.824112
1.0,7,730.450204
1.0,7,730.566963
1.0,7,730.685468
1.0,7,730.812267
1.0,7,730.935213
1.0,7,731.05661
1.0,7,731.172797
0.0,3,731.214796
1.0,7,731.335294
1.0,7,731.456587
1.0,7,731.581227
1.0,7,731.70802
1.0,7,731.820655
1.0,7,731.937501
0.0,3,731.986824
0.0,3,732.040519
1.0,7,732.157314
0.0,3,732.204422
1.0,7,732.325427
1.0,7,732.452798
1.0,7,732.577644
1.0,7,736.211184
1.0,7,736.341284
1.0,7,736.458498
1.0,7,736.577113
1.0,7,736.705932
1.0,7,736.824087
1.0,7,736.943892
1.0,7,737.067775
1.0,7,737.191093
1.0,7,737.313052
1.0,7,737.431063
1.0,7,737.553658
1.0,7,737.671095
1.0,7,737.78819
0.0,3,737.839069
1.0,7,737.961877
1.0,7,738.084741
1.0,7,738.213042
1.0,7,738.345662
1.0,7,742.049348
1.0,7,742.148395
1.0,7,742.257701
1.0,7,742.383986
1.0,7,742.495245
1.0,7,742.611206
1.0,7,742.725486
1.0,7,742.844301
1.0,7,742.971728
1.0,7,743.099011
1.0,7,743.21195
1.0,7,743.327764
1.0,7,743.444991
1.0,7,743.565542
1.0,7,743.679799
1.0,7,743.807156
1.0,7,743.937564
1.0,7,744.073103
1.0,7,747.637249
1.0,7,747.753886
0.0,3,747.803264
1.0,7,747.921848
1.0,7,748.040657
1.0,7,748.157873
1.0,7,748.2696
1.0,7,748.376322
1.0,7,748.485635
1.0,7,748.604704
1.0,7,748.724336
0.0,3,748.774356
1.0,7,748.897348
1.0,7,749.011557
1.0,7,749.126263
0.0,3,749.179518
1.0,7,749.296859
1.0,7,749.456165
1.0,7,749.585075
1.0,7,749.709232
1.0,7,753.353861
1.0,7,753.469043
1.0,7,753.596
1.0,7,753.713536
1.0,7,753.82864
1.0,7,753.942257
1.0,7,754.052929
1.0,7,754.167074
1.0,7,754.281356
1.0,7,754.397575
0.0,7,754.558317
1.0,7,754.677921
1.0,7,754.79757
1.0,7,754.927917
1.0,7,755.05478
1.0,7,755.181679
1.0,7,755.309278
1.0,7,755.436406
1.0,7,759.028177
1.0,7,759.157404
1.0,7,759.283594
1.0,7,759.412772
1.0,7,759.536348
1.0,7,759.659219
1.0,7,759.783311
1.0,7,759.903552
1.0,7,760.023543
1.0,7,760.137977
1.0,7,760.252972
1.0,7,760.365637
1.0,7,760.487759
1.0,7,760.609444
1.0,7,760.738308
1.0,7,760.871678
1.0,7,761.005176
1.0,7,761.118853
1.0,7,764.687309
1.0,7,764.808046
1.0,7,764.942709
1.0,7,765.071922
1.0,7,765.189475
1.0,7,765.314282
1.0,7,765.43749
1.0,7,765.556037
1.0,7,765.684253
1.0,7,765.795312
1.0,7,765.909351
1.0,7,766.013804
1.0,7,766.12858
1.0,7,766.251294
1.0,7,766.363829
1.0,7,766.495624
1.0,7,766.630546
1.0,7,766.754278
1.0,7,766.880287
1.0,7,770.471489
1.0,7,770.593973
1.0,7,770.719293
1.0,7,770.844289
1.0,7,770.964471
1.0,7,771.080647
1.0,7,771.207941
1.0,7,771.331653
1.0,7,771.448635
1.0,7,771.56636
1.0,7,771.675422
1.0,7,771.785487
1.0,7,771.899319
1.0,7,772.016778
1.0,7,772.139478
1.0,7,772.261228
1.0,7,772.383127
1.0,7,772.510464
1.0,7,776.114724
1.0,7,776.239758
1.0,7,776.368518
1.0,7,776.489819
0.0,3,776.538727
1.0,7,776.661022
1.0,7,776.779384
1.0,7,776.902625
1.0,7,777.026413
1.0,7,777.145223
1.0,7,777.263316
1.0,7,777.369576
1.0,7,777.48124
1.0,7,777.593884
1.0,7,777.719328
1.0,7,777.848724
1.0,7,777.973981
1.0,7,778.102539
1.0,7,778.228799
1.0,7,781.802397
1.0,7,781.92591
1.0,7,782.047647
1.0,7,782.176639
1.0,7,782.29722
1.0,7,782.417603
1.0,7,782.534886
1.0,7,782.661215
1.0,7,782.773259
1.0,7,782.893241
1.0,7,783.007492
1.0,7,783.110069
1.0,7,783.228325
1.0,7,783.348174
1.0,7,783.46959
1.0,7,783.595431
1.0,7,783.715007
1.0,7,783.833298
1.0,7,787.47917
1.0,7,787.603487
1.0,7,787.724897
1.0,7,787.854083
1.0,7,787.979093
1.0,7,788.103568
1.0,7,788.222192
1.0,7,788.347377
1.0,7,788.461921
1.0,7,788.584459
1.0,7,788.696155
1.0,7,788.80545
1.0,7,788.92309
1.0,7,789.043499
1.0,7,789.166132
1.0,7,789.29078
1.0,7,789.544295
1.0,7,789.66609
1.0,7,793.248114
1.0,7,793.381032
1.0,7,793.503936
1.0,7,793.624296
1.0,7,793.744907
1.0,7,793.858666
1.0,7,793.974231
1.0,7,794.091506
1.0,7,794.213307
1.0,7,794.31308
1.0,7,794.441396
1.0,7,794.553158
1.0,7,794.664711
1.0,7,794.785751
1.0,7,794.914171
1.0,7,795.043476
1.0,7,795.16283
1.0,7,795.280221
1.0,7,795.401385
1.0,7,799.097438
1.0,7,799.209964
1.0,7,799.332646
1.0,7,799.445352
1.0,7,799.564753
1.0,7,799.673819
1.0,7,799.792366
1.0,7,799.910906
1.0,7,800.030173
0.0,6,800.123001
1.0,7,800.231726
1.0,7,800.350615
1.0,7,800.471447
1.0,7,800.594555
1.0,7,800.723421
1.0,7,800.847431
1.0,7,800.971495
1.0,7,801.09671
1.0,7,804.708859
1.0,7,804.831801
1.0,7,804.956497
1.0,7,805.07468
1.0,7,805.199176
1.0,7,805.31231
1.0,7,805.42903
1.0,7,805.541104
1.0,7,805.661392
1.0,7,805.778872
1.0,7,805.888892
1.0,7,806.002045
1.0,7,806.114302
1.0,7,806.230598
1.0,7,806.361028
1.0,7,806.490968
1.0,7,806.618783
1.0,7,806.745731
1.0,7,810.353365
1.0,7,810.476513
1.0,7,810.590419
1.0,7,810.714046
1.0,7,810.839084
1.0,7,810.945428
1.0,7,811.065259
1.0,7,811.180194
1.0,7,811.292991
1.0,7,811.410535
1.0,7,811.516767
1.0,7,811.622241
1.0,7,811.735668
1.0,7,811.85598
1.0,7,811.969955
1.0,7,812.086404
1.0,7,812.203347
0.0,2,812.240651
1.0,7,812.366521
1.0,7,815.965678
1.0,7,816.081623
1.0,7,816.207073
1.0,7,816.33252
1.0,7,816.466902
1.0,7,816.591655
1.0,7,816.705493
1.0,7,816.825137
1.0,7,816.949356
1.0,7,817.067032
1.0,7,817.181185
1.0,7,817.291303
0.0,7,817.404805
1.0,7,817.517662
1.0,7,817.631316
1.0,7,817.75006
1.0,7,817.876315
1.0,7,817.998695
1.0,7,818.133611
1.0,7,821.693585
1.0,7,821.818443
1.0,7,821.947471
1.0,7,822.067589
1.0,7,822.190701
1.0,7,822.301728
1.0,7,822.419595
1.0,7,822.537986
1.0,7,822.652669
1.0,7,822.764501
1.0,7,822.877628
1.0,7,822.994376
1.0,7,823.113339
1.0,7,823.232075
1.0,7,823.352154
1.0,7,823.476615
1.0,7,823.598976
1.0,7,823.729116
1.0,7,827.347298
1.0,7,827.468316
1.0,7,827.599529
1.0,7,827.728538
1.0,7,827.846979
1.0,7,827.968936
1.0,7,828.082711
1.0,7,828.201278
1.0,7,828.314831
1.0,7,828.427533
1.0,7,828.544985
1.0,7,828.657306
1.0,7,828.77351
1.0,7,828.893845
1.0,7,829.012931
1.0,7,829.128645
1.0,7,829.243968
1.0,7,829.369272
1.0,7,832.992716
1.0,7,833.114149
1.0,7,833.240295
1.0,7,833.362082
