#{"t_start": 1667421434.1152034, "env_id": "CTgraph-v0"}
r,l,t
0.0,2,3816.351517
0.0,2,3816.393203
0.0,2,3816.431715
0.0,2,3816.469479
0.0,2,3816.507851
0.0,2,3816.54603
0.0,2,3816.584359
0.0,2,3816.622972
0.0,2,3816.661148
0.0,4,3816.737033
0.0,2,3816.775396
0.0,3,3816.837294
0.0,2,3816.876044
0.0,2,3816.918427
0.0,2,3816.959398
0.0,3,3817.023031
0.0,2,3817.064179
0.0,2,3817.103826
0.0,2,3817.14533
0.0,2,3817.185873
0.0,2,3817.220754
0.0,2,3817.255343
0.0,2,3817.290055
0.0,2,3817.325647
0.0,2,3817.361991
0.0,4,3817.435042
0.0,4,3817.511386
0.0,2,3817.55206
0.0,4,3817.622512
0.0,2,3817.657457
0.0,4,3817.732108
0.0,2,3817.769049
0.0,2,3817.803009
0.0,2,3817.836601
0.0,2,3817.871473
0.0,4,3817.932339
0.0,2,3817.962472
0.0,2,3817.993463
0.0,2,3818.023759
0.0,2,3818.060622
0.0,2,3818.092978
0.0,2,3818.130435
0.0,4,3818.197933
0.0,2,3818.236619
0.0,2,3818.273918
0.0,2,3818.315995
0.0,2,3818.35142
0.0,2,3818.394875
0.0,2,3818.433769
0.0,2,3818.467969
0.0,2,3818.504657
0.0,2,3818.542268
0.0,2,3818.579566
0.0,2,3818.621402
0.0,2,3818.656249
0.0,2,3818.688683
0.0,2,3823.308342
0.0,2,3823.352373
0.0,2,3823.394691
0.0,2,3823.434257
0.0,2,3823.472934
0.0,2,3823.512414
0.0,2,3823.550491
0.0,2,3823.589546
0.0,2,3823.628138
0.0,2,3823.666975
0.0,4,3823.744644
0.0,2,3823.783995
0.0,2,3823.82271
0.0,2,3823.862354
0.0,2,3823.901128
0.0,2,3823.94003
0.0,2,3823.979614
0.0,2,3824.020007
0.0,4,3824.093622
0.0,2,3824.130419
0.0,2,3824.169924
0.0,2,3824.208182
0.0,2,3824.248475
0.0,2,3824.288091
0.0,2,3824.325623
0.0,2,3824.363238
0.0,2,3824.401668
0.0,2,3824.439907
0.0,2,3824.486084
0.0,2,3824.524196
0.0,2,3824.56348
0.0,2,3824.601266
0.0,2,3824.639954
0.0,2,3824.68444
0.0,2,3824.723522
0.0,2,3824.761943
0.0,2,3824.800538
0.0,2,3824.835507
0.0,2,3824.871579
0.0,2,3824.954801
0.0,2,3824.996899
0.0,5,3825.09189
0.0,2,3825.130392
0.0,2,3825.167821
0.0,4,3825.243566
0.0,2,3825.280232
0.0,2,3825.321146
0.0,4,3825.406078
0.0,2,3825.447781
0.0,2,3825.487427
0.0,2,3825.526944
0.0,2,3825.566048
0.0,2,3825.606631
0.0,2,3825.646358
0.0,2,3825.68808
0.0,3,3825.749033
0.0,2,3825.793516
0.0,2,3825.840889
0.0,4,3830.422026
0.0,2,3830.466436
0.0,2,3830.505265
0.0,2,3830.545091
0.0,2,3830.591153
0.0,2,3830.630625
0.0,2,3830.670163
0.0,2,3830.708862
0.0,2,3830.748323
0.0,4,3830.827655
0.0,2,3830.867706
0.0,2,3830.907486
0.0,2,3830.948999
0.0,2,3830.991013
0.0,2,3831.032176
0.0,2,3831.073421
0.0,2,3831.114714
0.0,2,3831.156625
0.0,2,3831.197693
0.0,2,3831.238251
0.0,2,3831.275457
0.0,2,3831.312659
0.0,2,3831.347272
0.0,2,3831.381646
0.0,2,3831.417697
0.0,7,3831.551185
0.0,2,3831.589589
0.0,2,3831.628952
0.0,2,3831.668581
0.0,2,3831.707577
0.0,2,3831.746817
0.0,2,3831.786268
0.0,2,3831.826089
0.0,2,3831.864415
0.0,2,3831.90273
0.0,2,3831.944916
0.0,5,3832.034741
0.0,2,3832.067408
0.0,2,3832.101482
0.0,2,3832.137835
0.0,2,3832.172638
0.0,2,3832.205171
0.0,6,3832.314522
0.0,2,3832.351574
0.0,6,3832.460932
0.0,4,3832.533763
0.0,2,3832.571735
0.0,4,3832.64478
0.0,2,3832.682393
0.0,2,3832.722291
0.0,4,3832.797079
0.0,2,3837.317404
0.0,2,3837.359856
0.0,2,3837.402321
0.0,2,3837.446495
0.0,2,3837.488474
0.0,2,3837.529843
0.0,2,3837.571707
0.0,2,3837.611309
0.0,2,3837.658431
0.0,2,3837.704396
0.0,2,3837.750866
0.0,6,3837.876328
0.0,4,3837.965076
0.0,2,3838.010858
0.0,2,3838.053673
0.0,2,3838.094511
0.0,2,3838.135337
0.0,2,3838.176627
0.0,2,3838.218193
0.0,2,3838.258652
0.0,2,3838.294194
0.0,2,3838.328526
0.0,2,3838.364918
0.0,3,3838.423876
0.0,5,3838.526035
0.0,4,3838.608956
0.0,2,3838.651656
0.0,2,3838.693175
0.0,2,3838.734679
0.0,2,3838.77477
0.0,2,3838.809819
0.0,4,3838.885628
0.0,4,3838.969403
0.0,4,3839.048048
0.0,2,3839.08442
0.0,2,3839.120643
0.0,2,3839.157667
0.0,2,3839.198005
0.0,4,3839.276866
0.0,4,3839.350409
0.0,2,3839.388242
0.0,2,3839.43327
0.0,3,3839.492928
0.0,2,3839.535155
0.0,2,3839.575315
0.0,2,3839.616353
0.0,2,3839.653702
0.0,2,3839.690531
0.0,2,3839.726705
0.0,4,3839.802592
0.0,2,3839.841541
0.0,2,3844.348637
0.0,2,3844.387751
0.0,2,3844.43289
0.0,4,3844.520288
0.0,2,3844.561598
0.0,2,3844.604256
0.0,3,3844.675086
0.0,4,3844.762108
0.0,2,3844.804099
0.0,2,3844.84418
0.0,2,3844.883113
0.0,2,3844.923344
0.0,2,3844.970174
0.0,2,3845.013641
0.0,3,3845.077952
0.0,2,3845.120516
0.0,2,3845.162942
0.0,2,3845.205393
0.0,3,3845.268113
0.0,2,3845.306622
0.0,4,3845.384092
0.0,2,3845.421137
0.0,2,3845.457029
0.0,2,3845.493204
0.0,2,3845.528765
0.0,2,3845.565036
0.0,2,3845.602491
0.0,4,3845.681093
0.0,4,3845.760018
0.0,4,3845.839389
0.0,2,3845.880009
0.0,2,3845.919451
0.0,2,3845.959251
0.0,2,3845.998611
0.0,4,3846.078201
0.0,2,3846.118548
0.0,4,3846.19689
0.0,2,3846.243607
