#{"t_start": 1667421433.832063, "env_id": "CTgraph-v0"}
r,l,t
0.0,2,667.886189
0.0,2,667.919791
0.0,2,667.951208
0.0,4,668.010647
0.0,2,668.04557
0.0,2,668.080646
0.0,2,668.115286
0.0,4,668.180344
0.0,2,668.208816
0.0,2,668.241752
0.0,4,668.309493
0.0,2,668.344947
0.0,2,668.376662
0.0,2,668.410309
0.0,2,668.442598
0.0,2,668.469247
0.0,2,668.502377
0.0,2,668.536959
0.0,3,668.589089
0.0,2,668.621122
0.0,2,668.653818
0.0,2,668.68626
0.0,2,668.718486
0.0,4,668.784421
0.0,2,668.81908
0.0,2,668.851125
0.0,2,668.888108
0.0,2,668.921483
0.0,2,668.954868
0.0,2,668.984706
0.0,6,669.087734
0.0,2,669.119513
0.0,2,669.152093
0.0,6,669.252224
0.0,2,669.287122
0.0,6,669.393715
0.0,2,669.426868
0.0,4,669.495392
0.0,2,669.531239
0.0,2,669.566376
0.0,2,669.603645
0.0,2,669.638132
0.0,2,669.698937
0.0,2,669.730892
0.0,2,669.764323
0.0,2,669.795235
0.0,2,669.830302
0.0,3,669.883521
0.0,2,669.919879
0.0,2,669.952977
0.0,2,669.990574
0.0,2,670.027565
0.0,4,673.577948
0.0,4,673.642442
0.0,4,673.707795
0.0,2,673.742206
0.0,2,673.774917
0.0,2,673.806932
0.0,2,673.840114
0.0,2,673.875832
0.0,4,673.944398
0.0,3,673.993649
0.0,2,674.026945
0.0,2,674.056745
0.0,3,674.102777
0.0,2,674.1384
0.0,3,674.186425
0.0,2,674.220183
0.0,3,674.270023
0.0,4,674.337127
0.0,3,674.390825
0.0,2,674.427737
0.0,2,674.463928
0.0,3,674.519494
0.0,2,674.55599
0.0,2,674.590757
0.0,2,674.672242
0.0,2,674.70508
0.0,2,674.739408
0.0,4,674.810124
0.0,2,674.847209
0.0,2,674.884563
0.0,2,674.920531
0.0,2,674.955641
0.0,2,674.992772
0.0,2,675.029209
0.0,2,675.065393
0.0,4,675.136519
0.0,2,675.173688
0.0,2,675.209932
0.0,2,675.243354
0.0,2,675.274722
0.0,2,675.307789
0.0,4,675.377319
0.0,2,675.410997
0.0,4,675.483212
0.0,2,675.519762
0.0,2,675.552908
0.0,2,675.586473
0.0,2,675.62511
0.0,4,675.694393
0.0,3,675.751071
0.0,2,679.245203
0.0,2,679.279107
0.0,2,679.314378
0.0,2,679.352121
0.0,2,679.386719
0.0,2,679.419389
0.0,2,679.451545
0.0,2,679.485413
0.0,2,679.519981
0.0,2,679.552729
0.0,2,679.588454
0.0,2,679.666454
0.0,2,679.698359
0.0,2,679.731742
0.0,2,679.761305
0.0,4,679.825815
0.0,4,679.899268
0.0,2,679.931616
0.0,2,679.961653
0.0,2,679.994408
0.0,2,680.030134
0.0,4,680.097056
0.0,2,680.130389
0.0,2,680.16269
0.0,2,680.195764
0.0,2,680.230572
0.0,2,680.268932
0.0,4,680.338764
0.0,2,680.370999
0.0,2,680.406756
0.0,2,680.44406
0.0,2,680.480611
0.0,2,680.5167
0.0,2,680.55311
0.0,2,680.586621
0.0,2,680.624696
0.0,2,680.658648
0.0,4,680.728491
0.0,4,680.800906
0.0,2,680.83645
0.0,6,680.941182
0.0,2,680.974028
0.0,2,681.006797
0.0,2,681.041912
0.0,2,681.078206
0.0,2,681.114573
0.0,4,681.189151
0.0,2,681.226329
0.0,2,681.263609
0.0,2,681.301033
0.0,2,681.33938
0.0,2,681.376402
0.0,5,681.465038
0.0,2,681.500646
1.0,7,685.16707
1.0,7,685.275555
1.0,7,685.390152
1.0,7,685.506533
1.0,7,685.621241
1.0,7,685.747421
1.0,7,685.876667
1.0,7,685.998794
1.0,7,686.110394
1.0,7,686.231168
1.0,7,686.34701
1.0,7,686.466378
1.0,7,686.591572
1.0,7,686.7049
1.0,7,686.828007
1.0,7,686.945365
1.0,7,687.064718
1.0,7,687.191567
1.0,7,690.809241
0.0,2,690.842122
0.0,2,690.87625
0.0,4,690.943062
0.0,6,691.045095
0.0,2,691.079726
0.0,4,691.145177
0.0,2,691.176487
0.0,4,691.247586
1.0,7,691.366075
0.0,6,691.465081
0.0,4,691.539539
0.0,4,691.608205
1.0,7,691.733621
0.0,6,691.839039
0.0,4,691.911224
0.0,6,692.012374
0.0,6,692.114687
0.0,4,692.181819
0.0,4,692.248005
1.0,7,692.362498
0.0,4,692.420332
0.0,6,692.518818
0.0,6,692.623998
0.0,4,692.694203
0.0,6,692.798362
0.0,2,692.835905
0.0,2,692.873634
1.0,7,696.413298
0.0,4,696.484537
1.0,7,696.609171
1.0,7,696.726926
1.0,7,696.84073
0.0,4,696.903823
1.0,7,697.025116
0.0,4,697.096596
1.0,7,697.216092
0.0,4,697.286602
0.0,2,697.31933
0.0,6,697.419729
0.0,4,697.482928
0.0,2,697.51538
1.0,7,697.636406
0.0,6,697.744705
0.0,4,697.811306
1.0,7,697.932186
0.0,2,697.968883
0.0,4,698.038099
0.0,4,698.110841
0.0,6,698.215652
1.0,7,698.332726
0.0,4,698.403162
1.0,7,698.531934
0.0,6,702.073115
0.0,6,702.178201
1.0,7,702.291295
1.0,7,702.405305
0.0,4,702.470368
0.0,4,702.530544
0.0,2,702.558377
0.0,2,702.59079
0.0,4,702.6577
1.0,7,702.77182
1.0,7,702.889767
0.0,6,702.995393
0.0,4,703.065741
0.0,4,703.138182
1.0,7,703.26132
0.0,4,703.328629
0.0,4,703.40065
0.0,4,703.468302
0.0,4,703.539243
0.0,4,703.604474
0.0,6,703.711194
1.0,7,703.8338
1.0,7,703.951339
0.0,4,704.014056
0.0,2,704.049797
0.0,4,704.119572
1.0,7,707.722782
0.0,2,707.758361
0.0,2,707.79216
1.0,7,707.919529
1.0,7,708.038116
0.0,2,708.068887
0.0,4,708.139194
1.0,7,708.257152
0.0,2,708.287109
0.0,4,708.352723
0.0,2,708.385572
0.0,4,708.453889
1.0,7,708.568434
1.0,7,708.686216
0.0,4,708.755503
1.0,7,708.867077
1.0,7,708.971008
1.0,7,709.096389
1.0,7,709.217233
1.0,7,709.337691
1.0,7,709.462557
1.0,7,709.58167
0.0,2,709.614443
1.0,7,709.786006
1.0,7,713.45868
1.0,7,713.585287
0.0,6,713.681308
