#{"t_start": 1667421433.5542595, "env_id": "CTgraph-v0"}
r,l,t
0.0,4,3816.951884
0.0,2,3816.990312
0.0,2,3817.028666
0.0,2,3817.066788
0.0,2,3817.105172
0.0,2,3817.143556
0.0,2,3817.181923
0.0,2,3817.22011
0.0,2,3817.258403
0.0,2,3817.296213
0.0,2,3817.334693
0.0,4,3817.411094
0.0,2,3817.454741
0.0,4,3817.540486
0.0,6,3817.662821
0.0,2,3817.704408
0.0,2,3817.745017
0.0,2,3817.779797
0.0,2,3817.814381
0.0,4,3817.884501
0.0,2,3817.920775
0.0,2,3817.957404
0.0,4,3818.03336
0.0,4,3818.111113
0.0,4,3818.181522
0.0,2,3818.216697
0.0,4,3818.291115
0.0,2,3818.328023
0.0,2,3818.362254
0.0,2,3818.395689
0.0,2,3818.430504
0.0,2,3818.460102
0.0,2,3818.491314
0.0,2,3818.521767
0.0,2,3818.552462
0.0,2,3818.58288
0.0,4,3818.651904
0.0,2,3818.687562
0.0,2,3818.723977
0.0,2,3818.756899
0.0,2,3818.795592
0.0,2,3818.832865
0.0,2,3818.874949
0.0,2,3818.910686
0.0,2,3818.953931
0.0,2,3818.992992
0.0,4,3819.064081
0.0,2,3819.101271
0.0,2,3819.138502
0.0,2,3819.179932
0.0,4,3819.247458
0.0,2,3823.867508
0.0,2,3823.910789
0.0,2,3823.953643
0.0,2,3823.993102
0.0,2,3824.031762
0.0,2,3824.071414
0.0,2,3824.109559
0.0,2,3824.148591
0.0,4,3824.226259
0.0,2,3824.264571
0.0,2,3824.303469
0.0,2,3824.342889
0.0,2,3824.381576
0.0,2,3824.420877
0.0,2,3824.460049
0.0,2,3824.498946
0.0,2,3824.538656
0.0,2,3824.579041
0.0,2,3824.616378
0.0,2,3824.652681
0.0,2,3824.689248
0.0,2,3824.729097
0.0,3,3824.785403
0.0,2,3824.822874
0.0,2,3824.862772
0.0,2,3824.902874
0.0,2,3824.944728
0.0,4,3825.025625
0.0,4,3825.103382
0.0,2,3825.1422
0.0,2,3825.179921
0.0,2,3825.219259
0.0,4,3825.300668
0.0,2,3825.341885
0.0,2,3825.37714
0.0,2,3825.412517
0.0,2,3825.452168
0.0,2,3825.536052
0.0,2,3825.570627
0.0,2,3825.608185
0.0,2,3825.650892
0.0,2,3825.689618
0.0,2,3825.727112
0.0,2,3825.764499
0.0,2,3825.802701
0.0,2,3825.839442
0.0,4,3825.92187
0.0,2,3825.965224
0.0,2,3826.006892
0.0,2,3826.046494
0.0,4,3826.12519
0.0,3,3826.186754
0.0,2,3826.224632
0.0,2,3826.264432
0.0,2,3826.308502
0.0,2,3826.352828
0.0,2,3826.400078
0.0,2,3830.93556
0.0,2,3830.980762
0.0,2,3831.025023
0.0,4,3831.104189
0.0,2,3831.150291
0.0,2,3831.189493
0.0,2,3831.228947
0.0,2,3831.268226
0.0,4,3831.347259
0.0,2,3831.386724
0.0,2,3831.42674
0.0,2,3831.466376
0.0,4,3831.55022
0.0,2,3831.591403
0.0,2,3831.632385
0.0,2,3831.673833
0.0,2,3831.715424
0.0,2,3831.756485
0.0,2,3831.797125
0.0,2,3831.834487
0.0,4,3831.906114
0.0,2,3831.940639
0.0,2,3831.976585
0.0,3,3832.031992
0.0,2,3832.070725
0.0,2,3832.110156
0.0,2,3832.148751
0.0,4,3832.227386
0.0,2,3832.266496
0.0,2,3832.305592
0.0,2,3832.344684
0.0,2,3832.384329
0.0,2,3832.423378
0.0,2,3832.461501
0.0,2,3832.503107
0.0,2,3832.542109
0.0,4,3832.610005
0.0,2,3832.643633
0.0,2,3832.679678
0.0,2,3832.715592
0.0,2,3832.747819
0.0,2,3832.78041
0.0,3,3832.833463
0.0,4,3832.910429
0.0,2,3832.946194
0.0,2,3832.982122
0.0,2,3833.019661
0.0,2,3833.05571
0.0,2,3833.092308
0.0,2,3833.130352
0.0,2,3833.16722
0.0,2,3833.203884
0.0,2,3833.24134
0.0,2,3833.281354
0.0,2,3833.318724
0.0,2,3833.356175
0.0,2,3837.876293
0.0,3,3837.937535
0.0,2,3837.976801
0.0,2,3838.024179
0.0,2,3838.070341
0.0,2,3838.116457
0.0,3,3838.17027
0.0,2,3838.217322
0.0,3,3838.282546
0.0,2,3838.324594
0.0,2,3838.371687
0.0,2,3838.417045
0.0,2,3838.462844
0.0,2,3838.506428
0.0,2,3838.547698
0.0,2,3838.589181
0.0,2,3838.627947
0.0,4,3838.716077
0.0,2,3838.759997
0.0,2,3838.804332
0.0,4,3838.874764
0.0,2,3838.910976
0.0,2,3838.946071
0.0,2,3838.98282
0.0,2,3839.023187
0.0,2,3839.062681
0.0,2,3839.101781
0.0,2,3839.144042
0.0,2,3839.186432
0.0,4,3839.276796
0.0,2,3839.320969
0.0,2,3839.356178
0.0,2,3839.391176
0.0,2,3839.427771
0.0,2,3839.466755
0.0,2,3839.506823
0.0,2,3839.545452
0.0,2,3839.585042
0.0,2,3839.621219
0.0,4,3839.694272
0.0,2,3839.735088
0.0,2,3839.776584
0.0,2,3839.821397
0.0,4,3839.896577
0.0,2,3839.932128
0.0,2,3839.97313
0.0,2,3840.013286
0.0,4,3840.094443
0.0,2,3840.134416
0.0,2,3840.175588
0.0,2,3840.213162
0.0,2,3840.249235
0.0,4,3840.323077
0.0,2,3840.36148
0.0,2,3840.40064
0.0,4,3844.946875
0.0,2,3844.992047
0.0,6,3845.120438
0.0,2,3845.16301
0.0,2,3845.205917
0.0,2,3845.254595
0.0,6,3845.384869
0.0,2,3845.424126
0.0,2,3845.463718
0.0,2,3845.503794
0.0,2,3845.552484
0.0,2,3845.594641
0.0,2,3845.636973
0.0,2,3845.679615
0.0,2,3845.721884
0.0,2,3845.764485
0.0,2,3845.806156
0.0,2,3845.844317
0.0,2,3845.882143
0.0,2,3845.920737
0.0,2,3845.960054
0.0,4,3846.031879
0.0,2,3846.067811
0.0,2,3846.103745
0.0,4,3846.178552
0.0,2,3846.218207
0.0,2,3846.257536
0.0,5,3846.359187
0.0,4,3846.439023
0.0,2,3846.478779
0.0,4,3846.557274
0.0,4,3846.637271
0.0,2,3846.67721
0.0,2,3846.7173
0.0,5,3846.82235
0.0,2,3846.864041
0.0,2,3846.906834
0.0,2,3846.946698
0.0,2,3846.987045
0.0,4,3847.074594
0.0,2,3847.120385
0.0,2,3847.156466
0.0,2,3847.192313
0.0,2,3847.229885
0.0,2,3847.268542
0.0,2,3847.305191
0.0,2,3847.34106
0.0,4,3847.418363
0.0,2,3847.458126
1.0,7,3852.24888
1.0,7,3852.394274
1.0,7,3852.552301
1.0,7,3852.689236
1.0,7,3852.827011
1.0,7,3852.959976
1.0,7,3853.106279
1.0,7,3853.244702
1.0,7,3853.390788
1.0,7,3853.525972
1.0,7,3853.670284
1.0,7,3853.818321
1.0,7,3853.966811
1.0,7,3854.103787
1.0,7,3854.23344
1.0,7,3854.370769
1.0,7,3854.49824
1.0,7,3854.631697
1.0,7,3859.345569
1.0,7,3859.501507
1.0,7,3859.646954
1.0,7,3859.79416
0.0,4,3859.886049
1.0,7,3860.012121
1.0,7,3860.148475
1.0,7,3860.29246
1.0,7,3860.427253
1.0,7,3860.845002
1.0,7,3860.991878
1.0,7,3861.136669
1.0,7,3861.268133
1.0,7,3861.406459
1.0,7,3861.536288
1.0,7,3861.653854
1.0,7,3861.776941
1.0,7,3861.900979
1.0,7,3862.028051
1.0,7,3866.663013
1.0,7,3866.818026
0.0,2,3866.860142
1.0,7,3867.016888
1.0,7,3867.172763
1.0,7,3867.310787
1.0,7,3867.440643
1.0,7,3867.58542
1.0,7,3867.725784
0.0,4,3867.801121
1.0,7,3867.940874
1.0,7,3868.084402
0.0,7,3868.233317
1.0,7,3868.379815
1.0,7,3868.517268
1.0,7,3868.650693
1.0,7,3868.767599
1.0,7,3868.895433
1.0,7,3869.013116
1.0,7,3873.758451
1.0,7,3873.899992
0.0,5,3874.001554
1.0,7,3874.14555
1.0,7,3874.286692
1.0,7,3874.426935
1.0,7,3874.565388
1.0,7,3874.698035
1.0,7,3874.831229
0.0,4,3874.91145
1.0,7,3875.047838
1.0,7,3875.177303
1.0,7,3875.322771
1.0,7,3875.464243
1.0,7,3875.604622
1.0,7,3875.733299
1.0,7,3875.864588
1.0,7,3876.004282
1.0,7,3876.146054
1.0,7,3880.742889
1.0,7,3880.889776
1.0,7,3881.036364
1.0,7,3881.178852
1.0,7,3881.319825
1.0,7,3881.452994
1.0,7,3881.595902
1.0,7,3881.737842
1.0,7,3881.884066
1.0,7,3882.033211
1.0,7,3882.165851
1.0,7,3882.313409
1.0,7,3882.453964
1.0,7,3882.599092
1.0,7,3882.727967
1.0,7,3882.873509
1.0,7,3883.010427
1.0,7,3883.143151
1.0,7,3887.79335
1.0,7,3887.92889
1.0,7,3888.061528
1.0,7,3888.209831
1.0,7,3888.34404
1.0,7,3888.480949
1.0,7,3888.63079
1.0,7,3888.765864
1.0,7,3888.903084
1.0,7,3889.051663
1.0,7,3889.206417
1.0,7,3889.360602
1.0,7,3889.500738
1.0,7,3889.646633
1.0,7,3889.797817
1.0,7,3889.931458
1.0,7,3890.064249
1.0,7,3890.208025
1.0,7,3890.358394
1.0,7,3894.947569
1.0,7,3895.092252
1.0,7,3895.239675
1.0,7,3895.383133
1.0,7,3895.525112
1.0,7,3895.671335
1.0,7,3895.818785
1.0,7,3895.955522
1.0,7,3896.095897
1.0,7,3896.2373
1.0,7,3896.374847
1.0,7,3896.517129
1.0,7,3896.648118
1.0,7,3896.78006
1.0,7,3896.918385
1.0,7,3897.05874
1.0,7,3897.196885
1.0,7,3897.340651
1.0,7,3901.99012
1.0,7,3902.12862
1.0,7,3902.260852
1.0,7,3902.402116
1.0,7,3902.540102
1.0,7,3902.682154
1.0,7,3902.818784
1.0,7,3902.973042
1.0,7,3903.128543
1.0,7,3903.276676
1.0,7,3903.423091
1.0,7,3903.578114
1.0,7,3903.733069
1.0,7,3903.871234
1.0,7,3904.01741
1.0,7,3904.156343
1.0,7,3904.282314
1.0,7,3904.409901
1.0,7,3909.00066
1.0,7,3909.143467
1.0,7,3909.277991
1.0,7,3909.410994
1.0,7,3909.546966
1.0,7,3909.678523
1.0,7,3909.818454
1.0,7,3909.951707
1.0,7,3910.089882
1.0,7,3910.224114
1.0,7,3910.35491
1.0,7,3910.503309
1.0,7,3910.642229
1.0,7,3910.782769
1.0,7,3910.930871
1.0,7,3911.065704
1.0,7,3911.213497
1.0,7,3911.366485
1.0,7,3911.503875
1.0,7,3916.207457
1.0,7,3916.342921
1.0,7,3916.477161
1.0,7,3916.611866
1.0,7,3916.748622
1.0,7,3916.893375
1.0,7,3917.038706
1.0,7,3917.18046
1.0,7,3917.324838
1.0,7,3917.451613
1.0,7,3917.590452
1.0,7,3917.730714
1.0,7,3917.870306
1.0,7,3918.009442
1.0,7,3918.148083
1.0,7,3918.283848
1.0,7,3918.423327
1.0,7,3918.570162
1.0,7,3923.371859
1.0,7,3923.505203
1.0,7,3923.650135
1.0,7,3923.780968
1.0,7,3923.914743
1.0,7,3924.054052
1.0,7,3924.185342
1.0,7,3924.320022
1.0,7,3924.452363
1.0,7,3924.579033
1.0,7,3924.713129
1.0,7,3924.848364
1.0,7,3924.988306
1.0,7,3925.122884
1.0,7,3925.263628
1.0,7,3925.409436
1.0,7,3925.560282
1.0,7,3925.715797
1.0,7,3930.36546
1.0,7,3930.488595
1.0,7,3930.62795
1.0,7,3930.77074
1.0,7,3930.900373
1.0,7,3931.044531
1.0,7,3931.199103
1.0,7,3931.33228
1.0,7,3931.46821
1.0,7,3931.597071
1.0,7,3931.72953
1.0,7,3931.860787
1.0,7,3931.999097
1.0,7,3932.139483
1.0,7,3932.27879
1.0,7,3932.417086
1.0,7,3932.550973
1.0,7,3932.699058
1.0,7,3937.698083
1.0,7,3937.836355
1.0,7,3937.967033
1.0,7,3938.108824
1.0,7,3938.252203
1.0,7,3938.387326
1.0,7,3938.532239
1.0,7,3938.679105
1.0,7,3938.81743
1.0,7,3938.958183
1.0,7,3939.093717
1.0,7,3939.247093
1.0,7,3939.402634
0.0,3,3939.467943
1.0,7,3939.61547
1.0,7,3939.772968
1.0,7,3939.965987
1.0,7,3940.103153
1.0,7,3940.243453
1.0,7,3945.182395
1.0,7,3945.330078
1.0,7,3945.473524
1.0,7,3945.614819
1.0,7,3945.755845
1.0,7,3945.885442
1.0,7,3946.01354
1.0,7,3946.155259
1.0,7,3946.292306
1.0,7,3946.435731
0.0,7,3946.57511
1.0,7,3946.726619
1.0,7,3946.863827
1.0,7,3947.010408
1.0,7,3947.160414
1.0,7,3947.299996
1.0,7,3947.445424
1.0,7,3947.601105
1.0,7,3947.739364
1.0,7,3952.427581
1.0,7,3952.578448
1.0,7,3952.731657
1.0,7,3952.874712
1.0,7,3953.017401
1.0,7,3953.15632
1.0,7,3953.295483
1.0,7,3953.431513
1.0,7,3953.575623
1.0,7,3953.71327
1.0,7,3953.86527
1.0,7,3954.005003
1.0,7,3954.142513
1.0,7,3954.276993
1.0,7,3954.414749
1.0,7,3954.552792
1.0,7,3954.703249
1.0,7,3954.845641
1.0,7,3959.479427
1.0,7,3959.621853
1.0,7,3959.751045
1.0,7,3959.889937
1.0,7,3960.058589
1.0,7,3960.199142
1.0,7,3960.345735
1.0,7,3960.501702
1.0,7,3960.655457
1.0,7,3960.805616
1.0,7,3960.956078
1.0,7,3961.113128
0.0,7,3961.243848
1.0,7,3961.379083
1.0,7,3961.51063
1.0,7,3961.642265
1.0,7,3961.770925
1.0,7,3961.911529
1.0,7,3966.593591
1.0,7,3966.723754
1.0,7,3966.870391
1.0,7,3967.021552
1.0,7,3967.160985
1.0,7,3967.308496
1.0,7,3967.455332
1.0,7,3967.601683
1.0,7,3967.753047
1.0,7,3967.908768
1.0,7,3968.066821
1.0,7,3968.224391
1.0,7,3968.377651
1.0,7,3968.518763
1.0,7,3968.665429
1.0,7,3968.807931
1.0,7,3968.952535
1.0,7,3969.1128
1.0,7,3973.752478
1.0,7,3973.882925
1.0,7,3974.031457
1.0,7,3974.187533
1.0,7,3974.335361
1.0,7,3974.485682
1.0,7,3974.636361
1.0,7,3974.789156
1.0,7,3974.951072
1.0,7,3975.140285
1.0,7,3975.281742
1.0,7,3975.423899
1.0,7,3975.574732
1.0,7,3975.720717
1.0,7,3975.872574
1.0,7,3976.019316
1.0,7,3976.154697
1.0,7,3976.309739
1.0,7,3976.454337
1.0,7,3981.043564
1.0,7,3981.178071
1.0,7,3981.317546
1.0,7,3981.448051
1.0,7,3981.577585
1.0,7,3981.710301
1.0,7,3981.840954
1.0,7,3981.9769
1.0,7,3982.11525
1.0,7,3982.266058
1.0,7,3982.410592
1.0,7,3982.55075
1.0,7,3982.67993
1.0,7,3982.811746
1.0,7,3982.938594
1.0,7,3983.07685
1.0,7,3983.204829
1.0,7,3983.35118
1.0,7,3987.97993
1.0,7,3988.101405
1.0,7,3988.23185
1.0,7,3988.35817
1.0,7,3988.497363
1.0,7,3988.629858
1.0,7,3988.773756
1.0,7,3988.906816
1.0,7,3989.039759
1.0,7,3989.176982
1.0,7,3989.327037
1.0,7,3989.470727
1.0,7,3989.619553
1.0,7,3989.763009
1.0,7,3989.909597
1.0,7,3990.102313
1.0,7,3990.252725
1.0,7,3990.404404
1.0,7,3994.985883
1.0,7,3995.175968
1.0,7,3995.324878
1.0,7,3995.461381
1.0,7,3995.613644
1.0,7,3995.760113
1.0,7,3995.906312
1.0,7,3996.057176
1.0,7,3996.20462
1.0,7,3996.354411
1.0,7,3996.508739
1.0,7,3996.65428
0.0,6,3996.779749
1.0,7,3996.920045
1.0,7,3997.057163
1.0,7,3997.19295
1.0,7,3997.333903
1.0,7,3997.468908
1.0,7,3997.623283
1.0,7,4002.215541
1.0,7,4002.344711
1.0,7,4002.478535
1.0,7,4002.617426
1.0,7,4002.761372
1.0,7,4002.891388
1.0,7,4003.034466
1.0,7,4003.170783
1.0,7,4003.30105
1.0,7,4003.445926
