#{"t_start": 1667421437.293561, "env_id": "CTgraph-v0"}
r,l,t
0.0,2,657.500448
0.0,2,657.532999
0.0,2,657.569337
0.0,2,657.606242
0.0,2,657.642678
0.0,3,657.697287
0.0,2,657.733941
0.0,2,657.768245
0.0,2,657.802307
0.0,2,657.837986
0.0,2,657.874146
0.0,2,657.906697
0.0,2,657.942542
0.0,2,657.97951
0.0,2,658.016731
0.0,2,658.053191
0.0,2,658.089349
0.0,2,658.126435
0.0,2,658.163234
0.0,2,658.196522
0.0,3,658.249132
0.0,2,658.28586
0.0,2,658.323085
0.0,2,658.35985
0.0,2,658.397447
0.0,2,658.43475
0.0,2,658.473159
0.0,2,658.509967
0.0,4,658.58211
0.0,4,658.652019
0.0,4,658.725441
0.0,4,658.792947
0.0,2,658.827339
0.0,6,658.928265
0.0,4,658.993626
0.0,3,659.045835
0.0,2,659.081318
0.0,2,659.116112
0.0,2,659.147212
0.0,2,659.180775
0.0,3,659.233274
0.0,2,659.268885
0.0,2,659.304708
0.0,2,659.340523
0.0,4,659.407902
0.0,4,659.473382
0.0,4,659.54231
0.0,2,659.574357
0.0,2,659.605778
0.0,3,659.654756
0.0,2,659.688774
0.0,4,663.123224
0.0,4,663.193417
0.0,2,663.229115
0.0,2,663.264726
0.0,2,663.298884
0.0,4,663.367399
0.0,2,663.403862
0.0,2,663.437066
0.0,2,663.473388
0.0,2,663.506483
0.0,2,663.542876
0.0,3,663.59668
0.0,2,663.630916
0.0,2,663.666949
0.0,2,663.703661
0.0,2,663.742666
0.0,4,663.817519
0.0,2,663.85256
0.0,2,663.892241
0.0,2,663.926439
0.0,2,663.959695
0.0,4,664.031694
0.0,2,664.071058
0.0,2,664.105825
0.0,6,664.20604
0.0,2,664.244432
0.0,4,664.313384
0.0,4,664.37963
0.0,2,664.415751
0.0,3,664.462136
0.0,2,664.498425
0.0,4,664.563225
0.0,4,664.633629
0.0,2,664.669547
0.0,2,664.705792
0.0,2,664.741578
0.0,4,664.81285
0.0,4,664.883613
0.0,2,664.919432
0.0,2,664.952202
0.0,2,664.985346
0.0,2,665.017901
0.0,3,665.065764
0.0,2,665.097367
0.0,2,665.131055
0.0,2,665.16336
0.0,3,665.21184
0.0,4,665.276359
0.0,2,668.676679
0.0,2,668.713825
0.0,2,668.75152
0.0,2,668.78386
0.0,6,668.892163
