#{"t_start": 1667421442.1721554, "env_id": "CTgraph-v0"}
r,l,t
0.0,2,79.497761
0.0,2,79.525603
0.0,2,79.551867
0.0,2,79.57847
0.0,2,79.605567
0.0,2,79.635133
0.0,2,79.664078
0.0,2,79.693154
0.0,2,79.71996
0.0,2,79.746833
0.0,4,79.800004
0.0,2,79.82687
0.0,2,79.853624
0.0,4,79.908188
0.0,2,79.934769
0.0,5,80.001262
0.0,2,80.028235
0.0,2,80.054979
0.0,4,80.108618
0.0,5,80.176034
0.0,2,80.2023
0.0,2,80.229606
0.0,2,80.256404
0.0,2,80.283173
0.0,2,80.309891
0.0,2,80.336663
0.0,2,80.363441
0.0,2,80.390584
0.0,4,80.443998
0.0,2,80.470848
0.0,2,80.497855
0.0,2,80.524656
0.0,2,80.551292
0.0,2,80.578059
0.0,6,80.659183
0.0,2,80.685623
0.0,2,80.712522
0.0,2,80.738917
0.0,2,80.765577
0.0,2,80.792536
0.0,2,80.819412
0.0,2,80.846147
0.0,3,80.886465
0.0,2,80.912939
0.0,3,80.953457
0.0,2,80.980391
0.0,2,81.007449
0.0,2,81.034083
0.0,4,81.087804
0.0,2,81.114502
0.0,2,81.1413
0.0,2,81.168217
0.0,2,81.195423
0.0,2,84.344006
0.0,2,84.373764
0.0,2,84.398108
0.0,2,84.426971
0.0,2,84.455775
0.0,2,84.482882
0.0,2,84.509539
0.0,2,84.53597
0.0,2,84.563033
0.0,2,84.58967
0.0,2,84.61779
0.0,2,84.643865
0.0,4,84.697438
0.0,2,84.724367
0.0,2,84.751221
0.0,2,84.77789
0.0,6,84.858213
0.0,2,84.883019
0.0,2,84.908214
0.0,2,84.934631
0.0,2,84.961376
0.0,2,84.988339
0.0,4,85.041904
0.0,2,85.068775
0.0,2,85.095602
0.0,2,85.122447
0.0,2,85.149091
0.0,2,85.175961
0.0,4,85.229671
0.0,2,85.25642
0.0,2,85.283408
0.0,2,85.310005
0.0,2,85.337066
0.0,2,85.363817
0.0,4,85.41769
0.0,2,85.443782
0.0,2,85.470748
0.0,2,85.497536
0.0,2,85.524282
0.0,4,85.577702
0.0,2,85.604514
0.0,6,85.684211
0.0,2,85.71079
0.0,2,85.737583
0.0,2,85.764246
0.0,2,85.791282
0.0,2,85.818007
0.0,2,85.844868
0.0,2,85.871617
0.0,4,85.925546
0.0,2,85.952461
0.0,2,85.979593
0.0,2,86.006422
0.0,2,86.033686
0.0,2,94.584352
0.0,5,94.648871
0.0,2,94.675263
0.0,2,94.701255
0.0,2,94.727732
0.0,2,94.75495
0.0,4,94.806204
0.0,2,94.831652
0.0,2,94.857246
0.0,2,94.883388
0.0,4,94.93613
0.0,2,94.963257
0.0,2,94.990017
0.0,2,95.016521
0.0,2,95.042944
0.0,3,95.083441
0.0,2,95.110243
0.0,2,95.137469
0.0,2,95.163796
0.0,2,95.190593
0.0,2,95.217711
0.0,2,95.244596
0.0,2,95.27127
0.0,4,95.324359
0.0,2,95.35158
0.0,2,95.378099
0.0,2,95.40483
0.0,2,95.432169
0.0,2,95.459567
0.0,2,95.487567
0.0,2,95.515832
0.0,2,95.54427
0.0,2,95.572927
0.0,2,95.60112
0.0,2,95.629598
0.0,4,95.687321
0.0,2,95.715036
0.0,3,95.753977
0.0,4,95.8053
0.0,2,95.833165
0.0,2,95.86088
0.0,2,95.887503
0.0,2,95.912391
0.0,2,95.937594
0.0,2,95.962597
0.0,2,95.987826
0.0,2,96.013027
0.0,2,96.038493
0.0,2,96.066232
0.0,2,96.09285
0.0,2,96.119776
0.0,2,96.146567
0.0,4,96.200634
0.0,2,96.228048
0.0,3,96.268159
0.0,4,102.730005
0.0,2,102.747992
0.0,2,102.76681
0.0,2,102.786515
0.0,2,102.811343
0.0,2,102.835225
0.0,2,102.856465
0.0,2,102.877008
0.0,2,102.899191
0.0,2,102.921397
0.0,2,102.943269
0.0,2,102.966215
0.0,2,102.987668
0.0,4,103.029706
0.0,2,103.052706
0.0,2,103.073673
0.0,2,103.095874
0.0,2,103.117476
0.0,2,103.140484
0.0,4,103.180341
0.0,2,103.200295
0.0,2,103.220596
0.0,2,103.241427
0.0,2,103.261281
0.0,2,103.281224
0.0,2,103.301992
0.0,2,103.322719
0.0,2,103.34331
0.0,2,103.364256
0.0,7,103.441039
0.0,2,103.462301
0.0,2,103.484107
0.0,3,103.517184
0.0,2,103.53844
0.0,3,103.571351
0.0,2,103.593233
0.0,2,103.615206
0.0,3,103.648108
0.0,4,103.693106
0.0,5,103.745952
0.0,2,103.766371
0.0,2,103.787191
0.0,2,103.807997
0.0,2,103.828754
