#{"t_start": 1667421442.739297, "env_id": "CTgraph-v0"}
r,l,t
0.0,3,4900.884556
0.0,2,4900.92525
0.0,6,4901.049853
0.0,2,4901.086308
0.0,4,4901.163156
0.0,6,4901.287029
0.0,2,4901.326342
0.0,2,4901.359977
0.0,2,4901.392489
0.0,2,4901.425012
0.0,2,4901.455928
0.0,2,4901.489794
0.0,2,4901.525245
0.0,2,4901.560611
0.0,2,4901.600451
0.0,2,4901.647494
0.0,2,4901.690823
0.0,3,4901.751897
0.0,4,4901.844928
0.0,2,4901.889734
0.0,2,4901.93388
0.0,2,4901.978306
0.0,2,4902.020276
0.0,2,4902.061835
0.0,2,4902.105283
0.0,2,4902.145712
0.0,2,4902.195359
0.0,2,4902.242635
0.0,4,4902.340317
0.0,4,4902.430516
0.0,2,4902.475096
0.0,2,4902.519017
0.0,2,4902.563073
0.0,2,4902.606865
0.0,2,4902.651002
0.0,2,4902.695325
0.0,3,4902.758425
0.0,2,4902.802886
0.0,2,4902.846398
0.0,2,4902.890244
0.0,2,4902.934057
0.0,2,4902.978828
0.0,2,4903.032069
0.0,2,4903.088915
0.0,2,4903.13281
0.0,2,4903.176906
0.0,2,4903.220558
0.0,2,4903.264599
0.0,2,4903.307756
0.0,2,4903.351033
0.0,4,4903.439092
0.0,2,4903.482961
0.0,2,4903.527083
0.0,2,4908.270546
0.0,3,4908.333177
0.0,2,4908.378229
0.0,2,4908.421742
0.0,2,4908.460481
0.0,2,4908.499267
0.0,2,4908.537484
0.0,2,4908.57514
0.0,2,4908.612358
0.0,2,4908.649359
0.0,2,4908.687821
0.0,2,4908.730381
0.0,4,4908.811898
0.0,2,4908.847617
0.0,4,4908.912342
0.0,2,4908.942241
0.0,6,4909.035117
0.0,2,4909.067695
0.0,2,4909.101298
0.0,2,4909.135741
0.0,2,4909.177405
0.0,2,4909.216773
0.0,2,4909.251469
0.0,2,4909.293938
0.0,2,4909.33439
0.0,2,4909.374693
0.0,2,4909.422282
0.0,2,4909.46973
0.0,2,4909.508238
0.0,2,4909.546313
0.0,4,4909.627996
0.0,2,4909.677053
0.0,2,4909.722157
0.0,4,4909.812316
0.0,2,4909.857125
0.0,2,4909.901897
0.0,2,4909.946705
0.0,2,4909.991508
0.0,2,4910.036109
0.0,2,4910.080647
0.0,5,4910.189906
0.0,2,4910.234747
0.0,2,4910.279135
0.0,4,4910.366882
0.0,2,4910.411175
0.0,2,4910.455253
0.0,2,4910.499407
0.0,2,4910.543742
0.0,2,4910.587926
0.0,2,4910.632299
0.0,2,4910.67617
0.0,4,4910.764874
0.0,2,4910.825141
0.0,2,4910.869331
0.0,2,4915.724851
0.0,2,4915.76299
0.0,2,4915.802413
0.0,2,4915.842701
0.0,2,4915.880526
0.0,2,4915.922774
0.0,2,4915.964678
0.0,2,4916.004055
0.0,3,4916.069486
0.0,2,4916.107073
0.0,2,4916.144828
0.0,4,4916.222893
0.0,2,4916.259985
0.0,4,4916.335865
0.0,2,4916.371713
0.0,2,4916.409968
0.0,2,4916.447957
0.0,2,4916.48018
0.0,2,4916.514235
0.0,2,4916.549927
0.0,2,4916.581805
0.0,2,4916.616813
0.0,4,4916.69091
0.0,4,4916.769249
0.0,4,4916.841423
0.0,2,4916.886245
0.0,2,4916.931196
0.0,2,4916.971682
0.0,2,4917.012408
0.0,2,4917.053618
0.0,2,4917.094401
0.0,2,4917.135902
0.0,4,4917.220758
0.0,2,4917.262998
0.0,2,4917.305771
0.0,5,4917.414488
0.0,2,4917.459586
0.0,2,4917.504701
0.0,6,4917.639305
0.0,2,4917.684585
0.0,2,4917.729441
0.0,2,4917.77423
0.0,2,4917.81828
0.0,2,4917.863113
0.0,3,4917.927994
0.0,2,4917.972762
0.0,7,4918.129907
0.0,2,4918.17429
0.0,4,4918.262869
0.0,4,4923.147288
0.0,2,4923.195221
0.0,6,4923.318835
0.0,2,4923.36807
0.0,6,4923.500431
0.0,2,4923.537704
0.0,2,4923.57435
0.0,2,4923.613454
0.0,2,4923.652663
0.0,4,4923.725351
0.0,2,4923.759899
0.0,2,4923.790859
0.0,2,4923.827188
0.0,2,4923.863414
0.0,2,4923.897952
0.0,2,4923.928672
0.0,2,4923.956815
0.0,2,4923.989017
0.0,2,4924.022499
0.0,2,4924.056165
0.0,2,4924.086483
0.0,2,4924.115914
0.0,2,4924.15034
0.0,2,4924.187433
0.0,2,4924.225116
0.0,4,4924.300884
0.0,2,4924.338264
0.0,6,4924.45202
0.0,2,4924.489773
0.0,4,4924.564504
0.0,2,4924.606065
0.0,2,4924.64349
0.0,2,4924.684831
0.0,4,4924.764745
0.0,4,4924.845729
0.0,2,4924.88766
0.0,2,4924.930351
0.0,2,4924.978443
0.0,4,4925.068464
0.0,2,4925.114492
0.0,2,4925.162938
0.0,2,4925.208648
0.0,2,4925.253488
0.0,2,4925.298245
0.0,4,4925.387584
0.0,4,4925.476628
0.0,2,4925.521384
0.0,4,4925.610704
0.0,2,4925.65504
0.0,4,4930.810554
0.0,2,4930.854414
0.0,2,4930.889975
0.0,4,4930.968139
0.0,5,4931.064323
0.0,3,4931.124861
0.0,2,4931.168727
0.0,2,4931.203772
0.0,4,4931.278901
0.0,2,4931.316462
0.0,2,4931.35161
0.0,2,4931.386809
0.0,2,4931.426199
0.0,2,4931.461677
0.0,2,4931.495479
0.0,2,4931.527121
0.0,2,4931.561567
0.0,2,4931.593554
0.0,2,4931.627582
0.0,3,4931.673378
0.0,2,4931.706554
0.0,2,4931.740675
0.0,2,4931.778255
0.0,2,4931.815696
0.0,2,4931.853275
0.0,2,4931.890793
0.0,2,4931.928589
0.0,2,4931.96551
0.0,2,4932.004315
0.0,2,4932.04241
0.0,2,4932.08123
0.0,2,4932.1208
0.0,2,4932.161212
0.0,2,4932.201356
0.0,2,4932.246982
0.0,2,4932.29536
0.0,2,4932.33938
0.0,2,4932.383733
0.0,2,4932.426719
0.0,2,4932.469008
0.0,2,4932.516755
0.0,2,4932.571582
0.0,2,4932.617669
0.0,2,4932.662952
0.0,4,4932.753863
0.0,2,4932.798342
0.0,2,4932.844325
