#{"t_start": 1667421441.8923469, "env_id": "CTgraph-v0"}
r,l,t
0.0,2,659.696107
0.0,2,659.730623
0.0,4,659.79696
0.0,2,659.830544
0.0,2,659.865552
0.0,2,659.898381
0.0,4,659.96576
0.0,2,660.000406
0.0,2,660.036478
0.0,2,660.071458
0.0,2,660.10453
0.0,2,660.136983
0.0,2,660.172633
0.0,3,660.222208
0.0,2,660.257783
0.0,2,660.289553
0.0,4,660.355031
0.0,6,660.455228
0.0,2,660.489498
0.0,2,660.524729
0.0,2,660.556017
0.0,2,660.588741
0.0,7,660.701568
0.0,2,660.736815
0.0,4,660.804254
0.0,3,660.859524
0.0,2,660.89306
0.0,2,660.930021
0.0,2,660.964483
0.0,2,660.995524
0.0,4,661.064798
0.0,2,661.096857
0.0,3,661.150775
0.0,2,661.185693
0.0,2,661.222308
0.0,2,661.258205
0.0,2,661.293643
0.0,2,661.325547
0.0,2,661.357795
0.0,3,661.408999
0.0,2,661.439747
0.0,2,661.471268
0.0,2,661.504849
0.0,2,661.541818
0.0,2,661.619798
0.0,2,661.65542
0.0,4,661.7271
0.0,2,661.760813
0.0,5,661.842798
0.0,2,661.88102
0.0,2,665.350217
0.0,4,665.419796
0.0,2,665.455122
0.0,2,665.490147
0.0,2,665.52558
0.0,4,665.590196
0.0,2,665.619889
0.0,2,665.652238
0.0,2,665.686655
0.0,6,665.79234
0.0,2,665.828854
0.0,2,665.865019
0.0,2,665.900193
0.0,4,665.969087
0.0,2,666.003284
0.0,2,666.037251
0.0,4,666.100006
0.0,2,666.134734
0.0,2,666.165098
0.0,2,666.198039
0.0,2,666.227953
0.0,2,666.259029
0.0,2,666.295739
0.0,4,666.361589
0.0,2,666.394946
0.0,2,666.430706
0.0,2,666.468122
0.0,2,666.502788
0.0,2,666.539888
0.0,2,666.61359
0.0,2,666.64653
0.0,4,666.716467
0.0,4,666.781149
0.0,4,666.846913
0.0,2,666.879766
0.0,2,666.91282
0.0,2,666.948105
0.0,2,666.984052
0.0,2,667.021096
0.0,2,667.057005
0.0,2,667.09269
0.0,2,667.128595
0.0,2,667.167018
0.0,2,667.199914
0.0,4,667.266562
0.0,2,667.300955
0.0,2,667.336107
0.0,2,667.370966
0.0,2,667.404373
0.0,2,667.44229
0.0,2,667.480979
0.0,5,671.027694
0.0,2,671.064557
0.0,6,671.174095
0.0,2,671.210096
0.0,4,671.282238
0.0,2,671.310598
0.0,6,671.40971
0.0,2,671.443292
0.0,2,671.479204
0.0,2,671.5157
