#{"t_start": 1667421447.649658, "env_id": "CTgraph-v0"}
r,l,t
0.0,2,381.132603
0.0,4,381.193791
0.0,2,381.224851
0.0,2,381.252406
0.0,2,381.283601
0.0,2,381.31499
0.0,2,381.343264
0.0,2,381.374645
0.0,2,381.40376
0.0,2,381.435405
0.0,2,381.466724
0.0,2,381.500087
0.0,3,381.545877
0.0,2,381.576875
0.0,2,381.609289
0.0,2,381.642744
0.0,4,381.703914
0.0,3,381.753172
0.0,2,381.786898
0.0,2,381.819634
0.0,2,381.853367
0.0,2,381.886032
0.0,2,381.919752
0.0,2,381.952718
0.0,2,381.985769
0.0,2,382.019293
0.0,2,382.052512
0.0,6,382.150582
0.0,2,382.184601
0.0,3,382.237976
0.0,2,382.272962
0.0,2,382.306406
0.0,2,382.338542
0.0,2,382.374144
0.0,4,382.443728
0.0,2,382.479385
0.0,2,382.514962
0.0,4,382.581623
0.0,2,382.616179
0.0,2,382.64945
0.0,2,382.682876
0.0,4,382.753976
0.0,2,382.789054
0.0,2,382.828553
0.0,2,382.867283
0.0,2,382.904299
0.0,4,382.977394
0.0,2,383.014402
0.0,2,383.050771
0.0,2,383.088649
0.0,2,383.125625
0.0,2,383.162043
0.0,2,383.19928
0.0,2,383.238541
0.0,2,387.00756
0.0,2,387.035041
0.0,2,387.06297
0.0,2,387.091633
0.0,2,387.119521
0.0,2,387.14806
0.0,2,387.174399
0.0,3,387.215348
0.0,4,387.27415
0.0,2,387.304556
0.0,2,387.334909
0.0,2,387.367085
0.0,2,387.398786
0.0,6,387.496407
0.0,2,387.529775
0.0,3,387.58107
0.0,2,387.615066
0.0,3,387.664161
0.0,2,387.698778
0.0,2,387.729831
0.0,4,387.815039
0.0,2,387.848693
0.0,2,387.881327
0.0,2,387.910335
0.0,2,387.938778
0.0,2,387.971969
0.0,2,388.006438
0.0,2,388.039255
0.0,2,388.074612
0.0,4,388.138702
0.0,2,388.171968
0.0,2,388.206809
0.0,6,388.305448
0.0,2,388.342425
0.0,2,388.376669
0.0,4,388.443418
0.0,2,388.477099
0.0,2,388.511901
0.0,2,388.551327
0.0,4,388.622462
0.0,4,388.692086
0.0,2,388.726948
0.0,2,388.762486
0.0,4,388.827435
0.0,2,388.860688
0.0,4,388.930286
0.0,2,388.963786
0.0,2,389.000005
0.0,2,389.032034
0.0,2,389.066268
0.0,2,389.10306
0.0,4,392.527457
0.0,2,392.558206
0.0,2,392.591824
0.0,2,392.621399
0.0,4,392.690148
0.0,2,392.721424
0.0,2,392.752326
0.0,4,392.873163
0.0,2,392.900474
0.0,2,392.932216
0.0,2,392.963866
0.0,4,393.02739
0.0,2,393.059824
0.0,2,393.093542
0.0,2,393.126796
0.0,2,393.161719
0.0,2,393.195451
0.0,2,393.229902
0.0,4,393.298738
0.0,2,393.333051
0.0,2,393.362406
