#{"t_start": 1667421447.0812063, "env_id": "CTgraph-v0"}
r,l,t
0.0,2,1698.578631
0.0,2,1698.623849
0.0,2,1698.664435
0.0,2,1698.700863
0.0,2,1698.736663
0.0,4,1698.816819
0.0,4,1698.897536
0.0,2,1698.936042
0.0,2,1698.974442
0.0,2,1699.016295
0.0,2,1699.054066
0.0,2,1699.091079
0.0,4,1699.169053
0.0,2,1699.209478
0.0,6,1699.324704
0.0,2,1699.362838
0.0,2,1699.399589
0.0,4,1699.477442
0.0,2,1699.520163
0.0,2,1699.559312
0.0,2,1699.598223
0.0,2,1699.636226
0.0,4,1699.706295
0.0,3,1699.762295
0.0,2,1699.795285
0.0,2,1699.832062
0.0,4,1699.909455
0.0,2,1699.952441
0.0,2,1699.993092
0.0,3,1700.048972
0.0,2,1700.085031
0.0,2,1700.12108
0.0,2,1700.155744
0.0,2,1700.191384
0.0,4,1700.260787
0.0,2,1700.296355
0.0,2,1700.333532
0.0,2,1700.370857
0.0,2,1700.41173
0.0,2,1700.453182
0.0,2,1700.493887
0.0,2,1700.531927
0.0,2,1700.569835
0.0,2,1700.601254
0.0,2,1700.633434
0.0,2,1700.668439
0.0,2,1700.702926
0.0,2,1700.736313
0.0,2,1700.773647
0.0,4,1700.850809
0.0,2,1700.885456
0.0,3,1700.942383
0.0,2,1704.832718
0.0,2,1704.873732
0.0,2,1704.911031
0.0,2,1704.944934
0.0,2,1704.979871
0.0,2,1705.021251
0.0,2,1705.064432
0.0,2,1705.099569
0.0,4,1705.18539
0.0,3,1705.2386
0.0,2,1705.275853
0.0,2,1705.31466
0.0,2,1705.352826
0.0,2,1705.394454
0.0,2,1705.433145
0.0,2,1705.467183
0.0,2,1705.501785
0.0,2,1705.536271
0.0,2,1705.575063
0.0,2,1705.613764
0.0,2,1705.654384
0.0,2,1705.687579
0.0,3,1705.741004
0.0,2,1705.77527
0.0,2,1705.813015
0.0,2,1705.851093
0.0,4,1705.925301
0.0,2,1705.972512
0.0,4,1706.048863
0.0,2,1706.085685
0.0,2,1706.126088
0.0,4,1706.20333
0.0,2,1706.243958
0.0,2,1706.28215
0.0,2,1706.316064
0.0,2,1706.35096
0.0,2,1706.386038
0.0,2,1706.419936
0.0,2,1706.46508
0.0,2,1706.502074
0.0,2,1706.540844
0.0,2,1706.580799
0.0,2,1706.620028
0.0,2,1706.657842
0.0,2,1706.697105
0.0,2,1706.734293
0.0,2,1706.767136
0.0,2,1706.80027
0.0,2,1706.836815
0.0,2,1706.873215
0.0,4,1706.943215
0.0,2,1706.977724
0.0,2,1707.014323
0.0,2,1707.046999
0.0,2,1707.079993
0.0,2,1707.114124
0.0,2,1707.15271
0.0,2,1707.190295
0.0,2,1711.022335
0.0,2,1711.06477
0.0,2,1711.106002
0.0,2,1711.144952
0.0,2,1711.182782
0.0,6,1711.29423
0.0,2,1711.32969
0.0,2,1711.364433
0.0,2,1711.397009
0.0,4,1711.508239
0.0,2,1711.54921
0.0,3,1711.606139
0.0,2,1711.644648
0.0,4,1711.72227
0.0,2,1711.756124
0.0,2,1711.79324
0.0,2,1711.829952
0.0,2,1711.866578
0.0,2,1711.904225
0.0,6,1712.021268
0.0,4,1712.089553
0.0,2,1712.126553
0.0,4,1712.198863
0.0,2,1712.234576
0.0,2,1712.27343
0.0,2,1712.312484
0.0,2,1712.345105
0.0,2,1712.379849
0.0,3,1712.43041
0.0,2,1712.474389
0.0,2,1712.512879
0.0,4,1712.589459
0.0,5,1712.683966
0.0,2,1712.726127
0.0,2,1712.768368
0.0,2,1712.810417
0.0,2,1712.848227
0.0,3,1712.901797
0.0,2,1712.938372
0.0,2,1712.975941
0.0,2,1713.014394
0.0,2,1713.049074
0.0,2,1713.08669
0.0,2,1713.124397
0.0,3,1713.180733
0.0,2,1713.220288
0.0,2,1713.257144
0.0,2,1713.294728
0.0,2,1713.330676
0.0,4,1713.409034
0.0,2,1713.445506
1.0,7,1717.415398
1.0,7,1717.548836
1.0,7,1717.679176
1.0,7,1717.809568
1.0,7,1717.93698
1.0,7,1718.06244
1.0,7,1718.185732
1.0,7,1718.320747
1.0,7,1718.446392
1.0,7,1718.572362
1.0,7,1718.698959
1.0,7,1718.832823
1.0,7,1718.970833
1.0,7,1719.109241
1.0,7,1719.241793
1.0,7,1719.364527
1.0,7,1719.483601
1.0,7,1719.610569
1.0,7,1723.559017
1.0,7,1723.698454
1.0,7,1723.830783
1.0,7,1723.962918
1.0,7,1724.090478
1.0,7,1724.217577
1.0,7,1724.348296
1.0,7,1724.480785
1.0,7,1724.616589
1.0,7,1724.737183
1.0,7,1724.869498
1.0,7,1725.0059
1.0,7,1725.141165
1.0,7,1725.282087
0.0,4,1725.357101
1.0,7,1725.481975
1.0,7,1725.610225
1.0,7,1725.731056
1.0,7,1725.854738
1.0,7,1729.776109
1.0,7,1729.913059
1.0,7,1730.039295
1.0,7,1730.174238
1.0,7,1730.30888
1.0,7,1730.440548
1.0,7,1730.563238
1.0,7,1730.691332
1.0,7,1730.819254
1.0,7,1730.9474
1.0,7,1731.079539
1.0,7,1731.218907
1.0,7,1731.351095
1.0,7,1731.596979
1.0,7,1731.727549
1.0,7,1731.844193
1.0,7,1731.965729
1.0,7,1732.092818
1.0,7,1736.067373
1.0,7,1736.193834
1.0,7,1736.320814
1.0,7,1736.501035
1.0,7,1736.621155
1.0,7,1736.748892
1.0,7,1736.872265
1.0,7,1736.996702
1.0,7,1737.123898
1.0,7,1737.261956
1.0,7,1737.392756
1.0,7,1737.528653
1.0,7,1737.657769
1.0,7,1737.791669
1.0,7,1737.922138
1.0,7,1738.054599
1.0,7,1738.183473
1.0,7,1738.313605
1.0,7,1742.273808
1.0,7,1742.400397
1.0,7,1742.525842
1.0,7,1742.650846
1.0,7,1742.778979
1.0,7,1742.905794
1.0,7,1743.022968
1.0,7,1743.151152
1.0,7,1743.271205
1.0,7,1743.401487
1.0,7,1743.531252
1.0,7,1743.671011
1.0,7,1743.794255
1.0,7,1743.923104
1.0,7,1744.057007
1.0,7,1744.191276
1.0,7,1744.323656
1.0,7,1744.451187
1.0,7,1748.409219
1.0,7,1748.532791
1.0,7,1748.656787
1.0,7,1748.775606
1.0,7,1748.889427
1.0,7,1749.01035
1.0,7,1749.12753
1.0,7,1749.250955
1.0,7,1749.385102
1.0,7,1749.518371
1.0,7,1749.648781
1.0,7,1749.788853
1.0,7,1749.905661
1.0,7,1750.034312
0.0,3,1750.089393
1.0,7,1750.227152
1.0,7,1750.372266
1.0,7,1750.506242
1.0,7,1750.64835
1.0,7,1754.542502
1.0,7,1754.674978
1.0,7,1754.804296
1.0,7,1754.928403
1.0,7,1755.057313
1.0,7,1755.184568
1.0,7,1755.300845
1.0,7,1755.421078
1.0,7,1755.542627
1.0,7,1755.667546
1.0,7,1755.802837
1.0,7,1755.934646
1.0,7,1756.068534
1.0,7,1756.196779
1.0,7,1756.33022
1.0,7,1756.579439
1.0,7,1756.705317
1.0,7,1756.838815
1.0,7,1756.973606
1.0,7,1760.737661
1.0,7,1760.867341
1.0,7,1760.998217
1.0,7,1761.135478
1.0,7,1761.263493
1.0,7,1761.364677
1.0,7,1761.567382
1.0,7,1761.68592
1.0,7,1761.812016
1.0,7,1761.931271
1.0,7,1762.051722
0.0,6,1762.159431
1.0,7,1762.288128
1.0,7,1762.416553
1.0,7,1762.537673
1.0,7,1762.658046
1.0,7,1762.776392
1.0,7,1762.904184
1.0,7,1766.888882
1.0,7,1767.021657
1.0,7,1767.15945
1.0,7,1767.287657
1.0,7,1767.416849
1.0,7,1767.54713
1.0,7,1767.669575
1.0,7,1767.79091
1.0,7,1767.912482
1.0,7,1768.030855
1.0,7,1768.149386
1.0,7,1768.278486
1.0,7,1768.399672
1.0,7,1768.52126
1.0,7,1768.640974
1.0,7,1768.752312
0.0,5,1768.837846
1.0,7,1768.958728
1.0,7,1769.092375
1.0,7,1773.174929
1.0,7,1773.30644
1.0,7,1773.429639
1.0,7,1773.546833
1.0,7,1773.666513
1.0,7,1773.783616
1.0,7,1773.891359
1.0,7,1774.008903
1.0,7,1774.129069
1.0,7,1774.247201
1.0,7,1774.367483
1.0,7,1774.494755
1.0,7,1774.624506
1.0,7,1774.75333
1.0,7,1774.88057
0.0,6,1774.975078
1.0,7,1775.09724
1.0,7,1775.228961
1.0,7,1779.239718
1.0,7,1779.369127
1.0,7,1779.484087
1.0,7,1779.604967
1.0,7,1779.737819
1.0,7,1779.865185
1.0,7,1779.989963
1.0,7,1780.114628
1.0,7,1780.234847
1.0,7,1780.357389
1.0,7,1780.482649
1.0,7,1780.60887
1.0,7,1780.73803
1.0,7,1780.871665
1.0,7,1780.999382
1.0,7,1781.12051
1.0,7,1781.250641
1.0,7,1781.38149
1.0,7,1785.307458
1.0,7,1785.438586
1.0,7,1785.566231
1.0,7,1785.69231
1.0,7,1785.816692
1.0,7,1785.950524
1.0,7,1786.082326
1.0,7,1786.223017
1.0,7,1786.358083
1.0,7,1786.484024
1.0,7,1786.67203
1.0,7,1786.80048
1.0,7,1786.936646
1.0,7,1787.063021
1.0,7,1787.202495
1.0,7,1787.332527
1.0,7,1787.470938
1.0,7,1787.609009
1.0,7,1787.740511
1.0,7,1791.851798
1.0,7,1791.971267
1.0,7,1792.095059
1.0,7,1792.222602
1.0,7,1792.352047
1.0,7,1792.478255
1.0,7,1792.601025
1.0,7,1792.723491
1.0,7,1792.836946
1.0,7,1792.957212
1.0,7,1793.085786
1.0,7,1793.204329
1.0,7,1793.334553
1.0,7,1793.461904
1.0,7,1793.597424
1.0,7,1793.72832
1.0,7,1793.856438
1.0,7,1793.986913
1.0,7,1797.948126
1.0,7,1798.085016
1.0,7,1798.210278
1.0,7,1798.328758
1.0,7,1798.455511
1.0,7,1798.578568
1.0,7,1798.70212
1.0,7,1798.823102
1.0,7,1798.941544
1.0,7,1799.067946
1.0,7,1799.194017
1.0,7,1799.314888
1.0,7,1799.432256
1.0,7,1799.548657
1.0,7,1799.679107
1.0,7,1799.802129
1.0,7,1799.92082
1.0,7,1800.045423
1.0,7,1804.078653
1.0,7,1804.211405
1.0,7,1804.338591
1.0,7,1804.461064
1.0,7,1804.586344
1.0,7,1804.719037
1.0,7,1804.842922
1.0,7,1804.974934
1.0,7,1805.096677
1.0,7,1805.225466
1.0,7,1805.349533
1.0,7,1805.477251
1.0,7,1805.59516
1.0,7,1805.71594
1.0,7,1805.831882
1.0,7,1805.963156
1.0,7,1806.100134
1.0,7,1806.235876
1.0,7,1810.331484
1.0,7,1810.467725
1.0,7,1810.597058
1.0,7,1810.730339
1.0,7,1810.854527
1.0,7,1810.97458
1.0,7,1811.099458
1.0,7,1811.222859
1.0,7,1811.353853
1.0,7,1811.481389
1.0,7,1811.776
1.0,7,1811.90741
1.0,7,1812.02869
1.0,7,1812.165478
