#{"t_start": 1667421447.367388, "env_id": "CTgraph-v0"}
r,l,t
0.0,2,1698.293763
0.0,3,1698.355277
0.0,2,1698.398553
0.0,2,1698.43787
0.0,2,1698.475311
0.0,2,1698.511723
0.0,2,1698.548305
0.0,2,1698.588522
0.0,4,1698.673431
0.0,4,1698.748749
0.0,4,1698.823542
0.0,2,1698.866057
0.0,2,1698.905813
0.0,2,1698.945714
0.0,4,1699.016994
0.0,2,1699.057723
0.0,2,1699.095274
0.0,2,1699.13468
0.0,2,1699.17376
0.0,4,1699.252218
0.0,2,1699.290659
0.0,2,1699.33138
0.0,4,1699.405761
0.0,2,1699.441387
0.0,4,1699.510764
0.0,2,1699.546951
0.0,2,1699.583877
0.0,2,1699.624634
0.0,2,1699.667608
0.0,2,1699.708023
0.0,4,1699.778569
0.0,2,1699.818206
0.0,4,1699.886993
0.0,2,1699.922523
0.0,2,1699.954503
0.0,2,1699.99442
0.0,6,1700.107051
0.0,4,1700.1869
0.0,2,1700.228509
0.0,2,1700.266511
0.0,2,1700.299967
0.0,2,1700.330213
0.0,4,1700.399025
0.0,2,1700.435956
0.0,2,1700.47105
0.0,2,1700.507822
0.0,2,1700.546426
0.0,2,1700.583023
0.0,2,1700.619523
0.0,3,1700.670717
0.0,2,1704.566812
0.0,2,1704.608567
0.0,2,1704.642246
0.0,2,1704.676936
0.0,2,1704.71662
0.0,2,1704.758833
0.0,2,1704.797743
0.0,2,1704.833898
0.0,3,1704.900225
0.0,2,1704.934125
0.0,2,1704.970885
0.0,2,1705.008533
0.0,4,1705.089624
0.0,3,1705.148103
0.0,2,1705.182054
0.0,2,1705.216679
0.0,2,1705.251099
0.0,2,1705.28995
0.0,2,1705.328793
0.0,4,1705.402566
0.0,2,1705.439329
0.0,3,1705.490201
0.0,4,1705.566494
0.0,2,1705.601187
0.0,3,1705.664388
0.0,2,1705.70503
0.0,2,1705.746978
0.0,4,1705.824135
0.0,2,1705.86125
0.0,2,1705.896318
0.0,2,1705.936225
0.0,2,1705.979968
0.0,2,1706.01485
0.0,2,1706.049313
0.0,2,1706.084044
0.0,2,1706.119031
0.0,3,1706.179957
0.0,2,1706.216931
0.0,2,1706.255993
0.0,2,1706.296205
0.0,2,1706.335012
0.0,2,1706.372814
0.0,2,1706.412335
0.0,2,1706.449625
0.0,2,1706.482335
0.0,2,1706.515149
0.0,4,1706.588524
0.0,2,1706.623728
0.0,2,1706.65813
0.0,2,1706.692595
0.0,2,1706.729125
0.0,4,1706.794852
0.0,2,1706.828961
0.0,2,1706.867596
0.0,2,1706.905257
0.0,2,1710.737505
0.0,2,1710.779732
0.0,2,1710.821142
0.0,2,1710.859606
0.0,2,1710.897656
0.0,2,1710.934708
0.0,2,1710.973593
0.0,2,1711.008994
0.0,2,1711.044405
0.0,2,1711.079283
0.0,4,1711.186227
0.0,2,1711.223212
0.0,2,1711.264146
0.0,4,1711.339061
0.0,2,1711.376362
0.0,2,1711.413647
0.0,2,1711.450955
0.0,2,1711.488971
0.0,4,1711.565772
0.0,2,1711.604549
0.0,2,1711.639666
0.0,2,1711.678282
0.0,2,1711.715866
0.0,2,1711.753863
0.0,2,1711.78554
0.0,2,1711.822549
0.0,2,1711.860507
0.0,2,1711.898103
0.0,2,1711.935202
0.0,2,1711.970335
0.0,7,1712.094958
0.0,2,1712.1288
0.0,2,1712.169142
0.0,2,1712.208164
0.0,2,1712.244814
0.0,2,1712.282705
0.0,2,1712.323098
0.0,2,1712.363165
0.0,2,1712.399559
0.0,2,1712.44153
0.0,2,1712.483659
0.0,4,1712.563331
0.0,2,1712.598607
0.0,2,1712.635105
0.0,2,1712.672915
0.0,3,1712.729378
0.0,2,1712.764034
0.0,2,1712.801631
0.0,2,1712.839354
0.0,2,1712.874644
0.0,3,1712.935311
0.0,2,1712.97199
0.0,2,1713.009861
0.0,4,1713.084877
0.0,2,1713.124141
0.0,2,1713.160402
1.0,7,1717.130523
1.0,7,1717.264157
1.0,7,1717.394413
1.0,7,1717.524863
0.0,4,1717.596104
1.0,7,1717.726662
1.0,7,1717.845413
1.0,7,1717.975114
1.0,7,1718.106024
1.0,7,1718.234237
1.0,7,1718.357758
1.0,7,1718.488338
1.0,7,1718.625964
1.0,7,1718.762708
0.0,4,1718.844183
1.0,7,1718.975426
1.0,7,1719.0966
1.0,7,1719.216018
1.0,7,1719.346477
1.0,7,1723.293256
1.0,7,1723.436216
1.0,7,1723.563046
1.0,7,1723.695688
1.0,7,1723.827116
1.0,7,1723.953068
1.0,7,1724.083063
1.0,7,1724.216783
1.0,7,1724.351399
1.0,7,1724.472008
1.0,7,1724.604307
1.0,7,1724.7419
1.0,7,1724.878644
0.0,3,1724.936233
1.0,7,1725.072145
1.0,7,1725.197065
1.0,7,1725.325495
1.0,7,1725.446432
1.0,7,1725.570009
1.0,7,1729.491372
1.0,7,1729.628351
0.0,7,1729.754528
1.0,7,1729.889679
1.0,7,1730.02416
1.0,7,1730.155656
1.0,7,1730.278502
1.0,7,1730.406695
1.0,7,1730.534681
1.0,7,1730.662899
1.0,7,1730.794919
1.0,7,1730.934522
1.0,7,1731.066589
1.0,7,1731.312103
1.0,7,1731.442793
1.0,7,1731.559118
0.0,6,1731.664164
1.0,7,1731.788182
1.0,7,1735.758873
1.0,7,1735.889235
1.0,7,1736.017911
1.0,7,1736.150675
1.0,7,1736.319521
1.0,7,1736.446607
1.0,7,1736.570755
1.0,7,1736.694023
1.0,7,1736.820282
1.0,7,1736.956014
1.0,7,1737.086825
1.0,7,1737.225439
1.0,7,1737.358171
1.0,7,1737.489956
0.0,2,1737.529621
1.0,7,1737.661292
1.0,7,1737.789348
1.0,7,1737.916038
0.0,3,1737.9723
1.0,7,1738.112629
1.0,7,1742.060843
1.0,7,1742.187025
1.0,7,1742.31163
1.0,7,1742.440964
1.0,7,1742.567697
1.0,7,1742.684319
1.0,7,1742.812181
1.0,7,1742.932294
1.0,7,1743.060796
1.0,7,1743.188248
1.0,7,1743.323451
1.0,7,1743.453346
1.0,7,1743.579686
1.0,7,1743.709591
1.0,7,1743.847161
1.0,7,1743.984053
1.0,7,1744.110226
1.0,7,1744.243834
1.0,7,1748.196505
1.0,7,1748.316895
1.0,7,1748.435934
1.0,7,1748.556842
1.0,7,1748.671465
1.0,7,1748.79162
1.0,7,1748.912018
1.0,7,1749.043731
1.0,7,1749.175843
1.0,7,1749.311225
1.0,7,1749.446488
1.0,7,1749.570467
1.0,7,1749.69562
1.0,7,1749.824281
1.0,7,1749.963222
1.0,7,1750.109303
1.0,7,1750.241996
1.0,7,1750.381169
1.0,7,1754.275539
1.0,7,1754.407056
1.0,7,1754.533061
1.0,7,1754.66035
1.0,7,1754.789525
1.0,7,1754.914489
1.0,7,1755.031152
1.0,7,1755.151818
1.0,7,1755.27561
1.0,7,1755.403259
1.0,7,1755.533442
1.0,7,1755.669347
1.0,7,1755.803319
1.0,7,1755.931881
1.0,7,1756.066385
1.0,7,1756.315236
1.0,7,1756.443257
1.0,7,1756.571598
1.0,7,1760.345006
1.0,7,1760.472743
1.0,7,1760.601405
1.0,7,1760.732958
1.0,7,1760.871394
1.0,7,1760.991596
1.0,7,1761.095599
1.0,7,1761.298428
1.0,7,1761.419577
1.0,7,1761.542241
1.0,7,1761.661005
1.0,7,1761.782094
1.0,7,1761.914911
0.0,6,1762.022678
1.0,7,1762.15107
1.0,7,1762.27018
1.0,7,1762.390996
1.0,7,1762.511243
1.0,7,1762.641088
1.0,7,1766.623308
1.0,7,1766.757511
1.0,7,1766.893637
1.0,7,1767.017502
1.0,7,1767.149004
1.0,7,1767.276886
1.0,7,1767.403736
1.0,7,1767.523486
1.0,7,1767.644042
1.0,7,1767.762846
1.0,7,1767.881788
1.0,7,1768.010617
1.0,7,1768.132181
1.0,7,1768.25321
1.0,7,1768.371468
1.0,7,1768.481556
1.0,7,1768.604573
1.0,7,1768.73257
1.0,7,1772.803315
1.0,7,1772.947164
0.0,4,1773.021412
1.0,7,1773.144884
1.0,7,1773.261837
1.0,7,1773.381587
1.0,7,1773.498732
1.0,7,1773.606437
1.0,7,1773.724009
1.0,7,1773.844805
1.0,7,1773.962488
1.0,7,1774.082866
1.0,7,1774.209972
1.0,7,1774.339779
1.0,7,1774.468579
1.0,7,1774.595788
1.0,7,1774.706836
1.0,7,1774.835556
1.0,7,1774.966486
1.0,7,1778.972421
1.0,7,1779.102777
1.0,7,1779.21926
1.0,7,1779.341723
1.0,7,1779.473782
1.0,7,1779.600864
1.0,7,1779.722702
1.0,7,1779.844375
1.0,7,1779.967223
1.0,7,1780.092025
1.0,7,1780.217298
1.0,7,1780.342729
1.0,7,1780.471264
1.0,7,1780.603558
1.0,7,1780.733515
1.0,7,1780.855868
1.0,7,1780.989118
1.0,7,1781.118633
1.0,7,1785.044997
1.0,7,1785.175309
1.0,7,1785.302397
1.0,7,1785.427279
1.0,7,1785.55338
1.0,7,1785.683589
1.0,7,1785.817373
1.0,7,1785.959151
1.0,7,1786.094187
1.0,7,1786.284118
1.0,7,1786.403639
1.0,7,1786.533785
1.0,7,1786.67247
1.0,7,1786.798891
1.0,7,1786.940897
1.0,7,1787.072513
1.0,7,1787.209116
1.0,7,1787.347563
1.0,7,1791.464638
1.0,7,1791.586478
1.0,7,1791.708101
1.0,7,1791.830002
1.0,7,1791.959095
1.0,7,1792.087521
1.0,7,1792.20967
1.0,7,1792.333536
1.0,7,1792.454053
1.0,7,1792.569982
1.0,7,1792.692206
1.0,7,1792.815491
1.0,7,1792.939316
1.0,7,1793.066023
1.0,7,1793.193719
1.0,7,1793.330425
1.0,7,1793.462603
1.0,7,1793.588838
1.0,7,1793.719651
1.0,7,1797.682235
1.0,7,1797.820688
1.0,7,1797.944708
1.0,7,1798.061243
1.0,7,1798.188551
1.0,7,1798.312248
1.0,7,1798.435318
1.0,7,1798.553873
1.0,7,1798.675917
1.0,7,1798.804209
1.0,7,1798.926085
1.0,7,1799.04619
1.0,7,1799.162665
1.0,7,1799.28199
1.0,7,1799.408999
1.0,7,1799.532269
1.0,7,1799.657087
1.0,7,1799.775676
1.0,7,1803.812057
1.0,7,1803.942414
1.0,7,1804.06932
1.0,7,1804.191918
1.0,7,1804.317661
1.0,7,1804.453976
1.0,7,1804.57797
1.0,7,1804.708893
1.0,7,1804.829402
1.0,7,1804.957189
1.0,7,1805.082328
1.0,7,1805.211333
1.0,7,1805.324401
1.0,7,1805.445265
1.0,7,1805.565484
1.0,7,1805.697227
1.0,7,1805.836761
1.0,7,1805.971502
1.0,7,1810.064507
1.0,7,1810.202832
1.0,7,1810.330301
1.0,7,1810.461143
1.0,7,1810.586997
1.0,7,1810.70835
1.0,7,1810.833172
1.0,7,1810.954246
1.0,7,1811.090293
1.0,7,1811.36542
1.0,7,1811.511873
1.0,7,1811.642738
1.0,7,1811.764684
1.0,7,1811.901533
1.0,7,1812.029095
1.0,7,1812.166463
1.0,7,1812.30337
1.0,7,1812.438946
1.0,7,1812.570338
1.0,7,1816.738777
1.0,7,1816.862885
1.0,7,1816.985258
1.0,7,1817.110363
1.0,7,1817.235073
1.0,7,1817.361183
1.0,7,1817.484004
1.0,7,1817.617867
1.0,7,1817.750943
1.0,7,1817.880113
1.0,7,1818.012285
1.0,7,1818.145198
1.0,7,1818.281801
1.0,7,1818.410684
1.0,7,1818.540676
1.0,7,1818.682765
1.0,7,1818.805165
1.0,7,1818.935826
1.0,7,1822.927272
1.0,7,1823.052445
1.0,7,1823.174152
1.0,7,1823.2967
1.0,7,1823.421429
1.0,7,1823.546583
1.0,7,1823.677089
1.0,7,1823.815888
1.0,7,1823.949095
1.0,7,1824.087009
1.0,7,1824.199498
1.0,7,1824.324457
0.0,6,1824.443119
1.0,7,1824.570164
1.0,7,1824.704129
1.0,7,1824.839849
0.0,2,1824.878891
1.0,7,1825.000716
1.0,7,1825.132813
1.0,7,1829.018039
1.0,7,1829.144099
0.0,2,1829.177035
1.0,7,1829.291674
1.0,7,1829.414483
1.0,7,1829.538343
1.0,7,1829.667024
1.0,7,1829.795645
1.0,7,1829.928305
1.0,7,1830.065017
1.0,7,1830.19979
1.0,7,1830.334736
1.0,7,1830.465495
1.0,7,1830.583868
1.0,7,1830.707402
1.0,7,1830.847037
1.0,7,1830.969355
1.0,7,1831.104115
1.0,7,1831.352462
1.0,7,1835.143905
1.0,7,1835.266144
1.0,7,1835.394161
1.0,7,1835.517326
1.0,7,1835.648882
1.0,7,1835.77952
1.0,7,1835.911285
1.0,7,1836.047111
1.0,7,1836.277492
1.0,7,1836.406256
1.0,7,1836.541954
1.0,7,1836.676237
1.0,7,1836.811804
1.0,7,1836.938549
1.0,7,1837.083055
1.0,7,1837.225947
1.0,7,1837.367774
1.0,7,1837.508614
1.0,7,1841.476619
1.0,7,1841.612426
1.0,7,1841.740592
1.0,7,1841.867111
1.0,7,1841.998128
1.0,7,1842.124368
1.0,7,1842.262859
1.0,7,1842.410478
1.0,7,1842.543856
1.0,7,1842.670823
1.0,7,1842.797294
1.0,7,1842.93132
1.0,7,1843.061177
1.0,7,1843.197832
1.0,7,1843.326017
1.0,7,1843.467175
1.0,7,1843.608644
1.0,7,1843.744659
1.0,7,1843.874465
1.0,7,1853.33748
1.0,7,1853.369722
1.0,7,1853.402944
1.0,7,1853.43456
0.0,2,1853.443218
0.0,4,1853.461254
1.0,7,1853.503333
1.0,7,1853.550696
1.0,7,1853.597641
1.0,7,1853.64573
1.0,7,1853.694856
1.0,7,1853.742051
1.0,7,1853.781945
1.0,7,1853.822604
1.0,7,1853.859144
0.0,2,1853.870805
1.0,7,1853.911049
0.0,2,1853.92154
1.0,7,1853.959317
1.0,7,1853.99928
1.0,7,1861.891944
1.0,7,1861.97724
1.0,7,1862.058967
1.0,7,1862.143668
1.0,7,1862.227295
1.0,7,1862.311775
1.0,7,1862.401768
1.0,7,1862.492011
1.0,7,1862.591581
1.0,7,1862.700916
1.0,7,1862.810424
1.0,7,1862.948135
1.0,7,1863.084937
1.0,7,1863.223284
1.0,7,1863.357827
1.0,7,1863.494189
1.0,7,1863.616015
1.0,7,1863.753824
1.0,7,1863.88885
1.0,7,1874.03404
1.0,7,1874.124503
1.0,7,1874.215691
1.0,7,1874.305922
1.0,7,1874.396051
1.0,7,1874.495113
1.0,7,1874.588474
1.0,7,1874.67941
1.0,7,1874.771608
1.0,7,1874.843095
1.0,7,1874.903693
1.0,7,1874.950821
1.0,7,1875.002792
1.0,7,1875.051279
1.0,7,1875.094371
1.0,7,1875.138861
1.0,7,1875.19251
1.0,7,1875.237723
1.0,7,1884.243773
1.0,7,1884.307264
1.0,7,1884.37359
1.0,7,1884.442959
1.0,7,1884.513818
1.0,7,1884.575814
1.0,7,1884.644175
1.0,7,1884.714978
1.0,7,1884.797869
1.0,7,1884.892287
1.0,7,1884.99027
1.0,7,1885.087947
1.0,7,1885.188291
1.0,7,1885.291161
1.0,7,1885.39378
1.0,7,1885.496175
1.0,7,1885.6006
1.0,7,1885.707737
1.0,7,1895.243001
1.0,7,1895.410596
1.0,7,1895.469202
1.0,7,1895.527883
1.0,7,1895.585886
1.0,7,1895.645222
1.0,7,1895.707457
1.0,7,1895.765601
1.0,7,1895.827152
1.0,7,1895.885254
1.0,7,1895.944365
1.0,7,1896.003961
1.0,7,1896.063695
1.0,7,1896.123949
1.0,7,1896.182822
1.0,7,1896.239774
1.0,7,1896.298654
1.0,7,1896.380297
1.0,7,1896.44254
1.0,7,1907.949318
1.0,7,1907.989717
1.0,7,1908.02991
1.0,7,1908.072978
1.0,7,1908.117725
1.0,7,1908.164048
1.0,7,1908.20424
1.0,7,1908.247988
1.0,7,1908.291968
1.0,7,1908.337302
1.0,7,1908.380705
1.0,7,1908.425868
1.0,7,1908.466339
1.0,7,1908.507349
1.0,7,1908.551683
1.0,7,1908.595249
1.0,7,1908.635327
1.0,7,1908.682203
1.0,7,1917.201562
1.0,7,1917.238961
1.0,7,1917.275506
1.0,7,1917.313234
1.0,7,1917.35573
1.0,7,1917.399248
1.0,7,1917.440663
1.0,7,1917.484518
1.0,7,1917.525285
1.0,7,1917.565326
1.0,7,1917.605822
1.0,7,1917.646774
1.0,7,1917.688811
1.0,7,1917.731943
1.0,7,1917.773447
1.0,7,1917.814943
1.0,7,1917.858212
1.0,7,1917.899004
1.0,7,1926.087558
1.0,7,1926.13316
1.0,7,1926.175527
1.0,7,1926.223141
1.0,7,1926.273617
1.0,7,1926.323584
1.0,7,1926.376142
0.0,3,1926.401274
1.0,7,1926.460021
0.0,6,1926.509005
1.0,7,1926.566541
1.0,7,1926.623109
0.0,3,1926.647997
1.0,7,1926.706471
0.0,3,1926.732437
1.0,7,1926.791529
1.0,7,1926.850668
1.0,7,1926.918186
1.0,7,1926.992145
1.0,7,1927.06339
1.0,7,1938.211828
1.0,7,1938.251366
0.0,3,1938.268558
1.0,7,1938.30883
1.0,7,1938.346991
1.0,7,1938.383255
1.0,7,1938.422392
1.0,7,1938.469695
1.0,7,1938.521665
0.0,5,1938.556708
1.0,7,1938.606616
0.0,3,1938.626398
1.0,7,1938.676914
1.0,7,1938.723792
1.0,7,1938.772862
0.0,5,1938.807867
1.0,7,1938.85319
1.0,7,1938.899079
1.0,7,1938.941873
1.0,7,1938.990268
1.0,7,1944.234336
1.0,7,1944.338994
1.0,7,1944.443714
1.0,7,1944.548633
1.0,7,1944.643078
1.0,7,1944.740275
1.0,7,1944.821133
1.0,7,1944.896115
1.0,7,1944.96282
1.0,7,1945.020039
1.0,7,1945.084892
1.0,7,1945.155408
1.0,7,1945.217344
1.0,7,1945.279492
1.0,7,1945.342757
1.0,7,1945.411098
1.0,7,1945.488365
1.0,7,1945.568655
1.0,7,1945.645207
1.0,7,1956.28862
1.0,7,1956.361084
1.0,7,1956.437816
1.0,7,1956.541046
1.0,7,1956.653654
1.0,7,1956.765214
1.0,7,1956.878492
1.0,7,1956.993052
1.0,7,1957.104818
1.0,7,1957.20802
1.0,7,1957.309245
1.0,7,1957.409748
0.0,7,1957.510707
1.0,7,1957.61199
1.0,7,1957.720463
1.0,7,1957.841264
1.0,7,1957.967149
1.0,7,1958.095222
1.0,7,1962.324208
1.0,7,1962.450132
1.0,7,1962.552787
1.0,7,1962.635103
1.0,7,1962.72073
1.0,7,1962.882592
1.0,7,1962.966921
1.0,7,1963.050221
1.0,7,1963.198927
1.0,7,1963.262877
1.0,7,1963.332999
1.0,7,1964.103976
1.0,7,1964.169994
1.0,7,1964.230456
1.0,7,1964.290228
1.0,7,1964.354748
1.0,7,1964.430955
1.0,7,1964.504292
1.0,7,1975.374345
1.0,7,1975.443252
1.0,7,1975.510397
1.0,7,1975.586886
1.0,7,1975.665223
1.0,7,1975.751556
1.0,7,1976.33112
1.0,7,1976.377262
1.0,7,1976.419906
1.0,7,1976.460475
1.0,7,1976.511983
1.0,7,1976.572614
1.0,7,1976.632746
1.0,7,1976.694336
1.0,7,1976.751936
1.0,7,1976.811467
1.0,7,1976.872106
1.0,7,1976.935652
1.0,7,1988.429024
1.0,7,1988.803549
1.0,7,1988.870502
1.0,7,1988.934733
1.0,7,1989.031468
1.0,7,1989.103684
1.0,7,1989.172706
1.0,7,1989.238243
1.0,7,1989.307976
1.0,7,1989.376761
1.0,7,1989.444473
1.0,7,1989.515273
1.0,7,1989.583124
1.0,7,1989.65831
1.0,7,1989.735283
1.0,7,1989.832668
1.0,7,1989.910916
1.0,7,1989.995012
1.0,7,1990.080481
0.0,7,2001.407086
1.0,7,2001.478111
1.0,7,2001.554378
1.0,7,2001.628592
1.0,7,2001.705413
1.0,7,2001.780432
1.0,7,2001.857874
1.0,7,2001.934254
1.0,7,2002.013733
1.0,7,2002.096894
1.0,7,2002.180466
1.0,7,2002.26341
1.0,7,2002.346785
1.0,7,2002.429986
1.0,7,2002.537873
1.0,7,2002.62261
1.0,7,2002.705033
0.0,2,2002.728847
1.0,7,2002.81525
1.0,7,2009.346401
1.0,7,2009.406608
1.0,7,2009.463634
1.0,7,2009.518851
1.0,7,2009.581496
1.0,7,2009.638463
1.0,7,2009.700068
1.0,7,2009.759727
1.0,7,2009.819421
1.0,7,2009.87853
1.0,7,2009.935664
1.0,7,2009.996145
1.0,7,2010.058623
1.0,7,2010.119184
0.0,4,2010.1539
1.0,7,2010.214321
1.0,7,2010.276144
1.0,7,2010.349875
1.0,7,2018.006752
1.0,7,2018.069863
1.0,7,2018.135186
1.0,7,2018.197075
1.0,7,2018.258639
1.0,7,2018.325461
1.0,7,2018.395259
1.0,7,2018.461192
1.0,7,2018.531586
1.0,7,2018.601357
1.0,7,2018.677311
1.0,7,2018.767087
1.0,7,2018.850121
1.0,7,2018.934704
1.0,7,2019.020001
1.0,7,2019.112489
1.0,7,2019.207427
1.0,7,2019.302504
1.0,7,2019.394922
1.0,7,2023.301878
1.0,7,2023.430203
1.0,7,2023.568755
1.0,7,2023.710618
1.0,7,2023.853438
1.0,7,2023.999562
1.0,7,2024.145947
1.0,7,2024.290049
1.0,7,2024.432653
1.0,7,2024.568604
1.0,7,2024.691588
1.0,7,2024.812758
1.0,7,2024.941182
1.0,7,2025.0709
1.0,7,2025.216132
1.0,7,2025.354087
1.0,7,2025.494876
1.0,7,2025.624159
1.0,7,2029.573003
1.0,7,2029.70544
1.0,7,2029.82696
1.0,7,2029.956079
1.0,7,2030.085863
1.0,7,2030.218686
1.0,7,2030.34843
1.0,7,2030.485819
1.0,7,2030.618902
1.0,7,2030.749044
1.0,7,2030.876014
1.0,7,2031.008586
1.0,7,2031.145325
1.0,7,2031.287317
1.0,7,2031.42307
1.0,7,2031.559063
1.0,7,2031.696684
0.0,4,2031.780755
1.0,7,2031.914128
1.0,7,2035.956318
1.0,7,2036.10921
1.0,7,2036.242298
1.0,7,2036.38989
1.0,7,2036.535487
1.0,7,2036.66165
1.0,7,2036.780552
1.0,7,2036.909115
1.0,7,2037.031055
1.0,7,2037.156586
1.0,7,2037.282689
1.0,7,2037.416897
1.0,7,2037.566335
0.0,6,2037.681266
1.0,7,2037.820403
1.0,7,2037.95894
1.0,7,2038.095664
1.0,7,2038.211003
1.0,7,2041.983164
1.0,7,2042.112545
1.0,7,2042.243522
1.0,7,2042.367415
1.0,7,2042.501826
1.0,7,2042.636521
1.0,7,2042.77875
1.0,7,2042.924446
0.0,2,2042.96228
1.0,7,2043.085254
1.0,7,2043.216873
1.0,7,2043.343031
1.0,7,2043.466542
1.0,7,2043.594131
1.0,7,2043.72344
1.0,7,2043.861384
1.0,7,2043.995195
1.0,7,2044.122551
1.0,7,2044.25063
1.0,7,2048.128037
1.0,7,2048.263058
1.0,7,2048.395434
1.0,7,2048.533064
1.0,7,2048.668152
1.0,7,2048.809957
1.0,7,2048.953881
1.0,7,2049.088436
1.0,7,2049.211679
1.0,7,2049.342748
1.0,7,2049.475842
1.0,7,2049.604025
1.0,7,2049.728857
1.0,7,2049.855874
1.0,7,2049.986471
1.0,7,2050.124034
1.0,7,2050.257086
1.0,7,2050.390706
0.0,7,2055.078377
1.0,7,2055.186549
1.0,7,2055.288414
1.0,7,2055.394765
1.0,7,2055.504487
1.0,7,2055.616373
1.0,7,2055.727296
1.0,7,2055.854483
1.0,7,2055.988343
1.0,7,2056.112191
1.0,7,2056.243447
1.0,7,2056.374793
1.0,7,2056.482732
1.0,7,2056.583996
1.0,7,2056.685234
1.0,7,2056.784845
1.0,7,2056.888932
1.0,7,2057.002434
1.0,7,2057.128326
1.0,7,2061.130227
1.0,7,2061.266892
1.0,7,2061.404517
1.0,7,2061.53558
1.0,7,2061.658836
1.0,7,2061.786844
1.0,7,2061.912783
1.0,7,2062.045215
1.0,7,2062.180796
1.0,7,2062.314664
1.0,7,2062.44967
0.0,3,2062.593809
1.0,7,2062.730523
1.0,7,2062.866003
1.0,7,2062.990768
1.0,7,2063.113425
1.0,7,2063.235865
1.0,7,2063.363493
1.0,7,2063.488489
1.0,7,2067.426357
1.0,7,2067.551538
1.0,7,2067.680666
1.0,7,2067.803243
1.0,7,2067.944644
1.0,7,2068.066294
1.0,7,2068.189787
1.0,7,2068.310626
1.0,7,2068.445782
1.0,7,2068.581136
1.0,7,2068.717158
1.0,7,2068.847543
1.0,7,2068.982196
1.0,7,2069.107398
1.0,7,2069.236379
1.0,7,2069.364725
1.0,7,2069.479162
1.0,7,2069.601625
1.0,7,2073.478007
1.0,7,2073.62798
1.0,7,2073.757064
1.0,7,2073.892569
1.0,7,2074.022834
1.0,7,2074.165303
1.0,7,2074.304149
1.0,7,2074.438036
1.0,7,2074.575741
0.0,6,2074.697363
