#{"t_start": 1667421447.0810442, "env_id": "CTgraph-v0"}
r,l,t
0.0,4,659.242484
0.0,2,659.277282
0.0,2,659.310778
0.0,2,659.344475
0.0,2,659.378508
0.0,4,659.448932
0.0,4,659.521156
0.0,2,659.559489
0.0,2,659.597175
0.0,2,659.635311
0.0,2,659.674994
0.0,7,659.802121
0.0,3,659.855994
0.0,2,659.89346
0.0,2,659.928134
0.0,2,659.962687
0.0,2,660.001238
0.0,3,660.055295
0.0,2,660.090685
0.0,2,660.121407
0.0,2,660.155546
0.0,2,660.189804
0.0,2,660.22491
0.0,4,660.296474
0.0,2,660.328252
0.0,2,660.360746
0.0,2,660.392742
0.0,4,660.458445
0.0,2,660.49256
0.0,2,660.52839
0.0,2,660.561119
0.0,2,660.593968
0.0,2,660.630287
0.0,2,660.666229
0.0,4,660.734558
0.0,2,660.768002
0.0,2,660.799078
0.0,2,660.832111
0.0,2,660.867085
0.0,2,660.905833
0.0,3,660.958512
0.0,2,660.990683
0.0,2,661.023184
0.0,2,661.05762
0.0,2,661.091143
0.0,2,661.126591
0.0,2,661.159669
0.0,2,661.195964
0.0,2,661.23283
0.0,2,661.269828
0.0,2,661.306911
0.0,4,661.374238
0.0,2,661.494149
0.0,2,664.926406
0.0,2,664.960396
0.0,2,664.99433
0.0,2,665.027413
0.0,2,665.061457
0.0,2,665.09657
0.0,2,665.126595
0.0,4,665.19406
0.0,2,665.225208
0.0,2,665.260404
0.0,4,665.327311
0.0,2,665.358529
0.0,2,665.390173
0.0,2,665.422232
0.0,2,665.457324
0.0,5,665.544061
0.0,2,665.575777
0.0,2,665.614776
0.0,2,665.650798
0.0,2,665.686972
0.0,2,665.721673
0.0,2,665.756662
0.0,2,665.788978
0.0,2,665.82634
0.0,2,665.865775
0.0,2,665.89593
0.0,2,665.925241
0.0,2,665.955256
0.0,2,665.986817
0.0,4,666.057878
0.0,2,666.090844
0.0,2,666.120317
0.0,2,666.153164
0.0,2,666.18506
0.0,4,666.252623
0.0,2,666.283752
0.0,2,666.31282
0.0,2,666.346973
0.0,2,666.434175
0.0,2,666.467509
0.0,2,666.501468
0.0,2,666.535661
0.0,6,666.640969
0.0,7,666.754493
0.0,2,666.789529
0.0,2,666.822266
0.0,2,666.854573
0.0,2,666.888121
0.0,2,666.923593
0.0,2,666.95863
0.0,2,666.993468
0.0,2,667.027303
0.0,4,667.096459
0.0,2,670.521275
0.0,3,670.57417
0.0,2,670.611785
0.0,2,670.645584
0.0,2,670.683213
0.0,3,670.738976
0.0,3,670.792239
0.0,4,670.862945
0.0,2,670.898464
0.0,2,670.937771
0.0,2,670.973168
0.0,2,671.013558
0.0,2,671.049096
0.0,2,671.08826
0.0,2,671.123412
0.0,2,671.158967
0.0,3,671.208873
0.0,2,671.244905
0.0,2,671.280216
0.0,7,671.411208
0.0,2,671.448762
0.0,2,671.484783
0.0,2,671.519999
0.0,2,671.557775
0.0,2,671.596346
0.0,2,671.632843
0.0,2,671.669703
0.0,3,671.724562
0.0,3,671.782973
0.0,2,671.816562
0.0,2,671.851457
0.0,4,671.917736
0.0,2,671.952863
0.0,2,671.986541
0.0,2,672.022283
0.0,4,672.097236
0.0,2,672.131331
0.0,3,672.182267
0.0,2,672.215278
0.0,6,672.318495
0.0,2,672.351245
0.0,2,672.385411
0.0,2,672.42293
0.0,4,672.494726
0.0,2,672.531153
0.0,3,672.585537
0.0,2,672.622837
0.0,2,672.660941
0.0,3,672.714985
0.0,2,672.749668
0.0,7,676.374699
0.0,7,676.493429
1.0,7,676.607711
0.0,6,676.713273
0.0,2,676.752082
1.0,7,676.880042
1.0,7,676.99202
0.0,2,677.027225
0.0,6,677.122308
1.0,7,677.242525
0.0,3,677.289792
0.0,4,677.36071
1.0,7,677.479429
0.0,7,677.593027
0.0,6,677.694421
1.0,7,677.813003
0.0,4,677.879396
1.0,7,677.998855
1.0,7,678.109771
0.0,4,678.174077
0.0,7,678.286597
0.0,4,678.358812
0.0,7,681.832987
1.0,7,681.947106
0.0,7,682.072437
0.0,3,682.124298
0.0,6,682.233051
1.0,7,682.357514
0.0,4,682.432341
0.0,7,682.553358
0.0,5,682.646236
0.0,4,682.711909
0.0,2,682.747161
0.0,7,682.865309
0.0,2,682.897729
1.0,7,683.016076
0.0,6,683.118598
0.0,4,683.181999
1.0,7,683.303089
0.0,6,683.408134
1.0,7,683.516231
0.0,6,683.671439
0.0,2,683.705567
0.0,5,683.793368
1.0,7,683.920043
0.0,4,683.993011
0.0,4,684.064603
0.0,7,687.599057
1.0,7,687.73088
0.0,7,687.851409
1.0,7,687.973647
0.0,5,688.064542
0.0,2,688.099856
0.0,7,688.224446
0.0,7,688.355515
0.0,5,688.445433
0.0,6,688.542617
0.0,4,688.614163
0.0,6,688.711452
1.0,7,688.831112
0.0,4,688.90184
1.0,7,689.022325
1.0,7,689.134138
0.0,3,689.181588
0.0,6,689.275123
0.0,2,689.308506
0.0,7,689.426756
0.0,5,689.506355
1.0,7,689.6293
0.0,4,693.106222
0.0,7,693.227092
0.0,7,693.344895
0.0,5,693.435126
0.0,4,693.499976
1.0,7,693.620731
1.0,7,693.737504
0.0,4,693.809688
1.0,7,693.941795
0.0,6,694.051399
0.0,4,694.118473
0.0,6,694.208697
0.0,4,694.27682
0.0,7,694.38917
0.0,4,694.451614
0.0,7,694.576784
0.0,7,694.692324
0.0,7,694.817207
0.0,4,694.885618
0.0,7,695.001178
0.0,7,695.113395
0.0,7,695.230196
1.0,7,698.7961
0.0,4,698.867747
0.0,7,698.990461
0.0,7,699.114928
0.0,6,699.220835
0.0,4,699.2924
0.0,6,699.393538
0.0,4,699.469847
1.0,7,699.599957
0.0,4,699.673659
0.0,5,699.766016
0.0,4,699.837559
0.0,4,699.911473
1.0,7,700.024864
0.0,6,700.121053
0.0,6,700.230755
1.0,7,700.3579
0.0,7,700.480294
0.0,4,700.552332
0.0,4,700.619189
0.0,7,700.733414
0.0,5,700.817046
1.0,7,700.932714
0.0,6,704.647968
0.0,3,704.705335
0.0,7,704.827045
0.0,4,704.897769
1.0,7,705.024204
0.0,7,705.149738
0.0,6,705.256007
0.0,7,705.380323
0.0,6,705.491472
0.0,4,705.566926
0.0,4,705.636137
1.0,7,705.749944
1.0,7,705.878717
0.0,4,705.947998
0.0,4,706.023922
0.0,4,706.092062
0.0,4,706.157817
0.0,4,706.222905
0.0,4,706.28859
1.0,7,706.409876
0.0,4,706.529139
0.0,4,706.596403
0.0,4,706.659763
0.0,4,706.729798
0.0,4,706.799526
1.0,7,710.324583
0.0,4,710.395667
0.0,4,710.469332
0.0,5,710.556471
1.0,7,710.669186
0.0,7,710.788732
0.0,4,710.854536
0.0,6,710.964822
0.0,5,711.046798
0.0,6,711.147986
0.0,4,711.216529
1.0,7,711.335625
1.0,7,711.520731
0.0,4,711.576904
1.0,7,711.692208
0.0,4,711.759336
0.0,7,711.860901
0.0,4,711.923026
0.0,4,711.993722
1.0,7,712.115994
1.0,7,712.241858
0.0,2,712.276907
0.0,4,712.346698
0.0,4,712.411966
1.0,7,715.939601
0.0,4,716.008401
1.0,7,716.136715
0.0,6,716.242701
0.0,6,716.346687
0.0,5,716.434398
0.0,3,716.489043
0.0,4,716.562395
1.0,7,716.684605
0.0,7,716.818327
0.0,4,716.889738
0.0,4,716.958841
0.0,4,717.03078
0.0,6,717.130988
0.0,6,717.238168
0.0,6,717.336748
0.0,7,717.454332
1.0,7,717.574324
1.0,7,717.691671
1.0,7,717.808809
0.0,4,717.879628
0.0,6,717.983645
1.0,7,718.099129
0.0,4,721.631325
0.0,7,721.745626
0.0,4,721.820028
0.0,6,721.927703
0.0,7,722.049373
0.0,4,722.115706
0.0,4,722.190882
