#{"t_start": 1667421447.0808704, "env_id": "CTgraph-v0"}
r,l,t
0.0,2,381.69932
0.0,2,381.729413
0.0,2,381.760577
0.0,2,381.79162
0.0,2,381.819607
0.0,6,381.910098
0.0,2,381.941361
0.0,2,381.970491
0.0,2,382.00169
0.0,2,382.033193
0.0,2,382.066616
0.0,4,382.128657
0.0,2,382.15981
0.0,2,382.194036
0.0,2,382.226319
0.0,2,382.255133
0.0,6,382.353559
0.0,2,382.386288
0.0,2,382.419801
0.0,2,382.452705
0.0,2,382.485974
0.0,2,382.519136
0.0,2,382.552577
0.0,2,382.585691
0.0,2,382.618855
0.0,3,382.666135
0.0,2,382.700155
0.0,2,382.734206
0.0,2,382.769968
0.0,2,382.804698
0.0,2,382.839517
0.0,3,382.888525
0.0,2,382.923236
0.0,2,382.957862
0.0,2,382.99348
0.0,2,383.028636
0.0,2,383.063762
0.0,6,383.166522
0.0,2,383.198701
0.0,2,383.231787
0.0,2,383.267345
0.0,4,383.339496
0.0,4,383.41544
0.0,4,383.490905
0.0,2,383.526125
0.0,2,383.561446
0.0,2,383.599739
0.0,2,383.635847
0.0,2,383.672913
0.0,6,383.786264
0.0,4,387.588778
0.0,2,387.615533
0.0,4,387.672077
0.0,2,387.700916
0.0,2,387.727586
0.0,2,387.75448
0.0,2,387.782323
0.0,2,387.811387
0.0,4,387.871136
0.0,2,387.901521
0.0,2,387.933768
0.0,2,387.965803
0.0,2,387.996651
0.0,2,388.029899
0.0,2,388.063392
0.0,4,388.130193
0.0,2,388.165084
0.0,2,388.199675
0.0,2,388.231096
0.0,2,388.265927
0.0,4,388.33212
0.0,2,388.368028
0.0,6,388.477395
0.0,2,388.505752
0.0,2,388.538968
0.0,4,388.605988
0.0,2,388.641329
0.0,4,388.705488
0.0,2,388.738709
0.0,2,388.773349
0.0,2,388.803684
0.0,2,388.837003
0.0,2,388.872118
0.0,2,388.90963
0.0,2,388.94324
0.0,2,388.976542
0.0,2,389.010183
0.0,2,389.043808
0.0,2,389.078575
0.0,6,389.189371
0.0,2,389.223781
0.0,2,389.258818
0.0,2,389.293714
0.0,2,389.329209
0.0,2,389.361013
0.0,2,389.393968
0.0,2,389.427712
0.0,2,389.464575
0.0,6,389.566728
0.0,4,389.633121
0.0,2,389.669878
0.0,3,393.077278
0.0,2,393.111261
0.0,2,393.141057
0.0,4,393.206128
0.0,2,393.241851
0.0,2,393.27311
0.0,2,393.30354
0.0,4,393.365559
0.0,2,393.453644
0.0,2,393.483463
0.0,2,393.515587
0.0,2,393.546289
0.0,2,393.578701
0.0,3,393.626324
0.0,2,393.660053
0.0,7,393.77947
0.0,4,393.848108
0.0,2,393.882727
0.0,2,393.914363
0.0,2,393.947597
0.0,4,394.019478
0.0,4,394.089932
0.0,2,394.122872
0.0,4,394.193875
0.0,2,394.229106
0.0,2,394.265859
0.0,4,394.329586
0.0,6,394.431697
0.0,4,394.498681
0.0,2,394.532515
0.0,2,394.567258
0.0,2,394.602457
0.0,2,394.635617
0.0,2,394.672683
0.0,4,394.734928
0.0,4,394.805901
0.0,2,394.839096
0.0,6,394.94453
0.0,4,395.014321
0.0,2,395.050816
0.0,2,395.082852
0.0,2,395.118272
0.0,2,395.156595
0.0,2,395.192903
0.0,4,398.71397
1.0,7,398.832751
1.0,7,398.951419
1.0,7,399.069678
1.0,7,399.183794
1.0,7,399.304564
1.0,7,399.424622
1.0,7,399.540152
1.0,7,399.661311
1.0,7,399.784473
1.0,7,399.900192
1.0,7,400.019263
1.0,7,400.137023
1.0,7,400.244652
1.0,7,400.364509
1.0,7,400.488938
1.0,7,400.613583
1.0,7,400.734706
1.0,7,400.852171
1.0,7,404.376335
0.0,3,404.425881
1.0,7,404.536915
0.0,3,404.586359
0.0,5,404.671861
0.0,7,404.787693
0.0,3,404.8382
1.0,7,404.958375
1.0,7,405.0818
1.0,7,405.194607
1.0,7,405.305363
1.0,7,405.421043
0.0,3,405.467618
1.0,7,405.574803
1.0,7,405.69263
1.0,7,405.803038
0.0,4,405.873729
0.0,5,405.96192
0.0,3,406.015527
1.0,7,406.141008
1.0,7,406.265291
1.0,7,406.382334
0.0,6,409.954181
1.0,7,410.071019
0.0,7,410.184813
0.0,3,410.233335
1.0,7,410.353182
1.0,7,410.47049
1.0,7,410.592765
1.0,7,410.71589
0.0,3,410.765868
0.0,7,410.886143
0.0,4,410.954452
1.0,7,411.07294
1.0,7,411.18819
0.0,3,411.237166
1.0,7,411.348949
1.0,7,411.464084
1.0,7,411.586656
1.0,7,411.715797
1.0,7,411.832573
1.0,7,411.947354
1.0,7,415.752475
1.0,7,415.853317
1.0,7,415.956866
0.0,5,416.028531
1.0,7,416.138107
1.0,7,416.253058
1.0,7,416.369034
1.0,7,416.493414
0.0,3,416.544266
1.0,7,416.663409
1.0,7,416.775555
0.0,3,416.825268
1.0,7,416.941624
1.0,7,417.065103
1.0,7,417.187704
1.0,7,417.308308
0.0,5,417.392435
1.0,7,417.515762
1.0,7,417.644413
1.0,7,417.763982
0.0,5,417.846095
1.0,7,421.284979
1.0,7,421.403417
1.0,7,421.521386
1.0,7,421.634367
1.0,7,421.754478
1.0,7,421.87121
0.0,5,421.95119
1.0,7,422.073386
1.0,7,422.192362
1.0,7,422.307347
1.0,7,422.422871
1.0,7,422.545884
1.0,7,422.669958
1.0,7,422.795121
0.0,6,422.89915
1.0,7,423.018045
1.0,7,423.139874
1.0,7,423.260693
1.0,7,426.652263
1.0,7,426.778087
1.0,7,426.896854
1.0,7,427.019661
1.0,7,427.131427
1.0,7,427.244741
1.0,7,427.360078
1.0,7,427.474104
1.0,7,427.591237
1.0,7,427.708766
1.0,7,427.821534
1.0,7,427.937821
1.0,7,428.0575
1.0,7,428.177893
1.0,7,428.298648
0.0,5,428.386819
1.0,7,428.525635
1.0,7,428.649888
1.0,7,428.766721
1.0,7,432.191937
1.0,7,432.308668
1.0,7,432.424638
1.0,7,432.543833
1.0,7,432.664491
1.0,7,432.770363
1.0,7,432.892059
1.0,7,433.010004
1.0,7,433.132307
1.0,7,433.25697
1.0,7,433.36701
1.0,7,433.475655
1.0,7,433.599156
1.0,7,433.725405
1.0,7,433.844676
1.0,7,433.965974
1.0,7,434.087952
1.0,7,434.206323
1.0,7,437.66428
1.0,7,437.785278
1.0,7,437.915745
1.0,7,438.030656
1.0,7,438.147696
0.0,4,438.215977
1.0,7,438.329133
1.0,7,438.449456
1.0,7,438.581237
1.0,7,438.698847
1.0,7,438.815514
1.0,7,438.929268
1.0,7,439.04831
1.0,7,439.1721
1.0,7,439.299257
1.0,7,439.416471
1.0,7,439.542789
1.0,7,439.67009
1.0,7,439.79105
1.0,7,443.220778
1.0,7,443.349182
1.0,7,443.477451
0.0,3,443.532674
1.0,7,443.652229
1.0,7,443.768568
1.0,7,443.889482
1.0,7,444.014009
1.0,7,444.128892
1.0,7,444.252963
1.0,7,444.378813
0.0,4,444.446073
1.0,7,444.558311
0.0,6,444.662788
1.0,7,444.791327
1.0,7,444.915565
1.0,7,445.0383
0.0,3,445.092853
1.0,7,445.221041
1.0,7,445.349492
1.0,7,448.745975
1.0,7,448.870326
1.0,7,448.982954
1.0,7,449.107166
1.0,7,449.214424
1.0,7,449.333447
1.0,7,449.452072
1.0,7,449.574333
1.0,7,449.6923
1.0,7,449.811945
1.0,7,449.932428
1.0,7,450.045457
1.0,7,450.158346
0.0,3,450.211331
1.0,7,450.32937
1.0,7,450.5059
1.0,7,450.630014
1.0,7,450.755343
1.0,7,450.882559
1.0,7,454.405887
1.0,7,454.526902
1.0,7,454.649097
1.0,7,454.766433
1.0,7,454.878445
1.0,7,455.000834
1.0,7,455.118062
1.0,7,455.241303
1.0,7,455.369956
1.0,7,455.493935
