#{"t_start": 1667421450.5563512, "env_id": "CTgraph-v0"}
r,l,t
0.0,2,3821.98656
0.0,2,3822.026044
0.0,4,3822.110488
0.0,2,3822.148891
0.0,2,3822.193712
0.0,3,3822.254879
0.0,6,3822.385764
0.0,4,3822.465966
0.0,2,3822.506278
0.0,2,3822.545745
0.0,2,3822.589241
0.0,2,3822.631109
0.0,2,3822.674563
0.0,2,3822.716896
0.0,2,3822.756433
0.0,2,3822.796513
0.0,2,3822.836154
0.0,4,3822.919245
0.0,2,3822.963081
0.0,2,3822.999133
0.0,2,3823.041721
0.0,2,3823.081129
0.0,4,3823.154751
0.0,4,3823.232974
0.0,2,3823.269565
0.0,2,3823.307231
0.0,2,3823.341817
0.0,2,3823.375659
0.0,2,3823.419638
0.0,2,3823.457621
0.0,2,3823.495601
0.0,2,3823.65187
0.0,2,3823.695171
0.0,2,3823.73942
0.0,7,3823.892085
0.0,2,3823.938852
0.0,2,3823.983717
0.0,4,3824.062999
0.0,4,3824.145982
0.0,2,3824.185777
0.0,2,3824.225777
0.0,4,3824.305938
0.0,2,3824.344626
0.0,2,3824.384634
0.0,2,3824.424124
0.0,2,3824.46337
0.0,2,3824.501828
0.0,2,3824.538321
0.0,2,3824.574037
0.0,4,3824.662037
0.0,2,3829.214575
0.0,4,3829.297962
0.0,4,3829.377613
0.0,2,3829.417141
0.0,2,3829.457107
0.0,2,3829.496926
0.0,2,3829.535959
0.0,2,3829.572146
0.0,2,3829.607621
0.0,2,3829.643238
0.0,4,3829.716427
0.0,2,3829.75455
0.0,3,3829.813509
0.0,2,3829.85091
0.0,2,3829.88886
0.0,2,3829.928379
0.0,2,3829.968461
0.0,2,3830.007989
0.0,2,3830.047692
0.0,2,3830.083645
0.0,2,3830.119586
0.0,2,3830.15554
0.0,2,3830.191687
0.0,2,3830.22894
0.0,2,3830.267598
0.0,2,3830.304681
0.0,4,3830.376401
0.0,2,3830.412781
0.0,2,3830.449248
0.0,2,3830.486595
0.0,2,3830.523378
0.0,2,3830.559639
0.0,2,3830.592929
0.0,2,3830.626562
0.0,2,3830.666256
0.0,2,3830.706812
0.0,2,3830.747438
0.0,2,3830.788101
0.0,2,3830.830126
0.0,2,3830.872172
0.0,2,3830.913857
0.0,2,3830.956104
0.0,2,3830.997864
0.0,2,3831.03931
0.0,2,3831.080837
0.0,2,3831.119781
0.0,2,3831.15776
0.0,2,3831.196451
0.0,3,3831.256592
0.0,2,3831.296185
0.0,2,3831.335601
0.0,2,3831.375742
0.0,2,3831.415508
0.0,2,3831.455499
0.0,2,3831.495083
0.0,2,3831.534705
0.0,4,3831.613353
0.0,2,3831.649184
0.0,2,3835.970744
0.0,2,3836.008742
0.0,4,3836.084047
0.0,2,3836.122189
0.0,4,3836.197376
0.0,2,3836.234716
0.0,2,3836.272166
0.0,2,3836.308958
0.0,2,3836.345718
0.0,2,3836.386733
0.0,2,3836.422199
0.0,2,3836.457736
0.0,2,3836.494737
0.0,2,3836.538853
0.0,3,3836.599102
0.0,2,3836.639302
0.0,2,3836.675723
0.0,2,3836.712839
0.0,2,3836.750724
0.0,4,3836.839067
0.0,2,3836.882466
0.0,2,3836.919498
0.0,2,3836.957056
0.0,2,3836.994491
0.0,3,3837.052975
0.0,2,3837.096171
0.0,2,3837.133984
0.0,2,3837.171386
0.0,2,3837.204554
0.0,2,3837.244806
0.0,2,3837.28293
0.0,2,3837.318408
0.0,2,3837.353921
0.0,2,3837.38686
0.0,4,3837.457975
0.0,2,3837.49758
0.0,2,3837.533582
0.0,2,3837.572058
0.0,2,3837.608227
0.0,2,3837.648853
0.0,2,3837.691105
0.0,2,3837.73091
0.0,2,3837.769317
0.0,2,3837.806137
0.0,2,3837.844085
0.0,2,3837.882752
0.0,2,3837.928657
0.0,2,3837.97662
0.0,2,3838.023952
0.0,2,3838.065419
0.0,2,3838.107543
0.0,2,3838.148972
0.0,2,3838.190532
0.0,2,3838.232202
0.0,2,3838.27353
0.0,4,3838.348661
0.0,2,3838.386756
0.0,2,3838.426334
1.0,7,3843.298669
1.0,7,3843.447173
0.0,4,3843.527385
1.0,7,3843.934508
1.0,7,3844.074526
1.0,7,3844.202403
1.0,7,3844.340621
1.0,7,3844.4599
1.0,7,3844.587455
1.0,7,3844.723282
1.0,7,3844.84784
1.0,7,3844.98473
1.0,7,3845.119828
1.0,7,3845.258957
1.0,7,3845.389283
1.0,7,3845.525732
1.0,7,3845.664884
1.0,7,3845.793085
1.0,7,3850.483528
1.0,7,3850.624907
1.0,7,3850.768238
1.0,7,3850.921452
1.0,7,3851.064283
1.0,7,3851.195362
1.0,7,3851.337706
