#{"t_start": 1667421450.0019336, "env_id": "CTgraph-v0"}
r,l,t
0.0,3,939.403915
0.0,2,939.440336
0.0,2,939.477846
0.0,6,939.596737
0.0,2,939.632669
0.0,2,939.670159
0.0,2,939.707447
0.0,2,939.739084
0.0,2,939.776089
0.0,2,939.816558
0.0,4,939.891771
0.0,2,939.930459
0.0,4,939.998214
0.0,2,940.039178
0.0,2,940.07501
0.0,2,940.11043
0.0,2,940.164683
0.0,2,940.197324
0.0,2,940.251091
0.0,2,940.316997
0.0,2,940.349249
0.0,2,940.384876
0.0,2,940.420516
0.0,2,940.454805
0.0,2,940.489683
0.0,2,940.522004
0.0,2,940.554425
0.0,2,940.587378
0.0,2,940.620972
0.0,2,940.657143
0.0,2,940.693131
0.0,2,940.725747
0.0,2,940.757857
0.0,2,940.788753
0.0,2,940.825392
0.0,2,940.858514
0.0,2,940.899565
0.0,2,940.933176
0.0,2,940.966106
0.0,2,940.999483
0.0,4,941.063985
0.0,3,941.107057
0.0,2,941.135374
0.0,2,941.16511
0.0,2,941.194223
0.0,2,941.224183
0.0,2,941.254666
0.0,4,941.318715
0.0,4,941.384562
0.0,2,941.415283
0.0,2,941.449999
0.0,2,941.4833
0.0,2,941.512069
0.0,3,941.562082
0.0,2,941.598788
0.0,2,945.214578
0.0,2,945.258361
0.0,2,945.301549
0.0,2,945.343499
0.0,4,945.416696
0.0,2,945.457496
0.0,4,945.528358
0.0,2,945.563817
0.0,4,945.635936
0.0,6,945.753265
0.0,2,945.790383
0.0,4,945.866036
0.0,2,945.908724
0.0,2,945.945564
0.0,2,945.984413
0.0,2,946.02103
0.0,2,946.057642
0.0,2,946.092091
0.0,2,946.127229
0.0,2,946.161964
0.0,2,946.196827
0.0,2,946.231662
0.0,2,946.265984
0.0,2,946.300519
0.0,2,946.333631
0.0,2,946.367491
0.0,2,946.402247
0.0,2,946.43788
0.0,3,946.488009
0.0,4,946.559193
0.0,2,946.596063
0.0,2,946.633286
0.0,2,946.669732
0.0,3,946.723264
0.0,4,946.797177
0.0,2,946.831174
0.0,2,946.865523
0.0,4,946.929194
0.0,2,946.962797
0.0,6,947.06159
0.0,2,947.094256
0.0,4,947.159191
0.0,2,947.191766
0.0,2,947.226298
0.0,2,947.261213
0.0,2,947.293453
0.0,3,947.340532
0.0,2,947.376451
0.0,4,947.448934
0.0,2,947.4862
0.0,2,951.118013
0.0,4,951.191195
0.0,4,951.269714
0.0,4,951.341816
0.0,2,951.376245
0.0,2,951.413714
0.0,6,951.525898
0.0,2,951.56268
0.0,2,951.599164
0.0,2,951.63582
0.0,2,951.674978
0.0,2,951.712822
0.0,3,951.7646
0.0,2,951.801258
0.0,3,951.85131
0.0,3,951.906362
1.0,7,952.028692
0.0,4,952.092903
0.0,2,952.1251
0.0,2,952.156559
0.0,2,952.187717
0.0,2,952.222275
0.0,2,952.254361
0.0,2,952.286873
0.0,4,952.353674
0.0,2,952.38715
0.0,2,952.423347
0.0,4,952.487968
0.0,6,952.579358
0.0,2,952.609998
0.0,7,952.726997
0.0,2,952.75758
0.0,2,952.789331
0.0,4,952.853973
0.0,2,952.88627
0.0,2,952.923036
0.0,2,952.957372
0.0,4,953.022315
0.0,2,953.055917
0.0,2,953.091233
0.0,2,953.126875
0.0,2,953.162121
0.0,2,953.198345
0.0,2,953.235256
1.0,7,957.029945
1.0,7,957.152356
1.0,7,957.276649
1.0,7,957.408493
0.0,4,957.48552
1.0,7,957.615911
1.0,7,957.743367
1.0,7,957.867128
1.0,7,957.990149
1.0,7,958.104113
1.0,7,958.222803
1.0,7,958.352941
1.0,7,958.472518
1.0,7,958.593957
1.0,7,958.702947
1.0,7,958.825904
1.0,7,958.947649
1.0,7,959.066823
1.0,7,959.194809
1.0,7,962.933407
1.0,7,963.05666
1.0,7,963.178617
1.0,7,963.306855
1.0,7,963.451616
1.0,7,963.578267
1.0,7,963.70714
1.0,7,963.828517
1.0,7,963.947388
1.0,7,964.059869
1.0,7,964.182221
1.0,7,964.298986
1.0,7,964.412419
1.0,7,964.531424
1.0,7,964.651618
1.0,7,964.776539
0.0,6,964.886535
1.0,7,964.999981
1.0,7,968.770704
1.0,7,968.901408
1.0,7,969.026485
1.0,7,969.157036
1.0,7,969.284053
1.0,7,969.404599
1.0,7,969.531759
1.0,7,969.66136
1.0,7,969.777349
1.0,7,969.88835
1.0,7,970.00939
1.0,7,970.132964
1.0,7,970.255068
1.0,7,970.372943
1.0,7,970.488799
1.0,7,970.620113
1.0,7,970.739668
1.0,7,970.86274
1.0,7,974.516893
1.0,7,974.644256
1.0,7,974.767763
1.0,7,974.898436
1.0,7,975.020527
1.0,7,975.157243
1.0,7,975.273755
1.0,7,975.397626
1.0,7,975.532917
1.0,7,975.653559
1.0,7,975.766998
1.0,7,975.887237
1.0,7,976.011165
1.0,7,976.133612
1.0,7,976.249316
1.0,7,976.373363
1.0,7,976.493371
1.0,7,976.62568
1.0,7,976.750506
1.0,7,980.487546
1.0,7,980.60565
1.0,7,980.739537
1.0,7,980.865666
1.0,7,980.994409
1.0,7,981.1232
1.0,7,981.254825
1.0,7,981.375442
1.0,7,981.493706
1.0,7,981.617166
1.0,7,981.744176
1.0,7,981.860794
1.0,7,981.979914
1.0,7,982.096031
1.0,7,982.217832
1.0,7,982.349726
1.0,7,982.467714
1.0,7,982.596721
1.0,7,986.352292
1.0,7,986.484194
1.0,7,986.610413
1.0,7,986.731812
0.0,6,986.845221
1.0,7,986.96739
1.0,7,987.093355
1.0,7,987.213415
1.0,7,987.329681
1.0,7,987.4473
1.0,7,987.571675
1.0,7,987.691794
1.0,7,987.813207
1.0,7,987.926023
1.0,7,988.044343
1.0,7,988.165035
1.0,7,988.287163
1.0,7,988.501512
1.0,7,992.208902
1.0,7,992.331135
1.0,7,992.456918
1.0,7,992.5798
1.0,7,992.69937
1.0,7,992.822581
1.0,7,992.950237
1.0,7,993.07978
1.0,7,993.200278
1.0,7,993.322207
1.0,7,993.456885
1.0,7,993.582764
1.0,7,993.70044
1.0,7,993.818416
1.0,7,993.941273
1.0,7,994.061015
1.0,7,994.185037
1.0,7,994.319691
1.0,7,994.441425
1.0,7,998.136347
1.0,7,998.256079
1.0,7,998.375941
1.0,7,998.506197
1.0,7,998.621952
1.0,7,998.747878
1.0,7,998.87594
1.0,7,999.002386
1.0,7,999.121204
1.0,7,999.236522
0.0,7,999.363206
1.0,7,999.486538
1.0,7,999.607009
1.0,7,999.720896
1.0,7,999.846355
1.0,7,999.978295
1.0,7,1000.109719
1.0,7,1000.236765
1.0,7,1003.948154
1.0,7,1004.070583
1.0,7,1004.203702
1.0,7,1004.329266
1.0,7,1004.455052
1.0,7,1004.587085
1.0,7,1004.705465
0.0,6,1004.808235
1.0,7,1004.929614
1.0,7,1005.056731
1.0,7,1005.183285
1.0,7,1005.30968
1.0,7,1005.428056
1.0,7,1005.53849
1.0,7,1005.653721
1.0,7,1005.783505
1.0,7,1005.901981
1.0,7,1006.020117
1.0,7,1009.724907
1.0,7,1009.842962
1.0,7,1009.968902
0.0,3,1010.027927
1.0,7,1010.143581
1.0,7,1010.26753
1.0,7,1010.397714
1.0,7,1010.512316
1.0,7,1010.624985
1.0,7,1010.752702
1.0,7,1010.862556
1.0,7,1010.982013
1.0,7,1011.099263
1.0,7,1011.225893
1.0,7,1011.346395
1.0,7,1011.461427
1.0,7,1011.587008
1.0,7,1011.713194
1.0,7,1011.840572
1.0,7,1015.551485
1.0,7,1015.684515
1.0,7,1015.815353
1.0,7,1015.937237
1.0,7,1016.05996
1.0,7,1016.186976
1.0,7,1016.308526
1.0,7,1016.425864
1.0,7,1016.536438
1.0,7,1016.653196
1.0,7,1016.783301
1.0,7,1016.912033
1.0,7,1017.03714
0.0,6,1017.138944
1.0,7,1017.263888
1.0,7,1017.374146
1.0,7,1017.499089
1.0,7,1017.625248
1.0,7,1017.749099
1.0,7,1021.414882
1.0,7,1021.549342
1.0,7,1021.676736
1.0,7,1021.807041
1.0,7,1021.93213
1.0,7,1022.065114
1.0,7,1022.186081
1.0,7,1022.312657
1.0,7,1022.432191
0.0,2,1022.466164
1.0,7,1022.592192
1.0,7,1022.720751
1.0,7,1022.845581
1.0,7,1022.966551
1.0,7,1023.090962
1.0,7,1023.208067
1.0,7,1023.31838
1.0,7,1023.482575
1.0,7,1023.59949
1.0,7,1027.277864
1.0,7,1027.39944
1.0,7,1027.532125
1.0,7,1027.660717
1.0,7,1027.784387
1.0,7,1027.901162
1.0,7,1028.029895
1.0,7,1028.152526
1.0,7,1028.275333
1.0,7,1028.432832
1.0,7,1028.55505
1.0,7,1028.688674
1.0,7,1028.814252
1.0,7,1028.943257
1.0,7,1029.054293
1.0,7,1029.164219
1.0,7,1029.275561
1.0,7,1029.387959
1.0,7,1033.0876
1.0,7,1033.219187
1.0,7,1033.347627
1.0,7,1033.480587
1.0,7,1033.602121
1.0,7,1033.72368
1.0,7,1033.852942
1.0,7,1033.985311
1.0,7,1034.103346
1.0,7,1034.22292
1.0,7,1034.347845
1.0,7,1034.475981
1.0,7,1034.599487
1.0,7,1034.72101
1.0,7,1034.84292
1.0,7,1034.968016
1.0,7,1035.086031
1.0,7,1035.207733
1.0,7,1039.100871
1.0,7,1039.223933
1.0,7,1039.344256
1.0,7,1039.473933
1.0,7,1039.596869
1.0,7,1039.716528
1.0,7,1039.838615
1.0,7,1039.959657
1.0,7,1040.077037
1.0,7,1040.207589
1.0,7,1040.33277
1.0,7,1040.457928
1.0,7,1040.572073
1.0,7,1040.686037
1.0,7,1040.801784
1.0,7,1040.916388
1.0,7,1041.029567
1.0,7,1041.151093
1.0,7,1041.269495
1.0,7,1044.98666
1.0,7,1045.106797
1.0,7,1045.230487
1.0,7,1045.351853
1.0,7,1045.480886
1.0,7,1045.598665
1.0,7,1045.722687
1.0,7,1045.84717
1.0,7,1045.968133
1.0,7,1046.092061
1.0,7,1046.220123
1.0,7,1046.343619
1.0,7,1046.461893
1.0,7,1046.579412
1.0,7,1046.694714
1.0,7,1046.802942
1.0,7,1046.916178
1.0,7,1047.036612
1.0,7,1050.814496
1.0,7,1050.938832
1.0,7,1051.060763
1.0,7,1051.171261
1.0,7,1051.287818
1.0,7,1051.402372
1.0,7,1051.514049
1.0,7,1051.630188
1.0,7,1051.757491
1.0,7,1051.883627
1.0,7,1052.00596
1.0,7,1052.122792
1.0,7,1052.243277
1.0,7,1052.359971
1.0,7,1052.477551
1.0,7,1052.60186
1.0,7,1052.721203
1.0,7,1052.840288
1.0,7,1057.095968
1.0,7,1057.198357
0.0,6,1057.284435
1.0,7,1057.387369
1.0,7,1057.493018
1.0,7,1057.656803
1.0,7,1057.767481
1.0,7,1057.874574
1.0,7,1058.056552
1.0,7,1058.168384
1.0,7,1058.281089
1.0,7,1058.395635
1.0,7,1058.499671
1.0,7,1059.022024
1.0,7,1059.118592
1.0,7,1059.215882
1.0,7,1059.3038
1.0,7,1059.394464
1.0,7,1059.483639
1.0,7,1071.080782
1.0,7,1071.12852
1.0,7,1071.181222
1.0,7,1071.235531
1.0,7,1071.289022
1.0,7,1071.346672
1.0,7,1071.403768
1.0,7,1071.459051
1.0,7,1071.513281
1.0,7,1071.575401
1.0,7,1071.637721
1.0,7,1071.692472
1.0,7,1071.750844
1.0,7,1071.810196
1.0,7,1071.869175
1.0,7,1071.929475
1.0,7,1071.9883
1.0,7,1072.045584
1.0,7,1084.488519
1.0,7,1084.541664
1.0,7,1084.59544
1.0,7,1084.646196
1.0,7,1084.694106
1.0,7,1084.756569
1.0,7,1084.821876
1.0,7,1084.894099
1.0,7,1084.963659
1.0,7,1085.031935
1.0,7,1085.104106
1.0,7,1085.175062
1.0,7,1085.247686
1.0,7,1085.317798
1.0,7,1085.388589
1.0,7,1085.460021
0.0,4,1085.505239
1.0,7,1085.576683
1.0,7,1085.65056
1.0,7,1095.832449
1.0,7,1095.874122
1.0,7,1095.915486
1.0,7,1095.957508
1.0,7,1096.000547
1.0,7,1096.043745
1.0,7,1096.085865
1.0,7,1096.123941
1.0,7,1096.163729
1.0,7,1096.201013
1.0,7,1096.242106
1.0,7,1096.280902
1.0,7,1096.320784
1.0,7,1096.365854
1.0,7,1096.40826
1.0,7,1096.452232
1.0,7,1096.498216
1.0,7,1096.545201
1.0,7,1101.439123
1.0,7,1101.482693
1.0,7,1101.526746
1.0,7,1101.567681
1.0,7,1101.628128
1.0,7,1101.681596
1.0,7,1101.732883
1.0,7,1101.784498
1.0,7,1101.837172
1.0,7,1101.896329
1.0,7,1101.95406
1.0,7,1102.011376
1.0,7,1102.072628
1.0,7,1102.130231
1.0,7,1102.188322
1.0,7,1102.245134
1.0,7,1102.303303
1.0,7,1102.366306
1.0,7,1114.935402
1.0,7,1115.011396
1.0,7,1115.085715
1.0,7,1115.162966
1.0,7,1115.23612
1.0,7,1115.309202
1.0,7,1115.391584
1.0,7,1115.476896
1.0,7,1115.558105
1.0,7,1115.643052
1.0,7,1115.725837
1.0,7,1115.820816
1.0,7,1115.919665
1.0,7,1116.01592
1.0,7,1116.108908
1.0,7,1116.206829
1.0,7,1116.305276
1.0,7,1116.398228
1.0,7,1126.002268
1.0,7,1126.883643
1.0,7,1126.94594
1.0,7,1127.005795
1.0,7,1127.075821
1.0,7,1127.142977
1.0,7,1127.212036
1.0,7,1127.279161
1.0,7,1127.348041
1.0,7,1127.416554
1.0,7,1127.482035
1.0,7,1127.55361
1.0,7,1127.624147
1.0,7,1127.695388
1.0,7,1127.763385
1.0,7,1127.830608
1.0,7,1127.90251
1.0,7,1127.975639
1.0,7,1128.052557
1.0,7,1140.341514
1.0,7,1140.393737
1.0,7,1140.457321
1.0,7,1140.526784
1.0,7,1140.595531
1.0,7,1140.666587
1.0,7,1140.737305
1.0,7,1140.815316
1.0,7,1140.881488
1.0,7,1140.948782
1.0,7,1141.015417
1.0,7,1141.089971
1.0,7,1141.15809
1.0,7,1141.225801
1.0,7,1141.296127
1.0,7,1141.361746
1.0,7,1141.433177
1.0,7,1141.502791
1.0,7,1151.559834
1.0,7,1151.629205
1.0,7,1151.705867
1.0,7,1151.785918
1.0,7,1151.872837
1.0,7,1151.957382
1.0,7,1152.046897
1.0,7,1152.129738
1.0,7,1152.215192
1.0,7,1152.29448
1.0,7,1152.369452
1.0,7,1152.423989
1.0,7,1152.510155
1.0,7,1152.56346
1.0,7,1152.624665
1.0,7,1152.676246
1.0,7,1152.728186
1.0,7,1152.791143
1.0,7,1160.720926
1.0,7,1160.779261
1.0,7,1160.847713
1.0,7,1160.919892
1.0,7,1160.993648
1.0,7,1161.072322
1.0,7,1161.139625
1.0,7,1161.204387
1.0,7,1161.267687
1.0,7,1161.339063
1.0,7,1161.410249
1.0,7,1161.477465
1.0,7,1161.551124
1.0,7,1161.61995
1.0,7,1161.685921
1.0,7,1162.696698
1.0,7,1162.783512
1.0,7,1162.848328
1.0,7,1162.917052
1.0,7,1173.725095
1.0,7,1173.778348
1.0,7,1173.836144
1.0,7,1173.897583
1.0,7,1173.959369
1.0,7,1174.245864
1.0,7,1174.56234
1.0,7,1174.629885
1.0,7,1174.696254
1.0,7,1174.760995
1.0,7,1174.835904
1.0,7,1174.914125
1.0,7,1174.988173
1.0,7,1175.06342
1.0,7,1175.139952
1.0,7,1175.216271
1.0,7,1175.290266
1.0,7,1175.363639
1.0,7,1188.722004
1.0,7,1188.805264
1.0,7,1188.888149
1.0,7,1188.971026
1.0,7,1189.053174
1.0,7,1189.136561
1.0,7,1189.218978
1.0,7,1189.301553
1.0,7,1189.384474
1.0,7,1189.466394
1.0,7,1189.538218
1.0,7,1189.609543
1.0,7,1189.689962
1.0,7,1189.800565
1.0,7,1189.905062
1.0,7,1190.009046
1.0,7,1190.116657
1.0,7,1190.220816
1.0,7,1198.773207
1.0,7,1198.816622
1.0,7,1198.857375
1.0,7,1198.893835
1.0,7,1198.930823
1.0,7,1198.967396
1.0,7,1199.004395
1.0,7,1199.043203
1.0,7,1199.079721
1.0,7,1199.116612
1.0,7,1199.150088
1.0,7,1200.420325
1.0,7,1200.486461
1.0,7,1200.558991
1.0,7,1200.62616
1.0,7,1200.69974
1.0,7,1200.768984
1.0,7,1200.833594
1.0,7,1211.355654
1.0,7,1212.028552
1.0,7,1212.088611
1.0,7,1212.147947
1.0,7,1212.208127
1.0,7,1212.283618
1.0,7,1212.359175
1.0,7,1212.435195
1.0,7,1212.50949
1.0,7,1212.58548
1.0,7,1212.656715
1.0,7,1212.733194
1.0,7,1212.804219
1.0,7,1212.88392
1.0,7,1212.963246
1.0,7,1213.03381
1.0,7,1213.106065
1.0,7,1213.195191
1.0,7,1213.304298
1.0,7,1222.13321
1.0,7,1222.18999
1.0,7,1222.252049
1.0,7,1222.317708
1.0,7,1222.384545
1.0,7,1222.457525
1.0,7,1222.530232
1.0,7,1222.603108
1.0,7,1222.674847
1.0,7,1222.743545
1.0,7,1222.809057
1.0,7,1224.291394
1.0,7,1225.485233
1.0,7,1225.550254
1.0,7,1225.61501
1.0,7,1225.676126
1.0,7,1225.73858
1.0,7,1225.802671
1.0,7,1228.129505
1.0,7,1228.2396
1.0,7,1228.37102
1.0,7,1228.504099
1.0,7,1228.630621
1.0,7,1228.753255
1.0,7,1228.876369
1.0,7,1228.997342
1.0,7,1229.120175
1.0,7,1229.214751
1.0,7,1229.311046
1.0,7,1229.394811
1.0,7,1229.469794
1.0,7,1229.54887
1.0,7,1229.625912
1.0,7,1229.705801
1.0,7,1229.789439
1.0,7,1229.875567
1.0,7,1234.526457
1.0,7,1234.638041
1.0,7,1234.751667
1.0,7,1234.867276
1.0,7,1234.974848
1.0,7,1235.080753
1.0,7,1235.189399
1.0,7,1235.290811
1.0,7,1235.767397
1.0,7,1235.861553
1.0,7,1235.959052
1.0,7,1236.058154
1.0,7,1236.161234
1.0,7,1236.272427
1.0,7,1236.386031
1.0,7,1236.508987
1.0,7,1236.634398
1.0,7,1236.743543
1.0,7,1236.851789
1.0,7,1240.351891
1.0,7,1240.480906
1.0,7,1240.615614
1.0,7,1240.743275
1.0,7,1240.886991
1.0,7,1241.025506
0.0,4,1241.102704
1.0,7,1241.227353
1.0,7,1241.351652
1.0,7,1241.486883
1.0,7,1241.614743
1.0,7,1241.737627
1.0,7,1241.857214
1.0,7,1241.9754
1.0,7,1242.08464
1.0,7,1242.193211
1.0,7,1242.309355
1.0,7,1242.427242
1.0,7,1246.007338
1.0,7,1246.146435
1.0,7,1246.285367
1.0,7,1246.425556
1.0,7,1246.550069
1.0,7,1246.684298
1.0,7,1246.819143
1.0,7,1246.95612
1.0,7,1247.086111
1.0,7,1247.218632
0.0,6,1247.332267
1.0,7,1247.456494
1.0,7,1247.576287
1.0,7,1247.702165
1.0,7,1247.828286
1.0,7,1247.941336
1.0,7,1248.05715
1.0,7,1248.181159
1.0,7,1248.296318
1.0,7,1251.795256
1.0,7,1251.92715
1.0,7,1252.056244
1.0,7,1252.177868
1.0,7,1252.293134
1.0,7,1252.423269
1.0,7,1252.553938
1.0,7,1252.689224
1.0,7,1252.817895
1.0,7,1252.949873
1.0,7,1253.086753
1.0,7,1253.206141
1.0,7,1253.329296
1.0,7,1253.448015
1.0,7,1253.565203
1.0,7,1253.679557
1.0,7,1253.791493
1.0,7,1253.916807
1.0,7,1257.641024
1.0,7,1257.769924
1.0,7,1257.901516
1.0,7,1258.031636
1.0,7,1258.165784
1.0,7,1258.296702
1.0,7,1258.425712
1.0,7,1258.559013
1.0,7,1258.690943
1.0,7,1258.826378
1.0,7,1258.95408
1.0,7,1259.086895
1.0,7,1259.212936
1.0,7,1259.333661
1.0,7,1259.445523
1.0,7,1259.559191
1.0,7,1259.670179
1.0,7,1259.784341
1.0,7,1263.400743
1.0,7,1263.527764
1.0,7,1263.652486
1.0,7,1263.779841
1.0,7,1263.910664
1.0,7,1264.043323
1.0,7,1264.181119
1.0,7,1264.314739
1.0,7,1264.445013
1.0,7,1264.565568
1.0,7,1264.690672
1.0,7,1264.822249
1.0,7,1264.949166
1.0,7,1265.072265
1.0,7,1265.199129
1.0,7,1265.322799
1.0,7,1265.447207
1.0,7,1265.678384
1.0,7,1265.794043
1.0,7,1269.405748
1.0,7,1269.538548
1.0,7,1269.674511
1.0,7,1269.801744
1.0,7,1269.934466
1.0,7,1270.07351
1.0,7,1270.198224
1.0,7,1270.328833
1.0,7,1270.459858
1.0,7,1270.598642
1.0,7,1270.726797
1.0,7,1270.855713
1.0,7,1270.989255
1.0,7,1271.108333
1.0,7,1271.22466
1.0,7,1271.346508
1.0,7,1271.47271
1.0,7,1271.587585
1.0,7,1275.239244
1.0,7,1275.357413
1.0,7,1275.4714
1.0,7,1275.668993
1.0,7,1275.799946
1.0,7,1275.933227
1.0,7,1276.058478
1.0,7,1276.191952
1.0,7,1276.321917
1.0,7,1276.452055
1.0,7,1276.574351
1.0,7,1276.700959
1.0,7,1276.83409
1.0,7,1276.965877
1.0,7,1277.085002
1.0,7,1277.200182
1.0,7,1277.324963
1.0,7,1277.452636
1.0,7,1281.085821
1.0,7,1281.212821
1.0,7,1281.339333
1.0,7,1281.467065
1.0,7,1281.6066
1.0,7,1281.739744
1.0,7,1281.866324
1.0,7,1281.997545
1.0,7,1282.130487
1.0,7,1282.269961
1.0,7,1282.407865
1.0,7,1282.539404
1.0,7,1282.664797
1.0,7,1282.78527
1.0,7,1282.899957
1.0,7,1283.016886
1.0,7,1283.132751
1.0,7,1283.248716
1.0,7,1287.658618
1.0,7,1287.780864
1.0,7,1287.894569
1.0,7,1287.99809
1.0,7,1288.110446
1.0,7,1288.208588
1.0,7,1288.302835
1.0,7,1288.39462
1.0,7,1288.482846
1.0,7,1288.571854
1.0,7,1288.657853
1.0,7,1288.747083
1.0,7,1288.834545
1.0,7,1288.917433
1.0,7,1289.000475
1.0,7,1289.074673
1.0,7,1289.144522
1.0,7,1289.217995
1.0,7,1289.294818
1.0,7,1298.199185
1.0,7,1298.255316
1.0,7,1298.305187
1.0,7,1298.357592
1.0,7,1298.414895
1.0,7,1298.471405
1.0,7,1298.527359
1.0,7,1298.584026
1.0,7,1298.641333
1.0,7,1298.697004
1.0,7,1298.757851
1.0,7,1298.817774
1.0,7,1298.881164
1.0,7,1298.947752
1.0,7,1299.028358
1.0,7,1299.109011
1.0,7,1299.186794
1.0,7,1299.271467
1.0,7,1310.410155
1.0,7,1310.463317
1.0,7,1310.515461
1.0,7,1310.570091
1.0,7,1310.628069
1.0,7,1310.683088
1.0,7,1310.740961
1.0,7,1310.801919
1.0,7,1310.86575
1.0,7,1310.919012
0.0,2,1310.93287
1.0,7,1310.987159
1.0,7,1311.04275
1.0,7,1311.096437
1.0,7,1311.155372
1.0,7,1311.207521
1.0,7,1311.261628
1.0,7,1311.318793
1.0,7,1311.370454
1.0,7,1322.230467
0.0,6,1322.277664
1.0,7,1322.332244
1.0,7,1322.38817
1.0,7,1322.448035
1.0,7,1322.502578
1.0,7,1322.556083
0.0,4,1322.585468
1.0,7,1322.637234
1.0,7,1322.709068
1.0,7,1322.764819
1.0,7,1322.818901
1.0,7,1322.877527
0.0,7,1322.935783
1.0,7,1322.993089
1.0,7,1323.049767
1.0,7,1323.10816
1.0,7,1323.164255
1.0,7,1323.232978
1.0,7,1333.426758
1.0,7,1334.054042
1.0,7,1334.104598
1.0,7,1334.156029
1.0,7,1334.215038
1.0,7,1334.271649
1.0,7,1334.335808
1.0,7,1334.402689
1.0,7,1334.470624
1.0,7,1334.534311
1.0,7,1334.599288
1.0,7,1334.659695
1.0,7,1334.728962
1.0,7,1334.792695
1.0,7,1334.858402
1.0,7,1334.919744
1.0,7,1334.982101
1.0,7,1335.043961
0.0,2,2079.546978
0.0,2,2079.587046
0.0,2,2079.629212
0.0,4,2079.707815
0.0,2,2079.740062
0.0,2,2079.775931
0.0,2,2079.811656
0.0,2,2079.854989
0.0,2,2079.959041
0.0,2,2079.999163
0.0,2,2080.035296
0.0,2,2080.0716
0.0,2,2080.10765
0.0,2,2080.1446
0.0,4,2080.213044
0.0,4,2080.282534
0.0,2,2080.313774
0.0,4,2080.372837
0.0,2,2080.404464
0.0,2,2080.43608
0.0,2,2080.467081
0.0,2,2080.49615
0.0,2,2080.529911
0.0,4,2080.599909
0.0,2,2080.635052
0.0,2,2080.669625
0.0,2,2080.704581
0.0,2,2080.734473
0.0,2,2080.7651
0.0,2,2080.803714
0.0,4,2080.875732
0.0,2,2080.912425
0.0,2,2080.947531
0.0,7,2081.070813
0.0,2,2081.106033
0.0,2,2081.142571
0.0,6,2081.246631
0.0,2,2081.280323
0.0,2,2081.314008
0.0,2,2081.349475
0.0,2,2081.394163
0.0,4,2081.470429
0.0,2,2081.507611
0.0,2,2081.544302
0.0,2,2081.580896
0.0,4,2081.654502
0.0,2,2081.690996
0.0,2,2081.728104
0.0,2,2081.763954
0.0,2,2081.800555
0.0,6,2085.916822
0.0,2,2085.957174
0.0,2,2085.993707
0.0,2,2086.030079
0.0,2,2086.063228
0.0,2,2086.096571
0.0,2,2086.130505
0.0,4,2086.209081
0.0,2,2086.244916
0.0,6,2086.356312
0.0,2,2086.399567
0.0,2,2086.443469
0.0,4,2086.518403
0.0,4,2086.596384
0.0,2,2086.631011
0.0,4,2086.701588
0.0,6,2086.799373
0.0,2,2086.830066
0.0,3,2086.880808
0.0,2,2086.91356
0.0,2,2086.945724
0.0,2,2086.979659
0.0,2,2087.014769
0.0,2,2087.053157
0.0,2,2087.087022
0.0,2,2087.120226
0.0,2,2087.152684
0.0,5,2087.245111
0.0,2,2087.280602
0.0,2,2087.316417
0.0,2,2087.352642
0.0,2,2087.390627
0.0,2,2087.427518
0.0,2,2087.464014
0.0,2,2087.499945
0.0,2,2087.537473
0.0,2,2087.573013
0.0,2,2087.612587
0.0,2,2087.655822
0.0,2,2087.695315
0.0,2,2087.734225
0.0,2,2087.77559
0.0,2,2087.812057
0.0,2,2087.848409
0.0,2,2087.889256
0.0,2,2087.930272
0.0,2,2087.969141
0.0,2,2088.005815
0.0,2,2088.039513
0.0,2,2088.07629
0.0,2,2088.109845
0.0,4,2088.18542
0.0,2,2092.186244
0.0,2,2092.222761
